Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.247,12.37,12.112,12.227,3247966,0
2017-01-04,12.247,12.991,12.227,12.951,8088655,0
2017-01-05,12.931,13.231,12.838,13.201,8169996,0
2017-01-06,13.231,13.37,12.883,13.281,8745366,0
2017-01-09,13.271,13.43,13.051,13.39,8495710,0
2017-01-10,13.351,13.628,13.161,13.538,8823272,0
2017-01-11,13.598,14.016,13.598,14.016,14609494,0
2017-01-12,13.966,14.354,13.867,14.295,7636686,0
2017-01-13,14.245,14.543,14.215,14.513,6994825,0
2017-01-17,15.358,15.825,14.961,15.248,10983300,0
2017-01-18,15.298,15.469,15.035,15.169,6604888,0
2017-01-19,15.08,15.477,15.02,15.467,13283325,0
2017-01-20,15.586,16.312,15.566,16.014,8444264,0
2017-01-23,16.113,16.401,15.79,16.113,5847556,0
2017-01-24,16.223,16.521,16.103,16.272,6674201,0
2017-01-25,16.292,16.461,16.213,16.342,5060644,0
2017-01-26,16.361,16.541,16.233,16.361,4438623,0
2017-01-27,16.312,16.501,16.213,16.351,3337524,0
2017-01-30,16.332,16.349,15.949,16.193,4868320,0
2017-01-31,16.113,16.506,16.113,16.471,3852693,0
2017-02-01,16.421,16.531,16.118,16.272,3393232,0
2017-02-02,16.213,16.721,16.013,16.641,6074852,0
2017-02-03,16.671,17.488,16.501,17.009,12018682,0
2017-02-06,17.049,17.138,16.322,16.631,6995300,0
2017-02-07,16.571,16.631,16.163,16.203,5081226,0
2017-02-08,16.133,16.441,15.954,16.292,4462005,0
2017-02-09,16.163,16.431,16.143,16.351,4275007,0
2017-02-10,16.431,16.591,16.252,16.591,3200266,0
2017-02-13,16.531,16.87,16.471,16.681,5733500,0
2017-02-14,16.561,16.741,16.252,16.721,6780970,0
2017-02-15,16.671,17.676,16.661,17.418,8425701,0
2017-02-16,17.418,17.418,17.019,17.039,4497669,0
2017-02-17,17.039,17.059,16.656,17.029,4003607,0
2017-02-21,16.721,17.228,16.451,17.049,3794801,0
2017-02-22,16.979,16.979,16.616,16.761,4725880,0
2017-02-23,16.939,17.208,16.87,16.969,6061156,0
2017-02-24,17.118,17.493,17.059,17.388,6494798,0
2017-02-27,17.338,17.636,16.591,16.701,9422829,0
2017-02-28,16.361,16.81,15.765,16.491,9693255,0
2017-03-01,16.79,17.029,16.631,16.78,14321587,0
2017-03-02,16.661,17.398,16.661,16.959,8112536,0
2017-03-03,16.959,17.238,16.82,17.228,4603587,0
2017-03-06,17.208,17.358,16.88,17.288,10835001,0
2017-03-07,17.418,17.587,16.88,17.029,5999603,0
2017-03-08,16.989,17.193,16.521,17.098,7619256,0
2017-03-09,17.019,17.796,16.969,17.786,7468114,0
2017-03-10,17.886,17.985,17.497,17.786,5794954,0
2017-03-13,17.796,17.985,17.198,17.258,9037555,0
2017-03-14,17.278,17.278,16.721,16.939,6362603,0
2017-03-15,17.069,17.537,17.019,17.388,8233972,0
2017-03-16,17.398,17.905,17.148,17.816,9474351,0
2017-03-17,17.925,18.483,17.925,17.985,12115348,0
2017-03-20,18.055,18.324,17.856,18.254,6045669,0
2017-03-21,18.244,18.433,18.089,18.164,3821843,0
2017-03-22,18.204,18.254,17.811,17.935,4280023,0
2017-03-23,17.955,18.189,17.925,18.065,3410118,0
2017-03-24,18.074,18.184,18.025,18.084,3146009,0
2017-03-27,18.045,18.114,17.896,18.104,2926834,0
2017-03-28,18.035,18.084,17.846,18.035,4228256,0
2017-03-29,18.603,18.866,18.374,18.652,7602047,0
2017-03-30,18.623,18.652,18.154,18.294,3180574,0
2017-03-31,18.304,18.866,18.214,18.623,5000305,0
2017-04-03,18.503,18.672,18.234,18.652,4508561,0
2017-04-04,18.662,18.986,18.553,18.801,4484960,0
2017-04-05,18.801,18.981,18.527,18.613,3800137,0
2017-04-06,18.623,18.901,18.526,18.821,5804300,0
2017-04-07,18.841,18.891,18.389,18.433,3673778,0
2017-04-10,18.433,18.801,18.433,18.682,3010094,0
2017-04-11,18.613,18.697,18.413,18.633,2706743,0
2017-04-12,18.583,18.722,18.369,18.652,3979380,0
2017-04-13,18.672,18.712,18.274,18.314,2635952,0
2017-04-17,18.304,18.399,18.252,18.374,2736082,0
2017-04-18,18.314,18.468,18.244,18.364,3700870,0
2017-04-19,18.394,18.573,17.786,17.806,4821140,0
2017-04-20,17.935,17.945,17.128,17.168,6939215,0
2017-04-21,17.188,17.278,16.691,16.999,6445210,0
2017-04-24,17.078,17.403,16.989,17.228,4156034,0
2017-04-25,16.999,17.098,16.771,16.939,4971818,0
2017-04-26,16.959,17.338,16.865,17.208,8696801,0
2017-04-27,17.138,17.263,16.75,16.799,3964870,0
2017-04-28,16.879,17.178,16.755,16.859,4065042,0
2017-05-01,16.66,16.879,16.59,16.63,5531563,0
2017-05-02,16.231,16.74,15.512,15.732,10231003,0
2017-05-03,15.722,15.722,14.904,14.944,8213485,0
2017-05-04,14.944,14.994,14.485,14.565,11876437,0
2017-05-05,14.634,15.084,14.495,14.994,7778552,0
2017-05-08,14.924,14.934,14.495,14.754,6593657,0
2017-05-09,14.914,15.034,14.555,14.684,6716582,0
2017-05-10,14.714,15.293,14.54,15.094,7138625,0
2017-05-11,14.984,15.632,14.834,15.233,5545374,0
2017-05-12,15.253,15.253,14.964,15.034,3272007,0
2017-05-15,15.044,15.283,14.944,15.044,4180014,0
2017-05-16,15.014,15.124,14.809,14.884,4215853,0
2017-05-17,14.794,15.163,14.664,15.014,3770609,0
2017-05-18,14.964,15.273,14.724,15.203,4001674,0
2017-05-19,15.882,16.061,15.522,15.672,5657685,0
2017-05-22,15.692,15.976,15.492,15.922,5815497,0
2017-05-23,16.55,16.75,15.832,15.842,7340393,0
2017-05-24,15.842,16.76,15.797,16.72,7632359,0
2017-05-25,16.69,16.849,16.31,16.41,4831300,0
2017-05-26,16.44,16.518,16.231,16.43,4016961,0
2017-05-30,16.4,16.43,16.131,16.171,3240889,0
2017-05-31,16.171,16.24,15.792,16.021,4141684,0
2017-06-01,16.47,16.73,16.201,16.72,4630707,0
2017-06-02,16.67,17.138,16.63,16.879,5396863,0
2017-06-05,16.819,16.964,16.57,16.66,3642047,0
2017-06-06,16.67,16.859,16.5,16.74,5666424,0
2017-06-07,16.69,16.71,16.216,16.36,4690976,0
2017-06-08,16.36,16.41,16.111,16.36,3138328,0
2017-06-09,16.32,16.67,16.25,16.65,2976801,0
2017-06-12,16.63,16.784,16.42,16.67,4652370,0
2017-06-13,16.7,16.949,16.65,16.899,3598676,0
2017-06-14,16.839,16.929,16.275,16.43,6942128,0
2017-06-15,16.43,16.71,16.211,16.57,3492316,0
2017-06-16,16.58,16.894,16.221,16.869,5713859,0
2017-06-19,16.919,17.049,16.73,16.909,3219776,0
2017-06-20,16.819,16.869,16.45,16.72,3138649,0
2017-06-21,16.819,17.093,16.69,16.74,3908804,0
2017-06-22,16.789,17.408,16.789,17.188,4326867,0
2017-06-23,17.188,17.378,17.078,17.348,5167899,0
2017-06-26,17.378,17.707,17.378,17.597,8038740,0
2017-06-27,17.607,17.697,17.168,17.168,2927690,0
2017-06-28,17.278,17.538,17.258,17.278,2821733,0
2017-06-29,17.218,17.298,16.809,16.979,3316326,0
2017-06-30,17.009,17.358,17.009,17.178,3411856,0
2017-07-03,17.298,17.588,17.069,17.128,1811404,0
2017-07-05,17.088,17.338,16.76,16.76,3667858,0
2017-07-06,16.839,16.909,16.29,16.32,4223525,0
2017-07-07,16.3,16.36,15.912,16.201,4756884,0
2017-07-10,16.171,16.33,16.002,16.081,5990862,0
2017-07-11,16.3,16.48,16.101,16.26,7667593,0
2017-07-12,19.463,21.089,18.854,21.039,53605591,0
2017-07-13,21.478,23.304,21.388,22.146,36678316,0
2017-07-14,22.186,23.224,22.146,23.184,17277160,0
2017-07-17,23.184,23.204,22.356,22.865,11555504,0
2017-07-18,22.904,23.413,22.615,23.363,8685889,0
2017-07-19,23.363,24.062,23.039,23.942,10128593,0
2017-07-20,23.942,24.102,23.613,24.052,7886748,0
2017-07-21,24.092,24.531,23.782,24.431,8116224,0
2017-07-24,24.361,25.229,24.211,25.219,9191321,0
2017-07-25,25.309,25.369,24.85,24.95,8851066,0
2017-07-26,24.999,25.189,24.491,24.61,8645983,0
2017-07-27,24.69,25.039,24.406,24.551,9584972,0
2017-07-28,24.61,25.205,24.465,25.14,4685125,0
2017-07-31,25.15,25.18,24.531,24.59,5073275,0
2017-08-01,24.63,24.84,24.211,24.501,5022288,0
2017-08-02,24.371,24.713,24.151,24.441,5258180,0
2017-08-03,24.321,24.89,23.791,23.951,4124630,0
2017-08-04,24.031,24.67,23.971,24.421,4131064,0
2017-08-07,24.371,24.62,24.191,24.471,5424938,0
2017-08-08,24.411,24.77,23.971,24.221,4804753,0
2017-08-09,24.301,24.391,24.101,24.301,2903135,0
2017-08-10,24.211,25.649,24.111,24.361,6922814,0
2017-08-11,24.121,24.78,24.121,24.64,3426000,0
2017-08-14,24.79,25.579,24.75,25.439,5268620,0
