Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.9,32.5,31.6,32.05,514621,0
2017-01-04,32.15,32.8,32.1,32.65,469127,0
2017-01-05,32.6,32.9,31.8,32.1,431398,0
2017-01-06,32.05,32.4,31.8,31.9,270158,0
2017-01-09,31.1,32.05,31.1,31.35,529311,0
2017-01-10,31.45,32.15,31.4,32,332552,0
2017-01-11,31.8,32,31.6,31.95,484378,0
2017-01-12,31.8,32.275,31.4,32.2,551487,0
2017-01-13,32.35,32.7,32.25,32.6,322056,0
2017-01-17,32.65,32.65,32.05,32.35,388038,0
2017-01-18,32.4,32.4,30.825,30.9,1418475,0
2017-01-19,30.45,31,30.3,30.6,944715,0
2017-01-20,30.6,31,30.6,30.85,636189,0
2017-01-23,31.05,31.35,30.5,31.25,371806,0
2017-01-24,31.3,32.75,31.25,32.1,691071,0
2017-01-25,32.4,32.85,32.05,32.7,908537,0
2017-01-26,32.5,32.8,32.225,32.5,785930,0
2017-01-27,32.45,32.5,31.85,32.1,487305,0
2017-01-30,31.95,31.95,31.05,31.45,1294560,0
2017-01-31,29.95,33.95,29.5,33.3,2357949,0
2017-02-01,33.45,33.5,32.45,32.7,873411,0
2017-02-02,32.75,33,32.005,32.6,607689,0
2017-02-03,32.65,34.45,32.45,34.35,829592,0
2017-02-06,34.3,35.35,33.85,35.15,1078048,0
2017-02-07,35.25,35.85,35.11,35.7,888875,0
2017-02-08,35.65,36.675,35.35,35.7,972985,0
2017-02-09,35.75,36.75,35.75,36.525,674992,0
2017-02-10,36.65,36.9,36.4,36.6,334213,0
2017-02-13,36.95,37.1,36.65,36.75,336891,0
2017-02-14,36.5,36.9,36.35,36.625,357239,0
2017-02-15,36.5,37.65,36.275,37.6,757483,0
2017-02-16,37.7,37.8,37.35,37.65,487846,0
2017-02-17,37.8,38.4,37.25,37.9,610310,0
2017-02-21,37.85,38.25,37.75,38.1,214149,0
2017-02-22,37.9,38.2,37.7,37.75,201191,0
2017-02-23,38,38,36.975,37.55,400615,0
2017-02-24,37.1,38.325,37.1,38,399139,0
2017-02-27,37.9,38.35,37.6,38.35,642323,0
2017-02-28,38.15,38.2,36.95,36.95,970567,0
2017-03-01,37.35,37.55,36.85,37.35,870518,0
2017-03-02,37.25,37.35,36.7,36.85,592444,0
2017-03-03,36.9,37,36.6,36.7,604806,0
2017-03-06,36.5,37.05,36.2,36.95,343928,0
2017-03-07,36.8,37.15,36.55,36.85,396970,0
2017-03-08,36.8,37.25,36.65,36.85,468347,0
2017-03-09,36.9,37.2,36.35,36.5,451844,0
2017-03-10,36.8,37.2,36.55,36.75,408579,0
2017-03-13,36.85,37.1,36.65,36.85,315747,0
2017-03-14,36.75,37.15,36.45,37.1,397137,0
2017-03-15,37.35,37.975,37.1,37.75,436080,0
2017-03-16,38,38.25,37.7,37.95,262002,0
2017-03-17,37.95,38.1,36.55,37.35,1128883,0
2017-03-20,37.4,37.9,37.4,37.65,386781,0
2017-03-21,37.95,38.3,37.1,37.15,563692,0
2017-03-22,37.1,37.6,36.85,37.2,580742,0
2017-03-23,37.2,37.8,36.95,37.5,443422,0
2017-03-24,37.65,38.3,37.25,37.25,824966,0
2017-03-27,36.95,38.15,36.55,37.9,580769,0
2017-03-28,37.75,38.05,37.6,37.8,415469,0
2017-03-29,37.8,38.25,37.65,37.95,417412,0
2017-03-30,38,38.325,37.9,38.15,321595,0
2017-03-31,38.15,38.45,37.85,37.95,540081,0
2017-04-03,38,38.25,37.45,37.7,537853,0
2017-04-04,37.7,38.25,37.45,37.7,409800,0
2017-04-05,37.9,38.15,37.05,37.05,456819,0
2017-04-06,37.1,37.95,37.05,37.7,354090,0
2017-04-07,37.55,38,37.4,37.5,276699,0
2017-04-10,37.6,37.95,36.95,37.3,662708,0
2017-04-11,37.35,37.5,36.85,37.1,458710,0
2017-04-12,36.95,37.15,36.3,36.6,405281,0
2017-04-13,36.5,36.8,36.05,36.15,291430,0
2017-04-17,36.3,37.1,36.2,36.6,503153,0
2017-04-18,36.4,37.6,36.3,36.45,637138,0
2017-04-19,36.65,36.9,35.7,36.15,1193568,0
2017-04-20,36.2,37,36.2,36.4,733912,0
2017-04-21,36.45,36.65,36.05,36.5,597420,0
2017-04-24,37.15,37.35,36.85,37,835695,0
2017-04-25,37.35,38,37.25,37.8,557890,0
2017-04-26,37.75,38.375,37.675,38.1,862421,0
2017-04-27,38.15,38.475,37.95,38.1,412587,0
2017-04-28,38.2,38.2,37.25,37.65,614504,0
