Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,13.24,13.286,13.19,13.286,18864,0
2017-01-04,13.246,13.366,13.246,13.366,18231,0
2017-01-05,13.376,13.418,13.376,13.414,4921,0
2017-01-06,13.44,13.479,13.356,13.404,7727,0
2017-01-09,13.476,13.507,13.451,13.479,10371,0
2017-01-10,13.507,13.516,13.484,13.488,10122,0
2017-01-11,13.444,13.561,13.435,13.464,42812,0
2017-01-12,13.482,13.66,13.482,13.541,20731,0
2017-01-13,13.541,13.555,13.444,13.492,16780,0
2017-01-17,13.531,13.601,13.502,13.512,5418,0
2017-01-18,13.482,13.502,13.444,13.454,11896,0
2017-01-19,13.408,13.444,13.37,13.399,19256,0
2017-01-20,13.38,13.38,13.329,13.33,6330,0
2017-01-23,13.425,13.512,13.36,13.492,14618,0
2017-01-24,13.397,13.474,13.397,13.44,14824,0
2017-01-25,13.408,13.418,13.357,13.357,18340,0
2017-01-26,13.39,13.39,13.35,13.36,6469,0
2017-01-27,13.36,13.425,13.35,13.37,22350,0
2017-01-30,13.407,13.407,13.362,13.362,8337,0
2017-01-31,13.37,13.454,13.37,13.454,21397,0
2017-02-01,13.502,13.561,13.42,13.561,28679,0
2017-02-02,13.571,13.581,13.557,13.581,7200,0
2017-02-03,13.591,13.601,13.591,13.591,8109,0
2017-02-06,13.631,13.631,13.581,13.581,15981,0
2017-02-07,13.611,13.641,13.591,13.634,4617,0
2017-02-08,13.621,13.734,13.621,13.651,7853,0
2017-02-09,13.651,13.663,13.621,13.66,5894,0
2017-02-10,13.641,13.679,13.625,13.67,11285,0
2017-02-13,13.683,13.683,13.605,13.615,9262,0
2017-02-14,13.615,13.642,13.535,13.584,31369,0
2017-02-15,13.535,13.615,13.515,13.565,18792,0
2017-02-16,13.525,13.625,13.525,13.625,34221,0
2017-02-17,13.635,13.655,13.605,13.655,8263,0
2017-02-21,13.635,13.68,13.635,13.664,15323,0
2017-02-22,13.683,13.739,13.683,13.73,7227,0
2017-02-23,13.827,13.867,13.768,13.768,16780,0
2017-02-24,13.867,13.886,13.807,13.877,8196,0
2017-02-27,13.877,13.877,13.808,13.845,10124,0
2017-02-28,13.847,13.887,13.847,13.877,9927,0
2017-03-01,13.837,13.857,13.758,13.788,18086,0
2017-03-02,13.798,13.807,13.72,13.768,25266,0
2017-03-03,13.703,13.767,13.703,13.703,30415,0
2017-03-06,13.72,13.72,13.674,13.72,6422,0
2017-03-07,13.757,13.758,13.664,13.664,6638,0
2017-03-08,13.645,13.683,13.605,13.605,15609,0
2017-03-09,13.575,13.615,13.506,13.575,30024,0
2017-03-10,13.596,13.605,13.518,13.605,6772,0
2017-03-13,13.598,13.618,13.538,13.538,6418,0
2017-03-14,13.528,13.686,13.528,13.686,3026,0
2017-03-15,13.705,13.794,13.667,13.762,5630,0
2017-03-16,13.782,13.782,13.696,13.714,9215,0
2017-03-17,13.733,13.772,13.733,13.772,4467,0
2017-03-20,13.782,13.867,13.775,13.867,2967,0
2017-03-21,13.911,13.921,13.792,13.921,10620,0
2017-03-22,13.886,13.95,13.886,13.931,3414,0
2017-03-23,13.927,13.93,13.901,13.928,14182,0
2017-03-24,13.931,13.956,13.923,13.94,8503,0
2017-03-27,13.978,13.978,13.93,13.931,7677,0
2017-03-28,13.994,14.011,13.911,13.911,9454,0
2017-03-29,13.891,13.953,13.881,13.901,13134,0
2017-03-30,13.881,13.883,13.831,13.871,7621,0
2017-03-31,13.904,13.911,13.851,13.911,2413,0
2017-04-03,13.998,13.998,13.93,13.978,6498,0
2017-04-04,13.94,13.998,13.94,13.95,11040,0
2017-04-05,13.94,13.982,13.94,13.978,2757,0
2017-04-06,13.93,13.978,13.93,13.93,15918,0
2017-04-07,13.93,14.006,13.93,13.963,5511,0
2017-04-10,13.96,14.054,13.96,14.054,2442,0
2017-04-11,14.127,14.127,14.048,14.107,7365,0
2017-04-12,14.137,14.137,14.038,14.097,12120,0
2017-04-13,14.117,14.117,14.068,14.078,4804,0
2017-04-17,14.058,14.144,14.058,14.097,6173,0
2017-04-18,14.167,14.167,14.108,14.147,8349,0
2017-04-19,14.078,14.117,14.078,14.078,2026,0
2017-04-20,14.157,14.227,14.127,14.213,8290,0
2017-04-21,14.246,14.538,14.246,14.529,36798,0
2017-04-24,14.411,14.421,14.342,14.354,7426,0
2017-04-25,14.322,14.323,14.217,14.217,14874,0
2017-04-26,14.227,14.441,14.227,14.274,6496,0
2017-04-27,14.255,14.255,14.147,14.147,21255,0
2017-04-28,14.147,14.167,14.096,14.157,20124,0
2017-05-01,14.187,14.187,14.107,14.187,3369,0
2017-05-02,14.162,14.177,14.157,14.157,6005,0
2017-05-03,14.117,14.178,14.117,14.178,5452,0
2017-05-04,14.167,14.177,14.147,14.147,3598,0
2017-05-05,14.137,14.149,14.048,14.077,19202,0
2017-05-08,14.048,14.068,13.971,13.979,27225,0
2017-05-09,14.137,14.137,13.923,13.953,27372,0
2017-05-10,13.971,13.971,13.863,13.873,34952,0
2017-05-11,13.906,13.916,13.866,13.866,26422,0
2017-05-12,13.974,14.042,13.974,14.042,25110,0
2017-05-15,14.04,14.101,14.04,14.101,16007,0
2017-05-16,14.101,14.121,14.072,14.101,16964,0
