Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.784,12.833,12.754,12.823,113634,0
2017-01-04,12.842,12.881,12.842,12.871,21674,0
2017-01-05,12.909,12.927,12.877,12.917,53328,0
2017-01-06,12.909,12.909,12.813,12.871,40554,0
2017-01-09,12.899,12.956,12.89,12.937,16553,0
2017-01-10,12.937,12.956,12.917,12.956,34422,0
2017-01-11,12.952,13,12.933,12.98,33193,0
2017-01-12,13,13.04,12.99,13.02,44549,0
2017-01-13,13,13,12.933,12.97,16483,0
2017-01-17,13.04,13.066,12.983,13.02,77871,0
2017-01-18,13,13,12.943,12.961,49355,0
2017-01-19,12.868,12.933,12.838,12.886,68857,0
2017-01-20,12.895,12.914,12.828,12.895,70780,0
2017-01-23,12.914,12.952,12.868,12.923,28553,0
2017-01-24,12.914,12.961,12.895,12.905,60987,0
2017-01-25,12.895,12.914,12.848,12.858,71409,0
2017-01-26,12.848,12.895,12.848,12.886,9335,0
2017-01-27,12.886,12.914,12.868,12.905,44646,0
2017-01-30,12.905,12.943,12.886,12.943,39797,0
2017-01-31,12.933,12.99,12.933,12.99,34270,0
2017-02-01,12.97,12.99,12.961,12.99,23658,0
2017-02-02,12.99,13,12.933,12.943,44880,0
2017-02-03,12.943,12.99,12.943,12.952,14976,0
2017-02-06,12.99,12.99,12.961,12.972,9772,0
2017-02-07,12.97,13.02,12.962,13.02,26645,0
2017-02-08,13.02,13.059,13.01,13.059,53767,0
2017-02-09,13.049,13.059,13.002,13.02,18259,0
2017-02-10,13.04,13.069,13.01,13.069,56038,0
2017-02-13,13.075,13.075,12.966,12.976,43970,0
2017-02-14,12.976,13.006,12.91,12.918,59041,0
2017-02-15,12.891,12.919,12.891,12.91,29919,0
2017-02-16,12.91,12.928,12.9,12.91,23722,0
2017-02-17,12.928,12.948,12.918,12.928,11680,0
2017-02-21,12.986,12.986,12.948,12.966,10332,0
2017-02-22,12.996,12.996,12.938,12.948,29856,0
2017-02-23,12.986,12.996,12.966,12.986,15659,0
2017-02-24,13.016,13.075,13.006,13.055,34336,0
2017-02-27,13.026,13.085,13.026,13.026,23040,0
2017-02-28,13.016,13.105,13.016,13.095,11772,0
