Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,12.768,12.906,12.768,12.896,13099,0
2017-01-04,12.935,12.935,12.878,12.925,2626,0
2017-01-05,13.003,13.003,12.926,12.955,3231,0
2017-01-06,12.896,12.955,12.896,12.955,2270,0
2017-01-09,13.039,13.225,13.039,13.137,35101,0
2017-01-10,13.049,13.12,13.039,13.059,2662,0
2017-01-11,12.971,13.094,12.971,13.094,1326,0
2017-01-12,13.055,13.124,13.055,13.094,512,0
2017-01-13,13.074,13.075,12.981,13.055,4592,0
2017-01-17,13.114,13.346,13.114,13.144,6785,0
2017-01-18,13.212,13.212,12.931,13.045,8964,0
2017-01-19,13.074,13.094,13.026,13.094,5735,0
2017-01-20,13.144,13.232,13.055,13.114,5953,0
2017-01-23,13.134,13.262,12.951,13.064,24797,0
2017-01-24,13.084,13.084,12.99,13.014,4820,0
2017-01-25,13.035,13.035,12.921,12.941,21321,0
2017-01-26,12.921,13.009,12.891,12.911,9789,0
2017-01-27,13.018,13.018,12.872,12.872,6039,0
2017-01-30,12.921,12.931,12.843,12.931,5925,0
2017-01-31,12.951,12.99,12.932,12.981,10458,0
2017-02-01,13.064,13.064,12.901,13.026,7523,0
2017-02-02,13.055,13.055,12.921,13.026,10384,0
2017-02-03,13.055,13.055,13.035,13.035,1613,0
2017-02-06,13.153,13.153,13.064,13.074,5161,0
2017-02-07,13.308,13.308,13.026,13.045,3078,0
2017-02-08,13.134,13.134,13.018,13.094,4781,0
2017-02-09,13.124,13.29,12.99,13.084,7841,0
2017-02-10,13.192,13.192,13.009,13.009,4240,0
2017-02-13,13.06,13.06,12.963,12.987,4540,0
2017-02-14,12.967,13.028,12.967,12.967,6360,0
2017-02-15,13.005,13.06,12.887,12.917,18954,0
2017-02-16,12.967,12.967,12.882,12.899,5479,0
2017-02-17,12.927,12.927,12.798,12.808,10354,0
2017-02-21,12.808,12.858,12.804,12.858,6771,0
2017-02-22,12.858,12.967,12.838,12.967,9643,0
2017-02-23,12.977,12.986,12.937,12.986,6376,0
2017-02-24,13.015,13.06,12.987,13.06,3667,0
2017-02-27,13.022,13.066,13.016,13.022,6519,0
2017-02-28,13.09,13.125,13.059,13.12,4537,0
2017-03-01,13.07,13.14,12.996,13.123,17504,0
2017-03-02,13.1,13.14,12.977,13.022,7037,0
2017-03-03,13.041,13.041,12.987,13.022,1138,0
2017-03-06,13.041,13.041,12.983,12.996,1285,0
2017-03-07,13.005,13.041,12.957,12.957,7698,0
2017-03-08,12.967,12.982,12.9,12.9,4052,0
2017-03-09,12.927,12.927,12.808,12.818,13903,0
2017-03-10,12.848,12.906,12.798,12.848,17214,0
2017-03-13,12.883,13.216,12.883,13.216,13512,0
2017-03-14,13.087,13.087,12.963,12.993,5032,0
2017-03-15,13.028,13.09,13.002,13.068,6020,0
2017-03-16,12.953,13.067,12.953,13.028,5338,0
2017-03-17,13.038,13.067,13.029,13.029,2612,0
2017-03-20,13.067,13.097,13.067,13.088,1359,0
2017-03-21,13.02,13.091,13.02,13.091,598,0
2017-03-22,13.186,13.186,13.137,13.157,1666,0
2017-03-23,13.196,13.196,13.147,13.186,2291,0
2017-03-24,13.196,13.196,13.094,13.109,1577,0
2017-03-27,13.196,13.312,13.196,13.277,6909,0
2017-03-28,13.341,13.341,13.176,13.176,4298,0
2017-03-29,13.295,13.295,13.246,13.295,1851,0
2017-03-30,13.321,13.321,13.276,13.312,6900,0
2017-03-31,13.256,13.385,13.236,13.36,12988,0
2017-04-03,13.41,13.439,13.292,13.39,8403,0
2017-04-04,13.39,13.4,13.331,13.4,4261,0
2017-04-05,13.285,13.405,13.285,13.403,595,0
2017-04-06,13.348,13.36,13.348,13.36,789,0
2017-04-07,13.459,13.529,13.449,13.449,3101,0
2017-04-10,13.529,13.529,13.41,13.469,894,0
2017-04-11,13.564,13.564,13.545,13.559,1621,0
2017-04-12,13.545,13.631,13.545,13.571,686,0
2017-04-13,13.637,13.637,13.495,13.517,1980,0
2017-04-17,13.611,13.611,13.505,13.505,5713,0
2017-04-18,13.505,13.601,13.505,13.525,1084,0
2017-04-19,13.555,13.601,13.545,13.545,2198,0
2017-04-20,13.65,13.66,13.641,13.641,3664,0
2017-04-21,13.641,13.7,13.631,13.7,7452,0
2017-04-24,13.68,13.68,13.515,13.515,2113,0
2017-04-25,13.564,13.592,13.555,13.572,2030,0
2017-04-26,13.564,13.631,13.492,13.525,801,0
2017-04-27,13.366,13.669,13.366,13.526,6999,0
2017-04-28,13.515,13.675,13.485,13.675,3240,0
2017-05-01,13.601,13.601,13.436,13.436,15203,0
2017-05-02,13.465,13.509,13.431,13.436,4123,0
2017-05-03,13.455,13.535,13.455,13.485,6613,0
2017-05-04,13.582,13.582,13.455,13.465,2394,0
2017-05-05,13.485,13.554,13.485,13.485,1784,0
2017-05-08,13.545,13.67,13.416,13.495,11513,0
2017-05-09,13.485,13.739,13.455,13.495,5590,0
2017-05-10,13.445,13.495,13.436,13.455,4365,0
2017-05-11,13.491,13.608,13.491,13.608,14233,0
2017-05-12,13.501,13.677,13.501,13.677,3866,0
2017-05-15,13.597,13.657,13.561,13.57,2150,0
2017-05-16,13.608,13.638,13.57,13.57,3249,0
2017-05-17,13.521,13.667,13.521,13.667,1582,0
2017-05-18,13.598,13.707,13.598,13.657,3341,0
2017-05-19,13.598,13.608,13.511,13.57,1319,0
2017-05-22,13.618,13.618,13.588,13.588,434,0
2017-05-23,13.707,13.707,13.561,13.667,2008,0
2017-05-24,13.618,13.756,13.608,13.746,3743,0
2017-05-25,13.707,13.707,13.588,13.588,4763,0
2017-05-26,13.579,13.657,13.579,13.618,1243,0
2017-05-30,13.588,13.608,13.54,13.541,7282,0
2017-05-31,13.531,13.598,13.531,13.57,4442,0
2017-06-01,13.579,13.689,13.57,13.57,6609,0
2017-06-02,13.531,13.657,13.531,13.561,4518,0
2017-06-05,13.551,13.597,13.501,13.501,5708,0
2017-06-06,13.561,13.561,13.491,13.511,5411,0
2017-06-07,13.501,13.579,13.491,13.491,5083,0
2017-06-08,13.561,13.561,13.491,13.491,10084,0
2017-06-09,13.461,13.511,13.461,13.471,2651,0
