Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.81,9.14,8.37,8.42,8815386,0
2017-01-04,8.52,8.65,8.17,8.44,8940530,0
2017-01-05,8.42,8.62,8.325,8.58,5375347,0
2017-01-06,8.56,8.59,8.2,8.34,4774630,0
2017-01-09,8.34,8.48,8.24,8.27,3479496,0
2017-01-10,8.5,8.725,8.3705,8.54,6920436,0
2017-01-11,8.51,8.58,8.36,8.42,3879313,0
2017-01-12,8.77,8.78,8.32,8.57,6917274,0
2017-01-13,8.59,8.705,8.4,8.49,5574765,0
2017-01-17,8.49,8.54,8.12,8.18,5453028,0
2017-01-18,8.2,8.29,8.02,8.13,3287643,0
2017-01-19,8.92,9.78,8.9,9.48,26024986,0
2017-01-20,9.48,9.5,9.13,9.37,6862063,0
2017-01-23,9.46,9.66,9.24,9.31,6486072,0
2017-01-24,9.38,10.1,9.38,9.99,10971168,0
2017-01-25,10.2,10.35,9.92,10.21,8181901,0
2017-01-26,10.28,10.31,9.85,10.14,5082589,0
2017-01-27,10.08,10.23,9.87,9.96,5056677,0
2017-01-30,9.98,10.02,9.46,9.68,8264906,0
2017-01-31,9.65,9.845,9.46,9.81,9105409,0
2017-02-01,9.82,9.86,8.77,9.45,11528058,0
2017-02-02,9.39,9.65,9.28,9.62,4200688,0
2017-02-03,9.67,9.83,9.545,9.81,7851120,0
2017-02-06,9.68,9.7,9.38,9.4,6677644,0
2017-02-07,9.58,9.58,9.235,9.3,7044595,0
2017-02-08,9.25,9.495,9.13,9.47,5708847,0
2017-02-09,9.51,9.65,9.4,9.44,6521183,0
2017-02-10,9.52,9.55,9.125,9.49,9082033,0
2017-02-13,9.54,10.02,9.54,9.93,8442236,0
2017-02-14,10.02,10.96,10,10.87,14169966,0
2017-02-15,10.65,10.9093,10.47,10.8,8975687,0
2017-02-16,10.68,10.87,10.53,10.77,5708939,0
2017-02-17,10.48,11.09,10.47,11.02,6297373,0
2017-02-21,11.27,11.3,10.72,10.97,8887856,0
2017-02-22,10.93,10.95,9.65,9.72,21520241,0
2017-02-23,10.35,10.5,9.28,9.53,16827467,0
2017-02-24,9.25,9.335,9.045,9.24,13914936,0
2017-02-27,9.23,9.29,8.72,8.855,15836395,0
2017-02-28,8.86,8.98,8.5,8.5,9568336,0
2017-03-01,8.7,8.9,8.61,8.81,7842516,0
2017-03-02,8.85,9.17,8.64,8.88,11471603,0
2017-03-03,9.2,9.68,9.06,9.6,15308837,0
2017-03-06,9.6,9.61,9.37,9.49,7287211,0
2017-03-07,9.76,9.93,9.37,9.46,8198193,0
2017-03-08,9.42,9.5,9.08,9.16,6056452,0
2017-03-09,9.1,9.37,8.924,9.23,4669867,0
2017-03-10,8.89,9,8.46,8.55,17490499,0
2017-03-13,8.6999,8.76,8.31,8.41,10206713,0
2017-03-14,8.34,8.36,8.02,8.1,11566692,0
2017-03-15,8.4,8.89,8.27,8.73,18835025,0
2017-03-16,8.78,9.325,8.634,9.18,15552822,0
2017-03-17,9.16,9.69,9.11,9.56,15411078,0
2017-03-20,9.75,9.88,9.48,9.585,9237876,0
2017-03-21,9.59,9.885,9.52,9.52,12347875,0
2017-03-22,9.35,9.7,9.02,9.69,8504485,0
2017-03-23,9.7,9.88,9.51,9.57,7233134,0
2017-03-24,9.57,10.28,9.52,10.11,16625635,0
2017-03-27,9.79,10.055,9.6,9.87,10382682,0
2017-03-28,9.89,10.18,9.83,10.13,7621395,0
2017-03-29,10.17,10.55,10.055,10.18,12594176,0
2017-03-30,10.15,10.345,10.07,10.125,6272030,0
2017-03-31,10.08,10.11,9.65,9.82,11119848,0
2017-04-03,9.88,9.94,9.46,9.55,5544241,0
2017-04-04,9.5,9.58,9.1,9.15,7333762,0
2017-04-05,9.25,9.35,8.61,8.65,11116957,0
2017-04-06,8.6,9.05,8.52,8.95,9448281,0
2017-04-07,9.29,9.35,9.07,9.08,13499935,0
2017-04-10,9.09,9.26,8.97,9.12,7273918,0
2017-04-11,9.1,9.25,8.76,9,28139700,0
2017-04-12,9.01,9.02,8.57,8.62,8845211,0
2017-04-13,8.96,9.1,8.5,8.57,12452485,0
2017-04-17,8.65,8.69,8.49,8.59,6277201,0
2017-04-18,8.51,8.85,8.51,8.67,7467348,0
2017-04-19,8.76,8.84,8.37,8.47,14144129,0
2017-04-20,8.49,8.6,8.43,8.46,7460502,0
2017-04-21,8.55,9.03,8.52,8.85,10801619,0
2017-04-24,9,9.0299,8.7,8.91,6899716,0
2017-04-25,8.93,9.095,8.78,9.04,5659762,0
2017-04-26,8.8,8.82,7.91,7.92,24544153,0
2017-04-27,8.05,8.17,7.8325,7.93,9673148,0
2017-04-28,7.95,8.03,6.915,8.01,17606489,0
2017-05-01,8.12,8.36,8.03,8.36,10531468,0
2017-05-02,8.44,8.51,7.96,8.19,24490669,0
2017-05-03,7.36,8.19,7.32,8.19,24030685,0
2017-05-04,8.25,8.32,8.015,8.15,13710357,0
2017-05-05,8.21,8.41,7.98,8.39,10564336,0
2017-05-08,8.37,8.6,8.32,8.53,7604893,0
2017-05-09,8.6,8.91,8.58,8.82,9480055,0
2017-05-10,8.67,8.98,8.64,8.94,9480039,0
2017-05-11,8.83,9.07,8.77,8.91,5879304,0
2017-05-12,8.82,9.05,8.625,9.02,7752606,0
2017-05-15,9.03,9.38,8.96,9.13,8310904,0
2017-05-16,9.16,9.28,9.08,9.23,8269585,0
2017-05-17,8.91,9,8.34,8.35,14476018,0
2017-05-18,8.22,8.6,8.05,8.34,7602802,0
2017-05-19,8.41,8.63,8.41,8.5,5281980,0
2017-05-22,8.88,9.4,8.86,9.37,16687851,0
2017-05-23,9.43,9.52,9.08,9.13,7104897,0
2017-05-24,9.1,9.14,8.81,8.9,7029195,0
2017-05-25,9.14,9.26,8.58,8.59,9373804,0
2017-05-26,8.63,8.95,8.48,8.91,9528405,0
2017-05-30,8.93,9.095,8.76,8.88,6386879,0
2017-05-31,8.98,9.25,8.86,8.88,9764216,0
2017-06-01,9.17,9.52,9.09,9.36,12060553,0
2017-06-02,9.35,9.54,9.24,9.31,5965856,0
2017-06-05,9.3,9.66,9.09,9.64,10691791,0
2017-06-06,9.59,10.93,9.57,10.48,39736053,0
2017-06-07,10.64,10.65,10.16,10.4,12244695,0
2017-06-08,10.19,10.55,10.16,10.37,8924027,0
2017-06-09,10.43,10.53,9.41,9.63,17615559,0
2017-06-12,9.25,9.61,9.02,9.37,16971949,0
2017-06-13,9.53,9.82,9.31,9.48,12635289,0
2017-06-14,9.54,10.06,9.27,9.73,20032741,0
2017-06-15,9.55,9.71,9.25,9.54,7933156,0
2017-06-16,9.7,9.96,9.46,9.67,11343311,0
2017-06-19,9.78,9.84,9.46,9.62,7590826,0
2017-06-20,9.59,9.72,9.46,9.47,5163783,0
2017-06-21,9.49,9.68,9.405,9.54,4515199,0
2017-06-22,9.58,9.68,9.4,9.44,5600319,0
2017-06-23,9.65,10.16,9.5701,10.01,18708402,0
2017-06-26,10.07,10.21,9.75,9.97,8074365,0
2017-06-27,9.9,9.96,9.53,9.55,7727156,0
2017-06-28,9.6,9.77,9.56,9.75,6226765,0
2017-06-29,9.74,9.82,9.26,9.45,7346809,0
2017-06-30,9.52,9.52,9.33,9.34,5726356,0
2017-07-03,9.44,9.44,9.22,9.29,3203030,0
2017-07-05,9.32,9.41,9.18,9.26,5393754,0
2017-07-06,9.16,9.32,9.11,9.14,4376116,0
2017-07-07,9.18,9.6,9.18,9.57,5913586,0
2017-07-10,9.62,9.89,9.52,9.82,4757760,0
2017-07-11,9.82,9.9,9.56,9.61,5601853,0
2017-07-12,9.67,9.74,9.56,9.59,5659081,0
2017-07-13,9.84,10.005,9.595,9.78,12318722,0
2017-07-14,9.65,9.95,9.58,9.9,6383710,0
2017-07-17,9.87,9.92,9.685,9.83,4421685,0
2017-07-18,9.8,9.8,9.58,9.7,6208302,0
2017-07-19,9.69,10.0799,9.68,9.92,7346455,0
2017-07-20,9.96,10,9.68,9.86,5484231,0
2017-07-21,9.85,10.06,9.73,9.9,5762220,0
2017-07-24,9.9,10.12,9.75,10.11,7136264,0
2017-07-25,10.15,10.35,10.02,10.3,5814261,0
2017-07-26,10.35,10.49,10.015,10.04,6099623,0
2017-07-27,10.11,10.2136,9.53,9.75,8152170,0
2017-07-28,9.68,10.07,9.61,9.86,4366163,0
2017-07-31,9.93,10.12,9.67,9.78,5804501,0
2017-08-01,9.82,10.06,9.71,9.9,8409642,0
2017-08-02,9.63,9.66,8.96,9.13,19287325,0
2017-08-03,10,10.28,9.35,9.49,19051982,0
2017-08-04,9.45,9.6,8.71,8.745,16512426,0
2017-08-07,8.8,9.02,8.75,8.77,7980552,0
2017-08-08,8.8,9.4,8.78,9.23,10715286,0
2017-08-09,9.14,9.33,8.66,8.69,9639870,0
2017-08-10,8.6,8.8,8.31,8.32,7886190,0
2017-08-11,8.26,8.62,8.24,8.39,7332142,0
2017-08-14,8.56,8.81,8.48,8.8,5820332,0
2017-08-15,8.85,8.87,8.34,8.4,5283722,0
2017-08-16,8.41,8.495,8.25,8.47,6550409,0
2017-08-17,8.4,8.63,8.3,8.31,4297168,0
2017-08-18,8.31,8.45,8.26,8.32,2832496,0
2017-08-21,8.3,8.32,7.95,8.12,6213995,0
2017-08-22,8.15,8.295,8.12,8.28,2642978,0
2017-08-23,8.18,8.81,8.1,8.74,9459543,0
2017-08-24,9.12,9.3,8.59,8.63,17509238,0
2017-08-25,8.71,8.74,8.4,8.58,5242370,0
2017-08-28,8.56,8.5601,8.37,8.49,3514306,0
2017-08-29,8.25,8.48,8.18,8.42,4452770,0
2017-08-30,8.4,8.6,8.39,8.57,2686093,0
2017-08-31,8.5,8.59,8.33,8.41,4047492,0
