Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.0902,5.2036,5.0807,5.1847,1567457,0
2017-01-04,5.1941,5.3171,5.1847,5.284,1492041,0
2017-01-05,5.2794,5.3266,5.2321,5.2982,996447,0
2017-01-06,5.2888,5.3361,5.2699,5.3077,773107,0
2017-01-09,5.3266,5.4024,5.2794,5.3361,924086,0
2017-01-10,5.3645,5.3882,5.2982,5.3739,907390,0
2017-01-11,5.3835,5.3884,5.283,5.2974,1306118,0
2017-01-12,5.2878,5.3547,5.2783,5.3165,920618,0
2017-01-13,5.307,5.393,5.2974,5.3165,604568,0
2017-01-17,5.2783,5.393,5.2688,5.3357,1093625,0
2017-01-18,5.3261,5.3547,5.2878,5.3165,596446,0
2017-01-19,5.3357,5.3547,5.2688,5.2688,549672,0
2017-01-20,5.2688,5.307,5.2018,5.2305,576252,0
2017-01-23,5.2592,5.2974,5.2305,5.2497,779561,0
2017-01-24,5.2592,5.2592,5.1924,5.2209,881291,0
2017-01-25,5.2592,5.2592,5.2018,5.24,634711,0
2017-01-26,5.24,5.2592,5.1731,5.2209,1107801,0
2017-01-27,5.2497,5.2497,5.1731,5.2018,773763,0
2017-01-30,5.1731,5.2209,5.1062,5.2209,953309,0
2017-01-31,5.2497,5.2497,5.1635,5.2018,559351,0
2017-02-01,5.2018,5.2592,5.1827,5.2497,712047,0
2017-02-02,5.2209,5.2496,5.1731,5.2018,708914,0
2017-02-03,5.2305,5.2497,5.1826,5.2209,1517421,0
2017-02-06,5.1924,5.3261,5.1875,5.3165,955507,0
2017-02-07,5.3453,5.3547,5.2783,5.3547,699903,0
2017-02-08,5.3547,5.3644,5.307,5.3644,650920,0
2017-02-09,4.8097,4.9245,4.389,4.4273,11081690,0
2017-02-10,4.4369,4.4751,4.2934,4.3603,4346657,0
2017-02-13,4.3894,4.4573,4.3603,4.3603,2488730,0
2017-02-14,4.4378,4.4862,4.4184,4.4573,2434810,0
2017-02-15,4.5154,4.6123,4.4574,4.5735,2593260,0
2017-02-16,4.5929,4.5929,4.4815,4.5251,1556768,0
2017-02-17,4.5348,4.5348,4.4378,4.4621,2047987,0
2017-02-21,4.4669,4.5348,4.4378,4.4573,1718950,0
2017-02-22,4.4573,4.4718,4.399,4.4573,1638125,0
2017-02-23,4.4573,4.4815,4.4475,4.4669,1162223,0
2017-02-24,4.4767,4.4767,4.399,4.4475,909091,0
2017-02-27,4.4573,4.4669,4.3796,4.4185,1370673,0
2017-02-28,4.4185,4.4185,4.2828,4.3022,2156848,0
2017-03-01,4.3119,4.3603,4.2634,4.3215,1851012,0
2017-03-02,4.3603,4.3603,4.2634,4.2828,1366757,0
2017-03-03,4.2634,4.2828,4.215,4.2344,1618390,0
2017-03-06,4.215,4.2731,4.1763,4.2634,1319889,0
2017-03-07,4.215,4.2683,4.2053,4.2441,1173840,0
2017-03-08,4.2344,4.2731,4.1859,4.1859,843721,0
2017-03-09,4.215,4.2634,4.1956,4.2634,1149184,0
2017-03-10,4.3022,4.3313,4.2344,4.3022,1224838,0
2017-03-13,4.3703,4.4287,4.3509,4.3995,1252041,0
2017-03-14,4.419,4.4287,4.3558,4.38,1864906,0
2017-03-15,4.38,4.4093,4.3314,4.3898,2321198,0
2017-03-16,4.3898,4.5358,4.3719,4.4579,1805330,0
2017-03-17,4.4677,4.5066,4.38,4.4677,1309612,0
2017-03-20,4.4677,4.565,4.419,4.5455,1185470,0
2017-03-21,4.5358,4.5748,4.4774,4.5164,1149328,0
2017-03-22,4.5261,4.5455,4.4774,4.5066,1205408,0
2017-03-23,4.5261,4.5553,4.4871,4.5164,761019,0
2017-03-24,4.4969,4.5504,4.4774,4.5358,779220,0
2017-03-27,4.5066,4.5942,4.4774,4.5942,911721,0
2017-03-28,4.6234,4.6526,4.5845,4.6428,1034588,0
2017-03-29,4.6526,4.6526,4.5261,4.5748,800485,0
2017-03-30,4.4774,4.5261,4.3995,4.4384,1591209,0
