Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,2.22,2.26,2.11,2.25,50269,0
2017-01-04,2.23,2.39,2.22,2.34,43343,0
2017-01-05,2.35,2.38,2.28,2.28,14971,0
2017-01-06,2.18,2.33,2.15,2.27,62396,0
2017-01-09,2.3,2.3,2.06,2.07,56324,0
2017-01-10,2.09,2.21,2.09,2.11,41427,0
2017-01-11,2.11,2.175,2.06,2.1,28301,0
2017-01-12,2.1,2.16,2.06,2.08,30903,0
2017-01-13,2.13,2.15,2.04,2.1,61260,0
2017-01-17,2.13,2.13,2.063,2.1,39715,0
2017-01-18,2.0801,2.19,2.04,2.18,38750,0
2017-01-19,2.18,2.26,2.13,2.25,35608,0
2017-01-20,2.25,2.26,2.1847,2.22,19899,0
2017-01-23,2.24,2.24,2.16,2.19,15939,0
2017-01-24,2.16,2.2,2.16,2.16,45139,0
2017-01-25,2.16,2.2,2.16,2.18,18741,0
2017-01-26,2.185,2.185,2.05,2.0913,70045,0
2017-01-27,2.09,2.2,2.04,2.09,56285,0
2017-01-30,2.12,2.12,2.04,2.051,25430,0
2017-01-31,2.03,2.07,2.03,2.07,16484,0
2017-02-01,2.059,2.07,1.95,2,52361,0
2017-02-02,1.97,1.99,1.68,1.8005,597677,0
2017-02-03,1.81,1.88,1.77,1.79,150498,0
2017-02-06,1.8,2.04,1.8,1.9411,59652,0
2017-02-07,1.98,1.99,1.92,1.97,42009,0
2017-02-08,2.15,2.15,1.95,1.96,121609,0
2017-02-09,1.95,1.95,1.7701,1.82,124776,0
2017-02-10,1.8,1.86,1.78,1.84,49662,0
2017-02-13,1.87,1.97,1.8,1.85,109592,0
2017-02-14,1.9,1.93,1.85,1.89,167813,0
2017-02-15,1.88,1.9,1.85,1.89,42730,0
2017-02-16,1.88,1.9,1.83,1.83,148678,0
2017-02-17,1.81,1.87,1.81,1.81,168046,0
2017-02-21,1.83,1.85,1.73,1.76,181153,0
2017-02-22,1.74,1.83,1.66,1.77,138858,0
2017-02-23,1.82,1.9,1.75,1.78,224806,0
2017-02-24,1.83,1.83,1.77,1.8,291036,0
2017-02-27,1.8,1.9299,1.8,1.91,153483,0
2017-02-28,1.94,2,1.88,1.94,82251,0
2017-03-01,1.95,2,1.95,1.97,58154,0
2017-03-02,1.93,2,1.88,1.9,114540,0
2017-03-03,1.88,2,1.85,1.91,52436,0
2017-03-06,1.91,1.98,1.87,1.98,29235,0
2017-03-07,1.93,2.0779,1.8884,2,90675,0
2017-03-08,2,2.04,1.94,2,55490,0
2017-03-09,2,2.11,1.96,2.06,69773,0
2017-03-10,2.06,2.1,1.98,2.08,109214,0
2017-03-13,2.1,2.1,2.05,2.07,38704,0
2017-03-14,2.05,2.1,2.05,2.06,39526,0
2017-03-15,2.06,2.1,2.06,2.06,45787,0
2017-03-16,2.1,2.1,1.94,1.99,35940,0
2017-03-17,1.95,2.01,1.95,1.96,31401,0
2017-03-20,1.94,1.96,1.94,1.94,35522,0
2017-03-21,1.95,1.95,1.88,1.8801,54563,0
2017-03-22,1.9,1.94,1.85,1.89,25185,0
2017-03-23,1.93,1.93,1.888,1.89,12466,0
2017-03-24,1.85,1.92,1.85,1.89,52011,0
2017-03-27,1.86,1.92,1.8305,1.87,38686,0
2017-03-28,1.85,1.95,1.85,1.9,28563,0
2017-03-29,1.9048,1.94,1.88,1.94,19310,0
2017-03-30,1.94,2,1.94,1.95,34896,0
2017-03-31,1.96,2,1.91,1.98,51460,0
2017-04-03,1.96,2.03,1.87,1.95,129820,0
2017-04-04,1.94,2.05,1.895,1.94,41629,0
2017-04-05,1.97,2.03,1.9,1.92,46648,0
2017-04-06,1.9101,1.95,1.9,1.95,7768,0
2017-04-07,1.92,1.99,1.86,1.87,30239,0
2017-04-10,1.86,1.942,1.85,1.88,11122,0
2017-04-11,1.88,1.92,1.84,1.84,100041,0
2017-04-12,1.87,1.88,1.8,1.82,34820,0
2017-04-13,1.82,1.84,1.81,1.83,11240,0
2017-04-17,1.8,1.9,1.8,1.82,252487,0
2017-04-18,1.825,1.85,1.79,1.8,53668,0
2017-04-19,1.8,1.82,1.7,1.78,57353,0
2017-04-20,1.79,1.85,1.76,1.76,55003,0
2017-04-21,1.8,1.85,1.7,1.74,561621,0
2017-04-24,1.72,1.9,1.72,1.83,92025,0
2017-04-25,1.85,1.94,1.7815,1.7815,51040,0
2017-04-26,1.69,1.7,1.5,1.62,158297,0
2017-04-27,1.65,1.65,1.52,1.55,155459,0
2017-04-28,1.55,1.55,1.45,1.49,45657,0
2017-05-01,1.48,1.48,1.39,1.39,93020,0
2017-05-02,1.39,1.43,1.36,1.37,67601,0
2017-05-03,1.36,1.41,1.27,1.31,100841,0
2017-05-04,1.3,1.385,1.21,1.29,214091,0
2017-05-05,1.28,1.36,1.28,1.33,73836,0
2017-05-08,1.332,1.36,1.3,1.33,33395,0
2017-05-09,1.3514,1.4,1.34,1.38,24607,0
2017-05-10,1.38,1.43,1.36,1.41,28835,0
2017-05-11,1.45,1.66,1.44,1.5095,181527,0
2017-05-12,1.5,1.6,1.46,1.47,73172,0
2017-05-15,1.54,1.54,1.44,1.5,9388,0
2017-05-16,1.5,1.5,1.35,1.36,139136,0
2017-05-17,1.36,1.4,1.35,1.38,44759,0
2017-05-18,1.37,1.38,1.3,1.35,63573,0
2017-05-19,1.37,1.42,1.3,1.39,89526,0
2017-05-22,1.38,1.39,1.28,1.3,102261,0
2017-05-23,1.3494,1.39,1.29,1.3,44749,0
2017-05-24,1.3,1.35,1.3,1.32,34657,0
2017-05-25,1.34,1.36,1.28,1.33,81714,0
2017-05-26,1.26,1.41,1.23,1.32,261220,0
2017-05-30,1.309,1.45,1.309,1.36,69158,0
2017-05-31,1.36,1.4,1.26,1.38,49407,0
2017-06-01,1.38,1.43,1.36,1.39,14239,0
2017-06-02,1.35,1.42,1.32,1.35,22005,0
2017-06-05,1.42,1.42,1.3,1.35,15129,0
2017-06-06,1.32,1.41,1.3,1.35,31286,0
2017-06-07,1.34,1.37,1.31,1.32,52056,0
2017-06-08,1.33,1.39,1.3,1.35,38430,0
2017-06-09,1.31,1.38,1.3,1.3,27577,0
2017-06-12,1.33,1.4,1.33,1.35,21432,0
2017-06-13,1.3201,1.4,1.3,1.38,30269,0
2017-06-14,1.3705,1.38,1.35,1.35,1482,0
2017-06-15,1.32,1.35,1.3,1.34,18782,0
2017-06-16,1.37,1.37,1.319,1.34,18334,0
2017-06-19,1.325,1.36,1.31,1.34,20714,0
2017-06-20,1.31,1.34,1.27,1.33,103663,0
2017-06-21,1.33,1.33,1.284,1.3,18010,0
2017-06-22,1.28,1.31,1.2681,1.29,14749,0
2017-06-23,1.29,1.31,1.28,1.28,38621,0
2017-06-26,1.28,1.3,1.2616,1.285,25247,0
2017-06-27,1.28,1.3,1.26,1.27,46513,0
2017-06-28,1.26,1.27,1.24,1.24,61395,0
2017-06-29,1.24,1.32,1.22,1.29,261044,0
2017-06-30,1.29,1.35,1.25,1.26,62302,0
2017-07-03,1.27,1.28,1.27,1.28,8443,0
2017-07-05,1.27,1.4,1.27,1.32,18275,0
2017-07-06,1.31,1.33,1.28,1.28,10306,0
2017-07-07,1.27,1.3,1.27,1.29,10012,0
