Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,24.901,25.596,24.708,25.496,130394,0
2017-01-04,25.596,25.943,25.546,25.745,102377,0
2017-01-05,25.646,25.695,24.554,24.603,147163,0
2017-01-06,24.554,24.803,24.405,24.703,150952,0
2017-01-09,24.753,25,24.207,24.455,86606,0
2017-01-10,24.504,24.753,24.207,24.554,67610,0
2017-01-11,24.554,24.852,24.402,24.653,107269,0
2017-01-12,24.554,24.653,23.761,23.86,93479,0
2017-01-13,24.008,24.356,23.908,24.256,102422,0
2017-01-17,24.405,24.554,23.885,23.908,122008,0
2017-01-18,24.207,24.703,24.108,24.554,167025,0
2017-01-19,24.554,24.653,24.158,24.256,103867,0
2017-01-20,24.455,24.603,24.381,24.455,112333,0
2017-01-23,24.504,25,24.504,24.901,108142,0
2017-01-24,25,25.199,24.653,25.149,104067,0
2017-01-25,25.199,25.496,24.901,25.398,135700,0
2017-01-26,25.496,26.538,25.373,26.341,206325,0
2017-01-27,26.588,26.588,25.596,25.646,153838,0
2017-01-30,25.496,25.546,25,25.249,124948,0
2017-01-31,24.901,25.05,24.455,24.753,183682,0
2017-02-01,24.901,25.546,24.653,25.149,188401,0
2017-02-02,25.249,25.546,24.803,25.05,71794,0
2017-02-03,25.299,25.894,25.1,25.745,84366,0
2017-02-06,25.695,25.745,25.398,25.546,68920,0
2017-02-07,25.695,25.695,25,25.1,56065,0
2017-02-08,25.149,25.496,25,25.249,66057,0
2017-02-09,25.348,25.794,25.348,25.646,89154,0
2017-02-10,25.794,25.794,25.348,25.446,53029,0
2017-02-13,25.596,25.646,25.199,25.299,73672,0
2017-02-14,25.348,25.546,25.149,25.496,98774,0
2017-02-15,25.496,25.844,25.1,25.249,91762,0
2017-02-16,25.398,25.398,24.753,25.149,125854,0
2017-02-17,25.199,25.82,25.149,25.547,155153,0
2017-02-21,25.597,25.746,25.398,25.398,68174,0
2017-02-22,25.249,25.398,25.149,25.249,54887,0
2017-02-23,25.398,25.77,25.124,25.199,132413,0
2017-02-24,25.149,25.696,24.901,25.497,112290,0
2017-02-27,25.447,25.696,25.1,25.199,107385,0
2017-02-28,25.149,25.945,25.05,25.299,215158,0
2017-03-01,25.597,26.243,25.398,26.093,212961,0
2017-03-02,24.851,24.901,18.961,19.881,1337520,0
2017-03-03,19.881,19.931,18.24,19.086,993196,0
2017-03-06,18.688,19.781,18.25,19.185,523749,0
2017-03-07,19.086,19.334,18.892,19.086,281052,0
2017-03-08,19.135,19.583,18.837,19.384,357171,0
2017-03-09,19.185,19.682,19.185,19.483,250776,0
2017-03-10,19.334,19.633,19.309,19.384,183554,0
2017-03-13,19.334,19.533,19.235,19.384,192033,0
2017-03-14,19.334,19.483,19.285,19.334,93827,0
2017-03-15,19.334,19.881,19.334,19.831,215478,0
2017-03-16,19.881,20.477,19.881,20.179,268829,0
