Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,18.03,18.127,17.444,17.688,700410,0
2017-01-04,17.785,18.005,17.736,17.932,743381,0
2017-01-05,17.883,17.932,17.297,17.492,531952,0
2017-01-06,17.639,17.736,17.468,17.541,472817,0
2017-01-09,17.394,17.492,17.175,17.2,406648,0
2017-01-10,17.2,17.614,17.15,17.492,796917,0
2017-01-11,17.444,17.492,17.247,17.492,652724,0
2017-01-12,17.394,17.444,17.028,17.15,507593,0
2017-01-13,17.297,17.688,17.247,17.394,472362,0
2017-01-17,17.2,17.247,16.71,16.759,559349,0
2017-01-18,16.857,16.955,16.564,16.906,646921,0
2017-01-19,16.906,17.053,16.613,16.808,502953,0
2017-01-20,16.808,17.003,16.808,16.906,535722,0
2017-01-23,16.759,17.053,16.71,17.053,550357,0
2017-01-24,17.15,17.444,16.564,17.346,1360155,0
2017-01-25,17.59,17.736,17.394,17.59,673442,0
2017-01-26,17.639,17.736,17.444,17.639,404575,0
2017-01-27,17.59,17.639,17.297,17.444,471161,0
2017-01-30,17.297,17.297,16.906,17.2,684126,0
2017-01-31,17.101,17.394,17.003,17.297,737951,0
2017-02-01,17.492,17.639,17.2,17.247,766617,0
2017-02-02,17.15,17.272,16.955,17.15,556433,0
2017-02-03,17.394,17.639,17.297,17.541,621988,0
2017-02-06,17.444,17.59,17.223,17.346,493085,0
2017-02-07,17.394,17.492,17.2,17.297,496588,0
2017-02-08,17.15,17.2,16.857,17.101,667849,0
2017-02-09,17.15,17.444,17.053,17.444,518775,0
2017-02-10,17.492,17.736,17.444,17.736,833652,0
2017-02-13,17.785,18.03,17.785,17.883,1373883,0
2017-02-14,17.834,18.102,17.688,18.079,1130721,0
2017-02-15,18.127,18.371,18.005,18.177,805716,0
2017-02-16,18.177,18.324,18.03,18.274,559787,0
2017-02-17,18.224,18.274,18.079,18.274,563215,0
2017-02-21,18.324,18.469,18.177,18.371,675037,0
2017-02-22,18.224,18.518,18.224,18.371,509266,0
2017-02-23,18.421,18.469,18.088,18.421,710927,0
2017-02-24,18.177,18.371,18.079,18.274,636480,0
2017-02-27,18.254,18.402,18.206,18.304,524529,0
2017-02-28,18.304,18.352,17.935,18.058,665000,0
2017-03-01,18.402,18.648,18.352,18.598,1069059,0
2017-03-02,18.55,18.55,17.96,17.96,651305,0
2017-03-03,18.058,18.206,17.95,18.131,577559,0
2017-03-06,18.058,18.156,17.812,17.96,356643,0
2017-03-07,17.96,18.058,17.787,17.96,364506,0
2017-03-08,18.106,18.206,17.713,17.713,800029,0
2017-03-09,17.762,18.058,17.762,17.91,657961,0
2017-03-10,17.96,17.96,17.491,17.614,666244,0
2017-03-13,17.516,17.86,17.516,17.762,436810,0
2017-03-14,17.614,17.762,17.467,17.713,559793,0
2017-03-15,17.86,17.96,17.566,17.614,826652,0
2017-03-16,17.762,17.86,17.614,17.812,684349,0
2017-03-17,17.762,17.935,17.614,17.86,1411757,0
2017-03-20,17.812,17.812,17.516,17.516,492367,0
2017-03-21,17.516,17.762,16.458,16.483,1595462,0
2017-03-22,16.434,16.582,16.139,16.335,1219928,0
2017-03-23,16.335,16.828,16.286,16.385,1049365,0
2017-03-24,16.089,16.582,16.089,16.434,672212,0
2017-03-27,16.04,16.385,15.819,16.335,552740,0
2017-03-28,16.286,16.729,16.237,16.68,776852,0
2017-03-29,16.582,16.729,16.532,16.582,739250,0
2017-03-30,16.631,17.368,16.582,17.221,866185,0
2017-03-31,17.221,17.467,17.024,17.024,832184,0
2017-04-03,17.024,17.123,16.557,16.877,836690,0
2017-04-04,16.778,16.975,16.631,16.778,595024,0
2017-04-05,16.975,17.024,16.385,16.434,1064448,0
2017-04-06,16.335,16.729,16.237,16.68,765836,0
2017-04-07,16.483,16.705,16.434,16.582,811435,0
2017-04-10,16.68,16.778,16.286,16.483,677999,0
2017-04-11,16.385,16.655,16.237,16.631,838882,0
2017-04-12,16.729,16.729,16.335,16.434,732799,0
2017-04-13,16.385,16.434,15.991,16.04,778061,0
2017-04-17,16.089,16.286,15.843,16.188,2773977,0
2017-04-18,16.089,16.188,15.794,16.089,1621571,0
2017-04-19,16.188,16.385,16.016,16.089,927103,0
2017-04-20,16.286,16.557,16.04,16.532,1400522,0
2017-04-21,16.532,16.68,16.286,16.582,1087444,0
2017-04-24,16.926,17.221,16.582,17.172,1314550,0
2017-04-25,17.221,17.418,16.828,16.877,881580,0
2017-04-26,16.729,17.221,16.68,16.926,1065403,0
2017-04-27,17.074,17.221,16.729,16.877,909450,0
2017-04-28,16.926,17,16.483,16.532,820164,0
2017-05-01,16.68,16.901,16.385,16.828,1151041,0
2017-05-02,16.877,16.877,16.483,16.68,856718,0
2017-05-03,16.631,16.852,16.532,16.778,824785,0
2017-05-04,16.926,17.123,16.828,16.926,716205,0
2017-05-05,16.926,17.024,16.729,16.828,513376,0
2017-05-08,16.828,16.926,16.68,16.926,699398,0
2017-05-09,16.926,17.074,16.621,16.778,596881,0
2017-05-10,16.729,16.852,16.582,16.582,677905,0
2017-05-11,16.532,16.68,16.237,16.385,909787,0
2017-05-12,16.237,16.286,15.991,16.237,724795,0
2017-05-15,16.286,16.483,16.286,16.434,659583,0
2017-05-16,16.434,16.557,16.286,16.532,798558,0
2017-05-17,16.237,16.237,15.622,15.794,1283477,0
2017-05-18,15.794,16.04,15.72,15.991,944103,0
2017-05-19,15.942,16.188,15.794,15.893,941386,0
2017-05-22,15.942,15.991,15.72,15.843,1054887,0
2017-05-23,15.893,16.188,15.72,16.139,572425,0
2017-05-24,16.188,16.188,15.893,16.089,467049,0
2017-05-25,16.089,16.188,15.917,16.04,661033,0
2017-05-26,16.04,16.04,15.843,15.843,385678,0
2017-05-30,15.824,15.923,15.551,15.774,711039,0
2017-05-31,15.774,15.774,15.377,15.724,1404525,0
2017-06-01,15.724,15.923,15.551,15.873,1430497,0
2017-06-02,15.774,16.072,15.675,15.873,1099413,0
2017-06-05,15.873,16.072,15.824,15.923,737039,0
2017-06-06,15.774,15.923,15.625,15.774,687986,0
2017-06-07,15.824,16.121,15.774,16.072,810106,0
2017-06-08,16.121,16.94,16.004,16.716,1264965,0
2017-06-09,16.766,17.634,16.766,17.361,1683630,0
2017-06-12,17.361,17.783,17.188,17.411,1610193,0
2017-06-13,17.51,17.659,17.336,17.46,872897,0
2017-06-14,17.212,17.46,16.964,17.411,1045335,0
2017-06-15,17.312,17.56,17.237,17.361,667206,0
2017-06-16,17.212,17.361,17.064,17.163,2665801,0
2017-06-19,17.312,17.46,16.94,17.064,865720,0
2017-06-20,17.014,17.014,16.766,16.766,512783,0
2017-06-21,16.816,16.865,16.568,16.568,822115,0
2017-06-22,16.518,16.667,16.369,16.419,541978,0
2017-06-23,16.568,16.568,16.196,16.27,1192698,0
2017-06-26,16.32,16.592,16.22,16.518,715789,0
2017-06-27,16.568,16.766,16.468,16.617,564942,0
2017-06-28,16.766,16.989,16.716,16.915,782799,0
2017-06-29,17.212,17.46,17.014,17.212,1397754,0
2017-06-30,17.312,17.361,16.989,17.113,615719,0
2017-07-03,17.212,17.634,17.163,17.609,476192,0
2017-07-05,17.609,17.609,17.237,17.361,757209,0
2017-07-06,17.361,17.46,17.163,17.212,779777,0
2017-07-07,17.312,17.361,17.039,17.361,576169,0
2017-07-10,17.262,17.312,17.064,17.113,540964,0
2017-07-11,17.064,17.163,16.915,17.113,767830,0
2017-07-12,17.064,17.212,16.915,17.014,699025,0
2017-07-13,17.064,17.286,16.964,17.113,760423,0
2017-07-14,16.915,17.064,16.756,16.964,886401,0
2017-07-17,16.964,16.964,16.667,16.816,1284631,0
2017-07-18,16.716,16.816,16.518,16.716,1065581,0
