Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.17,1.18,1.15,1.15,13617,0
2017-01-04,1.1521,1.1521,1.11,1.14,26201,0
2017-01-05,1.15,1.15,1.12,1.15,9745,0
2017-01-06,1.15,1.16,1.13,1.13,19914,0
2017-01-09,1.15,1.15,1.13,1.13,11727,0
2017-01-10,1.13,1.16,1.13,1.15,10536,0
2017-01-11,1.1501,1.16,1.13,1.15,11157,0
2017-01-12,1.15,1.15,1.12,1.12,5178,0
2017-01-13,1.12,1.12,1.12,1.12,100,0
2017-01-17,1.1489,1.15,1.12,1.12,3073,0
2017-01-18,1.14,1.14,1.12,1.12,4389,0
2017-01-19,1.1299,1.15,1.12,1.13,19928,0
2017-01-20,1.12,1.14,1.12,1.13,15409,0
2017-01-23,1.12,1.138,1.12,1.13,5951,0
2017-01-24,1.13,1.15,1.13,1.14,13178,0
2017-01-25,1.13,1.15,1.12,1.14,26156,0
2017-01-26,1.14,1.15,1.13,1.14,43435,0
2017-01-27,1.1401,1.1401,1.14,1.14,8025,0
2017-01-30,1.1434,1.1778,1.14,1.16,12142,0
2017-01-31,1.15,1.17,1.14,1.14,23487,0
2017-02-01,1.1412,1.18,1.14,1.14,32581,0
2017-02-02,1.1502,1.1502,1.13,1.14,7801,0
2017-02-03,1.14,1.1678,1.14,1.1435,8624,0
2017-02-06,1.15,1.1535,1.15,1.15,2267,0
2017-02-07,1.1549,1.1549,1.15,1.1515,1511,0
2017-02-08,1.14,1.173,1.14,1.173,1345,0
2017-02-09,1.14,1.15,1.12,1.1495,9401,0
2017-02-10,1.14,1.14,1.12,1.13,12413,0
2017-02-13,1.13,1.13,1.1,1.1299,13696,0
2017-02-14,1.13,1.13,1.1,1.1099,20344,0
2017-02-15,1.14,1.14,1.08,1.08,30322,0
2017-02-16,1.0856,1.1,1.08,1.08,12383,0
2017-02-17,1.1,1.13,1.1,1.12,65955,0
2017-02-21,1.13,1.15,1.13,1.1399,13679,0
2017-02-22,1.12,1.12,1.11,1.11,28261,0
2017-02-23,1.1107,1.15,1.1,1.12,22280,0
2017-02-24,1.1,1.14,1.1,1.14,10818,0
2017-02-27,1.12,1.13,1.11,1.13,7511,0
2017-02-28,1.1135,1.119,1.11,1.119,5651,0
2017-03-01,1.12,1.1299,1.12,1.1299,4444,0
2017-03-02,1.2,1.21,1.13,1.13,102234,0
2017-03-03,1.11,1.154,1.08,1.11,53139,0
2017-03-06,1.11,1.11,1.1,1.1001,3500,0
2017-03-07,1.0958,1.0958,1.04,1.06,71292,0
2017-03-08,1.06,1.087,1.043,1.0601,2120,0
