Date,Open,High,Low,Close,Volume,OpenInt
2017-01-04,4.55,4.55,4.5,4.55,1883,0
2017-01-05,4.55,4.55,4.55,4.55,421,0
2017-01-06,4.55,4.55,4.55,4.55,100,0
2017-01-10,4.55,4.6,4.55,4.55,605,0
2017-01-11,4.6,4.6,4.5,4.5,421,0
2017-01-12,4.6,4.65,4.5,4.5,1853,0
2017-01-13,4.6,4.702,4.55,4.55,4921,0
2017-01-17,4.5,4.5,4.5,4.5,521,0
2017-01-18,4.5,4.85,4.4,4.45,48959,0
2017-01-23,4.5,4.5,4.5,4.5,204,0
2017-01-24,4.5,4.5,4.5,4.5,206,0
2017-01-27,4.85,4.85,4.45,4.45,2120,0
2017-01-30,4.45,4.75,4.45,4.65,23015,0
2017-01-31,4.45,4.6,4.45,4.5,10912,0
2017-02-01,4.8,4.8,4.55,4.55,13401,0
2017-02-03,4.405,4.405,4.405,4.405,258,0
2017-02-07,4.6608,4.6608,4.5,4.5,820,0
2017-02-09,4.45,4.45,4.4,4.4,2627,0
2017-02-13,4.45,4.45,4.1,4.1,18623,0
2017-02-14,4.3,4.55,4.1,4.25,41255,0
2017-02-15,4.35,4.35,4,4,18376,0
2017-02-16,4,4,3.95,3.95,18271,0
2017-02-17,3.95,3.95,3.9,3.95,956,0
2017-02-21,4.1,4.3,4,4.3,19858,0
2017-02-22,4.4,4.4094,4.35,4.4,3702,0
2017-02-23,4.45,4.5,4.25,4.45,17037,0
2017-02-27,4.584,4.75,4.35,4.35,1170,0
2017-02-28,4.6,4.6,4.45,4.45,3441,0
2017-03-01,4.6384,4.6384,4.6384,4.6384,1008,0
2017-03-02,4.5,4.5,4.35,4.35,3408,0
2017-03-03,4.4,4.4,4.4,4.4,148,0
2017-03-07,4.65,4.65,4.35,4.4,1300,0
2017-03-08,4.65,4.65,4.35,4.65,300,0
2017-03-09,4.4,4.65,4.4,4.65,260,0
2017-03-10,4.65,4.65,4.65,4.65,109,0
2017-03-13,4.45,4.45,4.45,4.45,102,0
2017-03-14,4.6,4.6,4.6,4.6,107,0
2017-03-15,4.35,4.35,4.329,4.329,1038,0
2017-03-16,4.35,4.35,4.35,4.35,199,0
2017-03-17,4.35,4.6,4.35,4.6,305,0
2017-03-20,4.305,4.35,4.305,4.35,2458,0
2017-03-21,4.3,4.3,4.3,4.3,188,0
2017-03-22,4.35,4.35,4.35,4.35,308,0
2017-03-24,4.35,4.35,4.35,4.35,11411,0
2017-03-27,4.35,4.3566,4.35,4.3566,555,0
2017-03-28,4.4,4.5399,4.4,4.5399,1100,0
2017-03-29,4.4,4.4,4.35,4.4,663,0
2017-03-30,4.35,4.35,4.35,4.35,138,0
2017-03-31,4.35,4.4,4.35,4.4,720,0
2017-04-03,4.35,4.35,4.35,4.35,117,0
2017-04-04,4.4,4.4,4.35,4.35,3135,0
2017-04-05,4.35,4.35,4.3,4.3,8307,0
2017-04-06,4.35,4.35,4.35,4.35,100,0
2017-04-11,4.4,4.4,4.4,4.4,303,0
2017-04-12,4.65,4.65,4.645,4.645,551,0
2017-04-13,4.6,4.65,4.3,4.3,5125,0
2017-04-17,4.65,4.7,4.65,4.65,15575,0
2017-04-18,4.6125,4.6125,4.6,4.6,503,0
2017-04-19,4.7,4.7,4.7,4.7,526,0
2017-04-21,4.6989,4.6989,4.6989,4.6989,202,0
2017-04-24,4.7,4.7,4.65,4.65,3219,0
2017-04-25,4.6,4.6,4.6,4.6,100,0
