Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,25.068,25.455,24.132,25.168,9035,0
2017-01-04,25.415,26.433,25.415,25.889,14524,0
2017-01-05,25.702,25.743,25.227,25.632,4367,0
2017-01-06,25.267,25.267,25.267,25.267,496,0
2017-01-09,26.384,26.423,25.317,26.206,12746,0
2017-01-10,25.959,26.75,25.959,26.75,4446,0
2017-01-11,26.7,26.849,26.7,26.7,12857,0
2017-01-12,26.839,27.066,26.7,26.899,28595,0
2017-01-13,26.097,27.442,25.86,27.311,11750,0
2017-01-17,27.244,27.442,26.908,27.442,5106,0
2017-01-18,26.849,26.935,26.849,26.935,891,0
2017-01-19,27.293,27.59,27.254,27.57,10848,0
2017-01-20,27.59,27.59,27.452,27.58,4756,0
2017-01-23,26.859,27.442,26.849,26.849,4206,0
2017-01-24,26.899,26.953,26.325,26.582,2685,0
2017-01-25,27.303,27.303,26.789,26.789,3214,0
2017-01-26,27.284,27.343,27.284,27.343,303,0
2017-01-27,26.958,27.393,25.919,27.393,5091,0
2017-01-30,27.433,27.788,26.707,26.75,2436,0
2017-01-31,26.75,27.64,25.811,27.393,1486,0
2017-02-01,27.352,27.69,26.948,27.69,7458,0
2017-02-02,27.59,27.59,27.344,27.344,10177,0
2017-02-03,27.462,27.482,27.442,27.442,1102,0
2017-02-06,27.69,27.69,27.69,27.69,2887,0
2017-02-08,27.57,27.57,27.541,27.541,495,0
2017-02-09,27.495,28.084,27.452,28.084,4097,0
2017-02-10,28.128,28.184,28.128,28.184,393,0
2017-02-14,28.084,28.134,27.791,28.065,1351,0
2017-02-15,27.769,27.937,27.739,27.809,1880,0
2017-02-16,27.811,28.134,27.811,28.134,2404,0
2017-02-17,28.036,28.134,27.937,28.134,3829,0
2017-02-21,28.204,28.58,28.194,28.58,11857,0
2017-02-22,28.58,28.875,28.234,28.875,17069,0
2017-02-23,28.925,28.925,28.318,28.728,5183,0
2017-02-24,29.036,29.036,28.384,28.574,5136,0
2017-02-27,28.539,29.036,28.351,29.036,4762,0
2017-02-28,28.549,28.886,28.34,28.48,9540,0
2017-03-01,28.272,29.482,28.272,29.363,14372,0
2017-03-02,29.214,29.214,28.589,29.134,4252,0
2017-03-03,28.788,29.016,28.202,28.202,5579,0
2017-03-06,28.142,28.768,27.725,28.39,4316,0
2017-03-07,27.808,28.986,27.795,27.974,1410,0
2017-03-08,27.944,28.44,27.944,27.983,1574,0
2017-03-09,28.062,28.738,27.816,28.48,6438,0
2017-03-10,28.768,28.768,28.768,28.768,195,0
2017-03-13,28.242,28.733,28.092,28.37,4622,0
2017-03-14,27.993,28.886,27.804,28.866,6860,0
2017-03-15,28.698,28.788,28.252,28.261,5929,0
2017-03-16,27.891,28.688,27.891,28.38,880,0
2017-03-17,28.475,29.036,28.152,29.036,6494,0
2017-03-20,28.976,29.192,28.75,29.154,2718,0
2017-03-21,29.472,29.472,28.709,28.788,4533,0
2017-03-22,28.906,28.986,28.534,28.579,8440,0
2017-03-23,28.738,28.738,28.291,28.291,555,0
2017-03-24,28.162,29.482,28.108,29.462,15035,0
2017-03-27,29.204,29.631,29.204,29.631,386,0
2017-03-28,29.502,29.919,29.29,29.78,9835,0
2017-03-29,29.73,29.73,29.547,29.72,761,0
2017-03-30,29.661,30.038,29.386,30.028,27487,0
2017-03-31,30.008,30.207,29.929,29.929,1865,0
2017-04-03,29.879,30.231,29.261,29.542,4799,0
2017-04-04,29.422,30.088,29.144,29.631,11447,0
2017-04-05,29.78,29.78,29.152,29.532,10301,0
2017-04-06,29.254,29.631,28.885,29.631,1339,0
2017-04-07,29.929,30.128,29.651,29.651,1935,0
2017-04-10,29.87,29.929,29.08,29.929,20859,0
2017-04-11,29.79,30.514,29.36,30.207,14890,0
2017-04-12,30.157,30.465,29.695,30.326,6995,0
2017-04-13,30.028,30.416,29.8,29.978,5667,0
2017-04-17,29.948,29.948,28.996,29.78,1936,0
2017-04-18,29.239,29.998,29.239,29.78,5094,0
2017-04-19,29.532,30.028,29.532,29.968,1088,0
2017-04-20,30.078,30.078,29.588,30.078,498,0
2017-04-21,29.78,30.078,29.596,29.899,6899,0
2017-04-24,29.879,29.988,29.658,29.978,5554,0
2017-04-25,29.74,30.524,29.492,30.485,10276,0
2017-04-26,30.416,30.723,30.231,30.574,3039,0
2017-04-27,30.465,30.723,30.236,30.416,4223,0
2017-04-28,29.879,30.564,29.879,30.564,2736,0
2017-05-01,30.246,30.246,30.246,30.246,180,0
2017-05-02,30.177,30.475,29.78,30.475,792,0
2017-05-03,30.376,30.674,29.978,30.664,2826,0
2017-05-04,30.594,30.772,30.286,30.554,3006,0
2017-05-05,30.326,30.912,30.326,30.406,1383,0
2017-05-08,30.564,30.762,30.078,30.614,2388,0
2017-05-09,30.723,30.723,30.514,30.614,685,0
2017-05-10,30.574,30.772,29.929,30.772,2689,0
2017-05-11,30.723,30.772,30.465,30.772,3171,0
2017-05-12,29.889,31.021,29.889,31.021,5230,0
2017-05-15,31.269,31.269,31.12,31.269,1251,0
2017-05-16,31.22,31.666,31.22,31.666,6904,0
2017-05-17,31.507,32.282,28.886,30.098,6710,0
2017-05-18,29.948,30.276,29.621,30.197,4599,0
2017-05-19,30.296,30.326,29.234,30.187,4037,0
2017-05-22,30.108,30.108,29.334,29.651,10391,0
2017-05-23,29.978,29.978,29.465,29.948,7998,0
2017-05-24,29.948,29.978,29.522,29.562,4299,0
2017-05-25,29.631,29.74,29.572,29.74,2801,0
2017-05-26,29.84,29.84,29.392,29.491,5202,0
2017-05-30,29.384,29.74,29.003,29.74,3119,0
2017-05-31,29.541,29.631,29.093,29.192,14812,0
2017-06-01,29.232,29.392,29.182,29.292,10414,0
2017-06-02,29.192,29.392,29.033,29.392,5625,0
2017-06-05,29.292,29.571,29.152,29.411,11244,0
2017-06-06,29.511,29.511,28.963,28.973,2970,0
2017-06-07,29.053,29.591,29.053,29.402,14200,0
2017-06-08,29.561,29.641,29.152,29.152,5887,0
2017-06-09,29.262,29.591,29.113,29.142,4362,0
2017-06-12,29.416,29.426,28.824,29.093,11968,0
2017-06-13,29.591,29.73,29.192,29.431,24012,0
2017-06-14,29.541,29.591,28.873,29.352,35875,0
2017-06-15,29.561,29.84,29.162,29.84,25047,0
2017-06-16,29.89,30.293,29.77,30.079,18434,0
2017-06-19,29.885,32.231,29.81,30.458,16971,0
2017-06-20,32.231,32.231,30.049,31.135,16820,0
2017-06-21,29.81,31.434,29.81,30.577,12538,0
2017-06-22,30.577,31.14,29.83,30.039,40530,0
2017-06-23,31.852,31.852,28.903,30.577,364720,0
2017-06-26,30.587,31.205,30.019,31.016,16220,0
2017-06-27,30.338,31.693,30.338,31.504,19571,0
2017-06-28,31.673,31.942,31.583,31.902,17089,0
