Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,8.87,8.88,8.7,8.79,290045,0
2017-01-04,8.81,8.98,8.78,8.93,266453,0
2017-01-05,8.92,8.93,8.815,8.87,207236,0
2017-01-06,8.89,8.89,8.76,8.77,184178,0
2017-01-09,8.75,8.85,8.67,8.75,286131,0
2017-01-10,8.8,9.09,8.77,9.09,479675,0
2017-01-11,9.09,9.09,8.825,8.91,487590,0
2017-01-12,8.87,8.9,8.67,8.75,254915,0
2017-01-13,8.81,8.92,8.71,8.86,233870,0
2017-01-17,8.84,8.84,8.62,8.71,284702,0
2017-01-18,8.76,8.83,8.65,8.73,238973,0
2017-01-19,8.78,8.78,8.5,8.61,291886,0
2017-01-20,8.61,8.69,8.52,8.53,264725,0
2017-01-23,8.52,8.59,8.39,8.48,327095,0
2017-01-24,8.5,8.61,8.425,8.58,204575,0
2017-01-25,8.66,8.73,8.505,8.64,266880,0
2017-01-26,8.58,8.61,8.46,8.55,264403,0
2017-01-27,8.54,8.7,8.54,8.66,264313,0
2017-01-30,8.63,8.68,8.4,8.66,356196,0
2017-01-31,8.61,8.88,8.46,8.82,386380,0
2017-02-01,8.86,8.94,8.8,8.93,364983,0
2017-02-02,8.89,9,8.73,8.78,408821,0
2017-02-03,8.82,8.97,8.71,8.94,266637,0
2017-02-06,8.88,9.05,8.85,8.98,282376,0
2017-02-07,8.9,8.93,8.78,8.82,386503,0
2017-02-08,8.83,8.91,8.7,8.85,355528,0
2017-02-09,10.06,11.41,9.92,10.49,4827939,0
2017-02-10,10.5,10.89,10.37,10.51,1716323,0
2017-02-13,10.61,10.72,10.41,10.49,1202737,0
2017-02-14,10.4,10.87,10.28,10.86,1070383,0
2017-02-15,10.93,11.17,10.88,11.115,1171028,0
2017-02-16,11.12,11.2,10.82,11.1,896542,0
2017-02-17,11.06,11.28,10.7,11.23,798722,0
2017-02-21,11.23,11.34,10.97,11,761657,0
2017-02-22,10.96,11.17,10.905,11.08,757335,0
2017-02-23,11.09,11.12,10.95,11.075,443186,0
2017-02-24,10.97,11.48,10.89,11.15,1355271,0
2017-02-27,11.27,11.44,11.2,11.22,696260,0
2017-02-28,11.16,11.39,11.06,11.21,1074370,0
2017-03-01,11.39,11.5,11.21,11.38,631672,0
2017-03-02,11.33,12.07,11.33,11.83,1379594,0
2017-03-03,11.9,11.9386,11.595,11.8,562470,0
2017-03-06,11.71,11.81,11.54,11.64,935456,0
2017-03-07,11.63,11.75,11.4678,11.55,528959,0
2017-03-08,11.56,11.65,11.445,11.5,422140,0
2017-03-09,11.48,11.61,11.43,11.47,340410,0
2017-03-10,11.59,11.6232,11.34,11.46,457289,0
2017-03-13,11.5273,11.58,11.29,11.43,367837,0
2017-03-14,11.37,11.37,11.06,11.07,449061,0
2017-03-15,11.11,11.355,11.03,11.32,513276,0
2017-03-16,11.34,11.378,11.05,11.13,559695,0
2017-03-17,11.07,11.2,10.85,10.86,759612,0
2017-03-20,10.84,10.99,10.75,10.89,366508,0
2017-03-21,11.76,12.08,11.61,11.8,2663533,0
2017-03-22,11.83,12.06,11.62,12.06,8816271,0
2017-03-23,11.93,12.28,11.91,12.055,1518163,0
2017-03-24,12.07,12.14,11.92,12.13,1278240,0
2017-03-27,12.06,12.5,11.877,12.49,1004020,0
2017-03-28,12.5,12.74,12.32,12.73,947872,0
2017-03-29,12.72,12.75,12.55,12.57,713680,0
2017-03-30,12.6,12.755,12.47,12.7,884562,0
2017-03-31,12.7,12.97,12.56,12.92,660675,0
2017-04-03,13,13.03,12.52,12.52,1135512,0
2017-04-04,12.5,12.64,12.4,12.63,1191331,0
2017-04-05,12.68,12.79,12.33,12.36,964008,0
2017-04-06,12.34,12.37,12.11,12.3,930709,0
2017-04-07,12.53,12.95,12.5,12.51,1003046,0
2017-04-10,12.6,12.614,12.23,12.25,668092,0
2017-04-11,12.21,12.36,12.025,12.34,1127840,0
