Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,59.252,59.833,58.729,59.165,1948111,0
2017-01-04,59.408,59.679,59.146,59.388,1620320,0
2017-01-05,59.223,59.572,58.736,58.961,1661438,0
2017-01-06,58.961,59.64,58.67,59.368,1287244,0
2017-01-09,59.33,59.494,59.01,59.126,1401614,0
2017-01-10,59.184,59.388,58.806,58.922,1410630,0
2017-01-11,59.213,59.474,58.913,59.252,1426898,0
2017-01-12,59.078,59.504,58.825,59.436,1082445,0
2017-01-13,59.417,59.776,59.358,59.562,907896,0
2017-01-17,59.427,59.562,58.759,58.961,1388292,0
2017-01-18,59.107,59.242,58.835,59.146,1149328,0
2017-01-19,59.146,59.213,58.904,59.01,1183895,0
2017-01-20,59.204,59.786,59.058,59.562,1503475,0
2017-01-23,59.456,59.582,59.087,59.213,1532831,0
2017-01-24,59.282,60.037,59.282,59.949,1475186,0
2017-01-25,60.085,60.24,59.489,59.708,1495639,0
2017-01-26,59.63,59.698,59.349,59.543,1071360,0
2017-01-27,59.64,59.65,59.087,59.272,1017602,0
2017-01-30,59.291,59.545,58.989,59.369,1263886,0
2017-01-31,59.018,59.32,58.666,58.862,1653693,0
2017-02-01,58.09,58.09,57.045,57.133,4581314,0
2017-02-02,57.026,57.416,56.743,57.163,2633981,0
2017-02-03,57.505,57.768,56.343,56.597,4100486,0
2017-02-06,56.645,57.011,55.991,56.255,4582182,0
2017-02-07,56.284,56.616,55.718,56.206,2745967,0
2017-02-08,56.118,56.46,55.815,56.284,1646369,0
2017-02-09,56.323,57.28,56.293,57.105,2027007,0
2017-02-10,57.231,57.592,57.036,57.075,1281148,0
2017-02-13,57.358,57.823,57.314,57.641,1468277,0
2017-02-14,57.485,57.924,57.436,57.866,1104705,0
2017-02-15,57.924,58.115,57.456,57.973,1518289,0
2017-02-16,58.06,58.177,57.69,58.08,1293140,0
2017-02-17,58.051,58.051,57.348,57.729,1664874,0
2017-02-21,57.826,57.943,57.358,57.699,2076957,0
2017-02-22,57.553,58.217,57.553,58.187,1483771,0
2017-02-23,58.431,59.106,58.149,58.979,1836760,0
2017-02-24,59.008,60.467,58.774,60.345,3431203,0
2017-02-27,60.121,60.658,59.789,60.071,1901282,0
2017-02-28,60.121,60.345,59.76,59.954,1048140,0
2017-03-01,60.248,61.517,60.189,61.322,2803540,0
2017-03-02,61.078,61.112,60.736,60.883,1249218,0
2017-03-03,60.707,61.063,60.38,61.019,1800060,0
2017-03-06,60.766,61.107,60.599,60.931,1233025,0
2017-03-07,60.667,61.097,60.594,60.687,1044869,0
2017-03-08,60.677,61.117,60.54,60.838,1014787,0
2017-03-09,60.775,60.98,60.345,60.649,943436,0
2017-03-10,60.746,61.058,60.325,60.902,872662,0
2017-03-13,60.911,61.146,60.629,61.078,2017004,0
2017-03-14,61.029,61.068,60.609,60.834,910112,0
