Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,22.8,22.8,21.405,22.05,133841,0
2017-01-04,22.05,22.55,22,22.4,87751,0
2017-01-05,22.25,22.4,22,22.2,73867,0
2017-01-06,22.3,22.45,22.075,22.25,83572,0
2017-01-09,22.15,22.85,22.1,22.6,105535,0
2017-01-10,22.7,24.3,22.7,23.9,182056,0
2017-01-11,23.95,23.95,22.95,23.05,127993,0
2017-01-12,23,23,22.25,22.5,130655,0
2017-01-13,22.45,23,22.4,22.7,56338,0
2017-01-17,22.7,22.7,21.2,21.75,110132,0
2017-01-18,21.85,22.4,21.85,22.35,90290,0
2017-01-19,22.3,22.55,22.15,22.3,46053,0
2017-01-20,22.4,22.6044,22.2,22.55,28534,0
2017-01-23,22.4,22.55,22.3,22.35,69238,0
2017-01-24,22.35,22.8,22.1321,22.6,85994,0
2017-01-25,22.75,23,22.35,22.4,57060,0
2017-01-26,22.4,22.55,22.35,22.5,101005,0
2017-01-27,22.55,22.6,22.1,22.25,53504,0
2017-01-30,22.1,22.5,21.95,22.45,59653,0
2017-01-31,22.4,22.5,22.25,22.4,138719,0
2017-02-01,22.6,22.6,22.2,22.55,61177,0
2017-02-02,22.25,23,22.25,22.9,62224,0
2017-02-03,22.95,23.65,22.95,23.65,95966,0
2017-02-06,24.95,25.75,24.35,25.25,363547,0
2017-02-07,25.45,25.6,24.25,24.3,151489,0
2017-02-08,24.3,25,24.055,24.65,170233,0
2017-02-09,26.65,27,25.3013,26.4,435651,0
2017-02-10,26.4,27.2,26.25,26.95,378153,0
2017-02-13,27.2,27.95,27,27.35,334704,0
2017-02-14,27.5,27.5,26.95,27.05,235290,0
2017-02-15,27.05,27.45,26.7001,27.15,268628,0
2017-02-16,27.15,27.45,26.9,27.3,205824,0
2017-02-17,27.25,27.75,26.85,27.6,192351,0
2017-02-21,27.6,28.7,27.6,28.3,257739,0
2017-02-22,28.3,29,28,28.8,250183,0
2017-02-23,28.85,29.15,27.95,27.95,169007,0
2017-02-24,27.6,27.85,26.6,27.55,255240,0
2017-02-27,27.8,28.1,27.275,27.75,318045,0
2017-02-28,27.7,27.81,25.7,26.9,425370,0
2017-03-01,27.2,28.65,27.05,28.5,230875,0
2017-03-02,28.35,29.85,28.35,28.6,293499,0
2017-03-03,28.6,29.1115,27.3,28.25,149994,0
2017-03-06,28.35,28.35,27.65,28,148730,0
2017-03-07,28.1,28.2,27.8,28.05,151314,0
2017-03-08,28.05,28.4675,27.15,27.55,116955,0
2017-03-09,27.5,27.95,26.95,27,153636,0
2017-03-10,27.3,27.5,27,27.25,119777,0
2017-03-13,26.35,27.15,26.105,26.85,151236,0
2017-03-14,26.75,27.7,26.45,27.55,111698,0
2017-03-15,27.6,27.95,27.3642,27.85,132277,0
2017-03-16,27.8,28.15,27.2499,27.45,124797,0
2017-03-17,27.55,28,27.25,27.85,90579,0
2017-03-20,27.8,27.8,27.1,27.55,131072,0
2017-03-21,27.55,27.75,25.85,25.9,133226,0
2017-03-22,25.95,26.54,25.155,25.95,148395,0
2017-03-23,26.05,27.05,26,26.8,128606,0
2017-03-24,26.95,27.05,26.8,26.85,109975,0
2017-03-27,26.5,27.15,26.05,27.05,103535,0
2017-03-28,27.05,27.65,27,27.65,113536,0
2017-03-29,27.65,27.95,27.55,27.8,103297,0
2017-03-30,27.8,28.3,27.55,27.75,90943,0
2017-03-31,27.75,28.55,27.7,28.05,91163,0
2017-04-03,28.05,28.4558,27.75,27.85,105995,0
2017-04-04,27.8,28,27.45,27.95,142730,0
2017-04-05,28.1,28.175,26.775,27.05,85776,0
2017-04-06,26.95,27.3,26.45,27.2,96241,0
2017-04-07,27,27.4,27,27.2,72599,0
2017-04-10,27.4,27.6,26.325,26.35,94710,0
2017-04-11,26.35,26.85,25.975,26.8,111009,0
2017-04-12,26.65,26.725,26.175,26.25,50732,0
2017-04-13,26.2,26.55,26.1,26.3,49981,0
2017-04-17,26.45,26.9,26.25,26.85,81045,0
2017-04-18,26.7,26.7895,26.4,26.6,68647,0
2017-04-19,26.75,27.15,26.6,27.1,60288,0
2017-04-20,27.25,27.8,27,27.7,71058,0
2017-04-21,27.75,28,27.75,27.8,91174,0
2017-04-24,28.3,29.45,28,29.2,147809,0
2017-04-25,29.55,30.75,29.25,30.3,184081,0
2017-04-26,30.5,31.2,29.5,30.075,120658,0
2017-04-27,30.15,30.75,29.95,30.15,148510,0
2017-04-28,27.8,27.85,23.8064,25.2,768251,0
2017-05-01,25.5,25.65,22.7,24.35,560129,0
2017-05-02,24.5,24.5,22.15,22.3,424504,0
2017-05-03,22,22,18.9344,19,649044,0
2017-05-04,18.95,20.2,18.4625,18.85,439049,0
2017-05-05,18.9,20.25,18.9,20.2,300598,0
2017-05-08,20.1,20.15,18.6,19.2,224516,0
2017-05-09,19.2,20,19.15,19.9,135013,0
2017-05-10,19.8,19.89,19.15,19.25,146465,0
2017-05-11,19.15,19.3,19,19.2,140907,0
2017-05-12,19,19.25,18.905,19.15,100597,0
2017-05-15,19.15,19.85,19.15,19.25,100981,0
2017-05-16,19.3,19.65,19.1,19.5,118608,0
2017-05-17,19.1,19.55,18.9,19,159858,0
2017-05-18,18.85,19.2,18.85,19.05,87149,0
2017-05-19,19.15,19.15,18.7,18.8,117587,0
2017-05-22,18.8,19.5,18.5,19.3,130152,0
2017-05-23,19.4,19.65,19.05,19.45,92576,0
2017-05-24,19.5,20.65,19.425,20.45,187508,0
2017-05-25,20.65,20.8,19.74,20,165019,0
2017-05-26,19.95,20.1,19.6,19.8,89828,0
2017-05-30,19.7,19.85,19.4,19.55,120742,0
2017-05-31,19.7,19.7,19.3,19.7,55492,0
2017-06-01,19.8,20.15,19.8,19.95,89880,0
2017-06-02,20.05,20.35,19.9,20.15,66697,0
2017-06-05,20.1,20.3,19.8,20.15,75048,0
2017-06-06,20,20.15,19.35,19.65,101733,0
2017-06-07,19.8,19.9,19.5,19.85,47322,0
2017-06-08,19.75,20.5,19.6773,20.3,82191,0
2017-06-09,20.35,20.9347,19.9,20.1,73766,0
2017-06-12,20,20.5,19.005,19.3,133397,0
2017-06-13,19.3,19.5,18.155,18.8,157622,0
2017-06-14,18.65,18.975,18.4,18.9,125628,0
2017-06-15,18.8,18.925,18.55,18.7,90628,0
2017-06-16,18.7,18.925,17.8,18.2,189884,0
2017-06-19,18.35,18.75,18.1,18.45,120036,0
2017-06-20,18.15,18.6,18.1,18.5,94569,0
