Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,10.5,10.577,10.467,10.557,25723,0
2017-01-04,10.596,10.622,10.471,10.518,29008,0
2017-01-05,10.557,10.638,10.491,10.557,29335,0
2017-01-06,10.614,10.614,10.519,10.605,38805,0
2017-01-09,10.68,10.68,10.557,10.67,44504,0
2017-01-10,10.717,10.746,10.622,10.736,24689,0
2017-01-11,10.792,10.935,10.758,10.925,30057,0
2017-01-12,10.961,11.009,10.849,11.009,25206,0
2017-01-13,11.048,11.121,10.999,11.029,50461,0
2017-01-17,11.075,11.112,11.048,11.112,24049,0
2017-01-18,11.122,11.235,11.109,11.235,12784,0
2017-01-19,11.264,11.264,11.048,11.149,51403,0
2017-01-20,11.172,11.172,11.068,11.115,21333,0
2017-01-23,11.192,11.211,11.115,11.133,22530,0
2017-01-24,11.192,11.239,11.172,11.211,12257,0
2017-01-25,11.286,11.286,11.143,11.162,22389,0
2017-01-26,11.22,11.22,11.125,11.125,17200,0
2017-01-27,11.192,11.239,11.162,11.23,16755,0
2017-01-30,11.211,11.286,11.203,11.242,24904,0
2017-01-31,11.239,11.239,11.088,11.172,34897,0
2017-02-01,11.22,11.22,11.107,11.133,56541,0
2017-02-02,11.182,11.192,11.079,11.162,22039,0
2017-02-03,11.211,11.239,11.202,11.239,9120,0
2017-02-06,11.286,11.286,11.182,11.239,16181,0
2017-02-07,11.295,11.313,11.249,11.313,23959,0
2017-02-08,11.363,11.363,11.249,11.353,17494,0
2017-02-09,11.381,11.381,11.304,11.304,13604,0
2017-02-10,11.278,11.353,11.259,11.259,11240,0
2017-02-13,11.313,11.313,11.239,11.286,19482,0
2017-02-14,11.304,11.304,11.143,11.172,27912,0
2017-02-15,11.202,11.202,11.162,11.182,9987,0
2017-02-16,11.213,11.213,11.128,11.155,28027,0
2017-02-17,11.185,11.185,11.118,11.118,11718,0
2017-02-21,11.128,11.155,11.11,11.11,15267,0
2017-02-22,11.136,11.155,10.946,11.066,24848,0
2017-02-23,11.146,11.146,11.052,11.097,15799,0
2017-02-24,11.118,11.155,11.042,11.085,21879,0
2017-02-27,11.118,11.173,11.1,11.128,15273,0
2017-02-28,11.185,11.262,11.164,11.242,26795,0
2017-03-01,11.213,11.283,11.128,11.146,35664,0
2017-03-02,11.146,11.184,11.128,11.146,14919,0
2017-03-03,11.136,11.146,11.07,11.117,15542,0
2017-03-06,11.052,11.18,10.938,11.023,37844,0
2017-03-07,10.946,11.032,10.946,10.994,13552,0
2017-03-08,10.946,11.013,10.86,10.86,23624,0
2017-03-09,10.832,10.894,10.584,10.584,51208,0
2017-03-10,10.603,10.851,10.603,10.851,27537,0
2017-03-13,10.928,10.928,10.784,10.808,7012,0
2017-03-14,10.793,10.86,10.793,10.853,4025,0
2017-03-15,10.938,11.003,10.86,10.928,11116,0
2017-03-16,10.994,11.06,10.984,11.009,10363,0
2017-03-17,10.974,11.179,10.965,11.128,25569,0
2017-03-20,11.09,11.444,11.09,11.414,35511,0
2017-03-21,11.452,11.452,11.174,11.225,29619,0
2017-03-22,11.331,11.371,11.229,11.265,22735,0
2017-03-23,11.371,11.399,11.265,11.351,10210,0
2017-03-24,11.331,11.409,11.255,11.265,9816,0
2017-03-27,11.331,11.351,11.159,11.293,16299,0
2017-03-28,11.168,11.361,11.168,11.235,22205,0
2017-03-29,11.226,11.34,11.226,11.265,19103,0
2017-03-30,11.351,11.351,11.188,11.341,21052,0
2017-03-31,11.379,11.435,11.341,11.412,13414,0
2017-04-03,11.428,11.484,11.383,11.428,12315,0
2017-04-04,11.331,11.458,11.331,11.381,18093,0
2017-04-05,11.418,11.418,11.331,11.331,11383,0
2017-04-06,11.341,11.428,11.341,11.428,4679,0
2017-04-07,11.321,11.524,11.321,11.514,18687,0
2017-04-10,11.524,11.572,11.472,11.572,6488,0
2017-04-11,11.504,11.628,11.498,11.617,34217,0
2017-04-12,11.619,11.619,11.551,11.56,13578,0
2017-04-13,11.628,11.628,11.428,11.494,24184,0
2017-04-17,11.504,11.567,11.484,11.504,18944,0
2017-04-18,11.465,11.611,11.465,11.611,14728,0
2017-04-19,11.641,11.641,11.585,11.585,3686,0
2017-04-20,11.546,11.65,11.546,11.622,11636,0
2017-04-21,11.739,11.749,11.613,11.67,43757,0
2017-04-24,11.65,11.749,11.65,11.705,14662,0
2017-04-25,11.72,11.739,11.69,11.734,12984,0
2017-04-26,11.729,11.778,11.69,11.763,14300,0
2017-04-27,11.69,11.775,11.69,11.71,18448,0
2017-04-28,11.805,11.814,11.72,11.72,25708,0
2017-05-01,11.69,11.776,11.69,11.749,7389,0
2017-05-02,11.759,11.854,11.759,11.854,28797,0
2017-05-03,11.894,11.959,11.806,11.913,17781,0
2017-05-04,11.952,11.989,11.867,11.952,23321,0
2017-05-05,11.952,12.013,11.92,11.959,14276,0
2017-05-08,11.959,12.008,11.924,11.959,7413,0
2017-05-09,11.959,11.998,11.943,11.998,15084,0
2017-05-10,11.998,12.018,11.974,12.018,11160,0
2017-05-11,12.018,12.028,11.998,11.998,10571,0
