Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.07,28.265,27.591,27.913,301849,0
2017-01-04,27.953,28.129,27.689,27.992,330299,0
2017-01-05,27.875,28.041,27.332,27.631,154228,0
2017-01-06,27.786,27.786,27.307,27.562,161754,0
2017-01-09,27.337,27.337,26.956,26.975,412678,0
2017-01-10,27.043,27.523,26.926,27.367,497433,0
2017-01-11,27.367,27.367,27.093,27.259,240574,0
2017-01-12,27.103,27.156,26.526,26.771,257455,0
2017-01-13,26.966,27.425,26.966,27.073,265655,0
2017-01-17,26.799,26.799,26.183,26.183,261569,0
2017-01-18,26.36,26.487,26.037,26.145,312738,0
2017-01-19,26.233,26.272,25.666,25.92,306974,0
2017-01-20,25.91,26.3,25.91,26.106,178736,0
2017-01-23,26.056,26.135,25.754,25.842,241061,0
2017-01-24,25.979,26.183,25.793,26.018,298624,0
2017-01-25,26.34,26.35,26.028,26.155,204143,0
2017-01-26,26.193,26.33,26.115,26.183,115871,0
2017-01-27,25.979,26.173,25.431,26.125,190912,0
2017-01-30,25.91,25.988,25.636,25.783,234145,0
2017-01-31,25.754,25.998,25.509,25.871,263873,0
2017-02-01,26.056,26.428,25.626,25.734,223816,0
2017-02-02,25.666,25.676,25.225,25.47,162108,0
2017-02-03,25.881,25.959,25.402,25.949,180869,0
2017-02-06,25.754,25.979,25.558,25.578,107917,0
2017-02-07,25.578,25.676,25.343,25.529,179750,0
2017-02-08,25.324,25.362,25.001,25.108,277034,0
2017-02-09,25.225,25.392,24.991,25.314,185402,0
2017-02-10,25.431,25.558,25.265,25.558,124807,0
2017-02-13,25.667,25.991,25.637,25.814,109915,0
2017-02-14,25.696,26.06,25.371,26.021,146366,0
2017-02-15,25.991,26.139,25.865,26.05,89323,0
2017-02-16,26.041,26.139,25.844,26.129,155573,0
2017-02-17,26.129,26.129,25.903,26.119,191299,0
2017-02-21,26.267,26.464,26.12,26.405,151909,0
2017-02-22,26.257,26.542,26.169,26.444,127122,0
2017-02-23,26.415,26.572,26.159,26.464,107736,0
2017-02-24,26.11,26.533,26.041,26.366,153163,0
2017-02-27,26.257,26.474,26.238,26.395,319314,0
2017-02-28,26.474,26.592,26.05,26.139,216264,0
2017-03-01,26.602,26.838,26.139,26.7,303298,0
2017-03-02,26.73,26.76,26.178,26.198,160556,0
2017-03-03,26.228,26.366,26.08,26.238,110168,0
2017-03-06,25.982,26.149,25.765,26.021,84788,0
2017-03-07,25.942,26.031,25.735,25.903,151449,0
2017-03-08,26.08,26.233,25.607,25.607,160274,0
2017-03-09,25.696,25.898,25.617,25.686,126927,0
2017-03-10,25.844,25.844,25.489,25.578,233246,0
2017-03-13,25.529,25.913,25.529,25.706,108492,0
2017-03-14,25.519,25.785,25.421,25.677,114293,0
2017-03-15,25.745,26.119,25.696,25.755,234309,0
2017-03-16,25.824,26.041,25.627,25.903,155057,0
2017-03-17,25.903,26.238,25.657,26.188,649355,0
2017-03-20,26.188,26.188,25.725,25.755,189481,0
2017-03-21,25.962,25.962,24.791,24.81,185827,0
2017-03-22,24.692,24.987,24.338,24.603,189662,0
2017-03-23,24.573,25.075,24.465,24.919,164934,0
2017-03-24,24.967,25.263,24.8,24.859,201585,0
2017-03-27,24.357,24.796,23.954,24.643,468614,0
