Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,15.42,15.42,14.93,15.15,422060,0
2017-01-04,15.25,15.53,15.18,15.26,533516,0
2017-01-05,15.33,15.38,15,15.13,325241,0
2017-01-06,15.23,15.27,14.99,15.11,428329,0
2017-01-09,14.98,15.12,14.795,14.88,388701,0
2017-01-10,14.97,14.99,14.79,14.85,353782,0
2017-01-11,14.9,14.94,14.72,14.8,192288,0
2017-01-12,14.87,14.87,14.305,14.54,363311,0
2017-01-13,14.64,14.86,14.41,14.54,212966,0
2017-01-17,14.42,14.48,14.15,14.16,466573,0
2017-01-18,14.15,14.27,13.98,14.25,532437,0
2017-01-19,14.27,14.39,14.06,14.16,417776,0
2017-01-20,14.14,14.23,14.045,14.11,370900,0
2017-01-23,14.06,14.2,13.97,14.13,225649,0
2017-01-24,14.16,14.43,14.02,14.27,314030,0
2017-01-25,14.46,14.71,14.38,14.46,201518,0
2017-01-26,14.52,14.61,14.4757,14.49,517862,0
2017-01-27,14.41,14.64,14.41,14.53,364510,0
2017-01-30,14.43,14.64,14.33,14.46,272849,0
2017-01-31,14.39,14.61,14.385,14.58,305179,0
2017-02-01,14.62,14.85,14.51,14.53,165096,0
2017-02-02,14.43,14.64,14.42,14.49,163496,0
2017-02-03,14.71,14.845,14.67,14.83,212707,0
2017-02-06,14.77,14.91,14.64,14.69,160877,0
2017-02-07,14.75,14.78,14.48,14.52,186562,0
2017-02-08,14.51,14.72,14.27,14.68,633776,0
2017-02-09,14.72,14.85,14.6,14.72,417231,0
2017-02-10,14.84,14.94,14.53,14.53,328355,0
2017-02-13,14.66,14.93,14.59,14.65,223821,0
2017-02-14,14.65,14.93,14.56,14.89,288797,0
2017-02-15,14.86,15.075,14.8201,14.91,299290,0
2017-02-16,14.62,14.7,11.98,12.28,3856702,0
2017-02-17,12.28,12.38,11.76,12.38,1264038,0
2017-02-21,12.34,12.56,12,12.3,981643,0
2017-02-22,12.21,12.42,12.09,12.41,942731,0
2017-02-23,12.49,12.66,12.38,12.65,766091,0
2017-02-24,12.52,12.67,12.395,12.66,654614,0
2017-02-27,12.61,12.76,12.5,12.75,2122462,0
2017-02-28,12.66,12.69,12.54,12.62,885470,0
2017-03-01,12.8,12.91,12.62,12.8,599539,0
2017-03-02,12.72,12.84,12.54,12.59,362590,0
2017-03-03,12.85,12.92,12.6,12.73,899102,0
2017-03-06,12.66,12.75,12.41,12.71,634224,0
2017-03-07,12.62,12.78,12.6,12.73,792612,0
2017-03-08,12.8,12.86,12.45,12.47,517689,0
2017-03-09,12.52,12.59,12.4,12.49,263149,0
2017-03-10,12.75,13.3,12.75,12.79,494979,0
2017-03-13,12.75,12.95,12.685,12.89,630322,0
2017-03-14,12.76,12.88,12.7091,12.75,368509,0
2017-03-15,12.83,12.87,12.66,12.69,925204,0
2017-03-16,12.75,12.88,12.58,12.65,973333,0
2017-03-17,12.67,12.79,12.52,12.56,551284,0
2017-03-20,12.56,12.68,12.41,12.55,261476,0
2017-03-21,12.58,12.59,12.21,12.21,477760,0
2017-03-22,12.17,12.3099,12.11,12.12,513685,0
2017-03-23,12.14,12.42,12.04,12.26,368235,0
2017-03-24,12.28,12.46,12.2,12.35,304978,0
2017-03-27,12.18,12.42,12.11,12.35,249197,0
2017-03-28,12.3,12.55,12.2,12.48,292764,0
2017-03-29,12.47,12.635,12.47,12.57,212378,0
2017-03-30,12.57,12.88,12.57,12.76,450878,0
2017-03-31,12.77,12.92,12.665,12.73,411099,0
2017-04-03,12.78,12.82,12.5,12.72,312810,0
2017-04-04,12.7,12.76,12.575,12.66,344235,0
2017-04-05,12.76,12.81,12.34,12.37,443537,0
2017-04-06,12.34,12.75,12.19,12.72,1281542,0
2017-04-07,12.7,12.82,12.61,12.68,382420,0
2017-04-10,12.71,13.1,12.65,12.83,362112,0
2017-04-11,12.76,13.09,12.76,13.08,907178,0
2017-04-12,13.09,13.4,12.93,12.94,238373,0
2017-04-13,12.91,13.08,12.73,12.85,333269,0
2017-04-17,12.93,13.04,12.86,13.04,290202,0
2017-04-18,13.03,13.1,12.93,12.97,278173,0
2017-04-19,13.02,13.18,12.86,12.86,315454,0
2017-04-20,12.94,13.095,12.85,12.99,394872,0
2017-04-21,12.97,13.33,12.97,13.22,1875280,0
2017-04-24,13.45,13.59,13.26,13.3,370514,0
2017-04-25,13.39,13.5,13.07,13.09,379000,0
2017-04-26,13.06,13.17,13,13.1,477618,0
2017-04-27,13.11,13.13,12.93,13.03,260498,0
2017-04-28,13.04,13.06,12.86,12.9,360751,0
2017-05-01,12.99,13.13,12.83,12.94,359924,0
2017-05-02,12.96,13.11,12.88,12.97,478932,0
2017-05-03,12.94,13.03,12.85,12.86,693053,0
2017-05-04,12.88,12.94,12.8,12.89,356693,0
2017-05-05,12.92,12.93,12.74,12.86,225670,0
2017-05-08,12.87,12.88,12.645,12.69,373372,0
2017-05-09,12.65,12.81,12.54,12.73,415964,0
2017-05-10,13.2,13.85,13.11,13.6,1382828,0
2017-05-11,13.52,13.62,13.27,13.28,680941,0
2017-05-12,13.16,13.31,12.97,13.15,618102,0
2017-05-15,13.24,13.63,13.17,13.48,1427174,0
2017-05-16,13.48,13.72,13.465,13.58,537114,0
2017-05-17,13.41,13.48,13.32,13.41,510072,0
2017-05-18,13.33,13.61,13.33,13.48,480411,0
2017-05-19,13.51,13.79,13.48,13.62,460104,0
2017-05-22,13.55,13.82,13.55,13.67,335466,0
2017-05-23,13.71,13.75,13.495,13.55,481934,0
2017-05-24,13.58,13.73,13.5,13.65,388441,0
2017-05-25,13.7,13.87,13.47,13.52,376029,0
2017-05-26,13.46,13.65,13.42,13.58,280775,0
2017-05-30,13.52,13.66,13.48,13.53,644274,0
2017-05-31,13.5,13.58,13.2499,13.45,670085,0
2017-06-01,13.46,13.66,13.36,13.62,428664,0
2017-06-02,13.58,13.78,13.53,13.68,323691,0
2017-06-05,13.65,13.905,13.63,13.7,468583,0
2017-06-06,13.59,13.81,13.5,13.76,332341,0
2017-06-07,13.78,13.83,13.68,13.8,429606,0
2017-06-08,13.8,14.06,13.76,13.9,530775,0
2017-06-09,14.01,14.13,13.92,14.04,626275,0
2017-06-12,14.1,14.37,13.93,14,539373,0
2017-06-13,14.04,14.21,13.99,14.14,473199,0
2017-06-14,14.16,14.17,14,14.05,504692,0
2017-06-15,13.94,14.09,13.87,13.98,362351,0
2017-06-16,13.91,13.99,13.8,13.86,527497,0
2017-06-19,13.96,14.07,13.85,14.04,357074,0
2017-06-20,13.54,13.65,13.32,13.39,1262661,0
2017-06-21,13.39,13.45,13.28,13.38,1110526,0
2017-06-22,13.37,13.68,13.37,13.55,418935,0
2017-06-23,13.57,13.59,13.41,13.57,576305,0
2017-06-26,13.59,13.89,13.51,13.82,406143,0
2017-06-27,13.81,13.89,13.68,13.81,445997,0
2017-06-28,13.94,13.95,13.79,13.85,392230,0
2017-06-29,13.92,13.99,13.76,13.83,407352,0
2017-06-30,13.88,13.88,13.63,13.77,400269,0
2017-07-03,13.83,14.22,13.83,14.13,257534,0
2017-07-05,14.13,14.27,13.95,14.22,277322,0
2017-07-06,14.18,14.26,13.97,14,334537,0
2017-07-07,14.01,14.16,13.975,14.09,205746,0
2017-07-10,14.03,14.2,14.01,14.02,200615,0
2017-07-11,14.01,14.06,13.83,13.98,231206,0
2017-07-12,14.03,14.2,13.99,14.07,208331,0
2017-07-13,14.06,14.2,14,14.1,411097,0
2017-07-14,14,14.21,13.91,14.11,211062,0
2017-07-17,14.07,14.16,13.87,13.87,331068,0
2017-07-18,13.85,13.94,13.68,13.69,245843,0
2017-07-19,13.7,13.91,13.7,13.84,169784,0
2017-07-20,13.84,13.95,13.73,13.87,151281,0
2017-07-21,13.95,13.96,13.75,13.94,402542,0
2017-07-24,13.94,14,13.78,13.87,397502,0
2017-07-25,13.92,14.11,13.92,14.06,220016,0
2017-07-26,14.05,14.08,13.91,13.94,197193,0
2017-07-27,14.03,14.04,13.84,13.9,180110,0
2017-07-28,13.86,13.98,13.79,13.87,146974,0
2017-07-31,13.87,13.95,13.73,13.78,330067,0
2017-08-01,13.82,13.95,13.77,13.86,160551,0
2017-08-02,13.83,13.92,13.71,13.8,198660,0
2017-08-03,13.78,13.94,13.76,13.79,178083,0
2017-08-04,13.88,13.97,13.79,13.85,133073,0
2017-08-07,13.86,13.91,13.75,13.8,141323,0
2017-08-08,13.79,14.11,13.76,13.88,253808,0
2017-08-09,15,15,14.07,14.15,529382,0
2017-08-10,14.04,14.11,13.9,13.95,315312,0
2017-08-11,13.8,14.12,13.8,14.02,552280,0
2017-08-14,14.14,14.31,14.03,14.25,929487,0
2017-08-15,14.25,14.32,14.13,14.16,379316,0
2017-08-16,14.16,14.26,14.11,14.13,340578,0
2017-08-17,14.1,14.21,14.05,14.07,578800,0
2017-08-18,13.92,14.235,13.92,14.11,1748547,0
2017-08-21,14.1,14.19,14.08,14.1,252589,0
2017-08-22,14.13,14.2,14.1,14.13,321015,0
2017-08-23,14.08,14.28,14.08,14.22,385121,0
2017-08-24,14.26,14.28,14.19,14.22,338821,0
2017-08-25,14.27,14.29,14.12,14.19,248512,0
2017-08-28,14.2,14.26,14.16,14.2,250092,0
2017-08-29,14.13,14.25,14.11,14.21,203997,0
2017-08-30,14.19,14.21,14.14,14.2,354461,0
2017-08-31,14.21,14.25,14.17,14.2,386754,0
2017-09-01,14.2,14.25,14.17,14.25,266588,0
2017-09-05,14.23,14.26,14.15,14.18,305240,0
2017-09-06,14.19,14.25,14.15,14.19,552349,0
2017-09-07,14.19,14.21,14.105,14.15,727283,0
2017-09-08,14.15,14.275,14.14,14.2,1503726,0
2017-09-11,14.26,14.29,13.1,13.3,2907791,0
2017-09-12,13.3,13.35,13.2,13.2,682278,0
2017-09-13,13.15,13.24,12.85,13.06,776246,0
2017-09-14,13.08,13.23,13.04,13.15,336302,0
2017-09-15,13.15,13.33,13,13.33,510080,0
2017-09-18,13.35,13.35,13.065,13.14,1422578,0
2017-09-19,13.15,13.3,13.04,13.3,526752,0
2017-09-20,13.33,13.455,13.22,13.41,462222,0
2017-09-21,13.44,13.565,13.33,13.49,504137,0
2017-09-22,13.49,13.55,13.37,13.5,968717,0
2017-09-25,13.43,13.48,13.28,13.3,254675,0
2017-09-26,13.32,13.63,13.28,13.58,352529,0
2017-09-27,13.66,13.9,13.6,13.87,494423,0
2017-09-28,13.91,13.94,13.83,13.9,253645,0
2017-09-29,13.85,14.02,13.81,13.93,329531,0
2017-10-02,13.97,14.06,13.92,14,589463,0
2017-10-03,14.01,14.12,13.99,14.11,337693,0
2017-10-04,14.1,14.29,14.08,14.2,320802,0
2017-10-05,14.23,14.32,14.095,14.12,326703,0
2017-10-06,14.04,14.155,13.99,13.99,157653,0
2017-10-09,13.98,14.02,13.94,13.95,155659,0
2017-10-10,14.04,14.11,13.98,14.06,210360,0
2017-10-11,14.09,14.16,13.98,13.98,315079,0
2017-10-12,13.97,13.97,13.78,13.79,155785,0
2017-10-13,13.86,13.86,13.72,13.76,237876,0
2017-10-16,13.85,13.93,13.7,13.75,270175,0
2017-10-17,13.75,13.78,13.69,13.7,98456,0
2017-10-18,13.66,13.89,13.66,13.82,320274,0
2017-10-19,13.71,13.79,13.69,13.72,167400,0
2017-10-20,13.82,13.87,13.72,13.74,174933,0
2017-10-23,13.76,13.79,13.51,13.52,270448,0
2017-10-24,13.55,13.71,13.47,13.49,207931,0
2017-10-25,13.53,13.57,13.4,13.57,123277,0
2017-10-26,13.53,13.645,13.42,13.5,150873,0
2017-10-27,13.44,13.54,13.36,13.54,194907,0
2017-10-30,13.52,13.52,13.31,13.36,142969,0
2017-10-31,13.33,13.39,13.19,13.21,258825,0
2017-11-01,13.24,13.34,13.015,13.09,160415,0
2017-11-02,13.04,13.14,12.97,13.06,164435,0
2017-11-03,12.99,12.99,12.61,12.62,191766,0
2017-11-06,12.66,12.7,12.36,12.38,275961,0
2017-11-07,12.47,12.58,11.89,11.9,357931,0
2017-11-08,11.6,11.83,11.13,11.55,928445,0
2017-11-09,11.38,11.515,11.33,11.46,503661,0
2017-11-10,11.31,11.45,10.97,11.06,1108839,0
