Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,9.553,9.625,9.553,9.582,28713,0
2017-01-04,9.852,9.852,9.582,9.685,63264,0
2017-01-05,9.589,9.665,9.589,9.617,113605,0
2017-01-06,9.2055,9.3268,9.0846,9.1872,1057544,0
2017-01-09,9.2247,9.2825,9.1326,9.1691,358105,0
2017-01-10,9.1785,9.2728,9.1785,9.2436,246725,0
2017-01-11,9.2825,9.3,9.2247,9.2533,214537,0
2017-01-12,9.3,9.3,9.2055,9.2345,250779,0
2017-01-13,9.2825,9.2825,9.1872,9.2345,214259,0
2017-01-17,9.2952,9.3,9.191,9.22,180982,0
2017-01-18,9.2296,9.2825,9.2103,9.2777,214244,0
2017-01-19,9.2485,9.2777,9.1823,9.2296,167734,0
2017-01-20,9.2679,9.2679,9.1547,9.22,249470,0
2017-01-23,9.2007,9.2582,9.2007,9.2582,198062,0
2017-01-24,9.2679,9.2874,9.2296,9.2777,160760,0
2017-01-25,9.3151,9.3464,9.2874,9.3415,140799,0
2017-01-26,9.3239,9.3805,9.2952,9.3415,160133,0
2017-01-27,9.3611,9.3611,9.2874,9.3611,127315,0
2017-01-30,9.3415,9.3611,9.3318,9.3513,107838,0
2017-01-31,9.3415,9.3513,9.3053,9.3513,135824,0
2017-02-01,9.3706,9.3874,9.3151,9.3513,159708,0
2017-02-02,9.3611,9.3893,9.319,9.3893,117796,0
2017-02-03,9.3805,9.3992,9.3611,9.3706,104623,0
2017-02-06,9.3706,9.3992,9.3611,9.3992,141288,0
2017-02-07,9.3893,9.4091,9.2679,9.3805,192567,0
2017-02-08,9.3706,9.3992,9.3706,9.3992,112848,0
2017-02-09,9.3992,9.4383,9.3893,9.3893,186728,0
2017-02-10,9.3893,9.4462,9.3893,9.3893,114105,0
2017-02-13,9.4091,9.4189,9.3805,9.3992,156785,0
2017-02-14,9.414,9.4239,9.3376,9.4041,134201,0
2017-02-15,9.4041,9.4239,9.3366,9.4041,194319,0
2017-02-16,9.4041,9.4239,9.3562,9.366,125447,0
2017-02-17,9.3562,9.3943,9.3562,9.366,55711,0
2017-02-21,9.3943,9.414,9.3562,9.3755,196909,0
2017-02-22,9.3943,9.3943,9.366,9.3943,126385,0
2017-02-23,9.4239,9.4337,9.4041,9.4337,90406,0
2017-02-24,9.4337,9.4879,9.4239,9.4879,178104,0
2017-02-27,9.479,9.508,9.4601,9.47,95464,0
2017-02-28,9.47,9.518,9.4601,9.518,161251,0
2017-03-01,9.537,9.547,9.4978,9.537,165518,0
2017-03-02,9.556,9.556,9.4879,9.4978,221452,0
2017-03-03,9.4978,9.528,9.479,9.528,143731,0
2017-03-06,9.518,9.518,9.479,9.4978,68422,0
2017-03-07,9.4879,9.4879,9.3755,9.4512,131794,0
2017-03-08,9.4239,9.4288,9.3464,9.366,96231,0
2017-03-09,9.3562,9.3562,9.2335,9.2622,199534,0
2017-03-10,9.2816,9.3181,9.2426,9.2622,91219,0
2017-03-13,9.3043,9.3181,9.1997,9.2476,180942,0
2017-03-14,9.1997,9.2388,9.1336,9.2287,130510,0
2017-03-15,9.1997,9.3716,9.1997,9.3716,104312,0
2017-03-16,9.3716,9.3716,9.2942,9.3141,65334,0
2017-03-17,9.3141,9.3425,9.2466,9.3043,167517,0
2017-03-20,9.3043,9.3621,9.2942,9.3229,115798,0
2017-03-21,9.3327,9.3376,9.2388,9.2476,51138,0
2017-03-22,9.2476,9.2942,9.1662,9.2942,54133,0
2017-03-23,9.2767,9.2864,9.2476,9.267,84761,0
2017-03-24,9.2942,9.3229,9.267,9.3043,61693,0
2017-03-27,9.2864,9.3043,9.267,9.2942,46568,0
2017-03-28,9.2942,9.3621,9.2942,9.3425,104979,0
2017-03-29,9.3523,9.3903,9.3327,9.3621,75413,0
2017-03-30,9.3815,9.4101,9.3716,9.4101,110141,0
2017-03-31,9.4101,9.4298,9.3903,9.4101,183176,0
2017-04-03,9.4002,9.4661,9.3716,9.4393,121048,0
2017-04-04,9.3815,9.4393,9.3815,9.4393,119036,0
2017-04-05,9.4393,9.4561,9.4002,9.4002,128803,0
2017-04-06,9.4101,9.4661,9.4101,9.4561,89871,0
2017-04-07,9.4472,9.505,9.4472,9.4661,86571,0
2017-04-10,9.4661,9.515,9.4561,9.4949,88098,0
2017-04-11,9.4949,9.535,9.476,9.535,116681,0
2017-04-12,9.525,9.535,9.476,9.476,74365,0
2017-04-13,9.476,9.525,9.4561,9.515,76982,0
2017-04-17,9.53,9.53,9.471,9.48,134590,0
2017-04-18,9.48,9.51,9.4611,9.471,61993,0
2017-04-19,9.4899,9.539,9.471,9.471,110704,0
2017-04-20,9.4899,9.52,9.4899,9.52,80235,0
2017-04-21,9.53,9.53,9.471,9.53,81485,0
2017-04-24,9.548,9.582,9.53,9.539,116067,0
2017-04-25,9.548,9.577,9.539,9.539,93847,0
2017-04-26,9.52,9.577,9.52,9.548,99468,0
2017-04-27,9.539,9.577,9.539,9.577,64152,0
2017-04-28,9.595,9.595,9.548,9.577,91004,0
2017-05-01,9.558,9.577,9.548,9.558,154348,0
2017-05-02,9.577,9.615,9.558,9.595,207291,0
2017-05-03,9.615,9.634,9.577,9.577,123554,0
2017-05-04,9.615,9.615,9.52,9.558,109687,0
2017-05-05,9.567,9.595,9.558,9.567,93505,0
2017-05-08,9.577,9.577,9.53,9.577,119997,0
2017-05-09,9.587,9.654,9.587,9.644,355650,0
2017-05-10,9.654,9.664,9.587,9.615,160764,0
2017-05-11,9.624,9.674,9.596,9.644,155135,0
2017-05-12,9.654,9.664,9.634,9.664,55003,0
2017-05-15,9.659,9.688,9.641,9.679,83471,0
2017-05-16,9.679,9.684,9.639,9.659,102801,0
2017-05-17,9.649,9.659,9.562,9.591,90660,0
2017-05-18,9.591,9.61,9.552,9.571,67266,0
2017-05-19,9.591,9.629,9.591,9.629,74843,0
2017-05-22,9.659,9.679,9.619,9.679,83248,0
2017-05-23,9.659,9.706,9.649,9.688,94633,0
2017-05-24,9.706,9.716,9.679,9.716,107863,0
2017-05-25,9.716,9.716,9.669,9.706,113197,0
2017-05-26,9.716,9.716,9.669,9.697,69745,0
2017-05-30,9.697,9.706,9.649,9.659,191147,0
2017-05-31,9.659,9.688,9.629,9.688,148283,0
2017-06-01,9.688,9.706,9.659,9.669,77671,0
2017-06-02,9.669,9.716,9.669,9.688,140750,0
2017-06-05,9.679,9.697,9.659,9.679,84072,0
2017-06-06,9.669,9.669,9.639,9.639,100231,0
2017-06-07,9.659,9.659,9.61,9.639,182897,0
2017-06-08,9.639,9.639,9.581,9.639,91041,0
2017-06-09,9.639,9.659,9.61,9.629,85829,0
2017-06-12,9.639,9.649,9.581,9.61,95234,0
2017-06-13,9.634,9.644,9.576,9.644,136779,0
2017-06-14,9.664,9.674,9.605,9.624,214997,0
2017-06-15,9.634,9.634,9.593,9.595,96848,0
2017-06-16,9.605,9.634,9.588,9.615,68897,0
2017-06-19,9.644,9.664,9.605,9.624,146795,0
2017-06-20,9.624,9.644,9.576,9.624,137427,0
2017-06-21,9.624,9.634,9.538,9.557,156778,0
2017-06-22,9.566,9.586,9.548,9.557,63475,0
2017-06-23,9.566,9.566,9.531,9.566,60776,0
2017-06-26,9.576,9.586,9.528,9.538,103310,0
2017-06-27,9.538,9.566,9.508,9.538,121451,0
2017-06-28,9.548,9.586,9.538,9.538,178358,0
