Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,58.075,58.372,57.175,58.125,73588,0
2017-01-04,57.025,59.2,57.025,59.025,66718,0
2017-01-05,59.125,59.16,57.775,57.95,59202,0
2017-01-06,58,58,56.875,57.15,54090,0
2017-01-09,57.075,57.5,56.65,56.8,71644,0
2017-01-10,56.625,57.984,56.525,57.4,78322,0
2017-01-11,57.35,58.375,57.05,57.85,69074,0
2017-01-12,57.925,57.925,55.725,56.275,42756,0
2017-01-13,56,57.325,55.725,56.75,32178,0
2017-01-17,56.35,56.375,55.225,55.225,39534,0
2017-01-18,55.2,56.225,54.875,55.15,48840,0
2017-01-19,55.15,55.45,54.675,54.825,46420,0
2017-01-20,54.825,55.925,54.275,55.412,48980,0
2017-01-23,55.425,55.55,54.532,55.3,31872,0
2017-01-24,55.4,56.425,55.4,56.275,46304,0
2017-01-25,56.525,57.15,56.425,56.925,50352,0
2017-01-26,56.75,57,54.372,56.4,46964,0
2017-01-27,56.55,56.875,56.325,56.35,26414,0
2017-01-30,56.15,56.3,55.085,55.8,35252,0
2017-01-31,55.575,56.488,55.125,56.025,78056,0
2017-02-01,56.45,56.842,55.65,56,42406,0
2017-02-02,56.075,56.5,55.125,55.275,36482,0
2017-02-03,57.05,62.25,56.65,59.6,189978,0
2017-02-06,59.7,60.45,59.3,60.3,156850,0
2017-02-07,60.125,61.95,59.95,60.875,93874,0
2017-02-08,60.75,61.675,60.425,60.625,73220,0
2017-02-09,60.65,61.512,60.65,61.25,121804,0
2017-02-10,61.425,61.7,60.975,61.2,83950,0
2017-02-13,61.75,61.8,61.075,61.225,81988,0
2017-02-14,60.9,61.45,60.292,60.85,93562,0
2017-02-15,60.7,60.8,60.025,60.65,110280,0
2017-02-16,61.375,61.375,60.25,60.925,51946,0
2017-02-17,61.2,61.525,60.65,60.9,74358,0
2017-02-21,61.25,62.4,61.1,62.325,78046,0
2017-02-22,62.3,63.125,62.25,63.025,43454,0
2017-02-23,63.1,63.825,62.45,62.775,49190,0
2017-02-24,62.5,63.7,62.45,63.575,47066,0
2017-02-27,63.625,64.25,63.147,63.8,78904,0
2017-02-28,63.975,64.331,62.75,63.475,80178,0
2017-03-01,64.175,65.276,64.175,64.975,77640,0
2017-03-02,64.925,70.5,63.7,64.075,69224,0
2017-03-03,70.9,70.9,63.525,64.25,59702,0
2017-03-06,64.025,64.6,63.5,64.55,52676,0
2017-03-07,64.725,65.25,64.3,65.025,122444,0
2017-03-08,65.325,65.5,64.825,64.85,38168,0
