Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.283,31.45,31.234,31.42,16450,0
2017-01-04,31.44,31.46,31.381,31.45,68967,0
2017-01-05,31.5,31.744,31.5,31.744,174816,0
2017-01-06,31.587,31.644,31.558,31.568,17407,0
2017-01-09,31.714,31.764,31.685,31.734,12345,0
2017-01-10,31.664,31.744,31.664,31.744,53022,0
2017-01-11,31.714,31.849,31.69,31.747,45177,0
2017-01-12,31.883,31.932,31.754,31.794,117608,0
2017-01-13,31.604,31.749,31.573,31.709,16776,0
2017-01-17,31.868,31.917,31.769,31.878,138059,0
2017-01-18,31.699,31.735,31.6,31.6,43868,0
2017-01-19,31.474,31.508,31.405,31.474,10883,0
2017-01-20,31.395,31.523,31.355,31.484,12319,0
2017-01-23,31.542,31.714,31.542,31.659,4389,0
2017-01-24,31.61,31.649,31.454,31.514,26674,0
2017-01-25,31.385,31.405,31.278,31.287,17084,0
2017-01-26,31.287,31.375,31.25,31.375,8183,0
2017-01-27,31.355,31.431,31.355,31.43,18737,0
2017-01-30,31.425,31.451,31.385,31.405,4947,0
2017-01-31,31.365,31.572,31.365,31.533,39103,0
2017-02-01,31.365,31.479,31.35,31.439,6677,0
2017-02-02,31.523,31.61,31.424,31.454,15906,0
2017-02-03,31.51,31.572,31.345,31.395,27262,0
2017-02-06,31.524,31.649,31.514,31.6,12770,0
2017-02-07,31.523,31.749,31.523,31.679,9183,0
2017-02-08,31.779,31.878,31.779,31.878,15354,0
2017-02-09,31.769,31.769,31.659,31.709,5786,0
2017-02-10,31.552,31.692,31.552,31.639,22767,0
2017-02-13,31.562,31.629,31.508,31.577,15937,0
2017-02-14,31.523,31.562,31.297,31.444,23395,0
2017-02-15,31.428,31.428,30.985,31.389,55609,0
2017-02-16,31.359,31.557,31.359,31.518,21796,0
2017-02-17,31.586,31.654,31.586,31.615,38286,0
2017-02-21,31.488,31.664,31.488,31.615,27503,0
2017-02-22,31.644,31.684,31.508,31.624,29147,0
2017-02-23,31.704,31.709,31.668,31.694,10674,0
2017-02-24,31.774,31.962,31.774,31.942,21121,0
2017-02-27,31.912,31.932,31.853,31.912,33848,0
2017-02-28,31.814,31.919,31.794,31.873,13891,0
2017-03-01,31.498,31.538,31.478,31.538,23067,0
2017-03-02,31.438,31.448,31.379,31.428,126264,0
2017-03-03,31.458,31.498,31.379,31.498,57741,0
2017-03-06,31.458,31.467,31.389,31.428,7700,0
2017-03-07,31.369,31.411,31.349,31.399,48945,0
2017-03-08,31.152,31.289,31.152,31.231,12115,0
2017-03-09,31.161,31.166,31.082,31.092,42415,0
2017-03-10,31.122,31.201,31.104,31.116,8814,0
2017-03-13,31.053,31.102,31.045,31.052,2945,0
2017-03-14,31.043,31.132,31.043,31.092,7172,0
2017-03-15,31.168,31.396,31.168,31.376,19641,0
2017-03-16,31.356,31.356,31.238,31.278,11264,0
2017-03-17,31.308,31.425,31.308,31.389,10145,0
2017-03-20,31.444,31.525,31.444,31.525,5167,0
2017-03-21,31.465,31.65,31.465,31.617,2966,0
2017-03-22,31.742,31.841,31.722,31.767,12774,0
2017-03-23,31.752,31.792,31.692,31.752,7987,0
2017-03-24,31.74,31.812,31.74,31.762,9975,0
2017-03-27,31.879,31.897,31.841,31.88,3769,0
2017-03-28,31.851,31.871,31.722,31.732,12730,0
2017-03-29,31.795,31.86,31.782,31.831,15026,0
2017-03-30,31.535,31.745,31.5,31.742,5816,0
2017-03-31,31.712,31.792,31.702,31.768,6752,0
2017-04-03,31.772,32.026,31.772,31.97,6600,0
2017-04-04,31.954,31.954,31.89,31.908,5465,0
2017-04-05,31.853,31.97,31.831,31.97,6431,0
2017-04-06,31.93,31.94,31.822,31.94,29082,0
2017-04-07,31.979,31.998,31.876,31.876,9331,0
2017-04-10,31.89,31.968,31.89,31.96,3470,0
2017-04-11,32.033,32.137,32.018,32.119,138609,0
2017-04-12,32.431,32.431,32.118,32.245,114587,0
2017-04-13,32.188,32.389,32.188,32.241,68941,0
2017-04-17,32.319,32.361,32.211,32.211,11466,0
2017-04-18,32.411,32.51,32.411,32.51,8716,0
2017-04-19,32.401,32.411,32.361,32.388,22073,0
2017-04-20,32.331,32.39,32.3,32.33,29310,0
2017-04-21,32.351,32.411,32.321,32.321,26883,0
2017-04-24,32.134,32.231,32.134,32.211,6916,0
2017-04-25,32.124,32.134,32.069,32.069,39603,0
2017-04-26,31.946,32.087,31.252,32.073,7817,0
2017-04-27,32.115,32.134,32.1,32.114,3377,0
2017-04-28,32.064,32.134,32.034,32.114,140224,0
2017-05-01,32.201,32.201,31.946,31.994,7892,0
2017-05-02,32.024,32.105,31.966,32.094,12011,0
2017-05-03,32.114,32.157,32.094,32.094,3759,0
2017-05-04,31.966,31.966,31.893,31.946,6624,0
2017-05-05,31.966,31.978,31.916,31.973,10928,0
2017-05-08,31.936,31.936,31.846,31.856,6285,0
2017-05-09,31.807,31.856,31.777,31.856,2804,0
2017-05-10,31.959,31.959,31.797,31.807,65432,0
2017-05-11,31.777,31.856,31.777,31.856,11386,0
2017-05-12,31.954,32.074,31.911,32.074,40251,0
2017-05-15,31.98,31.98,31.931,31.95,8060,0
2017-05-16,31.931,32.077,31.931,32.01,22203,0
2017-05-17,32.217,32.348,32.217,32.324,7407,0
2017-05-18,32.377,32.407,32.307,32.34,52602,0
2017-05-19,32.307,32.357,32.287,32.347,8851,0
2017-05-22,32.352,32.352,32.317,32.317,4658,0
2017-05-23,32.377,32.377,32.217,32.262,3028,0
2017-05-24,32.257,32.288,32.197,32.287,20511,0
2017-05-25,32.257,32.317,32.247,32.257,21214,0
2017-05-26,32.317,32.377,31.971,31.971,24319,0
2017-05-30,32.417,32.496,32.402,32.496,3633,0
2017-05-31,31.899,32.516,31.899,32.476,6376,0
2017-06-01,32.397,32.481,32.397,32.481,17165,0
2017-06-02,32.576,32.704,32.576,32.704,2631,0
2017-06-05,32.635,32.641,32.576,32.576,9640,0
2017-06-06,32.743,32.754,32.73,32.753,4355,0
2017-06-07,32.694,32.694,32.617,32.628,5382,0
