Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.1251,7.2742,7.088,7.209,484777,0
2017-01-04,7.2648,7.3208,7.2322,7.302,974741,0
2017-01-05,7.2835,7.3487,7.2369,7.2648,397482,0
2017-01-06,7.2555,7.3114,7.2229,7.2275,358980,0
2017-01-09,7.2183,7.2742,7.1344,7.2183,395197,0
2017-01-10,7.2183,7.2928,7.181,7.2369,330696,0
2017-01-11,7.2648,7.2835,7.2183,7.2463,406703,0
2017-01-12,7.2835,7.2835,7.1903,7.2555,404836,0
2017-01-13,7.2648,7.33,7.1996,7.2463,349557,0
2017-01-17,7.2463,7.2463,7.1531,7.209,400350,0
2017-01-18,7.2369,7.2463,7.1624,7.1996,344163,0
2017-01-19,7.1903,7.2275,7.1671,7.181,203574,0
2017-01-20,7.1717,7.2369,7.1717,7.209,219931,0
2017-01-23,7.2275,7.2648,7.2183,7.2275,286096,0
2017-01-24,7.2369,7.3114,7.2275,7.2463,349477,0
2017-01-25,7.2835,7.302,7.2183,7.2742,252877,0
2017-01-26,7.2648,7.3114,7.2275,7.302,368720,0
2017-01-27,7.302,7.3952,7.2742,7.2928,313199,0
2017-01-30,7.302,7.358,7.2663,7.358,277115,0
2017-01-31,7.358,7.4139,7.3208,7.3487,583255,0
2017-02-01,7.3487,7.4418,7.33,7.3487,307731,0
2017-02-02,7.3487,7.3952,7.3454,7.3906,174674,0
2017-02-03,7.4139,7.4884,7.4139,7.4697,319656,0
2017-02-06,7.4697,7.5909,7.4603,7.5909,344648,0
2017-02-07,7.5909,7.6094,7.5256,7.5536,301574,0
2017-02-08,7.5536,7.5909,7.4512,7.5722,421000,0
2017-02-09,7.5815,7.7957,7.5629,7.7119,838986,0
2017-02-10,7.7585,7.8982,7.7585,7.8702,602546,0
2017-02-13,7.9075,8.0845,7.8982,7.9262,847118,0
2017-02-14,7.9354,7.9913,7.9262,7.9588,330857,0
2017-02-15,7.9913,8.0239,7.8889,7.8982,735337,0
2017-02-16,7.8889,7.8982,7.6467,7.8237,566965,0
2017-02-17,7.8237,7.9447,7.7957,7.9354,396145,0
2017-02-21,7.9727,8.01,7.9075,7.9727,572838,0
2017-02-22,7.9262,7.9727,7.8702,7.9588,538718,0
2017-02-23,7.9633,7.982,7.8982,7.982,541456,0
2017-02-24,7.9633,8.0751,7.8797,7.982,568726,0
2017-02-27,7.982,8.0006,7.8982,7.9727,454267,0
2017-02-28,7.9447,7.9727,7.8796,7.9354,767505,0
