Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,75.56,75.588,74.57,74.91,533946,0
2017-01-04,75.075,75.565,74.865,75.327,752068,0
2017-01-05,75.521,76.14,74.687,75.947,1268268,0
2017-01-06,75.695,76.345,75.375,76.044,748253,0
2017-01-09,76.092,76.345,74.776,74.823,479418,0
2017-01-10,74.929,75.317,74.444,74.726,928699,0
2017-01-11,74.524,75.434,74.524,75.298,564990,0
2017-01-12,75.21,75.859,74.731,75.084,662408,0
2017-01-13,74.958,75.181,74.479,74.852,432304,0
2017-01-17,75.405,75.957,75.084,75.57,595924,0
2017-01-18,75.531,75.85,75.017,75.462,325999,0
2017-01-19,74.454,75.457,74.454,74.65,390111,0
2017-01-20,74.784,75.288,74.252,74.62,632645,0
2017-01-23,74.793,74.998,74.59,74.793,538616,0
2017-01-24,74.939,75.317,74.464,75.027,627036,0
2017-01-25,74.746,75.055,74.454,74.736,498212,0
2017-01-26,74.667,75.21,74.212,74.58,399596,0
2017-01-27,74.659,74.968,74.29,74.378,374736,0
2017-01-30,74.49,74.783,74.059,74.694,531612,0
2017-01-31,74.754,75.877,74.5,75.857,645612,0
2017-02-01,75.222,75.968,74.724,74.939,715485,0
2017-02-02,74.978,76.2,74.978,76.014,1028189,0
2017-02-03,76.239,76.669,76.063,76.248,852473,0
2017-02-06,76.464,76.698,76.024,76.073,349848,0
2017-02-07,76.092,76.522,75.887,76.141,286200,0
2017-02-08,76.219,77.069,76.219,76.776,399364,0
2017-02-09,76.659,77.128,76.258,76.347,425875,0
2017-02-10,76.004,76.933,76.004,76.874,264583,0
2017-02-13,76.855,77.109,76.385,76.923,322727,0
2017-02-14,76.815,76.815,75.799,76.307,480242,0
2017-02-15,75.75,76.219,75.135,76.219,1200075,0
2017-02-16,76.219,76.766,76.024,76.756,500729,0
2017-02-17,76.903,77.03,76.307,76.903,422554,0
2017-02-21,76.581,78.085,76.532,77.949,404599,0
2017-02-22,77.831,78.105,77.401,77.901,391228,0
2017-02-23,78.173,79.024,77.978,78.663,564080,0
2017-02-24,78.955,79.972,78.79,79.582,840046,0
2017-02-27,79.591,79.649,79.181,79.328,555691,0
2017-02-28,79.278,80.616,79.228,80.314,1053170,0
2017-03-01,79.512,80.675,78.917,80.518,1453713,0
2017-03-02,80.324,81.858,80.05,81.417,1171364,0
2017-03-03,81.564,81.564,80.471,81.134,718366,0
2017-03-06,80.998,81.535,80.812,81.066,717363,0
2017-03-07,80.635,81.193,80.354,80.655,781101,0
2017-03-08,79.756,80.117,78.937,79.092,870463,0
2017-03-09,78.937,79.552,78.818,79.024,486614,0
2017-03-10,79.6,79.816,79.151,79.746,434128,0
2017-03-13,79.679,79.972,79.487,79.816,442973,0
2017-03-14,79.756,80.05,79.445,80.01,620473,0
2017-03-15,80.197,82.005,79.923,81.691,644145,0
2017-03-16,81.467,81.477,80.486,80.665,870150,0
2017-03-17,80.989,81.798,80.842,81.33,964337,0
2017-03-20,81.447,81.751,80.354,80.645,621014,0
2017-03-21,80.655,81.868,80.538,81.779,665624,0
2017-03-22,82.082,82.503,81.584,81.751,519193,0
2017-03-23,81.691,82.513,81.193,81.681,368103,0
2017-03-24,81.671,82.551,81.584,82.199,425490,0
2017-03-27,82.6,82.786,81.76,82.219,621011,0
2017-03-28,82.033,82.483,81.858,82.278,451990,0
2017-03-29,82.082,82.082,81.457,81.614,636676,0
2017-03-30,81.487,81.711,80.949,81.379,412297,0
2017-03-31,81.33,81.955,81.106,81.477,598449,0
2017-04-03,81.506,81.633,80.73,81.604,509442,0
2017-04-04,81.398,82.077,81.203,81.828,500878,0
2017-04-05,81.828,82.229,81.515,82.102,774371,0
2017-04-06,81.828,82.727,81.477,82.551,920647,0
2017-04-07,82.727,83.064,82.18,82.336,1113259,0
2017-04-10,82.415,82.971,82.062,82.844,706077,0
