Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,17.862,18.068,17.666,17.716,3040620,0
2017-01-04,17.833,18.38,17.804,18.351,6187630,0
2017-01-05,18.351,18.478,18.205,18.341,3065758,0
2017-01-06,18.322,18.332,17.931,18.048,5246993,0
2017-01-09,17.989,18.185,17.951,18.107,4050205,0
2017-01-10,18.215,18.465,18.185,18.284,6404143,0
2017-01-11,18.313,18.736,18.225,18.677,5636720,0
2017-01-12,18.884,18.884,18.362,18.657,4425739,0
2017-01-13,18.657,18.745,18.421,18.588,3772635,0
2017-01-17,18.627,18.726,18.342,18.451,4125945,0
2017-01-18,18.411,18.441,17.811,17.851,6880479,0
2017-01-19,17.91,17.988,17.743,17.762,3769731,0
2017-01-20,17.94,18.755,17.92,18.618,8362347,0
2017-01-23,18.559,18.707,18.313,18.569,6615907,0
2017-01-24,18.874,19.891,18.755,19.532,16887913,0
2017-01-25,19.552,19.92,19.276,19.522,10194180,0
2017-01-26,18.627,19.109,18.588,18.932,14740252,0
2017-01-27,18.834,19.178,18.352,18.421,9112821,0
2017-01-30,18.254,18.352,17.92,18.215,6713766,0
2017-01-31,18.294,18.49,18.008,18.284,5738634,0
2017-02-01,18.382,18.392,17.861,18.235,5766452,0
2017-02-02,18.185,18.264,17.91,18.145,4046864,0
2017-02-03,18.068,18.47,18.038,18.244,4380219,0
2017-02-06,18.165,18.195,17.91,18.127,4088920,0
2017-02-07,17.998,18.569,17.881,18.51,7625652,0
2017-02-08,18.5,18.667,18.244,18.647,8614448,0
2017-02-09,18.677,18.697,18.328,18.431,4547754,0
2017-02-10,18.598,18.834,18.465,18.736,4928702,0
2017-02-13,18.755,19.09,18.677,18.785,8611246,0
2017-02-14,18.775,19.061,18.657,18.951,6251352,0
2017-02-15,19.001,19.031,18.55,18.637,4443087,0
2017-02-16,18.618,18.687,18.323,18.382,4934223,0
2017-02-17,18.294,18.421,18.068,18.402,4309545,0
2017-02-21,18.402,18.417,18.235,18.342,2907485,0
2017-02-22,18.264,18.392,18.127,18.313,3911858,0
2017-02-23,18.342,18.352,17.547,17.762,7183118,0
2017-02-24,17.527,17.684,17.222,17.566,6275965,0
2017-02-27,17.468,17.585,17.231,17.527,5047672,0
2017-02-28,17.438,17.695,17.104,17.134,6431580,0
2017-03-01,17.34,17.517,17.154,17.222,6245007,0
2017-03-02,17.212,17.291,16.819,16.858,6999636,0
2017-03-03,16.829,16.917,16.73,16.809,5218171,0
2017-03-06,16.721,16.858,16.612,16.73,3816996,0
2017-03-07,16.711,16.927,16.642,16.809,5294159,0
2017-03-08,16.819,16.917,16.603,16.622,5008068,0
2017-03-09,17.104,17.762,16.957,17.104,16640039,0
2017-03-10,17.222,17.281,17,17.134,5015263,0
2017-03-13,17.192,17.202,16.937,17.064,4081551,0
2017-03-14,16.888,16.967,16.701,16.74,6070292,0
2017-03-15,16.858,17.02,16.672,16.967,5349815,0
2017-03-16,17.134,17.202,16.888,16.996,5305005,0
2017-03-17,17.035,17.154,17.015,17.025,6522744,0
2017-03-20,17.005,17.134,16.858,16.917,2844296,0
2017-03-21,17.025,17.104,16.691,16.711,4169031,0
2017-03-22,16.711,16.76,16.563,16.75,3347513,0
2017-03-23,16.691,16.893,16.603,16.8,3938822,0
2017-03-24,16.79,16.878,16.662,16.73,5766352,0
2017-03-27,16.622,16.775,16.603,16.73,3072135,0
2017-03-28,16.701,16.977,16.701,16.809,5518472,0
2017-03-29,16.809,17.046,16.72,16.888,3532707,0
2017-03-30,16.898,17.136,16.858,17.016,3851284,0
2017-03-31,16.958,17.136,16.888,16.888,3749552,0
2017-04-03,16.878,17.024,16.631,16.838,4097830,0
2017-04-04,16.71,16.878,16.656,16.838,3080440,0
2017-04-05,16.958,16.958,16.621,16.661,6659511,0
2017-04-06,16.661,16.74,16.592,16.631,5883693,0
2017-04-07,16.611,16.74,16.552,16.641,3932955,0
2017-04-10,16.671,16.71,16.562,16.661,4147708,0
2017-04-11,16.73,16.77,16.423,16.661,6305525,0
2017-04-12,16.621,16.641,16.448,16.532,3347354,0
2017-04-13,16.542,16.572,16.345,16.364,3473251,0
2017-04-17,16.423,16.522,16.345,16.483,3158990,0
2017-04-18,16.345,16.473,16.27,16.345,5337967,0
2017-04-19,16.325,16.399,16.157,16.255,4897443,0
2017-04-20,16.295,16.423,16.216,16.245,3745424,0
2017-04-21,16.225,16.305,15.919,15.969,6650725,0
2017-04-24,16.107,16.305,16.047,16.245,4311069,0
2017-04-25,16.285,16.542,16.245,16.423,4050962,0
2017-04-26,16.364,16.582,16.305,16.473,5236281,0
2017-04-27,16.76,17.006,16.7,16.829,8526248,0
2017-04-28,16.888,16.908,16.602,16.69,5072983,0
2017-05-01,16.76,16.809,16.542,16.542,7778594,0
2017-05-02,16.572,16.745,16.315,16.364,8369075,0
2017-05-03,16.255,16.345,16.077,16.107,7781424,0
2017-05-04,16.107,16.177,16.028,16.067,5941868,0
2017-05-05,16.137,16.404,16.072,16.275,5107942,0
2017-05-08,16.216,16.394,16.206,16.285,6100316,0
2017-05-09,16.315,16.418,16.107,16.295,5682547,0
2017-05-10,16.354,16.602,16.265,16.305,8422181,0
2017-05-11,16.235,16.345,16.067,16.167,6707689,0
2017-05-12,16.177,16.295,16.067,16.127,3600789,0
2017-05-15,16.245,16.374,16.157,16.206,5624819,0
2017-05-16,16.225,16.295,16.087,16.117,4688906,0
2017-05-17,16.019,16.087,15.692,15.801,8539784,0
2017-05-18,15.662,15.771,15.563,15.711,5437796,0
2017-05-19,15.869,16.542,15.869,16.423,9934085,0
2017-05-22,16.602,16.641,16.186,16.275,3828355,0
2017-05-23,16.512,16.592,16.423,16.503,4701414,0
