Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,115.06,115.13,112.07,112.87,89094,0
2017-01-04,112.82,116.01,112.82,115.77,102101,0
2017-01-05,115.07,116.44,114.11,116.35,91855,0
2017-01-06,116.28,116.65,115.15,115.51,89161,0
2017-01-09,115.55,115.55,114.16,114.79,102163,0
2017-01-10,114.6,115.85,114.48,115.26,168238,0
2017-01-11,115.36,116.07,114.47,115.1,240715,0
2017-01-12,115.59,116.32,113.67,116.01,120512,0
2017-01-13,115.59,116.71,115.42,115.9,68479,0
2017-01-17,115.83,116.61,115.32,116.5,74362,0
2017-01-18,116.4,118.33,116,117.55,89850,0
2017-01-19,116.91,119.35,115.79,116.8,130207,0
2017-01-20,116.23,118.76,116.23,118.42,96775,0
2017-01-23,118.86,119.31,117.63,117.84,113045,0
2017-01-24,117.73,118.58,116.88,117.17,115438,0
2017-01-25,117.31,117.53,115.61,116,84478,0
2017-01-26,116.03,116.5,114.81,114.96,74787,0
2017-01-27,115.48,115.48,111,111.57,121224,0
2017-01-30,110.92,111.38,109.61,109.95,112249,0
2017-01-31,109.63,111.55,109.5,109.78,191412,0
2017-02-01,109.77,110.67,108.22,108.76,130632,0
2017-02-02,108.76,110.03,108.31,109.41,116946,0
2017-02-03,109.87,110.97,109.75,110.4,96212,0
2017-02-06,110.28,110.77,109.77,109.85,60744,0
2017-02-07,109.74,111.27,108.9,109.16,91956,0
2017-02-08,109.19,109.96,108.86,109.36,117318,0
2017-02-09,109.17,110.84,108.55,109.95,134234,0
2017-02-10,110.15,111.23,110.1,110.92,66838,0
2017-02-13,111.14,112.12,110.67,111.19,65556,0
2017-02-14,111.1,112.39,109.92,111.48,127152,0
2017-02-15,110.48,111.71,109.7,111.44,58161,0
2017-02-16,111.25,113.32,111.25,113.32,77620,0
2017-02-17,113.32,115.39,112.67,113.91,121041,0
2017-02-21,113.6,115.05,113.49,114.61,93458,0
2017-02-22,113.49,115.03,112.32,112.87,85669,0
2017-02-23,112.93,113.81,112.32,113.72,88862,0
2017-02-24,113.4,114.98,113.14,114.76,62573,0
2017-02-27,114.71,117.01,114.59,115.14,73251,0
2017-02-28,115.14,115.38,113.3,113.86,82772,0
2017-03-01,113.94,115.87,113.87,115.03,83918,0
2017-03-02,114.9,116.98,114.12,115.12,64467,0
2017-03-03,115.08,115.61,113.41,114.78,58747,0
2017-03-06,114.56,114.84,113.07,114.51,65707,0
2017-03-07,114.56,114.64,113.64,113.98,56898,0
2017-03-08,113.6,113.67,111.56,111.59,45016,0
2017-03-09,111.49,112.33,109.71,109.88,55844,0
2017-03-10,109.98,111.5,108.75,109.24,55914,0
2017-03-13,109.19,110.12,107.6,109.05,54749,0
2017-03-14,109.11,110.93,108.53,109.45,146135,0
2017-03-15,109.92,111.71,109.5,110.67,240916,0
2017-03-16,110.09,111.37,109.92,110.75,118405,0
2017-03-17,110.56,111.68,110.14,111.6,277851,0
2017-03-20,111.8,112.16,111.32,111.78,63583,0
2017-03-21,111.98,113.28,110.61,110.93,84436,0
2017-03-22,110.81,111.18,109.4,111.07,89410,0
2017-03-23,111.14,113.89,110.77,112.79,73817,0
2017-03-24,112.69,113.26,110.85,112.24,98130,0
2017-03-27,111.71,113.88,110.35,111.02,93327,0
2017-03-28,110.86,112.26,109.49,112.1,94380,0
2017-03-29,111.53,112.4,110.89,112.25,68839,0
2017-03-30,112.09,112.7,109.66,112.25,179463,0
2017-03-31,112.73,113.77,111.34,113.31,114359,0
2017-04-03,113.57,114.53,112.74,113.73,104149,0
2017-04-04,113.55,114.79,113.09,114.69,108396,0
2017-04-05,114.97,116.44,114.23,116.14,146353,0
2017-04-06,116.05,116.99,115.52,116.79,108212,0
2017-04-07,116.8,118.34,114.71,117.8,97285,0
2017-04-10,118.22,118.79,117.47,118.32,76770,0
2017-04-11,118.32,119.15,117.71,118.94,94199,0
2017-04-12,118.68,119.73,118.21,118.43,82631,0
2017-04-13,118.31,119.42,117.37,117.38,80352,0
2017-04-17,117.43,119.09,117.43,119.06,61446,0
2017-04-18,119.07,119.74,118.45,118.97,81189,0
2017-04-19,119.26,119.96,118.47,118.94,110642,0
2017-04-20,119.2,119.88,117.71,119.68,84512,0
2017-04-21,119.77,120.65,118.72,120.27,92188,0
2017-04-24,121.42,122.4,117.95,119.53,89493,0
2017-04-25,119.9,120.55,118.35,120.03,49743,0
2017-04-26,121.44,124.22,120.39,121.05,324291,0
2017-04-27,120.85,122.39,120.16,120.66,116007,0
2017-04-28,120.57,120.57,119.22,120,78584,0
2017-05-01,120.29,121.44,119.78,121.13,72173,0
2017-05-02,119.34,121.95,119.34,121.01,103347,0
2017-05-03,121.15,121.15,119.18,119.81,81723,0
2017-05-04,119.58,120.08,117.68,119.21,76841,0
2017-05-05,119.45,120.7,119.43,120.45,54205,0
2017-05-08,120.48,121.47,120.2,120.92,60273,0
2017-05-09,120.66,121.33,120.22,121.23,156674,0
2017-05-10,121.38,122.94,120.84,122.16,105901,0
