Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.5799,7.6525,7.5255,7.6525,2838648,0
2017-01-04,7.6708,7.8432,7.6617,7.7707,4412870,0
2017-01-05,7.7797,7.8432,7.7343,7.8069,2164731,0
2017-01-06,7.8069,7.8432,7.7707,7.7888,1669332,0
2017-01-09,7.7888,7.825,7.7253,7.7343,1594462,0
2017-01-10,7.7434,7.7434,7.6708,7.6889,1868758,0
2017-01-11,7.6798,7.7978,7.6525,7.7888,2748190,0
2017-01-12,7.7888,7.825,7.7524,7.7978,1804171,0
2017-01-13,7.8342,7.8796,7.8069,7.8342,2367963,0
2017-01-17,7.8342,7.9249,7.7797,7.8432,2693354,0
2017-01-18,7.8342,7.8796,7.7797,7.8432,1984930,0
2017-01-19,7.8522,7.8613,7.7616,7.7888,2620238,0
2017-01-20,7.8069,7.8522,7.7888,7.8432,1926535,0
2017-01-23,7.8522,7.9249,7.825,7.8796,3471941,0
2017-01-24,7.8705,7.9294,7.8522,7.8796,2483079,0
2017-01-25,7.9159,7.9249,7.8796,7.8886,2266235,0
2017-01-26,7.9159,7.9658,7.8886,7.943,2726072,0
2017-01-27,7.9645,7.9736,7.9004,7.9645,1868971,0
2017-01-30,7.9187,7.9461,7.8086,7.8636,2885085,0
2017-01-31,7.8636,7.8727,7.6988,7.717,3152756,0
2017-02-01,7.7263,7.8178,7.6988,7.8086,2693156,0
2017-02-02,7.8454,7.8636,7.7766,7.8454,2141763,0
2017-02-03,7.9187,7.9827,7.8545,7.9461,2086266,0
2017-02-06,7.9278,8.0195,7.9095,8.0104,1787677,0
2017-02-07,8.0012,8.0104,7.9004,7.9004,2548535,0
2017-02-08,7.9187,8.0285,7.9004,8.0285,3752427,0
2017-02-09,8.0653,8.2027,8.0285,8.1752,4305191,0
2017-02-10,8.2027,8.3402,8.166,8.3402,5511314,0
2017-02-13,8.3586,8.4686,8.2579,8.4227,4187594,0
2017-02-14,8.4227,8.5692,8.4044,8.5235,3988063,0
2017-02-15,8.5418,8.6061,8.5235,8.5969,4214807,0
2017-02-16,8.6061,8.6609,8.5877,8.6517,4004750,0
2017-02-17,8.6517,8.6701,8.5785,8.6517,3343945,0
2017-02-21,8.6517,8.7069,8.6152,8.6884,3712947,0
2017-02-22,8.6701,8.7252,8.6701,8.6884,2828788,0
2017-02-23,8.7069,8.78,8.6944,8.7343,3231376,0
2017-02-24,8.7189,8.7189,8.5802,8.6634,3114008,0
2017-02-27,8.6449,8.691,8.5709,8.6726,1946941,0
2017-02-28,8.6818,8.691,8.6173,8.6634,2676447,0
2017-03-01,8.691,8.7651,8.6726,8.6818,3000204,0
2017-03-02,8.6726,8.691,8.6173,8.6357,2447168,0
2017-03-03,8.6726,8.7745,8.631,8.7283,2413079,0
2017-03-06,8.691,8.7004,8.5802,8.6634,3026299,0
2017-03-07,8.6265,8.6866,8.6173,8.6726,1589295,0
2017-03-08,8.6449,8.691,8.4694,8.4879,3297744,0
2017-03-09,8.4139,8.4323,8.0346,8.1735,9506263,0
2017-03-10,8.2104,8.3676,8.2012,8.3398,2991786,0
2017-03-13,8.423,8.46,8.3398,8.4323,1945452,0
2017-03-14,8.4786,8.5247,8.4045,8.4045,2063180,0
2017-03-15,8.4508,8.5247,8.4139,8.5155,1833806,0
2017-03-16,8.5895,8.5987,8.4323,8.4323,2437050,0
2017-03-17,8.4786,8.6218,8.4508,8.608,3145944,0
2017-03-20,8.6265,8.6634,8.5525,8.5802,2078574,0
2017-03-21,8.5987,8.6173,8.3676,8.4139,2518330,0
2017-03-22,8.386,8.4231,8.3121,8.3398,2463131,0
2017-03-23,8.4045,8.46,8.3306,8.3583,2660417,0
2017-03-24,8.3768,8.4323,8.3306,8.3953,1644810,0
2017-03-27,8.3398,8.3953,8.3028,8.3768,1575250,0
2017-03-28,8.3953,8.46,8.3768,8.4139,1889885,0
2017-03-29,8.3981,8.4727,8.3609,8.4262,1542657,0
2017-03-30,8.4356,8.4726,8.3981,8.4356,1469836,0
2017-03-31,8.4356,8.5102,8.4262,8.4356,2228933,0
2017-04-03,8.4356,8.5102,8.4356,8.482,2184230,0
2017-04-04,8.4914,8.5569,8.482,8.5382,1143593,0
2017-04-05,8.5475,8.583,8.4542,8.4635,1572081,0
2017-04-06,8.4635,8.482,8.4075,8.4635,1889126,0
2017-04-07,8.4449,8.5195,8.4262,8.4449,1795271,0
2017-04-10,8.4727,8.5288,8.4356,8.4914,1753957,0
2017-04-11,8.5008,8.5382,8.4635,8.5288,1581916,0
2017-04-12,8.5661,8.6222,8.5288,8.5569,2010417,0
2017-04-13,8.5569,8.5849,8.4914,8.5288,1883968,0
2017-04-17,8.5382,8.6315,8.5381,8.6128,1689874,0
2017-04-18,8.5849,8.6315,8.5382,8.5942,1700062,0
2017-04-19,8.6315,8.6595,8.6128,8.6315,1245445,0
2017-04-20,8.6782,8.7434,8.6502,8.7155,2090300,0
2017-04-21,8.7434,8.8087,8.7248,8.7434,2305354,0
2017-04-24,8.7807,8.8087,8.7434,8.7714,1939961,0
2017-04-25,8.7807,8.8182,8.7248,8.7622,2627389,0
2017-04-26,8.7653,8.8311,8.7277,8.803,1628527,0
2017-04-27,8.803,8.8311,8.7559,8.7748,1363382,0
2017-04-28,8.8124,8.8124,8.737,8.7559,1582094,0
2017-05-01,8.7748,8.803,8.7088,8.7465,1740083,0
2017-05-02,8.7653,8.8218,8.7559,8.803,1194414,0
2017-05-03,8.7842,8.7842,8.5864,8.6616,3114080,0
2017-05-04,8.671,8.6805,8.511,8.5676,2296542,0
2017-05-05,8.5581,8.6334,8.5299,8.6146,1310382,0
2017-05-08,8.6146,8.6334,8.577,8.6146,1329550,0
2017-05-09,8.6993,8.7088,8.5299,8.5487,2410761,0
2017-05-10,8.2851,8.2946,7.9933,8.031,13005426,0
2017-05-11,7.9368,8.031,7.5601,7.6779,10691163,0
2017-05-12,7.6731,7.7099,7.5036,7.5414,6601236,0
2017-05-15,7.5414,7.7108,7.5414,7.6448,3837286,0
2017-05-16,7.692,7.7673,7.6636,7.7485,2977146,0
2017-05-17,7.7203,7.805,7.6636,7.692,2611213,0
2017-05-18,7.7203,7.7296,7.6355,7.6731,2310118,0
2017-05-19,7.7203,7.805,7.7014,7.7203,2859676,0
2017-05-22,7.7768,7.8898,7.7768,7.8426,2221642,0
2017-05-23,7.9086,7.9839,7.8709,7.9273,2283079,0
2017-05-24,7.9745,8.0404,7.9373,7.9557,2523148,0
2017-05-25,8.0026,8.012,7.8992,7.9179,3136922,0
2017-05-26,7.9212,7.9876,7.8261,7.8641,2452881,0
2017-05-30,7.8451,7.8641,7.6548,7.6738,4068012,0
2017-05-31,7.6738,7.6976,7.5597,7.5882,3820178,0
2017-06-01,7.6169,7.7024,7.5788,7.6929,2519381,0
2017-06-02,7.6548,7.7214,7.6358,7.6453,2182600,0
2017-06-05,7.6453,7.6643,7.5882,7.6073,1635783,0
2017-06-06,7.5977,7.6264,7.5123,7.5597,2322611,0
2017-06-07,7.5597,7.6548,7.5597,7.5977,1402086,0
2017-06-08,7.6169,7.6453,7.5692,7.5692,1173324,0
2017-06-09,7.5692,7.6548,7.5692,7.6073,1386741,0
2017-06-12,7.6073,7.6881,7.5977,7.6834,1798982,0
2017-06-13,7.6834,7.6881,7.5597,7.5977,2364332,0
2017-06-14,7.5977,7.6349,7.5692,7.6264,1609158,0
2017-06-15,7.5882,7.6358,7.5692,7.6073,1495223,0
2017-06-16,7.6073,7.6643,7.5977,7.6643,2450654,0
2017-06-19,7.7024,7.7214,7.6169,7.6548,2241924,0
2017-06-20,7.6358,7.6738,7.6169,7.6264,1571290,0
2017-06-21,7.6548,7.712,7.6453,7.6834,1504453,0
2017-06-22,7.6929,7.788,7.6834,7.7309,1907012,0
2017-06-23,7.7499,7.807,7.7499,7.7975,2279821,0
2017-06-26,7.8356,7.8403,7.7595,7.8165,1799534,0
2017-06-27,7.8165,7.8546,7.7499,7.7595,2372832,0
2017-06-28,7.8011,7.8011,7.705,7.7338,1938190,0
2017-06-29,7.7146,7.7819,7.705,7.7819,1802128,0
2017-06-30,7.7819,7.8299,7.7338,7.8011,2051576,0
2017-07-03,7.7915,7.8587,7.753,7.7819,1406276,0
2017-07-05,7.7819,7.8011,7.7434,7.7819,1680291,0
2017-07-06,7.7819,7.8203,7.753,7.8011,1660770,0
2017-07-07,7.8011,7.8203,7.7242,7.7915,1532378,0
2017-07-10,7.7819,7.8395,7.7626,7.8011,1162273,0
2017-07-11,7.8011,7.8203,7.7338,7.7915,1387082,0
2017-07-12,7.7819,7.8203,7.7721,7.8107,864600,0
2017-07-13,7.8203,7.8203,7.7626,7.8203,1200578,0
2017-07-14,7.8011,7.8395,7.7819,7.8203,1247239,0
2017-07-17,7.8203,7.8779,7.7819,7.8443,1991943,0
2017-07-18,7.8587,7.8731,7.7819,7.7915,1907726,0
2017-07-19,7.7819,7.8587,7.7819,7.8395,1361056,0
2017-07-20,7.8683,7.8972,7.8395,7.8875,1565153,0
2017-07-21,7.9068,7.9548,7.8875,7.9548,1824666,0
