Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,39.057,39.174,38.911,39.125,586450,0
2017-01-04,39.213,39.564,39.009,39.534,417165,0
2017-01-05,38.531,38.892,38.511,38.793,617309,0
2017-01-06,38.424,38.793,38.424,38.618,471864,0
2017-01-09,37.975,38.082,37.858,37.878,461713,0
2017-01-10,37.537,37.697,37.478,37.556,504457,0
2017-01-11,37.527,38.219,37.497,38.219,618143,0
2017-01-12,38.209,38.287,37.838,38.014,430387,0
2017-01-13,38.151,38.451,38.151,38.268,293643,0
2017-01-17,38.209,38.258,37.878,37.927,409248,0
2017-01-18,37.351,37.517,37.244,37.38,432268,0
2017-01-19,37.683,37.741,37.205,37.4,382609,0
2017-01-20,37.263,37.478,37.244,37.478,385276,0
2017-01-23,37.507,37.761,37.42,37.731,273720,0
2017-01-24,37.878,38.268,37.858,38.17,302548,0
2017-01-25,38.755,39.081,38.676,39.057,306331,0
2017-01-26,39.155,39.223,38.818,38.93,367673,0
2017-01-27,38.609,38.638,38.365,38.618,253672,0
2017-01-30,38.092,38.121,37.766,37.927,725697,0
2017-01-31,37.927,37.995,37.585,37.81,339439,0
2017-02-01,38.404,38.55,38.335,38.492,518084,0
2017-02-02,38.024,38.102,37.868,38.044,482437,0
2017-02-03,39.047,39.135,38.823,38.92,433515,0
2017-02-06,38.335,38.541,38.306,38.472,290632,0
2017-02-07,38.492,38.716,38.355,38.686,236480,0
2017-02-08,38.394,38.433,38.102,38.404,295727,0
2017-02-09,38.813,39.213,38.765,39.125,308891,0
2017-02-10,39.116,39.544,39.116,39.437,287341,0
2017-02-13,39.681,39.788,39.564,39.671,320690,0
2017-02-14,39.203,39.583,39.145,39.496,331332,0
2017-02-15,39.7,39.993,39.623,39.914,247387,0
2017-02-16,39.749,39.857,39.564,39.74,249576,0
2017-02-17,39.096,39.328,39.096,39.291,261232,0
2017-02-21,39.447,39.651,39.407,39.583,234714,0
2017-02-22,39.291,39.632,39.291,39.603,221187,0
2017-02-23,39.72,39.73,39.437,39.681,238453,0
2017-02-24,39.009,39.457,38.979,39.33,278950,0
2017-02-27,39.145,39.496,39.086,39.496,340968,0
2017-02-28,38.999,39.252,38.979,39.057,404317,0
2017-03-01,39.389,39.804,39.369,39.583,348863,0
2017-03-02,39.34,39.447,39.052,39.096,291287,0
2017-03-03,39.33,39.768,39.291,39.681,231216,0
2017-03-06,39.506,39.534,39.33,39.457,167220,0
2017-03-07,39.086,39.203,38.882,39.096,414688,0
2017-03-08,39.096,39.213,38.92,38.95,344398,0
2017-03-09,39.145,39.34,39.044,39.223,234458,0
2017-03-10,39.213,39.3,38.979,39.203,385247,0
2017-03-13,39.973,39.993,39.759,39.827,308634,0
2017-03-14,40.49,40.831,40.061,40.821,553073,0
2017-03-15,41.133,41.591,40.948,41.455,534589,0
2017-03-16,42.196,42.43,42.098,42.381,402742,0
2017-03-17,42.995,42.995,42.332,42.527,406459,0
2017-03-20,42.664,42.674,42.41,42.449,308214,0
2017-03-21,43.063,43.092,42.332,42.381,497309,0
2017-03-22,41.66,42.147,41.543,42.059,403752,0
2017-03-23,41.776,42.234,41.737,41.933,449236,0
2017-03-24,41.816,42.127,41.745,41.923,182651,0
2017-03-27,41.737,41.943,41.533,41.874,313097,0
2017-03-28,41.737,42.125,41.727,41.952,293266,0
2017-03-29,41.35,41.539,41.291,41.43,297034,0
2017-03-30,41.836,42.075,41.817,41.916,212749,0
2017-03-31,41.747,42.164,41.698,42.015,245123,0
2017-04-03,41.321,41.499,40.884,41.39,533739,0
2017-04-04,41.44,41.499,41.192,41.45,314976,0
2017-04-05,41.717,41.906,41.271,41.301,290100,0
2017-04-06,41.321,41.628,41.271,41.529,357581,0
2017-04-07,41.142,41.381,41.112,41.231,245236,0
2017-04-10,41.37,41.549,41.341,41.43,240245,0
2017-04-11,41.469,41.827,41.222,41.797,310460,0
2017-04-12,41.499,41.539,41.231,41.331,243982,0
2017-04-13,41.281,41.519,41.068,41.073,394444,0
2017-04-17,41.172,41.737,41.172,41.717,145843,0
2017-04-18,40.993,41.182,40.785,41.093,359417,0
2017-04-19,41.469,41.589,40.983,41.103,323031,0
2017-04-20,41.628,42.055,41.569,41.965,324470,0
2017-04-21,41.965,41.965,41.628,41.708,181709,0
2017-04-24,42.898,43.116,42.878,43.027,298110,0
2017-04-25,43.076,43.334,43.037,43.185,255843,0
2017-04-26,43.632,44.019,43.602,43.721,400984,0
2017-04-27,44.296,44.564,44.148,44.514,396407,0
2017-04-28,44.296,44.326,44.009,44.028,199036,0
2017-05-01,43.979,44.286,43.761,44.197,276531,0
2017-05-02,44.673,44.713,44.425,44.643,313835,0
2017-05-03,44.395,44.703,44.336,44.574,213903,0
2017-05-04,44.723,45.07,44.713,45.02,228141,0
2017-05-05,45.03,45.363,44.881,45.358,204958,0
2017-05-08,44.931,44.981,44.683,44.792,249966,0
2017-05-09,44.782,44.971,44.733,44.862,162694,0
2017-05-10,45.258,45.358,45.149,45.338,189929,0
2017-05-11,44.991,45.12,44.901,45.03,229670,0
2017-05-12,45.03,45.179,44.951,45.07,234753,0
2017-05-15,45.09,45.328,45.05,45.308,184015,0
2017-05-16,45.308,45.477,45.199,45.467,184856,0
2017-05-17,44.524,44.693,44.128,44.167,270447,0
2017-05-18,44.941,45.199,44.763,45.07,395118,0
2017-05-19,45.516,45.685,45.387,45.506,252312,0
2017-05-22,45.11,45.199,44.822,44.971,349008,0
2017-05-23,45.11,45.129,44.891,45.01,196344,0
2017-05-24,44.594,44.941,44.594,44.832,294839,0
2017-05-25,44.673,45.144,44.653,45.08,484764,0
2017-05-26,44.693,44.733,44.455,44.604,389020,0
2017-05-30,44.634,44.723,44.475,44.514,257357,0
2017-05-31,44.802,44.812,44.395,44.663,337752,0
2017-06-01,44.881,45.348,44.753,45.348,256507,0
2017-06-02,45.209,45.427,45.03,45.268,433256,0
2017-06-05,45.348,45.367,44.881,44.921,854045,0
2017-06-06,44.604,44.683,44.465,44.643,365753,0
2017-06-07,44.872,45.05,44.713,45.001,259187,0
2017-06-08,44.891,45.239,44.842,45.09,300458,0
2017-06-09,44.961,45.436,44.961,45.348,404860,0
2017-06-12,45.09,45.219,44.847,45.139,313388,0
2017-06-13,45.348,45.348,45.08,45.229,246998,0
2017-06-14,45.169,45.189,44.842,45.129,332697,0
2017-06-15,44.336,45.09,44.306,45.05,319381,0
2017-06-16,45.199,45.705,45.08,45.665,451789,0
2017-06-19,45.863,45.977,45.764,45.923,241331,0
2017-06-20,45.784,45.784,45.288,45.358,178910,0
2017-06-21,45.358,45.367,45.02,45.08,214275,0
2017-06-22,44.832,45.169,44.748,44.951,276923,0
2017-06-23,45.229,45.487,45.08,45.377,291120,0
2017-06-26,46.042,46.25,45.844,45.893,225205,0
2017-06-27,45.427,45.754,45.288,45.665,367192,0
2017-06-28,45.933,46.379,45.903,46.27,466850,0
2017-06-29,46.429,46.468,45.601,45.794,472157,0
2017-06-30,45.982,46.002,45.298,45.635,1008051,0
2017-07-03,45.764,46.111,45.725,45.913,293502,0
2017-07-05,45.734,45.938,45.556,45.913,373855,0
2017-07-06,45.645,46.052,45.477,45.754,329310,0
2017-07-07,45.437,45.824,45.417,45.705,250759,0
2017-07-10,45.794,46.181,45.744,46.092,163266,0
2017-07-11,45.209,45.308,44.723,44.891,309808,0
2017-07-12,45.387,45.744,45.288,45.695,264741,0
2017-07-13,46.022,46.27,45.963,46.25,205655,0
2017-07-14,45.754,46.211,45.645,46.111,190064,0
2017-07-17,45.973,45.982,45.774,45.923,222947,0
2017-07-18,45.437,45.695,45.377,45.655,247229,0
2017-07-19,45.804,46.062,45.764,46.002,153453,0
2017-07-20,46.34,46.419,46.032,46.23,196857,0
2017-07-21,46.587,46.617,46.359,46.558,165034,0
2017-07-24,46.062,46.518,45.973,46.459,305529,0
2017-07-25,47.113,47.261,47.014,47.083,251084,0
2017-07-26,47.401,47.679,47.282,47.559,218159,0
2017-07-27,47.758,47.867,47.431,47.49,213169,0
2017-07-28,47.083,47.579,47.083,47.51,178093,0
2017-07-31,48.125,48.641,48.085,48.571,283769,0
2017-08-01,49.137,49.265,48.889,49.057,299573,0
2017-08-02,48.7,48.75,48.383,48.442,725886,0
2017-08-03,48.363,48.522,48.244,48.403,161006,0
2017-08-04,48.234,48.442,48.184,48.383,156773,0
2017-08-07,48.383,48.472,48.204,48.313,451122,0
2017-08-08,48.482,48.66,48.373,48.442,251499,0
2017-08-09,47.421,47.768,47.361,47.758,195348,0
2017-08-10,47.698,47.808,46.726,46.786,256558,0
2017-08-11,46.072,46.22,45.883,46.042,229326,0
2017-08-14,46.647,46.845,46.548,46.578,170661,0
2017-08-15,46.379,46.419,46.24,46.31,191760,0
2017-08-16,46.806,46.855,46.587,46.617,148439,0
2017-08-17,46.498,46.548,45.982,45.992,169012,0
2017-08-18,46.151,46.33,46.052,46.141,207933,0
2017-08-21,46.141,46.151,45.973,46.032,152151,0
2017-08-22,46.161,46.419,46.131,46.28,194176,0
2017-08-23,45.98,46.16,45.9,46.02,195726,0
2017-08-24,46.68,46.86,46.57,46.57,118745,0
2017-08-25,46.99,47.18,46.84,46.89,116574,0
2017-08-28,46.96,47.05,46.74,46.78,92830,0
2017-08-29,46.25,46.48,46.195,46.48,101857,0
2017-08-30,46.34,46.49,46.29,46.32,83819,0
2017-08-31,46.86,46.99,46.69,46.93,158369,0
2017-09-01,47.18,47.47,47.14,47.23,113435,0
2017-09-05,46.16,46.46,45.83,45.94,181783,0
2017-09-06,46.02,46.2,45.86,46.02,224097,0
2017-09-07,46.4,46.43,45.81,45.92,190820,0
2017-09-08,46.28,46.58,46.24,46.39,169775,0
2017-09-11,46.94,47.29,46.88,47.16,137309,0
2017-09-12,47.66,48,47.66,47.87,214896,0
2017-09-13,47.26,47.57,47.1501,47.23,131012,0
2017-09-14,47.23,47.3,47.09,47.22,131506,0
2017-09-15,47.1,47.39,47.1,47.31,102939,0
2017-09-18,47.36,47.64,47.32,47.5,141127,0
2017-09-19,47.46,47.72,47.39,47.64,174727,0
2017-09-20,48.17,48.32,47.81,48,240763,0
2017-09-21,48.12,48.36,47.94,48.28,151706,0
2017-09-22,47.9,48.13,47.8456,48.11,137379,0
2017-09-25,47.07,47.4,46.82,47.14,251794,0
2017-09-26,46.5,46.52,46.06,46.36,1258834,0
2017-09-27,47.7,47.74,47.21,47.43,505720,0
2017-09-28,47.55,48.02,47.55,47.98,182748,0
2017-09-29,47.78,47.99,47.63,47.91,483098,0
2017-10-02,47.86,48.09,47.83,48.01,145736,0
2017-10-03,47.47,47.5699,47.31,47.42,216068,0
2017-10-04,47.36,47.4,47.19,47.32,223552,0
2017-10-05,47.26,47.41,47.06,47.23,198778,0
2017-10-06,47.4,47.724,47.35,47.69,177941,0
2017-10-09,47.83,47.97,47.78,47.84,100943,0
2017-10-10,48.12,48.42,48.1,48.38,154911,0
2017-10-11,48.34,48.365,48.17,48.34,104651,0
2017-10-12,48.08,48.46,48,48.33,172057,0
2017-10-13,48.56,48.72,48.48,48.55,124839,0
2017-10-16,48.37,48.46,48.18,48.24,151972,0
2017-10-17,48.37,48.41,48,48.02,101571,0
2017-10-18,48.57,48.7,48.4,48.5,160965,0
2017-10-19,48.32,48.6,48.32,48.51,105649,0
2017-10-20,49.37,49.37,49.09,49.14,160738,0
2017-10-23,49.74,49.87,49.38,49.43,195715,0
2017-10-24,49.02,49.1199,48.84,48.96,172044,0
2017-10-25,49.24,49.46,48.61,48.96,142619,0
2017-10-26,49.26,49.34,49.11,49.12,199508,0
2017-10-27,48.82,48.92,48.7,48.85,125475,0
2017-10-30,48.93,49.02,48.67,48.75,103648,0
2017-10-31,48.72,49.24,48.72,49.03,126233,0
2017-11-01,49.21,49.35,48.94,48.95,294600,0
2017-11-02,48.75,48.92,48.48,48.9,261725,0
2017-11-03,48.69,48.92,48.69,48.88,98245,0
2017-11-06,48.67,48.93,48.66,48.87,81781,0
2017-11-07,48.72,48.87,48.3,48.4,157345,0
2017-11-08,48.08,48.27,47.91,48.23,110627,0
2017-11-09,48.17,48.43,48,48.42,121294,0
2017-11-10,48.47,48.8,48.42,48.64,120668,0
