Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.25,1.25,1.07,1.2,74676,0
2017-01-04,1.185,1.24,1.14,1.19,59419,0
2017-01-05,1.24,1.31,1.14,1.18,184128,0
2017-01-06,1.24,1.3,1.22,1.22,97807,0
2017-01-09,1.2,1.21,1.05,1.2001,91733,0
2017-01-10,1.27,1.27,1.15,1.2,83501,0
2017-01-11,1.18,1.36,1.16,1.24,141585,0
2017-01-12,1.2,1.25,1.1799,1.21,36082,0
2017-01-13,1.22,1.23,1.16,1.18,23308,0
2017-01-17,1.21,1.3828,1.21,1.3,19109,0
2017-01-18,1.31,1.32,1.2,1.32,68276,0
2017-01-19,1.31,1.32,1.3001,1.3117,5706,0
2017-01-20,1.32,1.48,1.32,1.4,212226,0
2017-01-23,1.35,1.43,1.3,1.42,58594,0
2017-01-24,1.41,1.4499,1.387,1.43,14979,0
2017-01-25,1.4252,1.45,1.4252,1.45,5700,0
2017-01-26,1.32,1.45,1.24,1.45,53063,0
2017-01-27,1.4,1.52,1.38,1.5,91076,0
2017-01-30,1.43,1.51,1.36,1.43,85900,0
2017-01-31,1.44,1.44,1.36,1.43,11431,0
2017-02-01,1.29,1.46,1.27,1.38,507720,0
2017-02-02,1.4,1.45,1.31,1.38,72353,0
2017-02-03,1.34,1.4199,1.34,1.36,9422,0
2017-02-06,1.3899,1.4,1.33,1.4,53311,0
2017-02-07,1.35,1.43,1.34,1.36,36900,0
2017-02-08,1.42,1.46,1.34,1.41,9671,0
2017-02-09,1.31,1.5,1.29,1.41,76705,0
2017-02-10,1.39,1.52,1.39,1.43,11885,0
2017-02-14,1.42,1.45,1.42,1.43,600,0
2017-02-15,1.42,1.42,1.42,1.42,197,0
2017-02-16,1.3,1.44,1.3,1.38,35002,0
2017-02-17,1.42,1.46,1.38,1.4,45570,0
2017-02-21,1.4,1.47,1.39,1.44,29500,0
2017-02-22,1.44,1.44,1.38,1.44,24700,0
2017-02-23,1.41,1.42,1.41,1.42,1100,0
2017-02-24,1.44,1.479,1.38,1.4072,20882,0
2017-02-27,1.3701,1.48,1.3701,1.41,13416,0
2017-02-28,1.4,1.4,1.38,1.38,6301,0
2017-03-01,1.36,1.4137,1.36,1.36,1885,0
2017-03-02,1.4,1.46,1.39,1.43,12139,0
2017-03-03,1.43,1.45,1.42,1.42,5500,0
2017-03-06,1.44,1.46,1.4,1.42,10935,0
2017-03-07,1.36,1.44,1.3505,1.43,8800,0
2017-03-08,1.4,1.44,1.39,1.39,706,0
2017-03-09,1.391,1.43,1.39,1.43,304,0
2017-03-10,1.4,1.4,1.35,1.37,32091,0
2017-03-13,1.37,1.37,1.34,1.3675,3700,0
2017-03-15,1.29,1.32,1.29,1.29,11995,0
2017-03-16,1.35,1.42,1.3,1.31,42635,0
2017-03-17,1.28,1.3501,1.28,1.33,25351,0
2017-03-20,1.39,1.41,1.26,1.31,37303,0
2017-03-21,1.3,1.34,1.26,1.26,24666,0
2017-03-22,1.3,1.34,1.28,1.3,25000,0
2017-03-23,1.3,1.3,1.29,1.29,5346,0
2017-03-24,1.29,1.29,1.28,1.28,1303,0
2017-03-27,1.2801,1.2801,1.27,1.27,2301,0
2017-03-28,1.29,1.3067,1.28,1.28,2125,0
2017-03-29,1.34,1.34,1.34,1.34,100,0
2017-03-30,1.3,1.3,1.2,1.26,27551,0
2017-03-31,1.2536,1.35,1.22,1.3,56933,0
2017-04-03,1.33,1.33,1.281,1.31,9997,0
2017-04-04,1.24,1.3296,1.24,1.29,15200,0
2017-04-05,1.3299,1.3299,1.3,1.3,200,0
2017-04-06,1.2616,1.28,1.2616,1.28,6900,0
2017-04-10,1.3,1.3,1.29,1.29,1500,0
2017-04-11,1.21,1.38,1.179,1.36,36890,0
2017-04-12,1.29,1.39,1.17,1.3401,56864,0
2017-04-13,1.3605,1.3605,1.35,1.35,610,0
2017-04-17,1.2855,1.39,1.27,1.39,16723,0
2017-04-18,1.31,1.31,1.31,1.31,2000,0
2017-04-19,1.28,1.355,1.28,1.355,9902,0
2017-04-20,1.3615,1.3721,1.3,1.31,20031,0
2017-04-21,1.31,1.39,1.2,1.35,47300,0
2017-04-24,1.39,1.39,1.3224,1.38,21573,0
2017-04-25,1.35,1.3501,1.35,1.35,2110,0
2017-04-26,1.35,1.358,1.35,1.358,3119,0
2017-04-27,1.3,1.3413,1.3,1.33,17300,0
2017-04-28,1.33,1.33,1.3,1.3,5900,0
2017-05-01,1.312,1.33,1.31,1.33,12152,0
2017-05-03,1.25,1.32,1.25,1.2764,1125,0
2017-05-04,1.31,1.31,1.31,1.31,309,0
2017-05-05,1.281,1.281,1.28,1.28,400,0
2017-05-08,1.29,1.32,1.27,1.29,17549,0
2017-05-09,1.31,1.32,1.28,1.32,13100,0
2017-05-10,1.33,1.33,1.27,1.28,820,0
2017-05-15,1.3,1.3,1.272,1.2739,1681,0
2017-05-16,1.27,1.29,1.22,1.24,103123,0
2017-05-17,1.249,1.25,1.22,1.22,7490,0
2017-05-18,1.22,1.308,1.22,1.27,9136,0
2017-05-19,1.2271,1.2271,1.2271,1.2271,1210,0
2017-05-22,1.22,1.23,1.22,1.22,675,0
2017-05-23,1.2999,1.2999,1.22,1.22,2319,0
2017-05-24,1.28,1.28,1.22,1.22,7625,0
2017-05-25,1.25,1.25,1.11,1.22,49764,0
2017-05-26,1.29,1.29,1.18,1.18,54711,0
2017-05-30,1.23,1.23,1.2,1.2,200,0
2017-05-31,1.2399,1.2399,1.19,1.2,2661,0
2017-06-01,1.26,1.26,1.201,1.21,8154,0
2017-06-02,1.29,1.29,1.2319,1.25,1292,0
2017-06-05,1.22,1.26,1.19,1.25,32671,0
2017-06-06,1.33,1.354,1.2,1.28,113154,0
2017-06-07,1.24,1.34,1.22,1.2471,34438,0
2017-06-08,1.19,1.3,1.19,1.26,60048,0
2017-06-09,1.26,1.32,1.21,1.25,33334,0
2017-06-12,1.269,1.28,1.25,1.25,44916,0
2017-06-13,1.24,1.27,1.2219,1.2219,19783,0
2017-06-14,1.2186,1.23,1.2186,1.23,2200,0
2017-06-15,1.21,1.21,1.21,1.21,100,0
2017-06-16,1.27,1.27,1.21,1.21,330,0
2017-06-19,1.2793,1.2793,1.21,1.22,2804,0
2017-06-20,1.22,1.22,1.22,1.22,300,0
2017-06-21,1.33,1.33,1.21,1.25,14243,0
2017-06-22,1.25,1.25,1.25,1.25,2000,0
2017-06-23,1.27,1.2771,1.27,1.2705,800,0
2017-06-26,1.2999,1.2999,1.25,1.25,2500,0
2017-06-27,1.299,1.299,1.2888,1.2888,1301,0
2017-06-30,1.2981,1.2981,1.26,1.2897,52004,0
2017-07-03,1.25,1.25,1.25,1.25,103,0
2017-07-05,1.28,1.28,1.27,1.27,554,0
2017-07-06,1.275,1.28,1.27,1.28,6790,0
2017-07-07,1.28,1.3,1.28,1.3,7406,0
2017-07-10,1.3,1.3007,1.281,1.281,539,0
2017-07-11,1.2501,1.29,1.25,1.29,6207,0
2017-07-12,1.2999,1.2999,1.2999,1.2999,106,0
2017-07-13,1.24,1.29,1.24,1.29,3454,0
2017-07-14,1.279,1.31,1.279,1.3,20999,0
2017-07-17,1.22,1.31,1.22,1.26,46732,0
2017-07-18,1.27,1.2807,1.26,1.28,13962,0
2017-07-19,1.2513,1.31,1.2513,1.28,26839,0
2017-07-20,1.3035,1.39,1.29,1.368,20748,0
2017-07-21,1.38,1.38,1.28,1.28,26180,0
2017-07-24,1.3025,1.3025,1.3025,1.3025,111,0
2017-07-26,1.36,1.36,1.36,1.36,1454,0
2017-07-27,1.35,1.36,1.35,1.36,601,0
2017-07-28,1.34,1.37,1.34,1.37,903,0
2017-07-31,1.38,1.39,1.34,1.34,17201,0
2017-08-01,1.3421,1.345,1.3421,1.345,750,0
2017-08-02,1.39,1.44,1.34,1.35,7680,0
2017-08-04,1.34,1.34,1.28,1.3,15441,0
2017-08-07,1.32,1.32,1.32,1.32,100,0
2017-08-08,1.26,1.26,1.26,1.26,700,0
2017-08-09,1.26,1.31,1.25,1.3,27768,0
2017-08-10,1.3,1.3,1.3,1.3,1000,0
2017-08-11,1.3,1.32,1.26,1.32,42901,0
2017-08-14,1.32,1.38,1.29,1.35,15936,0
2017-08-15,1.34,1.35,1.27,1.27,13401,0
2017-08-17,1.3298,1.35,1.3298,1.3399,10800,0
2017-08-18,1.3068,1.3068,1.3068,1.3068,1000,0
2017-08-21,1.3,1.35,1.3,1.35,5300,0
2017-08-22,1.3,1.35,1.3,1.302,16666,0
2017-08-25,1.33,1.35,1.33,1.34,6303,0
2017-08-28,1.36,1.36,1.34,1.34,3100,0
2017-08-29,1.36,1.3608,1.36,1.3601,19252,0
2017-08-30,1.36,1.36,1.36,1.36,3375,0
2017-08-31,1.3601,1.38,1.36,1.37,5506,0
2017-09-01,1.36,1.38,1.36,1.38,900,0
2017-09-05,1.355,1.3699,1.35,1.35,4100,0
2017-09-06,1.369,1.43,1.35,1.38,59541,0
2017-09-07,1.4,1.4599,1.37,1.39,74061,0
2017-09-08,1.39,1.3908,1.39,1.39,4100,0
2017-09-11,1.4,1.4,1.36,1.36,5725,0
2017-09-12,1.3672,1.3924,1.3672,1.3924,1435,0
2017-09-13,1.39,1.39,1.35,1.35,4700,0
2017-09-14,1.35,1.35,1.35,1.35,0,0
2017-09-15,1.3899,1.39,1.38,1.38,5884,0
2017-09-18,1.4,1.4401,1.3976,1.44,17344,0
2017-09-19,1.45,1.45,1.42,1.45,39829,0
2017-09-20,1.44,1.45,1.44,1.4499,2100,0
2017-09-21,1.41,1.41,1.41,1.41,1498,0
2017-09-22,1.45,1.6,1.42,1.44,36127,0
2017-09-25,1.45,1.605,1.4,1.43,76382,0
2017-09-26,1.45,1.45,1.41,1.4101,9000,0
2017-09-27,1.45,1.56,1.4,1.41,15706,0
2017-09-28,1.45,1.4529,1.4,1.41,21600,0
2017-09-29,1.44,1.44,1.39,1.4,26978,0
2017-10-02,1.4399,1.4399,1.42,1.4299,4900,0
2017-10-03,1.4028,1.45,1.4,1.41,25028,0
2017-10-04,1.439,1.439,1.27,1.34,84693,0
2017-10-05,1.37,1.37,1.35,1.3501,4300,0
2017-10-06,1.36,1.36,1.33,1.33,3200,0
2017-10-09,1.33,1.3663,1.33,1.34,10763,0
2017-10-10,1.3599,1.38,1.3599,1.38,2787,0
2017-10-11,1.39,1.3907,1.39,1.3907,600,0
2017-10-13,1.4,1.4,1.4,1.4,600,0
2017-10-16,1.3803,1.4,1.3803,1.4,1200,0
2017-10-17,1.3901,1.4,1.38,1.38,525,0
2017-10-18,1.4,1.4,1.36,1.3744,2710,0
2017-10-19,1.37,1.4,1.37,1.4,14024,0
2017-10-20,1.41,1.4101,1.39,1.4,105636,0
2017-10-23,1.38,1.42,1.38,1.4,11720,0
2017-10-24,1.4,1.4,1.315,1.38,32924,0
2017-10-25,1.3601,1.39,1.3427,1.38,7800,0
2017-10-26,1.36,1.37,1.36,1.36,6300,0
2017-10-30,1.44,1.44,1.3914,1.43,2409,0
2017-10-31,1.36,1.39,1.36,1.37,10715,0
2017-11-01,1.41,1.47,1.41,1.43,4840,0
2017-11-03,1.3869,1.3869,1.3869,1.3869,500,0
2017-11-06,1.4201,1.4201,1.4201,1.4201,2000,0
2017-11-07,1.3901,1.3901,1.37,1.37,5500,0
2017-11-08,1.4,1.4,1.38,1.382,3295,0
2017-11-09,1.3759,1.39,1.37,1.38,21010,0
2017-11-10,1.36,1.36,1.3,1.3101,5034,0
