Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,14.68,14.74,14.04,14.68,131657,0
2017-01-04,14.69,14.8,14.65,14.76,77211,0
2017-01-05,14.78,15.05,14.59,14.67,112959,0
2017-01-06,14.7,14.855,14.32,14.65,104670,0
2017-01-09,14.63,14.63,14.45,14.5,81910,0
2017-01-10,14.59,14.73,14.56,14.6,60959,0
2017-01-11,14.51,14.8,14.38,14.75,223128,0
2017-01-12,14.7,14.805,14.5,14.65,175286,0
2017-01-13,14.65,14.725,14.47,14.48,98172,0
2017-01-17,14.42,14.62,14.33,14.52,198552,0
2017-01-18,14.5,14.7,14.37,14.69,173541,0
2017-01-19,14.78,14.83,14.58,14.62,122449,0
2017-01-20,14.61,14.74,14.46,14.69,273525,0
2017-01-23,14.71,14.81,14.5,14.56,88597,0
2017-01-24,14.6,14.8,14.56,14.73,99920,0
2017-01-25,14.73,14.94,14.62,14.72,182154,0
2017-01-26,14.75,14.76,14.335,14.38,211121,0
2017-01-27,14.3,14.52,14.1201,14.49,106949,0
2017-01-30,14.43,14.51,14.24,14.47,103789,0
2017-01-31,14.45,14.7,14.42,14.69,157857,0
2017-02-01,14.77,14.78,14.55,14.58,95966,0
2017-02-02,14.52,14.67,14.51,14.55,229855,0
2017-02-03,14.55,15.055,14.55,14.7,745766,0
2017-02-06,14.65,14.76,14.6,14.68,234858,0
2017-02-07,14.75,14.79,14.64,14.68,274220,0
2017-02-08,15.08,15.76,14.99,15.48,770737,0
2017-02-09,15.51,15.77,15.38,15.49,286373,0
2017-02-10,15.39,15.69,15.32,15.54,213275,0
2017-02-13,15.5,15.98,15.5,15.88,278530,0
2017-02-14,15.74,16.18,15.64,15.97,274522,0
2017-02-15,15.99,16.29,15.9,16.25,194500,0
2017-02-16,16.1,16.4,16.1,16.37,194698,0
2017-02-17,16.35,16.53,16.15,16.29,300680,0
2017-02-21,16.28,16.4889,15.94,15.94,616693,0
2017-02-22,16.27,16.27,15.73,15.75,376818,0
2017-02-23,15.8,15.84,15.64,15.7,284989,0
2017-02-24,15.56,15.805,15.54,15.78,102828,0
2017-02-27,15.77,15.879,15.64,15.64,204600,0
2017-02-28,15.57,15.68,15.44,15.45,292106,0
2017-03-01,15.57,15.79,15.48,15.71,279926,0
2017-03-02,15.7,15.8,15.5198,15.63,177293,0
2017-03-03,15.7,15.76,15.5,15.55,150143,0
2017-03-06,15.47,15.54,15.18,15.46,215795,0
2017-03-07,15.5,15.76,15.5,15.66,295882,0
2017-03-08,15.71,15.955,15.55,15.84,384220,0
