Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,67.307,67.492,66.467,67.238,1036835,0
2017-01-04,67.462,68.419,67.131,68.312,737216,0
2017-01-05,67.736,68.537,67.307,68.468,644797,0
2017-01-06,68.185,68.819,68.088,68.615,597207,0
2017-01-09,68.654,68.654,67.472,67.668,767482,0
2017-01-10,67.424,67.696,67.033,67.053,592371,0
2017-01-11,67.111,67.228,66.429,66.545,854697,0
2017-01-12,66.555,67.365,65.92,67.345,984858,0
2017-01-13,67.317,67.677,67.063,67.228,393542,0
2017-01-17,67.424,68.087,67.092,68.039,730127,0
2017-01-18,67.99,68.487,67.532,68.331,566629,0
2017-01-19,67.922,68.146,67.15,67.258,475559,0
2017-01-20,67.579,68.136,67.218,68.087,595825,0
2017-01-23,68.175,69.463,68.068,69.307,728906,0
2017-01-24,69.366,69.785,69.093,69.434,844827,0
2017-01-25,69.405,69.493,68.175,68.468,659706,0
2017-01-26,68.663,68.809,68.116,68.205,488691,0
2017-01-27,68.273,68.615,67.522,67.785,564905,0
2017-01-30,67.696,67.97,66.985,67.297,594913,0
2017-01-31,67.502,68.38,67.175,68.058,737043,0
2017-02-01,67.97,68.403,66.975,67.043,507461,0
2017-02-02,67.2,67.873,67.063,67.823,585549,0
2017-02-03,68.39,68.41,67.619,68.175,741423,0
2017-02-06,68.263,68.624,67.843,68.214,593245,0
2017-02-07,67.912,68.692,67.541,67.639,637258,0
2017-02-08,67.902,68.692,67.532,68.36,664645,0
2017-02-09,68.946,69.57,68.39,69.21,793781,0
2017-02-10,68.966,69.63,68.966,69.59,579811,0
2017-02-13,69.785,70.009,69.093,69.532,364402,0
2017-02-14,69.2,69.639,68.37,68.439,714549,0
2017-02-15,68.116,68.156,67.335,67.579,776257,0
2017-02-16,67.522,68.283,67.443,67.853,557301,0
2017-02-17,67.98,68.121,67.15,68.077,586969,0
2017-02-21,67.98,68.897,67.775,68.819,682503,0
2017-02-22,68.839,69.242,68.131,68.829,462585,0
2017-02-23,69.134,70.028,68.741,69.754,746139,0
2017-02-24,69.429,70.245,68.387,69.99,2640274,0
2017-02-27,69.862,70.835,69.537,70.49,1577972,0
2017-02-28,70.264,70.334,68.711,69.163,4741066,0
2017-03-01,68.554,69.37,67.216,67.246,27879015,0
2017-03-02,68.062,68.671,67.246,67.964,3512654,0
2017-03-03,67.434,67.472,65.634,66.597,3180429,0
2017-03-06,66.233,66.361,65.27,65.506,1849553,0
2017-03-07,65.673,65.959,64.386,64.612,1645885,0
2017-03-08,64.1,64.356,62.842,63.687,1870624,0
2017-03-09,63.521,63.943,61.849,61.888,1729648,0
2017-03-10,62.537,62.606,60.856,61.524,2431101,0
2017-03-13,61.534,62.685,61.456,62.645,3270926,0
2017-03-14,62.282,64.071,62.006,63.756,2655001,0
2017-03-15,63.795,66.105,63.471,65.644,2661019,0
2017-03-16,65.467,65.683,65.074,65.359,1107818,0
2017-03-17,65.359,65.801,64.906,65.781,4433127,0
2017-03-20,65.771,66.303,65.496,65.644,1071005,0
2017-03-21,65.771,66.155,65.349,65.575,1688814,0
2017-03-22,65.653,65.688,64.514,65.211,1135991,0
2017-03-23,65.123,66.529,65.074,66.135,1162673,0
2017-03-24,66.115,66.519,65.86,65.979,828621,0
2017-03-27,66.077,66.637,65.034,65.329,996519,0
2017-03-28,65.231,65.683,64.464,65.496,832724,0
2017-03-29,65.388,65.851,65.142,65.349,1131358,0
2017-03-30,65.27,65.545,64.848,65.378,738899,0
2017-03-31,65.477,65.713,65.231,65.27,1246106,0
2017-04-03,65.31,65.997,65.034,65.329,1471632,0
2017-04-04,65.369,65.791,65.113,65.231,1233031,0
2017-04-05,65.319,65.516,64.966,65.014,1451758,0
2017-04-06,64.966,65.25,64.622,64.916,1109565,0
2017-04-07,64.916,65.339,64.813,64.956,1018276,0
2017-04-10,64.858,65.728,64.68,65.565,770649,0
2017-04-11,65.595,66.391,65.565,66.077,882537,0
2017-04-12,66.105,66.431,65.851,66.214,732835,0
2017-04-13,66.253,66.509,65.713,66.175,665642,0
2017-04-17,66.391,66.745,66.087,66.686,556061,0
2017-04-18,66.706,67.246,66.45,67.158,652663,0
2017-04-19,67.128,67.905,67.04,67.334,927082,0
2017-04-20,67.374,67.502,66.794,67.286,548806,0
2017-04-21,67.236,67.276,66.263,66.332,617275,0
2017-04-24,66.912,66.912,64.071,64.14,1174024,0
2017-04-25,64.159,64.523,63.874,64.061,919597,0
2017-04-26,63.855,64.081,62.969,62.989,911650,0
2017-04-27,64.022,64.022,62.714,62.803,809381,0
2017-04-28,62.645,62.645,61.839,62.114,930409,0
2017-05-01,62.488,62.911,61.515,62.439,1005999,0
2017-05-02,62.518,63.619,62.39,63.157,954106,0
2017-05-03,63.323,63.343,61.888,62.046,790896,0
2017-05-04,61.77,61.79,60.473,61.495,1063356,0
2017-05-05,61.554,62.222,61.22,61.613,741631,0
2017-05-08,61.731,61.79,60.345,60.453,952290,0
2017-05-09,60.531,60.649,59.824,60.493,1140290,0
2017-05-10,60.62,62.498,60.62,61.868,2047433,0
2017-05-11,61.485,61.559,60.305,61.19,2375985,0
2017-05-12,61.436,61.436,59.509,59.696,1269876,0
2017-05-15,59.646,60.384,59.49,59.932,2114145,0
2017-05-16,59.824,59.824,57.83,57.965,1826382,0
2017-05-17,57.641,59.617,57.641,59.224,1971344,0
2017-05-18,59.105,59.948,58.713,59.75,1686895,0
2017-05-19,59.621,60.92,59.214,60.136,1716397,0
2017-05-22,60.136,60.831,59.889,60.265,1466575,0
2017-05-23,60.335,60.632,60.022,60.265,1034434,0
2017-05-24,60.384,61.644,60.246,61.466,1356908,0
2017-05-25,61.753,62.239,61.317,61.971,1074735,0
2017-05-26,62.11,62.497,61.267,61.495,1246529,0
2017-05-30,61.456,61.704,60.176,60.196,1221066,0
2017-05-31,59.988,60.672,59.581,60.365,1979071,0
2017-06-01,60.146,60.672,59.68,60.444,1198218,0
2017-06-02,60.761,61.426,60.236,60.414,882178,0
2017-06-05,60.176,60.355,59.522,59.71,855300,0
2017-06-06,59.76,61.188,59.283,60.662,1027747,0
2017-06-07,60.722,62.289,60.722,61.654,1356635,0
2017-06-08,61.823,61.981,60.989,61.307,1153827,0
2017-06-09,61.247,62.229,60.722,61.862,764642,0
