Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.3,4.67,4.13,4.43,11032,0
2017-01-04,4.21,4.36,4.21,4.22,8304,0
2017-01-05,4.23,4.363,4.17,4.35,37491,0
2017-01-06,4.3,4.45,4.3,4.35,17345,0
2017-01-09,4.31,4.51,4.2078,4.34,586,0
2017-01-10,4.2,4.45,4.2,4.26,570,0
2017-01-11,4.3899,4.3899,4.2131,4.338,3796,0
2017-01-12,4.3899,4.43,4.3085,4.3085,779,0
2017-01-13,4.2425,4.51,4.2425,4.51,2616,0
2017-01-17,4.43,4.54,4.36,4.54,5590,0
2017-01-18,4.44,4.46,4.25,4.25,3017,0
2017-01-19,4.2632,4.2632,4.2632,4.2632,387,0
2017-01-20,4.28,4.4,4.23,4.32,12277,0
2017-01-23,4.39,4.55,4.2101,4.42,2724,0
2017-01-24,4.48,4.6999,4.3252,4.58,25612,0
2017-01-25,4.51,4.6975,4.35,4.46,2191,0
2017-01-26,4.62,4.62,4.4983,4.4983,4200,0
2017-01-27,4.55,4.55,4.55,4.55,191,0
2017-01-31,4.28,4.3902,4.28,4.29,1209,0
2017-02-02,4.53,4.9,4.31,4.31,9797,0
2017-02-03,4.22,4.74,4.22,4.5,18910,0
2017-02-06,4.34,4.51,4.32,4.51,5019,0
2017-02-07,4.35,4.58,4.32,4.36,13552,0
2017-02-08,4.37,4.47,4.35,4.36,6372,0
2017-02-09,5.46,5.55,4.37,4.65,41501,0
2017-02-10,4.52,4.5439,4.4158,4.42,7886,0
2017-02-13,4.45,5.83,4.32,5.8,158326,0
2017-02-14,6.6,8.8692,6.6,7.53,1395267,0
2017-02-15,6.61,7.48,6,6.48,114273,0
2017-02-16,6.34,6.34,6.05,6.07,38895,0
2017-02-17,6.06,6.06,5.5822,5.649,25303,0
2017-02-21,5.66,6,5.5866,5.99,8639,0
2017-02-22,6,6.8694,5.7406,6.73,16392,0
2017-02-23,6.8,6.89,6.0248,6.12,12481,0
2017-02-24,5.86,6.104,5.6,5.8,10727,0
2017-02-27,5.79,6.37,5.74,5.74,7896,0
2017-02-28,5.94,5.97,5.4381,5.83,6103,0
2017-03-01,5.7424,5.78,5.64,5.78,4553,0
2017-03-02,5.62,5.6907,5.35,5.5,26118,0
2017-03-03,5.45,5.48,5.12,5.46,25303,0
2017-03-06,5.49,5.568,5.24,5.24,24423,0
2017-03-07,5.0186,5.3934,5.01,5.2,8011,0
2017-03-08,5.31,5.31,5.04,5.16,24228,0
2017-03-09,5.4194,5.4194,5.14,5.18,10920,0
2017-03-10,5.38,5.38,5.02,5.18,36485,0
2017-03-13,5.25,5.35,5.04,5.04,4178,0
2017-03-14,5.01,5.14,4.96,5.11,17977,0
2017-03-15,5.27,5.33,4.98,5.1,30114,0
2017-03-16,5.05,5.2,4.96,5.12,24407,0
2017-03-17,5.111,5.18,5.0601,5.08,1815,0
2017-03-20,5.17,5.7,5.1,5.2,28544,0
2017-03-21,5.25,5.29,5.05,5.11,14295,0
2017-03-22,5.05,5.05,4.97,5.02,2338,0
2017-03-23,5,5.1,4.97,4.97,19138,0
2017-03-24,5.05,5.05,5,5,8266,0
2017-03-27,5.02,5.6,5.02,5.14,11865,0
2017-03-28,5.36,5.635,5.36,5.39,25546,0
2017-03-29,5.51,5.51,5.35,5.35,2570,0
2017-03-30,5.35,5.3612,5.3,5.3,3134,0
2017-03-31,5.32,5.32,5.32,5.32,2666,0
2017-04-03,5.33,5.3811,5.32,5.32,985,0
2017-04-04,5.32,5.34,5.18,5.33,15787,0
2017-04-05,5.28,5.65,5.27,5.28,16456,0
2017-04-06,5.27,5.95,5.27,5.79,45029,0
2017-04-07,5.85,5.9,5.4263,5.69,24111,0
2017-04-10,5.63,5.79,5.35,5.5,9455,0
2017-04-11,5.58,5.7,5.58,5.68,4076,0
2017-04-12,5.7,5.7,5.31,5.5,7853,0
2017-04-13,5.53,5.7753,5.53,5.76,22583,0
2017-04-17,5.71,5.9,5.46,5.84,14400,0
2017-04-18,5.829,5.9148,5.49,5.85,14390,0
2017-04-19,5.89,6.5,5.89,6.33,55676,0
2017-04-20,6.29,6.69,6.02,6.55,10060,0
2017-04-21,6.0612,6.32,5.95,6.07,2587,0
2017-04-24,6.1,6.66,5.915,6.3,16727,0
2017-04-25,6.29,6.69,5.9,6.26,19045,0
2017-04-26,6.31,6.7,6.31,6.47,8213,0
2017-04-27,6.6,6.6,6.58,6.58,1568,0
2017-04-28,6.39,6.52,6.35,6.37,5398,0
2017-05-01,6.382,6.5904,6.382,6.44,1271,0
2017-05-02,6.351,6.41,6.32,6.32,2932,0
2017-05-03,6.35,6.35,6.27,6.27,2380,0
2017-05-04,6.3,6.32,6.18,6.18,7299,0
2017-05-05,6.15,6.2812,6.01,6.1988,1599,0
2017-05-08,6.17,6.18,5.88,6.17,13980,0
2017-05-09,5.97,6.18,5.97,6.17,3081,0
2017-05-10,6.22,6.3,6.09,6.3,3877,0
2017-05-11,6.35,6.48,5.89,5.89,5699,0
2017-05-12,6.7,7.5,6.7,7.32,55279,0
2017-05-15,7.49,7.5,7.3501,7.49,9550,0
2017-05-16,7.5,7.9777,7.5,7.84,5515,0
2017-05-17,7.61,7.9299,7.57,7.6,6907,0
2017-05-18,7.57,8,7.56,7.88,1984,0
2017-05-19,7.92,7.92,7.693,7.693,877,0
2017-05-22,7.9792,7.9792,7.69,7.9,5155,0
2017-05-23,7.66,7.71,6.9958,7.7,2069,0
2017-05-24,7.86,7.9,7.47,7.9,3114,0
2017-05-25,7.9,7.9,7.88,7.9,1425,0
2017-05-26,7.93,7.98,7.6509,7.98,3489,0
2017-05-30,7.98,8,7.4731,7.89,3863,0
2017-05-31,7.89,7.9107,7.5682,7.9107,2884,0
2017-06-01,7.7717,7.96,7.7717,7.94,3854,0
2017-06-02,7.95,7.98,7.88,7.98,2735,0
2017-06-05,7.98,7.98,7.944,7.98,3061,0
2017-06-06,7.98,7.98,7.98,7.98,289,0
2017-06-07,7.9595,7.98,7.9595,7.98,1556,0
2017-06-08,7.98,7.98,7.89,7.89,5085,0
2017-06-09,8,8,7.98,7.99,1559,0
2017-06-12,8,8.05,8,8.05,1717,0
2017-06-13,8,8.05,8,8.03,1464,0
2017-06-14,8.0407,8.0411,8,8.0001,2899,0
2017-06-15,8.04,8.04,8.0145,8.0145,291,0
2017-06-16,8.01,8.0195,7.9137,7.9403,5591,0
2017-06-19,7.96,7.96,7.915,7.93,1092,0
2017-06-20,7.89,8.0617,7.89,8.0501,4700,0
2017-06-21,8.124,8.124,7.9641,7.9641,1251,0
2017-06-22,8.23,8.39,8.1122,8.33,4347,0
2017-06-23,8.37,9,8.14,8.3648,14809,0
2017-06-26,8.85,8.89,8.7588,8.877,5824,0
2017-06-27,8.77,8.8153,8.76,8.76,6580,0
2017-06-28,8.74,8.85,8.4,8.41,6378,0
2017-06-29,8.18,8.5408,7.96,8.3032,5679,0
2017-06-30,8.23,8.84,8.04,8.78,23259,0
2017-07-03,8.82,8.82,8.82,8.82,558,0
2017-07-05,8.44,8.84,8.44,8.84,2862,0
2017-07-06,8.5,9,8.5,8.96,2755,0
2017-07-07,8.9214,8.9214,8.9214,8.9214,1009,0
2017-07-10,8.956,8.956,8.844,8.95,1468,0
2017-07-11,8.88,8.88,8.8184,8.8184,976,0
2017-07-12,8.5944,8.67,8.55,8.5501,3425,0
2017-07-13,8.838,8.838,8.838,8.838,1026,0
2017-07-14,8.58,8.83,8.58,8.83,2081,0
2017-07-17,8.83,8.83,8.53,8.83,8712,0
2017-07-18,8.69,9,8.69,9,10121,0
2017-07-19,9,9.8,9,9.8,1491,0
2017-07-20,9.4,11,9.4,10.8687,14010,0
2017-07-21,11,11,10.6156,10.9466,6410,0
2017-07-24,11,11.5347,10.96,11.4,15312,0
2017-07-25,11.4,12.18,11.4,11.91,20166,0
2017-07-26,12.19,12.7482,11.9301,12.6011,24313,0
2017-07-27,13,13.7728,10.4889,10.51,31970,0
2017-07-28,10.09,10.469,8.8,10.37,17754,0
2017-07-31,10,10.6264,10,10.26,2587,0
2017-08-01,10.04,10.04,9.02,9.39,14375,0
2017-08-02,9.57,9.57,9.18,9.26,3627,0
2017-08-03,9.39,9.39,9.178,9.35,2617,0
2017-08-04,9.45,9.91,9.19,9.9,902,0
2017-08-07,9.4503,9.4503,9.01,9.09,5777,0
2017-08-08,9.08,9.15,9.05,9.07,2993,0
2017-08-09,9,9.01,8.75,8.81,4622,0
2017-08-10,8.75,8.79,8.5,8.77,1627,0
2017-08-11,8.05,8.05,7.01,7.1543,6904,0
2017-08-14,7.53,7.58,7.101,7.46,4507,0
2017-08-15,7.36,7.74,7.1601,7.1601,1221,0
2017-08-16,7.59,7.83,7.51,7.83,719,0
2017-08-17,7.6,7.89,7.42,7.5,1191,0
2017-08-18,7.5,7.889,7.5,7.5,726,0
2017-08-21,7.5,7.8429,7.5,7.5,1623,0
2017-08-22,7.8,7.8,7.775,7.775,1108,0
2017-08-23,7.32,7.59,7.32,7.59,1674,0
2017-08-24,7.5,7.5,7.5,7.5,652,0
2017-08-25,7.3,7.77,7.3,7.77,414,0
2017-08-28,7.35,7.74,7.317,7.7,3198,0
2017-08-29,7.36,7.83,7.36,7.46,8178,0
2017-08-30,7.5236,7.5526,7.5,7.526,1310,0
2017-08-31,7.6,7.7053,7.6,7.7,660,0
2017-09-01,7.65,7.65,7.55,7.55,4202,0
2017-09-05,7.48,7.48,7.2801,7.32,3455,0
2017-09-06,7.22,7.38,7.21,7.24,1992,0
2017-09-07,7.21,7.2609,7.21,7.23,1322,0
2017-09-08,7.22,7.304,7.14,7.14,6628,0
2017-09-11,7.25,7.39,7.14,7.2738,9445,0
2017-09-12,7.4,7.54,7.22,7.33,11060,0
2017-09-13,7.42,7.42,7.21,7.21,5051,0
2017-09-14,7.31,7.35,7.22,7.28,679,0
2017-09-15,7.2442,7.2696,7.24,7.24,1840,0
