Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,123.97,124.05,121.52,122.85,628666,0
2017-01-04,123.12,125.11,122.91,124.71,461418,0
2017-01-05,124.29,124.99,123.14,123.35,406828,0
2017-01-06,123.82,124.22,123.05,123.44,299751,0
2017-01-09,122.95,122.95,121.08,121.08,304976,0
2017-01-10,121.1,122.55,120.58,121.93,437804,0
2017-01-11,122.3,122.95,121.63,122.63,462631,0
2017-01-12,122.17,123.28,121.79,123.16,405831,0
2017-01-13,123.72,125.2,123.16,123.34,203176,0
2017-01-17,122.73,123.01,121.49,121.63,332578,0
2017-01-18,122.08,123.13,121.51,123.03,477417,0
2017-01-19,123.61,123.78,121.63,122.86,337428,0
2017-01-20,122.91,123.29,121.41,121.83,382876,0
2017-01-23,121.9,122.26,121.41,121.85,361183,0
2017-01-24,122.35,123.41,121.7,122.66,469122,0
2017-01-25,123.5,123.85,123.13,123.72,402377,0
2017-01-26,123.93,125.43,123.93,125.35,427473,0
2017-01-27,125.25,125.64,123.74,124.1,210379,0
2017-01-30,123.36,123.36,121.7,123.28,372192,0
2017-01-31,128.04,130.55,121.95,123.82,881774,0
2017-02-01,124.77,126.47,124.16,124.81,310139,0
2017-02-02,124.42,125.6,123.36,124.75,409242,0
2017-02-03,125.76,126.66,125.18,125.4,344720,0
2017-02-06,124.59,126.15,124.59,125.61,322082,0
2017-02-07,125.84,126.42,124.71,125.87,223460,0
2017-02-08,125.5,125.55,124.2,125.51,232200,0
2017-02-09,125.72,126.38,125.33,125.71,321304,0
2017-02-10,126.44,126.58,125.94,126.31,323814,0
2017-02-13,126.59,127.88,126.16,127.19,324423,0
2017-02-14,126.66,127.58,126.66,127.21,344831,0
2017-02-15,127.78,127.78,126.38,127.33,275312,0
2017-02-16,127.41,128.1,126.88,127.85,416060,0
2017-02-17,127.19,127.84,126.47,127.78,228323,0
2017-02-21,127.52,128.16,127.08,127.83,211432,0
2017-02-22,127.5,128.69,127.29,128.49,332360,0
2017-02-23,128.83,129.01,128.11,128.18,287533,0
2017-02-24,127.29,128.46,127.29,128.09,253025,0
2017-02-27,128.09,128.4,127.78,128.4,263481,0
2017-02-28,128.58,129.07,128.19,128.75,446462,0
2017-03-01,131.03,131.45,129.83,130.91,593242,0
2017-03-02,131.01,131.2,128.95,129,245602,0
2017-03-03,128.41,129.01,128.08,128.41,245847,0
2017-03-06,128.19,128.57,126.74,127.09,421275,0
2017-03-07,126.97,127.67,126.24,127.21,383600,0
2017-03-08,128,128.24,126.02,126.35,557974,0
2017-03-09,126.72,127.19,125.87,126.13,252794,0
2017-03-10,126.44,127.02,126,126.52,345649,0
2017-03-13,126.63,126.93,125.97,126.9,242611,0
2017-03-14,126.67,127.43,126.26,127.14,187654,0
2017-03-15,127.23,128.2,127.18,128.07,329694,0
2017-03-16,128.12,128.85,128.12,128.62,463138,0
2017-03-17,128.69,129.02,127.66,128.6,515616,0
2017-03-20,128.41,128.56,127.52,127.59,199828,0
2017-03-21,128.11,128.16,123.98,123.99,310597,0
2017-03-22,123.1,124.15,122.74,123.66,339225,0
2017-03-23,123.05,125.38,122.25,124.5,207043,0
2017-03-24,124.78,125.63,123.79,124.19,146545,0
2017-03-27,122.25,123.73,121.74,123.12,200237,0
2017-03-28,122.65,124.98,122.42,124.46,588579,0
2017-03-29,123.98,124.74,123.45,123.79,364923,0
2017-03-30,123.9,125.67,123.69,125.22,231315,0
2017-03-31,124.88,126.04,124.62,125.7,454897,0
2017-04-03,126.08,126.33,124.45,125.32,333152,0
2017-04-04,125.02,126.09,125.02,125.77,286015,0
2017-04-05,126.26,126.45,123.07,123.25,328432,0
2017-04-06,123.15,124.5,122.2,124.32,213576,0
2017-04-07,123.84,125.13,123.52,124.31,524435,0
2017-04-10,124.41,125.45,123.82,124.94,312443,0
2017-04-11,124.45,124.87,123.62,124.53,258140,0
2017-04-12,124.57,124.57,122.86,123.44,225196,0
2017-04-13,123.29,123.84,122.5,122.65,178494,0
2017-04-17,122.84,124.73,122.54,124.54,132865,0
2017-04-18,123.83,124.54,123.3,124.2,166508,0
2017-04-19,125.15,125.26,124.14,124.56,194594,0
2017-04-20,124.98,127.19,124.16,126.75,276628,0
2017-04-21,126.61,127.17,125.95,126,247976,0
2017-04-24,127.94,128.15,127.15,127.71,156867,0
2017-04-25,128.69,129.44,128.63,129,195418,0
2017-04-26,129.21,130.38,128.25,129.21,316435,0
2017-04-27,129.43,129.43,127.98,128.28,243134,0
2017-04-28,123.25,126.04,121.38,123.79,944923,0
2017-05-01,124.37,125.35,123.45,124.74,354151,0
2017-05-02,124.63,126.33,124.61,125.84,488571,0
2017-05-03,125.38,126.27,124.9,125.33,237111,0
2017-05-04,126.29,126.88,125.21,126,399204,0
2017-05-05,126.19,126.38,125.41,126,158275,0
2017-05-08,126.12,126.53,125.48,126.16,234601,0
2017-05-09,126.05,126.15,123.43,123.7,277996,0
2017-05-10,123.51,125.11,122.98,124.46,464377,0
2017-05-11,123.83,124.4,122.89,123.6,312005,0
2017-05-12,122.98,124.18,122.22,122.61,313802,0
2017-05-15,122.78,124.32,122.78,123.45,290195,0
2017-05-16,123.9,124.25,122.89,124.19,283139,0
2017-05-17,121.63,122.45,121.23,121.3,308570,0
2017-05-18,121.18,123.3,121.09,122.79,661778,0
2017-05-19,122.75,123.96,122.36,123.42,311275,0
2017-05-22,124.22,124.78,123.63,124.33,192989,0
2017-05-23,124.37,124.72,123.29,124.02,376824,0
2017-05-24,124.41,124.72,123.46,123.57,371318,0
2017-05-25,123.37,124.33,123.29,124.15,393866,0
2017-05-26,123.91,124.97,123.9,124.79,181220,0
2017-05-30,124.68,124.98,123.48,123.92,137422,0
2017-05-31,123.71,123.79,122.26,123.66,367670,0
2017-06-01,124.19,126.33,123.72,126.32,358757,0
2017-06-02,125.68,126.02,124.96,125.21,306658,0
2017-06-05,125.16,125.26,123.87,124.05,213620,0
2017-06-06,122.93,123.65,121.93,122.38,197132,0
2017-06-07,122.49,122.82,121.67,121.87,276132,0
2017-06-08,121.52,125,121.52,124.81,319362,0
2017-06-09,125.13,127.23,124.67,127.06,211594,0
2017-06-12,126.87,127.55,125.93,126.79,256843,0
2017-06-13,127.49,127.58,126.58,127.06,159901,0
2017-06-14,126.36,127.38,125.21,126.93,190354,0
2017-06-15,126.33,127.29,126.05,126.87,135609,0
2017-06-16,126.76,127.88,126.53,127.86,356784,0
2017-06-19,128.17,128.79,127.78,128.32,175610,0
2017-06-20,127.93,128.21,127.05,127.07,177027,0
2017-06-21,127.06,127.96,126.17,126.53,225556,0
2017-06-22,126.5,126.5,125.24,125.75,174331,0
2017-06-23,126.31,126.31,125.04,125.18,546421,0
2017-06-26,125.9,127.08,125.4,126.35,151781,0
2017-06-27,126.34,126.86,125.46,125.99,162356,0
2017-06-28,127.16,128.07,126.74,127.97,240570,0
2017-06-29,129.29,129.29,127.05,128.03,227581,0
2017-06-30,128.52,128.52,126.74,127.5,468478,0
2017-07-03,128.42,131.3,128.05,130.26,203520,0
2017-07-05,130.88,130.92,129.42,130.4,252592,0
2017-07-06,130.29,130.5,128.51,128.62,259848,0
2017-07-07,129.2,130.51,128.57,130.09,207911,0
2017-07-10,129.9,130.36,129.11,129.26,351150,0
2017-07-11,129.41,129.54,127.56,127.96,326136,0
