Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,16.379,16.379,16.201,16.201,5358,0
2017-01-04,16.266,16.266,16.23,16.266,6077,0
2017-01-05,16.316,16.396,16.316,16.33,2898,0
2017-01-06,16.396,16.396,16.33,16.395,2101,0
2017-01-09,16.402,16.645,16.402,16.645,1724,0
2017-01-10,16.59,16.59,16.303,16.59,5715,0
2017-01-11,16.616,16.916,16.616,16.822,2972,0
2017-01-12,16.986,16.986,16.731,16.78,2940,0
2017-01-13,16.81,16.81,16.455,16.456,3136,0
2017-01-17,16.777,17.059,16.551,16.554,7833,0
2017-01-18,16.902,17.042,16.706,16.733,10108,0
2017-01-19,16.896,17.034,16.784,16.822,3138,0
2017-01-20,16.994,17.558,16.994,17.558,7590,0
2017-01-23,17.624,19.721,17.093,17.171,14716,0
2017-01-24,17.578,19.21,17.31,17.316,6464,0
2017-01-25,18.825,18.825,16.513,16.732,25937,0
2017-01-26,17.02,17.02,16.83,16.941,1217,0
2017-01-27,16.941,17.519,16.941,17.51,10714,0
2017-01-30,17.281,17.319,17.152,17.319,3292,0
2017-01-31,18.024,18.044,17.187,17.734,2451,0
2017-02-01,18.175,18.372,17.649,17.711,3322,0
2017-02-02,17.765,17.781,17.716,17.781,2245,0
2017-02-03,17.787,18.319,17.787,18.044,3530,0
2017-02-06,18.044,18.181,17.99,18.017,4182,0
2017-02-07,17.9,18.066,17.716,18.044,6723,0
2017-02-08,18.221,18.24,18.017,18.026,3527,0
2017-02-09,17.814,18.056,17.796,18.037,7768,0
2017-02-10,18.254,18.254,18.044,18.044,6101,0
2017-02-13,17.866,18.319,17.866,18.153,2409,0
2017-02-14,18.286,18.421,17.939,18.006,2813,0
2017-02-15,18.077,18.139,17.978,18.024,2907,0
2017-02-16,18.142,18.142,16.929,17.007,24040,0
2017-02-17,17.337,17.337,16.566,16.756,25703,0
2017-02-21,16.929,17.689,16.929,17.545,10686,0
2017-02-22,17.664,17.664,17.388,17.39,1849,0
2017-02-23,17.649,17.649,17.551,17.555,1886,0
2017-02-24,17.709,17.709,17.597,17.702,2755,0
2017-02-27,17.696,17.939,17.696,17.932,6730,0
2017-02-28,18.124,18.186,17.176,17.31,29695,0
