Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,61.083,61.381,60.322,61.035,390263,0
2017-01-04,61.247,61.401,59.813,60.389,621260,0
2017-01-05,60.66,60.756,57.869,58.244,547932,0
2017-01-06,58.224,58.715,57.551,58.206,432383,0
2017-01-09,58.397,59.158,57.243,58.802,445947,0
2017-01-10,58.745,59.668,58.234,58.966,268912,0
2017-01-11,58.937,59.707,58.417,58.456,324587,0
2017-01-12,58.35,58.465,57.536,58.234,202992,0
2017-01-13,58.37,59.288,58.37,59.071,182931,0
2017-01-17,59.332,59.726,58.746,59.36,299436,0
2017-01-18,59.389,59.755,59.033,59.447,204830,0
2017-01-19,59.456,59.456,58.763,59.024,188823,0
2017-01-20,59.043,59.64,59.043,59.419,168894,0
2017-01-23,59.61,60.352,59.235,60.218,229759,0
2017-01-24,60.449,61.449,59.977,60.824,283437,0
2017-01-25,61.121,61.574,60.64,61.026,163540,0
2017-01-26,61.103,61.853,60.924,61.612,224743,0
2017-01-27,61.757,61.818,60.322,60.833,129309,0
2017-01-30,60.804,60.804,59.265,59.342,156897,0
2017-01-31,59.11,59.553,58.715,58.879,289303,0
2017-02-01,58.745,59.63,58.052,58.08,204389,0
2017-02-02,58.147,58.601,58.047,58.293,185458,0
2017-02-03,58.85,60.054,58.504,60.024,246932,0
2017-02-06,59.813,60.756,59.591,60.024,192581,0
2017-02-07,60.149,61.112,59.726,59.832,217664,0
2017-02-08,59.697,59.947,59.091,59.717,124917,0
2017-02-09,59.918,60.65,59.61,60.449,153972,0
2017-02-10,60.698,60.951,60.188,60.611,112575,0
2017-02-13,60.824,61.275,60.295,61.064,184761,0
2017-02-14,60.785,61.622,60.496,61.593,199458,0
2017-02-15,61.574,62.729,61.198,62.642,307540,0
2017-02-16,62.671,63.104,62.046,62.364,218337,0
2017-02-17,62.565,62.565,61.526,62.151,265938,0
2017-02-21,62.767,64.389,62.413,63.71,441494,0
2017-02-22,63.576,64.326,63.182,63.951,244022,0
2017-02-23,64.182,64.182,63.2,63.768,225574,0
2017-02-24,63.768,64.289,63.036,63.921,257025,0
2017-02-27,64.125,65.414,63.768,65.01,415653,0
2017-02-28,65.144,65.183,61.758,62.046,598972,0
2017-03-01,62.873,64.423,62.555,63.143,509288,0
2017-03-02,63.21,63.45,62.093,62.441,424310,0
2017-03-03,61.275,62.046,60.833,61.593,480575,0
2017-03-06,61.651,62.083,60.958,61.988,381649,0
2017-03-07,61.979,62.01,60.862,61.189,353424,0
2017-03-08,61.189,61.237,59.755,59.794,333783,0
2017-03-09,59.668,60.178,58.773,58.917,399897,0
2017-03-10,59.255,59.774,58.244,59.13,456591,0
2017-03-13,59.573,61.093,59.573,60.295,606118,0
2017-03-14,60.034,60.64,59.764,60.111,292605,0
2017-03-15,60.304,61.449,60.024,60.891,343511,0
2017-03-16,60.958,61.584,60.457,61.026,300489,0
2017-03-17,61.42,61.718,60.698,61.218,2757240,0
2017-03-20,61.247,61.309,60.054,60.429,356716,0
2017-03-21,60.67,60.67,58.869,59.11,416958,0
2017-03-22,59.024,59.466,58.129,59.437,381938,0
2017-03-23,59.37,60.439,59.221,59.437,335447,0
2017-03-24,59.514,60.005,59.265,59.505,342441,0
2017-03-27,59.024,59.255,58.61,58.668,400109,0
2017-03-28,58.725,59.014,58.07,58.946,437078,0
2017-03-29,58.946,60.029,58.752,59.785,505591,0
2017-03-30,59.863,60.439,59.581,60.399,285112,0
2017-03-31,60.409,60.867,59.921,60.293,435845,0
2017-04-03,60.351,60.351,59.044,59.346,377650,0
2017-04-04,59.103,59.746,58.908,59.317,300155,0
2017-04-05,59.815,60.009,59.005,59.122,389470,0
2017-04-06,59.151,59.893,58.624,59.775,461316,0
2017-04-07,59.619,59.737,59.122,59.151,277845,0
2017-04-10,59.366,60.283,59.103,59.921,184517,0
2017-04-11,59.873,61.024,59.795,60.683,311357,0
2017-04-12,60.467,60.565,59.815,60.341,200518,0
2017-04-13,60.243,60.711,60.004,60.302,119345,0
2017-04-17,60.361,61.053,60.195,60.994,153380,0
2017-04-18,60.829,61.209,60.517,60.877,153388,0
2017-04-19,61.238,61.95,60.99,61.93,243176,0
2017-04-20,62.194,62.301,61.058,62.262,280870,0
2017-04-21,62.164,62.277,61.814,62.038,183277,0
2017-04-24,62.613,62.75,61.58,62.058,235322,0
2017-04-25,62.438,63.179,61.93,62.691,198945,0
2017-04-26,62.604,63.959,62.574,63.569,226087,0
2017-04-27,63.745,63.949,63.091,63.218,195193,0
2017-04-28,63.461,63.466,61.804,62.194,350055,0
2017-05-01,62.457,62.964,61.736,62.204,335508,0
2017-05-02,63.14,63.14,61.16,62.164,367593,0
2017-05-03,62.086,62.136,60.527,61.618,333248,0
2017-05-04,61.706,62.398,61.043,62.106,225120,0
2017-05-05,62.32,62.993,62.018,62.457,206675,0
2017-05-08,62.145,62.398,60.711,61.004,404919,0
2017-05-09,61.004,61.842,60.137,60.449,267279,0
2017-05-10,60.137,61.355,60.137,61.063,259780,0
2017-05-11,60.897,60.897,59.678,60.487,212320,0
2017-05-12,60.351,60.497,59.825,60.107,170703,0
2017-05-15,60.399,61.648,60.224,60.614,452192,0
