Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.7204,7.8053,7.6826,7.6826,155908,0
2017-01-04,7.7488,7.8337,7.7488,7.8053,319510,0
2017-01-05,7.8242,7.8431,7.7582,7.7582,154508,0
2017-01-06,7.8053,7.8715,7.8053,7.8337,267332,0
2017-01-09,7.8242,7.8903,7.7865,7.8337,336089,0
2017-01-10,7.8337,7.9281,7.7837,7.8242,182724,0
2017-01-11,7.8619,7.9281,7.8431,7.8715,265303,0
2017-01-12,7.8619,7.887,7.8053,7.8147,178001,0
2017-01-13,7.8525,7.8903,7.8242,7.8242,102908,0
2017-01-17,7.8337,7.8525,7.7393,7.7393,182206,0
2017-01-18,7.7676,7.7676,7.6732,7.7488,136250,0
2017-01-19,7.7298,7.7431,7.5883,7.6449,193734,0
2017-01-20,7.6638,7.6921,7.6441,7.6826,80014,0
2017-01-23,7.6826,7.6826,7.5977,7.6354,323140,0
2017-01-24,7.6732,7.7959,7.6732,7.7771,78572,0
2017-01-25,7.8431,7.9281,7.8431,7.8715,140391,0
2017-01-26,7.9092,7.9092,7.8619,7.8715,95929,0
2017-01-27,7.8619,7.8997,7.8147,7.8525,109741,0
2017-01-30,7.8242,7.8337,7.7204,7.7676,246704,0
2017-01-31,7.7393,7.7959,7.7393,7.7959,107790,0
2017-02-01,7.8525,7.8997,7.7959,7.8053,64360,0
2017-02-02,7.8337,7.857,7.7676,7.8053,174207,0
2017-02-03,7.8715,7.9375,7.8619,7.9281,150552,0
2017-02-06,7.9187,7.9281,7.8619,7.8619,100698,0
2017-02-07,7.8809,7.9375,7.8242,7.8242,131445,0
2017-02-08,7.8242,7.8525,7.7959,7.8431,178401,0
2017-02-09,7.8431,7.9564,7.8431,7.9469,192021,0
2017-02-10,7.9658,8.0036,7.9281,7.9846,209464,0
2017-02-13,8.0225,8.0696,7.994,8.0225,170825,0
2017-02-14,7.9846,8.098,7.9658,8.0602,165835,0
2017-02-15,8.0508,8.1451,8.0413,8.1262,293238,0
2017-02-16,8.1357,8.1451,7.9846,8.0225,220457,0
2017-02-17,8.0036,8.1074,7.9846,8.0696,140489,0
2017-02-21,8.0885,8.1357,8.0885,8.1168,192835,0
2017-02-22,8.1074,8.1262,8.0696,8.0885,118403,0
2017-02-23,8.098,8.105,8.0508,8.0696,107356,0
2017-02-24,8.0225,8.0508,7.9752,8.013,124323,0
2017-02-27,7.994,8.1074,7.994,8.098,100243,0
2017-02-28,8.0602,8.0696,7.9564,7.9846,102253,0
2017-03-01,8.0696,8.1261,8.0508,8.0602,203912,0
2017-03-02,8.098,8.098,7.9658,7.994,126005,0
2017-03-03,8.0225,8.0319,7.9566,7.9846,152984,0
2017-03-06,7.9658,8.013,7.9092,7.9187,103420,0
2017-03-07,7.8997,7.9271,7.8619,7.8809,93787,0
2017-03-08,7.9092,7.9187,7.7979,7.8053,86324,0
2017-03-09,7.7959,7.8525,7.7582,7.7865,138929,0
2017-03-10,7.8249,7.8442,7.7288,7.7672,120141,0
2017-03-13,7.748,7.8153,7.7384,7.7865,110368,0
2017-03-14,7.7672,7.7672,7.7094,7.7576,57534,0
2017-03-15,7.7769,7.8731,7.7701,7.8346,120989,0
2017-03-16,7.8539,7.8731,7.8249,7.8731,95879,0
2017-03-17,7.8828,7.9405,7.8692,7.9308,98467,0
2017-03-20,7.9212,7.9308,7.8812,7.9116,97099,0
2017-03-21,7.9405,7.9578,7.7865,7.8057,104398,0
2017-03-22,7.7769,7.8492,7.6998,7.7353,215233,0
2017-03-23,7.7288,7.8057,7.7288,7.7961,189998,0
2017-03-24,7.8346,7.8539,7.7961,7.8442,107624,0
2017-03-27,7.7769,7.9116,7.7576,7.9116,104481,0
2017-03-28,7.8924,7.9501,7.8731,7.9501,60642,0
2017-03-29,7.9501,8.0079,7.9329,8.0079,49845,0
2017-03-30,8.0079,8.0656,8.0079,8.0464,67316,0
2017-03-31,8.0656,8.0848,8.0175,8.0752,76142,0
2017-04-03,8.0944,8.1326,7.9983,8.0079,92336,0
2017-04-04,7.9983,8.0271,7.9212,7.9501,86657,0
2017-04-05,7.9789,8.0175,7.8924,7.8924,128765,0
2017-04-06,7.9308,7.9597,7.8828,7.9405,192486,0
2017-04-07,7.9308,8.0079,7.9222,8.0079,95967,0
2017-04-10,8.0367,8.0848,8.0367,8.0656,101051,0
2017-04-11,8.0367,8.1137,8.0271,8.1137,77590,0
2017-04-12,8.0944,8.1619,8.056,8.0656,346308,0
2017-04-13,8.0656,8.0944,8.0175,8.0464,87551,0
2017-04-17,8.056,8.0848,8.0175,8.056,88863,0
2017-04-18,8.0271,8.0944,8.0175,8.0656,218547,0
2017-04-19,8.0848,8.1426,8.0752,8.133,95202,0
2017-04-20,8.1522,8.2388,8.1078,8.2388,78776,0
2017-04-21,8.2388,8.2678,8.1715,8.1811,111653,0
2017-04-24,8.2292,8.2774,8.1619,8.2292,267467,0
2017-04-25,8.287,8.4025,8.2705,8.3832,367580,0
2017-04-26,8.4121,8.4698,8.3938,8.4506,100081,0
2017-04-27,8.4698,8.4891,8.4217,8.441,77129,0
2017-04-28,8.441,8.4506,8.3639,8.3832,68850,0
2017-05-01,8.441,8.5083,8.4026,8.4698,103260,0
2017-05-02,8.4795,8.4795,8.4217,8.4217,68775,0
2017-05-03,8.4025,8.441,8.4025,8.4217,98639,0
2017-05-04,8.4314,8.4314,8.2484,8.2966,177662,0
2017-05-05,8.3351,8.3543,8.2966,8.3255,158680,0
2017-05-08,8.3062,8.3928,8.2966,8.3543,256190,0
2017-05-09,8.3543,8.3928,8.3543,8.3736,113642,0
2017-05-10,8.3928,8.4025,8.3274,8.4025,64001,0
2017-05-11,8.3639,8.3727,8.3255,8.3447,57644,0
2017-05-12,8.3159,8.3447,8.287,8.3255,95777,0
2017-05-15,8.3447,8.4217,8.3447,8.4217,53289,0
2017-05-16,8.441,8.441,8.3639,8.3832,76620,0
2017-05-17,8.2966,8.3159,8.1137,8.1233,158502,0
2017-05-18,8.1041,8.21,8.1041,8.1715,63508,0
2017-05-19,8.1811,8.2292,8.1619,8.2292,139986,0
2017-05-22,8.2388,8.3351,8.2388,8.3351,54637,0
2017-05-23,8.3543,8.3639,8.3062,8.3351,48772,0
2017-05-24,8.3447,8.3543,8.3159,8.3255,32696,0
2017-05-25,8.3351,8.3928,8.3062,8.3062,67918,0
2017-05-26,8.2966,8.3639,8.2966,8.3447,47081,0
2017-05-30,8.3159,8.3447,8.2774,8.2774,32476,0
2017-05-31,8.2966,8.3159,8.2292,8.2388,32035,0
2017-06-01,8.2774,8.3736,8.2774,8.3736,43327,0
2017-06-02,8.3832,8.4217,8.3543,8.4121,265329,0
2017-06-05,8.4217,8.4217,8.3832,8.4217,95029,0
2017-06-06,8.3736,8.4121,8.3255,8.3928,98119,0
2017-06-07,8.3928,8.4217,8.3733,8.4121,52822,0
2017-06-08,8.4025,8.4698,8.3928,8.4506,92954,0
2017-06-09,8.4898,8.529,8.4311,8.4898,64695,0
2017-06-12,8.48,8.529,8.431,8.431,50761,0
2017-06-13,8.4506,8.5192,8.4311,8.5094,61613,0
2017-06-14,8.5094,8.5094,8.4014,8.4408,125388,0
2017-06-15,8.3624,8.3918,8.3133,8.3526,75160,0
2017-06-16,8.3329,8.382,8.3035,8.382,71403,0
2017-06-19,8.3918,8.431,8.3437,8.382,178611,0
2017-06-20,8.3918,8.4212,8.3231,8.382,74987,0
2017-06-21,8.382,8.3878,8.2839,8.2937,111735,0
2017-06-22,8.2937,8.382,8.2839,8.382,84516,0
2017-06-23,8.382,8.4408,8.3722,8.431,140407,0
2017-06-26,8.4408,8.4702,8.4114,8.431,109846,0
2017-06-27,8.4212,8.4604,8.3526,8.4016,173768,0
2017-06-28,8.4212,8.4996,8.4016,8.4702,124078,0
2017-06-29,8.48,8.4995,8.3722,8.4408,197847,0
2017-06-30,8.431,8.48,8.4212,8.48,70022,0
2017-07-03,8.48,8.6172,8.48,8.6172,61133,0
2017-07-05,8.5878,8.6074,8.4898,8.5878,90083,0
2017-07-06,8.529,8.529,8.431,8.48,121756,0
2017-07-07,8.4898,8.5682,8.4898,8.5682,52048,0
2017-07-10,8.5388,8.5493,8.5094,8.5486,63768,0
2017-07-11,8.5388,8.578,8.4898,8.578,55197,0
2017-07-12,8.5878,8.6467,8.578,8.6172,96156,0
2017-07-13,8.6074,8.6271,8.5682,8.5976,108321,0
2017-07-14,8.578,8.6565,8.578,8.6565,96233,0
2017-07-17,8.6467,8.7055,8.6271,8.7055,48297,0
2017-07-18,8.6859,8.6859,8.5878,8.6369,50107,0
2017-07-19,8.6467,8.7545,8.6467,8.7545,63910,0
2017-07-20,8.7447,8.7643,8.7081,8.7251,59346,0
2017-07-21,8.7251,8.7251,8.7055,8.7251,62302,0
2017-07-24,8.7153,8.7251,8.6565,8.7251,55534,0
2017-07-25,8.7447,8.7447,8.6565,8.7251,253151,0
2017-07-26,8.7153,8.7153,8.6565,8.6565,108731,0
2017-07-27,8.6663,8.6859,8.529,8.5486,102278,0
2017-07-28,8.529,8.578,8.4702,8.5094,196446,0
2017-07-31,8.529,8.5388,8.4604,8.48,209792,0
2017-08-01,8.4996,8.5192,8.3918,8.4212,349599,0
2017-08-02,8.4016,8.4212,8.382,8.4114,96414,0
2017-08-03,8.4114,8.431,8.3918,8.4212,64972,0
2017-08-04,8.4114,8.451,8.382,8.431,100832,0
2017-08-07,8.431,8.4898,8.3918,8.4114,256224,0
2017-08-08,8.3918,8.4261,8.3133,8.3428,368357,0
2017-08-09,8.3133,8.3329,8.1369,8.1761,450242,0
2017-08-10,8.1467,8.1663,7.9898,7.9898,155880,0
2017-08-11,7.9702,8.0683,7.931,8.0486,179290,0
2017-08-14,8.0977,8.2153,8.0977,8.2153,84700,0
2017-08-15,8.2153,8.2153,8.1173,8.1369,149207,0
2017-08-16,8.1467,8.2153,8.1467,8.1957,123800,0
2017-08-17,8.1859,8.1859,8.0585,8.0683,72967,0
2017-08-18,8.029,8.0879,8.0094,8.0683,67604,0
2017-08-21,8.0585,8.0637,8.029,8.0486,65642,0
2017-08-22,8.0683,8.1173,8.0388,8.1075,99134,0
2017-08-23,8.0781,8.1369,8.0781,8.1075,84217,0
2017-08-24,8.1369,8.1663,8.1075,8.1173,75595,0
2017-08-25,8.1467,8.1761,8.1271,8.1565,96047,0
2017-08-28,8.1859,8.2251,8.1271,8.2251,207544,0
2017-08-29,8.2153,8.2741,8.1957,8.2643,159240,0
2017-08-30,8.2839,8.3428,8.2839,8.3428,134522,0
2017-08-31,8.4016,8.431,8.3918,8.4212,59903,0
2017-09-01,8.4506,8.4898,8.431,8.4898,81447,0
2017-09-05,8.5094,8.529,8.4212,8.4408,121361,0
2017-09-06,8.4898,8.529,8.48,8.4996,61962,0
2017-09-07,8.5388,8.5388,8.4898,8.5094,79157,0
2017-09-08,8.5192,8.529,8.4702,8.4898,48099,0
2017-09-11,8.578,8.578,8.48,8.48,120667,0
2017-09-12,8.54,8.59,8.54,8.56,104077,0
2017-09-13,8.53,8.6501,8.53,8.65,287842,0
2017-09-14,8.63,8.67,8.62,8.63,33860,0
2017-09-15,8.63,8.71,8.6101,8.69,87986,0
2017-09-18,8.73,8.77,8.7138,8.77,84276,0
2017-09-19,8.78,8.87,8.76,8.83,123722,0
2017-09-20,8.87,8.91,8.82,8.91,108276,0
2017-09-21,8.9,8.93,8.85,8.87,126387,0
2017-09-22,8.87,8.94,8.8652,8.94,54642,0
2017-09-25,8.94,8.96,8.92,8.96,47821,0
2017-09-26,8.97,9.08,8.97,9.08,135455,0
2017-09-27,9.1,9.21,9.046,9.19,154831,0
2017-09-28,9.16,9.29,9.16,9.26,130801,0
2017-09-29,9.3,9.42,9.3,9.38,192492,0
2017-10-02,9.4,9.42,9.385,9.42,97710,0
2017-10-03,9.45,9.4899,9.35,9.46,198280,0
2017-10-04,9.43,9.49,9.35,9.41,136380,0
2017-10-05,9.41,9.45,9.38,9.42,90272,0
2017-10-06,9.39,9.4412,9.36,9.37,79913,0
2017-10-09,9.4,9.45,9.38,9.42,91718,0
2017-10-10,9.45,9.45,9.3,9.37,304690,0
2017-10-11,9.41,9.41,9.383,9.41,78846,0
2017-10-12,9.43,9.43,9.36,9.4,58285,0
2017-10-13,9.39,9.48,9.36,9.41,113793,0
2017-10-16,9.45,9.49,9.41,9.42,70822,0
2017-10-17,9.42,9.42,9.36,9.38,104744,0
2017-10-18,9.41,9.42,9.355,9.38,130179,0
2017-10-19,9.34,9.42,9.3,9.42,388764,0
2017-10-20,9.43,9.47,9.34,9.36,186015,0
2017-10-23,9.38,9.4,9.3,9.32,116044,0
2017-10-24,9.34,9.4,9.33,9.4,81405,0
2017-10-25,9.34,9.4,9.23,9.25,173220,0
2017-10-26,9.25,9.2916,9.21,9.22,117791,0
2017-10-27,9.2605,9.31,9.23,9.31,79607,0
2017-10-30,9.297,9.329,9.22,9.28,82912,0
2017-10-31,9.31,9.37,9.28,9.37,85106,0
2017-11-01,9.45,9.45,9.27,9.3,63779,0
2017-11-02,9.3,9.33,9.26,9.32,77796,0
2017-11-03,9.35,9.35,9.3,9.34,79279,0
2017-11-06,9.34,9.34,9.28,9.33,57996,0
2017-11-07,9.34,9.34,9.2,9.21,61291,0
2017-11-08,9.19,9.22,9.13,9.17,76750,0
2017-11-09,9.1,9.1296,8.99,9.1,147655,0
2017-11-10,9.08,9.1268,9.08,9.09,84976,0
