Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,5.5,5.65,5.5,5.62,33260,0
2017-01-04,5.61,5.85,5.61,5.85,65631,0
2017-01-05,5.85,6.6,5.85,6.32,132466,0
2017-01-06,6.31,6.66,6.0561,6.5,102362,0
2017-01-09,6.55,6.55,6.25,6.29,22546,0
2017-01-10,6.29,6.46,6.28,6.41,27413,0
2017-01-11,6.38,6.515,6.31,6.38,20044,0
2017-01-12,6.479,6.479,6.22,6.24,31294,0
2017-01-13,6.43,6.43,6.18,6.26,19761,0
2017-01-17,6.04,6.28,6.04,6.24,26328,0
2017-01-18,6.2,6.28,6.2,6.23,14074,0
2017-01-19,6.19,6.26,6.15,6.24,13394,0
2017-01-20,6.2413,6.3,6.18,6.26,14653,0
2017-01-23,6.26,6.371,6.25,6.28,23252,0
2017-01-24,6.299,6.4,6.299,6.3301,16774,0
2017-01-25,6.3811,6.6399,6.36,6.6,25787,0
2017-01-26,6.4975,6.7,6.4975,6.53,59482,0
2017-01-27,6.65,6.69,6.52,6.59,55738,0
2017-01-30,6.6,6.6,6.5136,6.57,60517,0
2017-01-31,6.58,6.7,6.5473,6.58,74385,0
2017-02-01,6.6,6.64,6.4265,6.49,58850,0
2017-02-02,6.47,6.67,6.45,6.67,22485,0
2017-02-03,6.72,6.72,6.6,6.64,18608,0
2017-02-06,6.64,6.75,6.61,6.72,46928,0
2017-02-07,6.75,6.89,6.68,6.73,48706,0
2017-02-08,7,7,6.81,6.81,58086,0
2017-02-09,6.86,6.9899,6.72,6.78,26514,0
2017-02-10,6.83,6.87,6.63,6.69,23644,0
2017-02-13,6.74,6.84,6.6,6.81,15823,0
2017-02-14,6.8,6.85,6.65,6.85,63125,0
2017-02-15,6.8686,6.9586,6.69,6.76,46640,0
2017-02-16,6.8572,6.86,6.65,6.71,19970,0
2017-02-17,6.72,6.79,6.65,6.77,9532,0
2017-02-21,6.75,6.89,6.72,6.78,16521,0
2017-02-22,6.67,6.83,6.67,6.75,16354,0
2017-02-23,6.73,6.75,6.55,6.75,15195,0
2017-02-24,6.75,6.75,6.621,6.73,14629,0
2017-02-27,6.72,6.72,6.31,6.35,34365,0
2017-02-28,6.39,6.44,6.17,6.22,13858,0
2017-03-01,6.29,6.3047,6.05,6.23,20396,0
2017-03-02,6.19,6.2825,5.99,5.99,19131,0
2017-03-03,6.04,6.04,5.79,5.79,36088,0
2017-03-06,5.81,5.81,5.42,5.51,119554,0
2017-03-07,5.52,5.7,5.52,5.66,36906,0
2017-03-08,5.65,5.8814,5.61,5.75,54441,0
2017-03-09,5.8,6.34,5.8,6.17,75903,0
2017-03-10,6.25,6.41,6.06,6.15,86456,0
2017-03-13,6.15,6.4,6.11,6.32,31429,0
2017-03-14,6.35,6.5,6.2726,6.5,51616,0
2017-03-15,6.46,6.75,6.43,6.65,91206,0
2017-03-16,6.7,6.88,6.6,6.85,202322,0
2017-03-17,6.8,7.92,6.8,7.76,195893,0
2017-03-20,7.8,8.15,7,7.63,227857,0
2017-03-21,7.63,7.9,7.58,7.66,73988,0
2017-03-22,7.65,7.9093,7.31,7.38,70688,0
2017-03-23,7.37,7.85,7.37,7.72,59904,0
2017-03-24,7.76,8.06,7.68,7.74,78781,0
2017-03-27,7.74,7.74,7.36,7.47,73341,0
2017-03-28,7.45,7.47,7.29,7.32,54302,0
2017-03-29,7.32,7.54,7.28,7.5,100466,0
2017-03-30,7.5,7.7434,7.5,7.59,60193,0
2017-03-31,7.5405,7.55,7.46,7.48,19521,0
2017-04-03,7.48,7.57,7.36,7.46,20064,0
2017-04-04,7.5,7.58,7.43,7.45,35810,0
2017-04-05,7.45,7.58,7.33,7.42,30463,0
2017-04-06,8,8.05,7.45,7.84,287776,0
2017-04-07,7.84,8.25,7.6,8.25,175303,0
2017-04-10,8.29,9.17,8.18,8.94,377976,0
2017-04-11,8.96,9,8.65,8.66,170325,0
2017-04-12,8.6825,8.7,8.35,8.56,90754,0
2017-04-13,8.47,8.58,8.41,8.51,71757,0
2017-04-17,8.43,8.63,8.39,8.47,63914,0
2017-04-18,8.47,8.5,8.181,8.44,60685,0
2017-04-19,8.42,8.6,8.3289,8.6,90508,0
2017-04-20,8.61,8.66,8.36,8.59,82622,0
2017-04-21,8.54,8.6,8.4,8.6,49102,0
2017-04-24,8.61,8.63,8.4,8.61,114856,0
2017-04-25,8.63,8.87,8.35,8.46,159268,0
2017-04-26,8.5,8.81,8.5,8.67,39769,0
2017-04-27,8.62,8.765,8.56,8.67,85141,0
2017-04-28,8.71,9,8.68,8.85,92983,0
2017-05-01,8.9,8.9,7.8001,8.02,150945,0
2017-05-02,7.5,7.99,7.3,7.82,276077,0
2017-05-03,7.71,8.18,7.51,8.11,108409,0
2017-05-04,8.02,8.14,7.75,7.87,82907,0
