Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,36.457,37.674,35.678,36.504,10949,0
2017-01-04,35.58,35.824,35.58,35.824,564,0
2017-01-05,36.796,37.478,35.629,35.629,2274,0
2017-01-06,36.504,36.554,36.359,36.554,1490,0
2017-01-09,36.408,36.504,36.018,36.504,2677,0
2017-01-10,36.082,37.377,36.018,36.904,1489,0
2017-01-11,37.382,37.382,36.504,36.509,3432,0
2017-01-12,36.554,36.554,36.504,36.504,1943,0
2017-01-13,36.992,37.43,36.992,37.43,2345,0
2017-01-17,37.382,37.77,36.514,36.7,8703,0
2017-01-18,36.7,36.992,36.7,36.846,1164,0
2017-01-19,37.308,37.478,36.504,37.187,6862,0
2017-01-20,36.992,36.992,36.504,36.992,1551,0
2017-01-23,37.171,37.171,37.171,37.171,355,0
2017-01-24,37.138,37.478,36.846,37.478,2278,0
2017-01-25,37.478,37.528,37.138,37.138,4227,0
2017-01-26,37.43,37.478,37.382,37.382,745,0
2017-01-27,37.138,37.138,36.504,36.742,4788,0
2017-01-30,36.749,37.432,36.749,37.208,833,0
2017-01-31,36.992,37.77,36.992,37.77,1334,0
2017-02-01,37.674,37.966,37.163,37.6,4187,0
2017-02-02,37.966,37.966,36.564,37.211,2972,0
2017-02-03,37.041,37.43,36.992,37.284,1251,0
2017-02-06,36.992,36.992,36.504,36.504,2430,0
2017-02-07,36.65,37.235,36.65,37.235,3755,0
2017-02-08,36.579,36.977,36.576,36.576,1012,0
2017-02-09,37.068,37.412,37.02,37.117,1014,0
2017-02-10,39.123,39.123,37.608,37.608,1906,0
2017-02-14,37.167,37.51,36.921,37.51,2352,0
2017-02-15,37.755,38.295,37.755,38.295,7561,0
2017-02-16,37.755,37.755,37.755,37.755,196,0
2017-02-21,38.001,39.226,37.755,39.226,9426,0
2017-02-22,37.956,39.029,37.956,38.442,4790,0
2017-02-24,38.245,40.157,38.195,38.981,2861,0
2017-02-28,38.245,39.029,37.755,38.834,1698,0
2017-03-01,38.098,38.098,38.001,38.001,961,0
2017-03-02,38.589,38.589,38.589,38.589,469,0
2017-03-03,38.245,38.245,37.755,37.804,2439,0
2017-03-07,37.854,37.854,37.755,37.755,1703,0
2017-03-08,37.854,38.589,37.755,38.22,1937,0
2017-03-09,37.804,38.305,37.804,37.854,923,0
2017-03-10,37.951,38.245,37.951,38.001,462,0
2017-03-14,38.491,38.491,38.001,38.001,943,0
2017-03-15,37.804,37.9,37.804,37.804,2352,0
2017-03-16,37.867,38.001,37.755,38.001,3400,0
2017-03-17,38.245,38.663,37.951,37.951,485,0
2017-03-20,38.245,38.245,38.245,38.245,684,0
2017-03-21,38.295,38.343,37.755,38.001,3278,0
2017-03-22,37.755,37.917,37.755,37.804,5357,0
2017-03-23,37.809,37.809,37.809,37.809,2046,0
2017-03-24,37.854,37.854,37.804,37.804,1206,0
2017-03-27,37.755,38.295,37.755,38.148,1751,0
2017-03-28,37.951,37.951,37.804,37.854,1783,0
2017-03-29,38.191,38.191,37.854,37.854,356,0
2017-03-30,39.226,39.226,38.098,38.589,1615,0
2017-03-31,38.245,38.245,36.823,38.001,8296,0
2017-04-03,37.901,38.098,37.804,37.804,1303,0
2017-04-04,37.854,37.854,37.854,37.854,274,0
2017-04-05,38.001,38.001,37.755,37.755,842,0
2017-04-06,37.759,37.759,37.755,37.755,1255,0
2017-04-07,37.755,37.755,37.755,37.755,5386,0
2017-04-11,37.804,37.814,37.804,37.814,679,0
2017-04-12,41.138,41.138,38.148,38.148,540,0
2017-04-13,38.245,38.25,38.245,38.245,2483,0
2017-04-17,38.491,38.638,38.31,38.343,3810,0
2017-04-18,37.854,38.031,37.854,38.031,587,0
2017-04-19,38.638,38.638,38.186,38.186,761,0
2017-04-20,37.759,37.901,37.755,37.755,1709,0
2017-04-21,38.148,38.589,37.854,38.245,15741,0
2017-04-24,39.005,39.005,38.245,38.491,7375,0
2017-04-25,38.245,38.491,38.245,38.442,2014,0
2017-04-27,38.245,38.343,38.245,38.343,807,0
2017-04-28,38.364,38.364,38.245,38.245,2243,0
2017-05-02,38.736,38.798,38.736,38.736,1250,0
2017-05-03,38.736,39.02,38.736,39.02,2192,0
2017-05-04,38.795,38.795,38.736,38.736,1170,0
2017-05-05,38.785,38.932,38.785,38.932,745,0
2017-05-08,39.226,39.226,38.868,38.868,327,0
2017-05-09,39.52,39.52,39.52,39.52,235,0
2017-05-15,39.006,39.254,39.006,39.254,1323,0
2017-05-17,39.056,39.056,39.006,39.006,3067,0
2017-05-18,39.006,39.369,39.006,39.13,3883,0
2017-05-19,39.256,39.994,39.256,39.994,3718,0
2017-05-22,39.599,39.599,39.599,39.599,102,0
2017-05-23,39.55,39.55,39.55,39.55,131,0
2017-05-25,40.281,40.281,39.5,39.5,616,0
2017-05-26,40.439,44.339,40.439,44.339,2053,0
2017-05-30,41.377,41.377,40.981,40.981,1663,0
2017-05-31,40.853,40.853,39.5,39.599,9233,0
2017-06-01,40.093,41.327,39.747,40.093,8921,0
2017-06-02,40.439,40.439,39.799,39.799,2320,0
2017-06-05,39.846,40.093,39.747,39.846,4275,0
2017-06-06,39.846,39.846,39.846,39.846,136,0
2017-06-09,39.5,39.648,39.5,39.5,2291,0
2017-06-14,39.155,39.476,39.056,39.476,2435,0
2017-06-15,39.155,39.303,39.066,39.303,650,0
2017-06-16,39.402,39.402,39.056,39.056,1348,0
2017-06-19,39.451,39.592,39.233,39.592,1731,0
2017-06-20,40.439,40.439,40.439,40.439,104,0
2017-06-21,39.49,40.981,39.204,40.981,1978,0
2017-06-22,40.684,40.684,39.223,39.223,1785,0
2017-06-23,40.488,40.488,40.488,40.488,153,0
2017-06-26,40.864,40.864,40.864,40.864,279,0
2017-06-28,39.648,39.945,39.204,39.945,7481,0
2017-06-29,39.698,39.747,39.698,39.747,1234,0
2017-06-30,40.493,40.862,40.488,40.537,1676,0
2017-07-06,40.439,40.439,39.55,39.55,3211,0
2017-07-07,39.797,40.241,39.797,39.895,3026,0
2017-07-10,39.994,40.488,39.994,40.488,307,0
2017-07-11,39.994,40.317,39.994,40.317,646,0
2017-07-12,40.439,40.439,39.945,39.994,3321,0
2017-07-13,40.735,40.735,40.488,40.537,1550,0
2017-07-18,40.981,40.981,40.981,40.981,156,0
2017-07-20,40.488,40.498,40.488,40.498,824,0
2017-07-21,40.981,49.375,40.981,42.016,4045,0
2017-07-24,45.416,45.416,42.932,44.284,1788,0
2017-07-25,43.352,43.895,41.673,42.216,1052,0
2017-07-26,41.723,42.315,41.723,41.821,717,0
2017-07-27,41.858,41.858,41.858,41.858,211,0
2017-07-28,43.819,43.819,40.784,41.575,2261,0
2017-07-31,43.352,43.836,43.352,43.836,473,0
2017-08-01,42.661,42.661,42.068,42.068,622,0
2017-08-02,43.352,43.352,42.463,42.957,1139,0
2017-08-03,43.944,43.944,42.463,43.203,1937,0
2017-08-04,43.451,43.451,43.451,43.451,131,0
2017-08-07,42.611,42.71,42.463,42.463,1871,0
2017-08-08,43.376,43.376,43.376,43.376,102,0
2017-08-09,42.735,42.984,38.462,42.487,5724,0
2017-08-10,42.537,42.586,42.487,42.537,954,0
2017-08-11,42.586,43.63,42.586,43.222,1570,0
2017-08-14,42.636,43.779,42.636,43.729,872,0
2017-08-15,43.083,43.53,40.599,42.238,8121,0
2017-08-16,41.791,42.388,41.742,41.891,2773,0
2017-08-17,42.238,42.238,42.238,42.238,652,0
2017-08-22,43.829,43.829,43.829,43.829,379,0
2017-08-23,42.785,42.785,42.785,42.785,570,0
2017-08-24,42.378,42.378,41.791,41.791,1263,0
2017-08-25,41.94,48.052,41.94,44.125,5507,0
2017-08-28,44.773,44.773,44.397,44.425,1043,0
2017-08-29,43.622,43.622,43.58,43.58,789,0
2017-08-30,44.226,44.226,43.09,43.09,686,0
2017-08-31,44.237,44.237,42.884,42.884,576,0
2017-09-01,42.835,42.835,42.785,42.785,239,0
2017-09-05,43.282,43.726,43.282,43.726,714,0
2017-09-06,42.984,43.928,42.79,43.928,1546,0
2017-09-07,44.077,44.077,43.481,44.077,1347,0
2017-09-08,44.127,44.226,44.127,44.226,422,0
2017-09-11,44.226,46.214,43.779,44.922,2127,0
2017-09-12,45.419,47.009,45.419,45.717,3686,0
2017-09-13,47.108,47.108,45.518,45.717,4028,0
2017-09-14,46.611,47.705,45.717,45.816,2438,0
2017-09-15,44.406,47.556,44.406,44.723,5521,0
2017-09-18,44.872,45.27,44.872,45.27,3975,0
2017-09-19,44.872,44.872,44.872,44.872,489,0
2017-09-20,45.568,45.568,45.568,45.568,101,0
2017-09-21,45.518,46.462,45.021,45.021,2509,0
2017-09-22,46.557,46.557,46.557,46.557,368,0
2017-09-25,46.512,46.512,45.27,46.114,1364,0
2017-09-26,46.015,46.711,46.015,46.611,3103,0
2017-09-27,46.711,46.711,46.562,46.562,582,0
2017-09-29,45.22,46.264,45.22,46.264,969,0
2017-10-02,45.22,45.22,45.22,45.22,208,0
2017-10-03,45.22,45.27,45.22,45.27,2911,0
2017-10-04,45.22,46.462,45.22,45.319,1135,0
2017-10-05,47.705,49.682,47.282,47.282,1331,0
2017-10-06,46.214,46.512,46.214,46.512,717,0
2017-10-10,45.319,45.319,45.319,45.319,766,0
2017-10-12,44.733,46.015,44.733,46.015,650,0
2017-10-16,45.473,45.473,45.473,45.473,274,0
2017-10-20,45.955,46.189,45.955,46.189,365,0
2017-10-23,48.056,48.056,48.056,48.056,566,0
2017-10-24,45.965,45.965,40.897,44.723,3045,0
2017-10-25,44.723,47.174,44.723,47.174,770,0
2017-10-26,44.822,46.746,44.733,44.872,1268,0
2017-10-27,45.667,46.611,45.667,46.611,1046,0
2017-10-30,44.972,47.257,44.972,45.17,1249,0
2017-10-31,47.153,47.153,47.153,47.153,364,0
2017-11-01,46.711,47.158,46.164,46.164,774,0
2017-11-02,45.271,45.271,45.271,45.271,202,0
2017-11-03,46.264,46.711,46.264,46.711,452,0
2017-11-06,46.934,47.153,45.369,46.214,1331,0
2017-11-08,45.419,46.114,45.17,45.22,920,0
2017-11-09,45.26,45.45,45.26,45.35,977,0
2017-11-10,45.5,45.5,45.5,45.5,434,0
