Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,152.26,154.36,148.125,148.87,418622,0
2017-01-04,149.36,152.71,149.12,152.33,343435,0
2017-01-05,152.32,153.08,148.61,149.95,414124,0
2017-01-06,151.21,152.38,150.19,150.5,402796,0
2017-01-09,149.81,150.73,148.08,150.01,319181,0
2017-01-10,150.03,152.32,149.82,151.19,366550,0
2017-01-11,151.17,154.36,150.04,153.64,509397,0
2017-01-12,152.92,154.595,149.58,150.82,570297,0
2017-01-13,151.87,155.84,151.87,152.71,308717,0
2017-01-17,150.5,151.01,147.02,148.54,509909,0
2017-01-18,149.04,150.84,147.89,150.41,564239,0
2017-01-19,152.13,152.525,148.44,150.97,436273,0
2017-01-20,151.98,155.73,151.98,154.45,524755,0
2017-01-23,153.38,154.65,151.79,153.94,354028,0
2017-01-24,154.79,158.1,154.16,157.35,395977,0
2017-01-25,158.83,161.64,158.15,161.47,555768,0
2017-01-26,160.99,164.23,160.99,163.25,664113,0
2017-01-27,162.81,163.05,160.08,160.47,316605,0
2017-01-30,159.22,159.22,155.43,157.29,356546,0
2017-01-31,156.56,158.37,155.41,157.52,299952,0
2017-02-01,159.35,159.7,155.8,156.05,306344,0
2017-02-02,154.94,155.72,152.88,153.99,253137,0
2017-02-03,156.5,158.45,155.145,157.56,397934,0
2017-02-06,156.67,158.48,156.47,156.78,217382,0
2017-02-07,157.04,157.56,155.09,155.58,186830,0
2017-02-08,155.11,156.61,152.22,154.04,199294,0
2017-02-09,155.15,157.365,154.465,156.93,218151,0
2017-02-10,157.65,158.115,155.22,156.81,214473,0
2017-02-13,157.98,159.93,157.28,157.53,212116,0
2017-02-14,157.75,160.53,156.77,159.81,432398,0
2017-02-15,160.1,160.65,157.549,159.94,265207,0
2017-02-16,160.11,161.17,158.975,160.97,239358,0
2017-02-17,159.59,159.59,156.54,159.3,229283,0
2017-02-21,160.96,161.515,158.64,160.17,209612,0
2017-02-22,159.85,160.74,159.23,159.53,278955,0
2017-02-23,159.57,160.48,156.41,158.51,361360,0
2017-02-24,156.66,157.565,155.345,156.92,303930,0
2017-02-27,157.09,159.22,156.01,159.16,309205,0
2017-02-28,158.78,158.78,156.22,157.51,391885,0
2017-03-01,160.99,163.98,160.59,162.72,311729,0
2017-03-02,163.7,163.79,159.15,159.45,337771,0
2017-03-03,160.01,162.75,159.82,162.24,275327,0
2017-03-06,160.62,161.86,159.515,161.02,259231,0
2017-03-07,161.2,161.5,159.4,160.49,171736,0
2017-03-08,161.81,162.59,158.07,158.24,301903,0
2017-03-09,158.26,160.78,158.26,159.58,245354,0
2017-03-10,159.95,159.96,156.12,158.7,193293,0
2017-03-13,158.458,159.59,157.58,157.95,280858,0
2017-03-14,156.83,157.69,155.57,157.41,350529,0
2017-03-15,158.13,158.19,154.98,155.61,553886,0
2017-03-16,156.05,156.66,153.44,155.59,819098,0
2017-03-17,155.63,155.67,153.29,154.63,894423,0
2017-03-20,154.71,156.85,153.07,153.12,352454,0
2017-03-21,154.24,154.24,144.9,146.75,834894,0
2017-03-22,145.81,146.92,143.28,145.28,519869,0
2017-03-23,144.93,146.57,144.17,144.57,613962,0
2017-03-24,144.97,146.43,143.67,144.74,568724,0
2017-03-27,141.61,143.8,138.7,143.5,599414,0
2017-03-28,143.28,146.37,143,145.39,387209,0
2017-03-29,145.08,146.68,144.545,146.08,387378,0
2017-03-30,146.55,150.52,146.285,149.86,381970,0
2017-03-31,149.44,151.74,147.83,148.39,393990,0
2017-04-03,148.99,149,145.32,147.22,532462,0
2017-04-04,146.65,148.21,145.31,146.02,414933,0
2017-04-05,147.5,147.71,142.02,142.71,602869,0
2017-04-06,142.03,144.6,141.13,142.71,653095,0
2017-04-07,141.65,142.83,140.43,141.43,577909,0
2017-04-10,141.81,142.59,139.74,140.85,304959,0
2017-04-11,140.31,142.36,139.02,142.32,404489,0
2017-04-12,142.53,142.56,139.76,140.39,762146,0
2017-04-13,139.88,141.996,136.5,136.52,658839,0
2017-04-17,136.68,138.42,135.23,138.25,730096,0
2017-04-18,137.67,139.46,136.43,138.93,1092381,0
2017-04-19,139.89,143.36,137.2,139.14,1127905,0
2017-04-20,139.84,140.87,138.9,139.95,989123,0
2017-04-21,139.93,140.928,139.17,140.09,620672,0
2017-04-24,144,144.57,141.535,141.71,627363,0
2017-04-25,142.8,143.185,141.25,141.47,535174,0
2017-04-26,141.37,142.74,141.37,141.56,425102,0
2017-04-27,142.21,143.185,139.89,140.23,293286,0
2017-04-28,140.59,140.9,138.26,138.45,378022,0
2017-05-01,139.51,140.45,138.125,139.59,329430,0
2017-05-02,139.58,140.26,137.29,137.51,393124,0
2017-05-03,136.81,137.89,135.93,137,622913,0
2017-05-04,137.96,138.812,136.99,137.49,476509,0
2017-05-05,138.05,138.05,136.13,136.98,389243,0
2017-05-08,137.15,137.89,136.32,137.25,348853,0
2017-05-09,137.68,138,135.39,136.4,384181,0
2017-05-10,136.02,140.36,135.72,140.1,748838,0
2017-05-11,139.69,140.9,137.02,139.2,625516,0
2017-05-12,138.38,141.46,137.23,141.38,732292,0
2017-05-15,141.74,144.172,141.72,142.24,571420,0
2017-05-16,142.15,142.79,140.77,142.33,371242,0
2017-05-17,139.48,140.38,136.66,137.85,734480,0
2017-05-18,137.55,140.44,137.55,139.26,305678,0
2017-05-19,139.3,141.17,135.53,139.27,404096,0
2017-05-22,139.94,140.78,138.74,140.3,369251,0
2017-05-23,140.54,141.778,139.23,140.8,275035,0
2017-05-24,142.76,143.7,140.102,142.94,525691,0
2017-05-25,143.87,145.53,143.52,144.61,695414,0
2017-05-26,144.71,145.92,144.105,145.18,518799,0
2017-05-30,144.43,145,143.17,143.92,398664,0
2017-05-31,144.1,144.495,141.79,143.02,441080,0
2017-06-01,143.89,146.32,142.2,146.18,440017,0
2017-06-02,144.76,146.08,143.91,144.92,409212,0
2017-06-05,145.67,147.23,144.61,145.52,243896,0
2017-06-06,144.44,145.675,142.15,142.84,371150,0
2017-06-07,143,144.29,142.01,143.85,452858,0
2017-06-08,143.67,149.46,141.36,147.22,387476,0
2017-06-09,148.49,152.93,148.49,152.69,402852,0
2017-06-12,152.56,156.37,152.2,152.96,629930,0
2017-06-13,153.57,154.96,151.68,152.8,238944,0
2017-06-14,151.75,151.75,148.35,151.19,461665,0
2017-06-15,150.29,150.33,145.918,146.23,561381,0
2017-06-16,145.94,146.34,142.87,144.07,732443,0
2017-06-19,144.3,145.24,141.48,142.12,657381,0
2017-06-20,142.11,142.48,139.86,140.09,454868,0
2017-06-21,140.32,140.41,136.69,136.9,596422,0
2017-06-22,137.14,137.29,135.01,136.68,527007,0
2017-06-23,137.56,138.29,135.57,136.06,503392,0
2017-06-26,136.29,138.29,135.83,136.96,496657,0
2017-06-27,137.51,140.59,136.88,139.13,499654,0
2017-06-28,140.52,142.98,140.45,141.69,442831,0
2017-06-29,144.7,146.32,142.55,144.07,607660,0
2017-06-30,144.68,145.185,142.51,143.53,499690,0
2017-07-03,144.08,146.8,143.28,145.07,303471,0
2017-07-05,145.03,145.5,142.25,143.77,425515,0
2017-07-06,143.45,144.53,141.51,142.05,564877,0
2017-07-07,142.29,143.14,140.32,141.9,399388,0
2017-07-10,141.6,143.11,140.5,141.64,455760,0
2017-07-11,141.26,142.26,140.7,141.15,441351,0
2017-07-12,140.6,141.03,138.39,138.92,533245,0
2017-07-13,139.14,140.65,138.43,139.62,431505,0
2017-07-14,138.25,140.26,136.99,139.53,265287,0
2017-07-17,139.58,140.43,138.6,139.56,313309,0
2017-07-18,139.12,140.97,137,138.37,675892,0
2017-07-19,137.76,137.76,132.25,135.68,1430510,0
2017-07-20,135.41,136.336,133.3,134.07,795365,0
2017-07-21,133.75,134.41,131.59,131.95,598803,0
2017-07-24,131.85,134.42,131.85,134.28,439114,0
2017-07-25,138.02,139.185,136.35,137.71,572631,0
2017-07-26,137.78,137.78,134.98,135.72,448139,0
2017-07-27,135.85,137.26,134.84,136.81,536899,0
2017-07-28,137,137.16,135.69,136.53,330598,0
2017-07-31,136.49,139.01,136.47,138.58,565601,0
2017-08-01,139.38,139.99,138.4,139.13,577273,0
2017-08-02,139.76,139.76,137.685,138.15,292677,0
2017-08-03,137.86,138.82,135.96,136.07,484834,0
2017-08-04,136.29,137.82,135.345,136.47,400875,0
2017-08-07,136.92,137.72,135.54,135.95,327075,0
2017-08-08,135.51,137.39,135.16,135.9,360658,0
2017-08-09,134.86,135.13,132.91,133.66,346111,0
2017-08-10,132.42,133.56,128.875,129.03,664363,0
2017-08-11,128.92,130.09,127.66,128.47,290405,0
2017-08-14,129.34,131.83,129.29,131.4,255314,0
2017-08-15,132.22,132.55,130.69,131.15,265684,0
2017-08-16,131.36,132.13,129.95,130.43,248258,0
2017-08-17,129.87,131.13,127.85,128.07,331030,0
2017-08-18,127.57,128.6,126.56,127.7,316910,0
2017-08-21,127.29,128.68,126.75,128.53,231829,0
2017-08-22,128.89,130.06,128.86,129.2,334576,0
2017-08-23,128.24,130.075,128.24,129.33,302098,0
2017-08-24,130.03,130.915,128.995,130.64,270549,0
2017-08-25,130.74,131.692,130.22,130.99,296924,0
2017-08-28,131.54,131.54,129.44,129.84,204875,0
2017-08-29,128.31,129.26,127.25,128.46,331158,0
2017-08-30,128.68,129.475,128.17,128.54,324555,0
2017-08-31,128.81,129.24,128.05,128.34,329337,0
2017-09-01,128.56,129.49,128.09,128.63,325474,0
2017-09-05,127.97,128.04,123.53,125.29,429399,0
2017-09-06,125.55,127.16,124.71,125.86,356802,0
