Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,3.64,3.73,3.45,3.59,15479601,0
2017-01-04,3.56,3.61,3.5,3.51,8868368,0
2017-01-05,3.6,3.6,3.47,3.51,7919782,0
2017-01-06,3.5,3.51,3.38,3.42,8058193,0
2017-01-09,3.33,3.38,3.23,3.3,10930374,0
2017-01-10,3.32,3.37,3.24,3.37,8739035,0
2017-01-11,3.4,3.57,3.36,3.54,10245053,0
2017-01-12,3.59,3.63,3.42,3.45,6417454,0
2017-01-13,3.43,3.477,3.34,3.36,6009322,0
2017-01-17,3.4,3.44,3.32,3.33,5639084,0
2017-01-18,3.26,3.33,3.225,3.25,6239921,0
2017-01-19,3.23,3.2701,3.11,3.11,7375838,0
2017-01-20,3.18,3.21,3.07,3.07,10204699,0
2017-01-23,3,3.01,2.84,2.85,14625464,0
2017-01-24,2.85,2.98,2.85,2.93,8294591,0
2017-01-25,2.99,3.06,2.96,3.03,7984326,0
2017-01-26,3.09,3.12,2.9,2.94,8144947,0
2017-01-27,2.91,2.92,2.82,2.86,6389224,0
2017-01-30,2.8,2.8,2.65,2.66,11356711,0
2017-01-31,2.08,2.1,1.85,1.87,50313528,0
2017-02-01,2.01,2.01,1.93,1.96,13091315,0
2017-02-02,1.84,1.9,1.58,1.81,32407723,0
2017-02-03,1.9,1.93,1.81,1.85,12074833,0
2017-02-06,1.9,1.91,1.75,1.75,13315256,0
2017-02-07,1.76,1.77,1.65,1.72,19959396,0
2017-02-08,1.71,1.75,1.66,1.68,19960880,0
2017-02-09,1.71,1.85,1.71,1.75,21676626,0
2017-02-10,1.8,2,1.79,1.92,32653385,0
2017-02-13,1.99,2,1.9,1.95,9882484,0
2017-02-14,2,2.19,1.95,2.17,20444732,0
2017-02-15,2.1,2.17,2.09,2.17,11169008,0
2017-02-16,2.12,2.1532,1.98,2,12428488,0
2017-02-17,1.97,1.99,1.91,1.94,7118412,0
2017-02-21,2.03,2.18,2.01,2.15,19644327,0
2017-02-22,2.03,2.08,1.98,2.03,14155587,0
2017-02-23,2.08,2.08,1.98,2.06,8337578,0
2017-02-24,2,2.05,1.98,1.98,8517851,0
2017-02-27,2,2.09,1.95,2.04,10790355,0
2017-02-28,1.8,1.82,1.66,1.75,26084484,0
2017-03-01,1.7,1.77,1.68,1.7,15516719,0
2017-03-02,1.67,1.71,1.62,1.67,12256977,0
2017-03-03,1.65,1.67,1.18,1.25,40239450,0
2017-03-06,1.35,1.35,1.25,1.26,17152263,0
2017-03-07,1.31,1.34,1.02,1.11,31916638,0
2017-03-08,1.12,1.27,1.1,1.21,18394430,0
2017-03-09,1.22,1.36,1.19,1.34,27879085,0
2017-03-10,1.32,1.33,1.22,1.24,11367979,0
2017-03-13,1.33,1.38,1.24,1.34,12486374,0
2017-03-14,1.29,1.35,1.26,1.29,8199919,0
2017-03-15,1.32,1.47,1.31,1.44,16280970,0
2017-03-16,1.44,1.56,1.4,1.53,14101062,0
2017-03-17,1.5,1.54,1.44,1.49,9292405,0
2017-03-20,1.47,1.49,1.41,1.42,11697876,0
2017-03-21,1.42,1.45,1.34,1.38,8012798,0
2017-03-22,1.35,1.43,1.35,1.43,9196255,0
2017-03-23,1.4,1.44,1.38,1.44,5132423,0
2017-03-24,1.44,1.46,1.4,1.4,4081168,0
2017-03-27,1.35,1.43,1.35,1.41,6200307,0
2017-03-28,1.4,1.59,1.4,1.52,19072444,0
2017-03-29,1.48,1.59,1.43,1.59,14466109,0
2017-03-30,1.6,1.64,1.51,1.57,11046817,0
2017-03-31,1.53,1.67,1.52,1.65,12598938,0
2017-04-03,1.62,1.68,1.61,1.67,7217019,0
2017-04-04,1.01,1.1,0.6505,0.7399,75484186,0
2017-04-05,0.728,0.768,0.69,0.6933,24650334,0
2017-04-06,0.6931,0.722,0.69,0.6965,10030866,0
2017-04-07,0.75,0.75,0.6701,0.6974,8435384,0
2017-04-10,0.7354,0.82,0.71,0.8101,12547291,0
2017-04-11,0.925,0.9274,0.7853,0.8238,16404640,0
2017-04-12,0.84,0.84,0.75,0.7768,9921608,0
2017-04-13,0.77,0.7768,0.7166,0.7521,6566351,0
2017-04-17,0.7552,0.77,0.7252,0.76,5604849,0
2017-04-18,0.753,0.76,0.74,0.75,4995381,0
2017-04-19,0.75,0.75,0.7013,0.704,4018793,0
2017-04-20,0.7217,0.7595,0.705,0.7325,7136289,0
2017-04-21,0.7379,0.7499,0.715,0.721,4562077,0
2017-04-24,0.7209,0.73,0.7,0.7,5222166,0
2017-04-25,0.6999,0.7108,0.695,0.699,5654897,0
2017-04-26,0.7049,0.728,0.7,0.7059,5294372,0
2017-04-27,0.7,0.7001,0.66,0.6677,6381187,0
2017-04-28,0.6878,0.7,0.68,0.6898,5410654,0
2017-05-01,0.68,0.6855,0.641,0.659,4693745,0
2017-05-02,0.648,0.6513,0.6,0.6081,8154280,0
2017-05-03,0.5894,0.6185,0.5816,0.6056,6261050,0
2017-05-04,0.5814,0.59,0.5619,0.5741,6363917,0
2017-05-05,0.56,0.65,0.56,0.6271,9323015,0
2017-05-08,0.5985,0.648,0.5907,0.6291,4889521,0
2017-05-09,0.62,0.63,0.6031,0.6113,5094144,0
2017-05-10,0.6001,0.664,0.5999,0.6446,10224547,0
2017-05-11,0.6299,0.65,0.61,0.6108,6841536,0
2017-05-12,0.5999,0.603,0.59,0.59,3677706,0
2017-05-15,0.6263,0.642,0.59,0.6117,9521579,0
2017-05-16,0.6067,0.615,0.5942,0.6115,4476026,0
2017-05-17,0.62,0.62,0.575,0.579,5604856,0
2017-05-18,0.57,0.5893,0.5584,0.5834,6940154,0
2017-05-19,0.55,0.55,0.52,0.5348,10528562,0
2017-05-22,0.5251,0.5348,0.51,0.5243,7017536,0
2017-05-23,0.52,0.6584,0.52,0.5893,22319055,0
2017-05-24,0.6699,0.6787,0.571,0.592,20623728,0
2017-05-25,0.57,0.61,0.51,0.5326,12412218,0
2017-05-26,0.52,0.5358,0.512,0.5225,5130569,0
2017-05-30,0.5,0.5042,0.4502,0.46,11151797,0
