Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,42.937,43.592,42.849,43.246,548266,0
2017-01-04,43.339,43.648,43.312,43.424,322222,0
2017-01-05,43.639,44.155,43.5,44.053,320230,0
2017-01-06,44.126,44.516,44.04,44.126,430164,0
2017-01-09,44.136,44.445,43.753,44.146,688068,0
2017-01-10,44.053,44.314,43.861,43.958,450315,0
2017-01-11,44.175,44.24,43.724,43.78,329801,0
2017-01-12,43.931,44.024,43.125,43.125,494392,0
2017-01-13,42.937,43.678,42.89,43.339,341378,0
2017-01-17,43.48,43.795,43.181,43.358,548940,0
2017-01-18,43.386,43.461,43.125,43.227,431097,0
2017-01-19,43.274,43.386,42.618,42.618,308839,0
2017-01-20,42.899,43.181,42.524,42.533,276115,0
2017-01-23,42.562,42.851,41.99,42.159,536891,0
2017-01-24,42.149,42.946,42.149,42.693,336072,0
2017-01-25,42.749,43.217,42.655,42.843,273284,0
2017-01-26,43.012,43.227,42.665,43.19,375218,0
2017-01-27,43.049,43.33,42.712,43.302,343060,0
2017-01-30,43.199,43.199,42.233,42.468,405623,0
2017-01-31,42.599,42.627,42.111,42.505,518440,0
2017-02-01,42.973,42.973,42.224,42.374,288467,0
2017-02-02,42.374,42.487,41.999,42.336,309220,0
2017-02-03,42.28,43.03,42.206,42.956,680653,0
2017-02-06,42.749,43.339,42.674,43.217,427511,0
2017-02-07,43.142,43.349,42.571,42.665,417514,0
2017-02-08,42.655,42.89,42.365,42.496,636117,0
2017-02-09,42.825,42.881,42.58,42.712,684228,0
2017-02-10,42.964,43.012,42.487,42.487,873626,0
2017-02-13,42.739,42.739,42.421,42.515,952978,0
2017-02-14,42.683,42.702,42.14,42.655,763398,0
2017-02-15,42.655,43.074,42.378,43.074,755796,0
2017-02-16,43.074,43.074,42.597,42.902,882864,0
2017-02-17,42.473,43.472,42.473,43.339,489127,0
2017-02-21,43.339,43.568,43.206,43.339,478498,0
2017-02-22,43.054,43.101,42.739,42.96,383257,0
2017-02-23,43.273,43.301,42.788,43.017,372916,0
2017-02-24,42.836,43.158,42.568,42.721,363991,0
2017-02-27,42.702,42.806,42.288,42.368,476694,0
2017-02-28,42.597,42.893,42.392,42.578,461819,0
2017-03-01,42.836,42.93,42.207,42.359,608544,0
2017-03-02,42.026,42.168,41.303,41.845,658948,0
2017-03-03,41.912,42.026,41.835,41.959,377114,0
2017-03-06,41.882,42.036,41.565,41.902,447781,0
2017-03-07,41.788,41.801,41.464,41.569,437084,0
2017-03-08,41.531,41.654,40.855,40.893,545827,0
2017-03-09,40.712,40.956,40.379,40.684,719597,0
2017-03-10,41.14,41.246,40.627,40.978,564347,0
2017-03-13,40.836,41.264,40.77,41.035,573598,0
2017-03-14,40.712,41.027,40.456,40.56,554420,0
2017-03-15,40.655,41.083,40.57,41.008,452988,0
2017-03-16,41.14,41.303,40.941,40.96,356623,0
2017-03-17,40.96,41.14,40.855,41.008,745383,0
2017-03-20,40.97,41.226,40.56,40.57,321481,0
2017-03-21,40.55,40.789,39.893,40.161,407901,0
2017-03-22,40.122,40.303,39.999,40.198,308467,0
2017-03-23,39.903,40.389,39.56,40.074,413407,0
2017-03-24,40.122,40.342,40.027,40.246,263961,0
2017-03-27,40.084,40.246,39.884,40.103,282800,0
2017-03-28,40.141,40.436,40.074,40.179,258650,0
2017-03-29,40.407,40.817,40.196,40.684,268044,0
2017-03-30,40.76,41.055,40.598,40.846,299088,0
2017-03-31,40.864,41.607,40.827,41.56,372326,0
2017-04-03,41.597,41.845,40.96,41.255,317637,0
2017-04-04,41.216,41.445,40.874,41.35,296310,0
2017-04-05,41.617,41.882,41.169,41.246,258328,0
2017-04-06,41.407,41.798,41.303,41.636,320168,0
2017-04-07,41.882,42.054,41.55,41.702,372698,0
2017-04-10,41.721,42.16,41.721,41.979,263665,0
2017-04-11,42.207,42.511,42.006,42.217,539040,0
2017-04-12,42.226,42.435,42.036,42.302,367936,0
2017-04-13,42.302,42.483,41.922,42.006,423791,0
2017-04-17,42.054,42.197,41.588,41.835,266099,0
2017-04-18,41.569,42.073,41.569,42.046,303133,0
2017-04-19,42.121,42.207,41.892,42.121,391819,0
2017-04-20,42.187,42.207,41.683,41.721,382774,0
2017-04-21,41.807,42.15,41.331,42.006,492953,0
2017-04-24,42.292,42.445,41.892,42.168,341264,0
2017-04-25,42.064,42.977,42.026,42.911,398522,0
2017-04-26,42.788,43.301,42.759,43.064,307870,0
2017-04-27,42.93,43.311,42.331,42.407,924844,0
2017-04-28,42.673,43.082,42.426,42.977,320537,0
2017-05-01,42.997,43.206,42.778,42.883,340429,0
2017-05-02,42.883,43.158,42.788,42.845,319469,0
2017-05-03,42.893,43.017,42.607,42.92,387522,0
2017-05-04,42.816,43.012,41.997,42.292,487134,0
2017-05-05,42.426,43.082,42.321,42.92,486639,0
2017-05-08,43.101,43.13,42.054,42.549,406489,0
2017-05-09,42.492,42.492,41.588,42.054,397467,0
2017-05-10,42.217,42.739,41.892,42.473,397472,0
2017-05-11,43.045,43.267,42.03,42.107,420638,0
2017-05-12,42.088,42.165,41.479,41.865,441583,0
2017-05-15,42.397,42.639,42.068,42.484,444127,0
2017-05-16,42.542,42.755,42.272,42.3,291414,0
2017-05-17,42.368,42.368,41.74,41.74,336466,0
2017-05-18,41.682,41.904,41.305,41.643,300110,0
2017-05-19,41.71,42.32,41.595,42.262,235476,0
2017-05-22,42.6,42.9,42.146,42.833,326164,0
2017-05-23,43.007,43.171,42.856,43.035,198022,0
2017-05-24,43.025,43.258,42.793,42.949,172888,0
2017-05-25,42.929,43.161,42.484,42.581,213176,0
2017-05-26,42.735,42.776,42.416,42.436,229547,0
2017-05-30,42.368,42.416,42.04,42.058,329556,0
2017-05-31,41.972,42.149,41.701,41.72,407764,0
2017-06-01,41.691,41.982,41.643,41.826,372575,0
2017-06-02,41.768,41.994,41.091,41.149,681684,0
2017-06-05,41.091,41.314,40.666,40.889,581806,0
2017-06-06,40.927,41.275,40.647,41.169,442644,0
2017-06-07,41.101,41.556,40.859,41.063,454855,0
2017-06-08,41.005,41.256,40.618,40.656,527049,0
2017-06-09,40.656,41.14,40.637,40.947,394698,0
2017-06-12,41.063,41.381,40.772,40.859,468519,0
2017-06-13,40.792,41.073,40.366,40.695,610098,0
2017-06-14,40.879,40.917,40.163,40.472,651508,0
2017-06-15,40.424,40.463,39.719,39.747,479703,0
2017-06-16,39.796,40.396,39.699,40.24,745239,0
2017-06-19,40.414,40.714,40.057,40.154,589047,0
2017-06-20,39.854,40.086,39.409,39.844,557774,0
2017-06-21,39.728,39.931,39.457,39.651,346498,0
2017-06-22,39.583,39.98,39.573,39.728,376556,0
2017-06-23,39.873,41.033,39.83,40.937,438346,0
2017-06-26,41.101,41.72,40.753,41.682,618226,0
2017-06-27,41.826,42.533,41.556,41.924,571552,0
2017-06-28,41.952,42.677,41.952,42.446,518756,0
2017-06-29,42.619,42.639,42.174,42.31,1288146,0
2017-06-30,42.552,42.591,41.421,41.488,595203,0
2017-07-03,41.546,42.349,41.546,42.252,241427,0
2017-07-05,42.165,42.31,41.652,42.156,1155863,0
2017-07-06,42.368,42.775,42.126,42.33,345984,0
2017-07-07,42.33,43.123,42.107,42.977,385289,0
2017-07-10,42.929,43.123,42.31,42.504,528086,0
2017-07-11,42.504,42.562,42.247,42.32,420214,0
2017-07-12,42.552,43.19,42.538,42.929,307385,0
2017-07-13,42.775,43.074,42.581,42.967,242061,0
2017-07-14,43.083,43.858,43.083,43.81,413279,0
2017-07-17,43.858,44.36,43.751,44.138,410742,0
2017-07-18,44.661,44.661,43.596,44.002,366931,0
2017-07-19,43.751,44.389,43.742,44.09,760476,0
2017-07-20,44.293,44.34,43.442,43.616,343899,0
2017-07-21,43.664,43.886,43.374,43.432,319182,0
2017-07-24,43.432,43.76,43.325,43.635,191487,0
2017-07-25,43.848,44.235,43.664,44.051,263596,0
2017-07-26,44.041,44.157,43.702,43.8,142235,0
2017-07-27,43.886,43.886,43.513,43.558,229243,0
2017-07-28,43.567,43.742,43.403,43.567,194505,0
2017-07-31,43.577,43.77,43.267,43.712,299306,0
2017-08-01,43.76,43.886,43.093,43.635,250724,0
2017-08-02,43.422,44.07,43.103,44.041,430958,0
2017-08-03,44.002,44.583,43.881,44.215,466089,0
2017-08-04,44.312,44.941,44.312,44.495,377974,0
2017-08-07,44.631,44.719,44.176,44.196,204585,0
2017-08-08,44.032,44.225,43.161,43.306,450387,0
2017-08-09,43.442,43.712,43.345,43.567,351072,0
2017-08-10,43.567,43.838,43.325,43.403,340554,0
2017-08-11,43.082,43.81,43.082,43.701,576551,0
2017-08-14,43.731,44.163,43.603,43.613,479345,0
2017-08-15,43.731,43.731,42.846,43.043,354913,0
2017-08-16,43.122,43.195,42.512,42.63,421743,0
2017-08-17,42.601,42.917,42.493,42.768,188134,0
2017-08-18,42.67,42.827,42.542,42.689,147249,0
2017-08-21,42.65,42.763,41.785,41.824,324649,0
2017-08-22,41.962,42.513,41.772,42.365,311607,0
2017-08-23,42.345,42.807,42.114,42.788,243000,0
2017-08-24,42.846,43.043,42.607,42.699,250093,0
2017-08-25,42.856,42.994,42.507,42.827,206792,0
2017-08-28,42.964,43.092,42.827,42.866,342795,0
2017-08-29,42.827,43.171,42.444,43.131,269321,0
2017-08-30,43.112,43.23,42.591,42.945,327086,0
2017-08-31,43.181,43.698,42.797,43.564,309907,0
2017-09-01,43.623,43.878,43.211,43.564,159090,0
2017-09-05,43.76,43.819,43.181,43.505,179385,0
2017-09-06,43.633,43.869,43.369,43.819,194579,0
2017-09-07,43.898,43.898,43.446,43.554,192581,0
2017-09-08,43.505,43.584,42.964,43.141,206616,0
2017-09-11,43.279,43.564,43.063,43.387,114809,0
2017-09-12,43.485,43.721,43.436,43.613,135096,0
2017-09-13,43.692,43.796,43.485,43.682,228083,0
2017-09-14,43.927,43.927,43.269,43.731,344067,0
2017-09-15,43.751,43.854,43.387,43.633,334372,0
2017-09-18,43.711,43.991,43.573,43.652,355579,0
2017-09-19,43.682,43.829,43.348,43.534,219729,0
2017-09-20,43.574,43.77,43.023,43.023,369487,0
2017-09-21,42.984,43.092,42.459,42.797,307271,0
2017-09-22,42.729,43.19,42.62,43.073,278788,0
2017-09-25,43.112,44.262,42.758,44.065,673890,0
2017-09-26,44.065,44.065,43.475,43.76,229447,0
2017-09-27,43.78,43.807,43.23,43.358,446914,0
2017-09-28,43.456,43.456,42.65,43.092,339940,0
2017-09-29,43.416,43.996,43.348,43.613,922112,0
2017-10-02,43.24,43.908,43.19,43.878,430187,0
2017-10-03,43.741,44.291,43.613,44.006,279251,0
2017-10-04,44.163,44.242,43.672,43.996,348530,0
2017-10-05,44.055,44.788,43.8,44.674,209626,0
2017-10-06,44.576,44.792,44.193,44.704,291980,0
2017-10-09,44.733,44.91,44.321,44.321,214290,0
2017-10-10,44.606,44.606,44.045,44.262,431101,0
2017-10-11,44.448,44.448,44.095,44.36,267533,0
2017-10-12,44.271,44.311,43.927,44.173,277661,0
2017-10-13,44.399,44.399,43.614,43.908,229793,0
2017-10-16,44.134,44.262,43.584,43.613,160889,0
2017-10-17,42.964,43.397,42.896,43.21,312871,0
2017-10-18,43.063,43.294,42.365,42.738,353263,0
2017-10-19,42.394,42.797,42.394,42.709,209265,0
2017-10-20,42.905,42.905,42.021,42.09,272118,0
2017-10-23,42.109,42.257,41.451,41.657,444824,0
2017-10-24,41.933,42.001,41.156,41.579,419427,0
2017-10-25,41.638,41.736,40.478,40.763,707162,0
2017-10-26,40.861,41.038,40.291,40.498,539577,0
2017-10-27,40.567,41.766,40.547,41.736,543694,0
2017-10-30,41.726,42.463,41.707,42.05,355721,0
2017-10-31,42.109,42.63,41.766,42.375,366021,0
2017-11-01,42.532,43.011,42.267,42.915,253775,0
2017-11-02,43.77,44.222,42.06,42.542,327158,0
2017-11-03,42.601,42.601,41.687,41.903,503062,0
2017-11-06,42.09,42.257,41.648,42.247,277239,0
2017-11-07,42.257,42.257,41.641,41.952,520066,0
2017-11-08,41.962,42.041,40.852,40.92,445032,0
2017-11-09,40.881,41.594,40.852,41.294,342251,0
2017-11-10,41.43,41.69,40.84,40.95,360040,0
