Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,19.678,19.678,18.792,19.175,4905,0
2017-01-04,18.792,19.185,18.615,19.185,3842,0
2017-01-06,18.718,19.276,18.718,19.276,2348,0
2017-01-10,18.595,18.595,18.595,18.595,167,0
2017-01-11,18.634,19.185,18.349,18.988,8998,0
2017-01-13,18.634,19.137,18.33,18.97,12598,0
2017-01-17,19.185,19.185,18.399,18.831,6146,0
2017-01-23,18.595,18.595,18.595,18.595,286,0
2017-01-24,19.185,21.035,19.185,21.035,4791,0
2017-01-25,20.219,20.662,20.219,20.662,694,0
2017-01-26,20.956,20.956,19.451,19.451,3804,0
2017-01-27,18.743,19.953,18.202,19.018,3694,0
2017-01-30,19.451,20.539,19.431,20.139,509,0
2017-01-31,19.579,19.924,19.166,19.924,4201,0
2017-02-01,20.139,20.169,19.982,20.139,1787,0
2017-02-02,20.122,20.122,20.121,20.121,437,0
2017-02-03,20.169,20.169,20.109,20.109,290,0
2017-02-06,20.169,20.169,19.972,20.071,4685,0
2017-02-07,20.071,20.169,20.022,20.169,3075,0
2017-02-08,20.169,20.169,20.036,20.036,478,0
2017-02-09,20.169,20.169,20.093,20.107,1883,0
2017-02-10,20.169,20.169,20.169,20.169,689,0
2017-02-13,20.662,20.662,20.614,20.614,1641,0
2017-02-14,20.581,20.612,20.189,20.612,1582,0
2017-02-15,20.662,22.531,20.662,21.235,16375,0
2017-02-17,21.596,21.636,21.546,21.546,1418,0
2017-02-21,21.646,24.597,21.173,23.859,23003,0
2017-02-22,23.908,24.105,22.383,23.072,9276,0
2017-02-23,22.58,22.58,21.272,22.127,12852,0
2017-02-27,22.137,22.167,21.773,22.078,2667,0
2017-02-28,22.236,22.727,22.236,22.284,4184,0
2017-03-01,21.409,21.566,21.193,21.193,1389,0
2017-03-02,21.756,22.35,21.756,22.261,1220,0
2017-03-03,22.745,22.745,22.745,22.745,168,0
2017-03-06,22.004,23.615,21.331,23.2,4073,0
2017-03-07,21.862,23.24,21.862,23.19,2889,0
2017-03-08,22.943,23.685,22.918,23.645,2301,0
2017-03-09,23.625,23.734,23.24,23.734,1894,0
2017-03-10,23.685,23.685,22.875,23.685,2254,0
2017-03-13,23.734,23.734,23.675,23.685,1490,0
2017-03-14,23.675,23.685,22.646,23.556,2178,0
2017-03-15,23.733,23.734,22.745,22.943,6316,0
2017-03-16,22.943,23.24,22.369,23.141,5246,0
2017-03-17,22.35,22.894,21.608,21.756,13070,0
2017-03-20,22.646,23.091,22.498,23.091,2107,0
2017-03-21,22.992,22.992,22.075,22.427,1876,0
2017-03-22,22.686,22.686,20.827,22.35,12675,0
2017-03-23,22.004,22.419,21.272,21.816,12201,0
2017-03-24,21.82,21.905,21.82,21.905,395,0
2017-03-27,22.004,22.004,22.004,22.004,102,0
2017-03-28,21.657,22.004,21.657,22.004,1804,0
2017-03-29,21.837,22.251,21.837,22.251,5013,0
2017-03-30,21.756,22.498,21.756,22.498,2126,0
2017-03-31,22.191,22.191,22.083,22.191,999,0
2017-04-03,21.816,21.835,21.262,21.756,3874,0
2017-04-04,21.321,21.509,21.321,21.509,359,0
2017-04-05,21.328,22.577,21.328,21.509,567,0
2017-04-06,21.727,22.646,21.727,22.646,203,0
2017-04-07,23.24,23.24,23.24,23.24,259,0
2017-04-10,22.745,22.745,21.817,22.251,825,0
2017-04-11,22.32,22.32,21.855,22.251,1242,0
2017-04-12,21.816,22.044,21.321,21.321,4444,0
2017-04-13,21.371,21.371,21.262,21.262,3150,0
2017-04-17,22.696,22.696,20.767,21.052,1428,0
2017-04-18,21.064,21.159,20.312,20.312,2319,0
2017-04-19,20.767,20.767,19.778,20.174,3291,0
2017-04-20,20.767,21.163,20.52,21.163,1577,0
2017-04-21,21.262,21.262,21.237,21.262,462,0
2017-04-24,21.238,21.238,21.238,21.238,469,0
2017-04-25,21.163,21.163,20.372,20.767,3814,0
2017-04-27,20.431,20.767,20.431,20.57,1586,0
2017-04-28,19.798,19.828,18.958,19.462,4957,0
2017-05-01,19.65,19.788,18.719,19.066,3436,0
2017-05-02,19.205,19.205,18.839,19.205,2532,0
2017-05-03,19.729,19.729,19.68,19.68,585,0
2017-05-04,19.769,19.769,19.68,19.68,281,0
2017-05-05,19.778,19.778,19.759,19.759,1225,0
2017-05-08,19.976,19.976,19.136,19.178,1480,0
2017-05-09,19.778,19.778,19.778,19.778,102,0
2017-05-10,19.778,19.778,19.778,19.778,389,0
2017-05-11,20.599,20.804,19.324,19.324,1850,0
2017-05-15,19.086,19.521,19.086,19.521,909,0
2017-05-17,19.63,19.63,19.561,19.63,1126,0
2017-05-18,19.875,19.875,19.875,19.875,565,0
2017-05-19,20.036,20.194,19.778,19.778,2944,0
2017-05-26,19.68,20.293,19.68,19.752,5741,0
2017-05-30,19.68,19.778,19.68,19.68,564,0
2017-06-01,19.712,19.712,19.53,19.53,4012,0
2017-06-02,19.57,20.684,19.441,20.465,9552,0
2017-06-05,19.664,21.38,19.664,21.38,4847,0
2017-06-06,20.883,20.883,19.501,20.594,10392,0
2017-06-07,20.032,20.032,20.032,20.032,265,0
2017-06-08,19.888,20.833,19.391,20.833,3708,0
2017-06-09,20.833,20.833,20.833,20.833,214,0
