Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,51.113,51.274,50.944,51.01,33644,0
2017-01-04,51.18,51.736,51.18,51.623,57430,0
2017-01-05,52.17,52.708,52.161,52.378,51537,0
2017-01-06,53.538,53.973,53.538,53.878,108958,0
2017-01-09,53.255,53.774,52.859,53.746,85986,0
2017-01-10,53.991,54.567,53.991,54.256,75432,0
2017-01-11,55.01,55.246,54.727,55.143,70011,0
2017-01-12,56.737,57.077,56.482,57.049,21156,0
2017-01-13,56.803,56.992,56.605,56.992,18931,0
2017-01-17,58.011,58.615,58.002,58.558,38142,0
2017-01-18,58.19,58.37,58.03,58.209,23954,0
2017-01-19,59.464,59.587,59.29,59.587,37636,0
2017-01-20,57.218,58.03,56.681,57.181,31932,0
2017-01-23,55.728,57.171,55.568,56.709,49550,0
2017-01-24,58.03,59.341,58.03,59.134,24992,0
2017-01-25,59.153,59.426,59.058,59.351,9726,0
2017-01-26,59.285,59.577,59.219,59.313,15940,0
2017-01-27,58.889,59.219,58.653,59.162,7928,0
2017-01-30,58.804,58.945,58.219,58.794,18586,0
2017-01-31,58.681,58.917,58.615,58.822,8314,0
2017-02-01,59.087,59.445,59.087,59.266,5966,0
2017-02-02,59.257,59.747,59.082,59.568,15017,0
2017-02-03,59.964,60.153,59.823,59.823,4572,0
2017-02-06,59.474,59.511,59.143,59.332,11294,0
2017-02-07,58.643,58.709,58.03,58.511,22741,0
2017-02-08,57.898,58.549,57.86,58.454,13572,0
2017-02-09,58.605,58.785,58.506,58.643,10471,0
2017-02-10,58.521,58.568,58.039,58.558,18077,0
2017-02-13,58.756,59.238,58.756,58.804,24345,0
2017-02-14,56.69,57.096,56.69,56.992,24651,0
2017-02-15,57.445,58.068,57.294,57.888,18853,0
2017-02-16,58.907,58.983,58.653,58.841,10038,0
2017-02-17,57.7,57.86,57.435,57.803,21137,0
2017-02-21,58.275,58.464,58.02,58.464,6811,0
2017-02-22,60.606,61.144,60.606,61.012,15967,0
2017-02-23,59.813,59.813,59.275,59.53,14458,0
2017-02-24,58.237,58.256,57.884,58.256,14804,0
2017-02-27,58.256,58.256,57.143,57.247,16652,0
2017-02-28,56.992,57.511,56.992,57.483,14232,0
2017-03-01,56.747,57.077,56.558,57.039,23117,0
2017-03-02,56.841,56.945,56.716,56.775,7057,0
2017-03-03,56.652,56.832,56.586,56.671,7766,0
2017-03-06,55.303,55.303,54.982,54.982,9285,0
2017-03-07,57.313,57.313,56.784,57.011,12487,0
2017-03-08,56.775,56.898,56.407,56.548,8690,0
2017-03-09,55.36,55.444,54.897,55.048,14890,0
2017-03-10,52.869,52.869,52.387,52.755,20252,0
2017-03-13,52.991,52.991,52.604,52.661,5797,0
2017-03-14,53.208,53.321,53.086,53.133,15656,0
2017-03-15,53.019,54.142,53.001,53.84,45150,0
2017-03-16,54.01,54.444,53.84,54.293,13091,0
2017-03-17,54.001,54.001,53.321,53.557,48806,0
2017-03-20,54.142,54.161,54.048,54.105,27781,0
2017-03-21,54.105,54.133,53.001,53.378,14256,0
2017-03-22,53.246,53.746,53.227,53.633,12679,0
2017-03-23,53.708,53.869,53.49,53.708,19216,0
2017-03-24,53.737,53.954,53.633,53.944,9360,0
2017-03-27,52.802,53.038,52.604,52.935,17855,0
2017-03-28,53.133,53.595,53.133,53.425,30103,0
2017-03-29,53.218,53.963,53.218,53.85,17978,0
2017-03-30,53.104,53.18,52.982,52.982,11378,0
2017-03-31,52.604,52.925,52.378,52.614,22807,0
2017-04-03,53.331,53.369,52.897,53.17,39860,0
2017-04-04,53.312,53.755,53.312,53.633,10414,0
2017-04-05,53.161,53.161,52.887,52.991,15158,0
2017-04-06,52.916,53.369,52.916,53.359,10991,0
2017-04-07,53.803,54.01,53.52,53.982,11674,0
2017-04-10,53.963,54.142,53.648,54.123,13275,0
2017-04-11,54.171,54.19,53.925,54.19,19172,0
2017-04-12,55.01,55.662,54.756,55.331,48828,0
2017-04-13,54.388,55.407,54.35,55.388,112963,0
2017-04-17,54.614,55.879,54.284,55.765,102715,0
2017-04-18,53.973,54.322,53.963,54.142,84135,0
2017-04-19,54.227,54.661,54.161,54.274,37187,0
2017-04-20,53.916,54.171,53.841,54.067,21404,0
2017-04-21,53.737,53.737,53.605,53.605,12621,0
2017-04-24,53.765,54.001,53.642,53.642,25608,0
2017-04-25,53.642,53.991,53.642,53.85,19023,0
2017-04-26,53.718,53.774,53.576,53.576,21851,0
2017-04-27,52.897,52.925,52.34,52.463,18072,0
2017-04-28,52.935,53.029,52.755,52.821,16146,0
2017-05-01,52.821,53.331,52.821,53.218,18942,0
