Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,174.66,176.775,169.41,172.12,482108,0
2017-01-04,172.13,179.38,172.13,178.98,594468,0
2017-01-05,178.29,179.97,173.26,175.17,595423,0
2017-01-06,176.41,179.35,175.475,177.52,387387,0
2017-01-09,176.34,176.34,173.42,174.33,472299,0
2017-01-10,175.68,176.482,173.51,175.95,462185,0
2017-01-11,175.95,177.55,173.86,177.53,404524,0
2017-01-12,176.04,177.36,171.361,174.51,416030,0
2017-01-13,175.91,180.48,174.02,176.59,303501,0
2017-01-17,174.1,174.76,167.17,167.57,598533,0
2017-01-18,168.5,168.99,165.05,168.81,1067710,0
2017-01-19,169.34,170.49,167.13,168.59,412048,0
2017-01-20,168.89,171.21,168.77,170.11,437214,0
2017-01-23,168.72,170.65,165.7,167.99,510532,0
2017-01-24,169.34,173.37,168.3,172.42,550535,0
2017-01-25,174.56,176.3,173.01,175.59,535219,0
2017-01-26,176.45,178.5,175.75,177.44,479396,0
2017-01-27,175.03,180,172.01,177.43,592678,0
2017-01-30,175.89,177,170.19,174.75,635863,0
2017-01-31,174.54,176.05,170.3,172.24,651520,0
2017-02-01,174.51,177.44,171.67,172.81,502968,0
2017-02-02,171.49,173,169.47,170.93,477245,0
2017-02-03,173.61,178.47,172.65,178.05,623542,0
2017-02-06,176.96,178.79,174.91,176.02,321251,0
2017-02-07,177.25,178.79,175.77,176.24,360288,0
2017-02-08,175.36,176.74,172.68,175.84,387305,0
2017-02-09,177.26,180.69,176.135,179.44,331464,0
2017-02-10,180.03,181.25,176.4,177.47,436144,0
2017-02-13,178.95,182.34,178.95,180.56,307514,0
2017-02-14,179.82,186.5,179.68,185.49,372442,0
2017-02-15,186.07,187.48,184.69,185.6,288499,0
2017-02-16,185.01,186.14,183.08,184.41,368202,0
2017-02-17,182.58,184.61,181.61,184.58,304056,0
2017-02-21,185.69,188.435,185.135,187.12,347313,0
2017-02-22,185.25,189.04,184.49,188.15,555864,0
2017-02-23,187.97,189.29,185.54,189.13,598505,0
2017-02-24,186.3,188.34,185,188.05,546901,0
2017-02-27,189.17,191.96,187.642,191.72,423559,0
2017-02-28,190.82,191.78,188.75,190.89,651427,0
2017-03-01,196.94,198.83,196,197.63,733455,0
2017-03-02,197.91,198.49,191.52,192.17,495864,0
2017-03-03,192.51,194.25,191.83,193.94,463053,0
2017-03-06,192.64,194.83,191.13,194.26,440143,0
2017-03-07,193.88,194.83,191.7,193.12,298756,0
2017-03-08,195.48,197.26,193.04,193.24,439805,0
2017-03-09,194.11,195.525,191.58,193.88,380876,0
2017-03-10,195.13,195.13,190.61,193.52,475134,0
2017-03-13,194.02,195.45,193.05,193.98,417774,0
2017-03-14,192.34,194.44,190.27,194.21,269861,0
2017-03-15,194.53,195.545,191.12,191.77,516700,0
2017-03-16,192,195.83,191.9,194.8,405889,0
2017-03-17,194.84,197.97,192.57,197.19,2223148,0
2017-03-20,197.03,197.03,188.43,188.61,740187,0
