Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,35.476,35.496,32.223,34.133,5138872,0
2017-01-04,34.123,35.666,33.606,35.447,2892540,0
2017-01-05,35.716,36.591,35.168,35.904,2113646,0
2017-01-06,36.024,36.184,34.95,35.586,1412925,0
2017-01-09,34.91,35.019,34.059,34.323,2725994,0
2017-01-10,34.691,34.94,33.432,33.695,1820449,0
2017-01-11,34.123,34.462,33.297,34.392,1845280,0
2017-01-12,34.92,35.118,33.587,34.083,2018796,0
2017-01-13,33.825,34.123,32.934,32.999,2232696,0
2017-01-17,33.635,33.675,32.064,32.382,2859436,0
2017-01-18,31.944,32.581,31.258,31.746,1834761,0
2017-01-19,31.874,32.432,31.198,32.242,2090338,0
2017-01-20,32.84,33.059,31.646,32.094,1909308,0
2017-01-23,31.636,32.183,31.058,31.158,2344243,0
2017-01-24,31.626,32.482,31.496,31.804,2188889,0
2017-01-25,31.804,32.899,31.386,32.084,2428900,0
2017-01-26,32.561,34.621,32.452,33.337,4203332,0
2017-01-27,32.85,34.353,32.7,34.233,2886945,0
2017-01-30,33.725,33.735,32.621,33.069,4393733,0
2017-01-31,33.397,33.397,29.745,30.362,8949091,0
2017-02-01,30.77,31.009,28.252,29.705,6932011,0
2017-02-02,29.595,30.69,28.943,30.203,4075463,0
2017-02-03,30.173,30.631,29.655,29.665,2220896,0
2017-02-06,29.825,30.043,28.59,28.6,2682582,0
2017-02-07,28.332,28.63,27.237,27.914,3785540,0
2017-02-08,27.207,28.412,26.869,28.024,3505781,0
2017-02-09,28.511,28.809,27.784,28.004,2208930,0
2017-02-10,28.59,29.029,28.103,28.849,2173610,0
2017-02-13,28.521,29.157,28.024,28.272,2028586,0
2017-02-14,28.382,28.382,27.436,27.974,2393998,0
2017-02-15,27.784,28.103,27.476,27.496,2525993,0
2017-02-16,27.784,28.083,26.928,26.978,2367325,0
2017-02-17,26.849,27.267,26.491,26.859,1971851,0
2017-02-21,27.566,28.492,27.217,28.222,3883849,0
2017-02-22,27.954,28.412,27.207,27.466,4964231,0
2017-02-23,27.576,27.616,24.719,26.023,9286828,0
2017-02-24,25.525,26.282,24.839,25.038,4103222,0
2017-02-27,25.097,25.635,24.769,25.197,3080318,0
2017-02-28,24.769,25.097,24.451,24.53,3963850,0
2017-03-01,25.277,25.675,25.068,25.515,3190821,0
2017-03-02,25.207,25.585,24.938,24.948,2170536,0
2017-03-03,24.958,25.117,24.002,24.272,2858361,0
2017-03-06,24.192,25.038,23.949,24.849,3226958,0
2017-03-07,24.928,25.227,24.6,24.66,2213282,0
2017-03-08,24.47,24.52,22.172,22.351,4517474,0
2017-03-09,22.201,22.665,20.948,22.391,6224631,0
2017-03-10,22.55,22.719,21.953,22.291,3178860,0
2017-03-13,22.241,22.55,21.635,21.803,4013520,0
2017-03-14,21.157,21.415,19.912,21.266,5091234,0
2017-03-15,21.733,22.261,21.505,22.093,4607094,0
2017-03-16,22.191,22.191,21.336,21.425,2998949,0
2017-03-17,21.595,21.803,20.996,21.167,4573376,0
2017-03-20,20.878,21.535,20.52,21.475,3047889,0
2017-03-21,21.326,21.385,20.38,20.649,3161328,0
2017-03-22,20.41,20.978,20.261,20.699,2719822,0
2017-03-23,20.639,21.266,20.271,20.987,3172933,0
2017-03-24,21.047,21.45,20.659,20.709,2654536,0
2017-03-27,20.261,21.893,20.072,21.813,3776262,0
2017-03-28,21.923,23.038,21.515,22.948,4360381,0
2017-03-29,22.858,23.804,22.679,23.426,3913081,0
2017-03-30,23.526,24.062,22.988,23.236,3125864,0
2017-03-31,23.078,24.082,22.998,23.904,2826100,0
2017-04-03,23.914,24.162,23.216,23.654,2176246,0
2017-04-04,23.704,23.993,23.306,23.874,2958629,0
2017-04-05,24.302,25.092,22.649,22.789,5195506,0
2017-04-06,23.137,23.506,22.878,23.207,1895614,0
2017-04-07,23.266,23.446,22.749,22.908,1996914,0
2017-04-10,23.107,23.694,22.958,23.545,1873995,0
2017-04-11,23.476,23.55,22.898,23.486,1674175,0
2017-04-12,23.526,24.072,22.978,23.078,2059886,0
