Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.032,28.252,27.972,28.222,897284,0
2017-01-04,28.411,28.591,28.347,28.511,912838,0
2017-01-05,28.471,28.717,28.361,28.651,1028960,0
2017-01-06,28.501,28.97,28.461,28.89,967111,0
2017-01-09,28.671,28.88,28.671,28.751,650294,0
2017-01-10,29.329,29.579,29.309,29.459,846191,0
2017-01-11,30.117,30.387,30.057,30.367,1220359,0
2017-01-12,30.716,30.826,30.531,30.796,2043563,0
2017-01-13,30.806,31.005,30.736,30.945,807231,0
2017-01-17,30.925,30.987,30.756,30.786,742222,0
2017-01-18,30.736,30.756,30.526,30.636,573050,0
2017-01-19,30.426,30.536,30.272,30.327,828030,0
2017-01-20,30.267,30.466,30.247,30.426,798912,0
2017-01-23,30.277,30.397,30.167,30.357,540763,0
2017-01-24,30.337,30.426,30.277,30.417,494255,0
2017-01-25,30.426,30.746,30.417,30.716,797422,0
2017-01-26,30.855,31.125,30.855,31.045,949010,0
2017-01-27,30.586,30.586,30.327,30.446,704777,0
2017-01-30,29.279,29.569,29.09,29.369,1890000,0
2017-01-31,30.187,30.317,30.027,30.197,1072146,0
2017-02-01,30.117,30.247,29.998,30.167,867521,0
2017-02-02,30.436,32.142,30.436,31.863,2148638,0
2017-02-03,31.524,31.723,31.474,31.584,1037145,0
2017-02-06,31.713,31.883,31.678,31.863,625645,0
2017-02-07,31.963,32.082,31.953,32.033,596651,0
2017-02-08,31.813,31.983,31.713,31.753,608203,0
2017-02-09,31.654,31.843,31.634,31.723,491815,0
2017-02-10,31.624,31.733,31.564,31.693,519923,0
2017-02-13,31.464,31.703,31.464,31.604,665658,0
2017-02-14,31.454,31.634,31.384,31.554,551292,0
2017-02-15,31.294,31.524,31.294,31.494,630086,0
2017-02-16,31.215,31.324,31.165,31.225,655677,0
2017-02-17,31.205,31.264,31.105,31.264,757802,0
2017-02-21,31.115,31.235,31.045,31.155,728965,0
2017-02-22,31.215,31.259,31.12,31.235,669729,0
2017-02-23,31.155,31.165,30.985,31.165,961264,0
2017-02-24,30.895,30.905,30.766,30.855,536631,0
2017-02-27,30.826,30.845,30.626,30.696,688036,0
2017-02-28,30.965,31.075,30.816,30.885,828682,0
2017-03-01,31.185,31.474,31.145,31.454,1106040,0
2017-03-02,31.324,31.444,31.284,31.334,1100421,0
2017-03-03,31.484,31.594,31.359,31.484,955114,0
2017-03-06,31.245,31.245,31.02,31.105,539092,0
2017-03-07,30.935,30.955,30.746,30.776,477393,0
2017-03-08,30.806,30.845,30.641,30.666,368699,0
2017-03-09,30.776,30.89,30.656,30.746,559298,0
2017-03-10,31.644,31.773,31.444,31.634,1192982,0
2017-03-13,31.723,31.833,31.723,31.823,643800,0
2017-03-14,31.624,31.624,31.324,31.384,432505,0
2017-03-15,31.424,31.664,31.215,31.614,632744,0
2017-03-16,31.803,31.923,31.753,31.813,593783,0
2017-03-17,31.983,32.102,31.963,32.013,419586,0
2017-03-20,32.082,32.142,31.943,32.053,339078,0
2017-03-21,32.122,32.202,31.673,31.683,683173,0
2017-03-22,31.773,31.933,31.713,31.903,436356,0
2017-03-23,31.843,31.843,31.589,31.703,622736,0
2017-03-24,32.202,32.332,32.107,32.132,528769,0
2017-03-27,32.172,32.412,32.073,32.412,505764,0
2017-03-28,32.48,32.5,32.31,32.46,343637,0
2017-03-29,33.15,33.24,33.04,33.15,944240,0
2017-03-30,33.52,33.62,33.46,33.48,819685,0
2017-03-31,33.71,33.78,33.59,33.73,647013,0
2017-04-03,32.97,33.02,32.79,33.02,831324,0
2017-04-04,33.14,33.1872,32.99,33.13,591646,0
2017-04-05,32.92,33,32.74,32.76,714685,0
2017-04-06,32.3,32.32,32.1735,32.21,518489,0
2017-04-07,32.09,32.14,31.98,32.08,523459,0
