Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,51.322,51.807,51.088,51.748,406007,0
2017-01-04,51.846,52.884,51.846,52.602,453386,0
2017-01-05,52.525,52.884,51.748,52.137,578165,0
2017-01-06,52.108,52.564,51.972,52.399,285790,0
2017-01-09,52.283,52.535,51.972,52.273,558775,0
2017-01-10,52.049,52.825,51.962,52.564,456519,0
2017-01-11,52.661,53.107,52.446,53.039,356995,0
2017-01-12,52.709,52.874,52.195,52.807,411499,0
2017-01-13,53.067,53.283,52.641,52.913,258876,0
2017-01-17,52.699,52.797,52.253,52.409,429127,0
2017-01-18,52.515,52.573,52.108,52.234,725258,0
2017-01-19,52.428,52.582,51.71,51.894,576979,0
2017-01-20,52.293,52.496,51.982,52.098,392528,0
2017-01-23,52.02,52.409,51.952,52.283,541334,0
2017-01-24,52.651,53.039,52.389,52.961,1052833,0
2017-01-25,53.273,53.902,53.175,53.563,699989,0
2017-01-26,53.535,53.607,52.864,53.301,289293,0
2017-01-27,53.465,53.465,52.981,53.359,306551,0
2017-01-30,53.039,53.185,52.612,53.185,457458,0
2017-01-31,53.194,53.437,52.758,53.32,568914,0
2017-02-01,53.545,53.933,53.02,53.399,494057,0
2017-02-02,53.495,53.495,52.913,53.283,427660,0
2017-02-03,53.389,53.689,53.001,53.399,510963,0
2017-02-06,53.137,53.651,52.981,53.233,416957,0
2017-02-07,53.223,53.563,52.923,53.03,429553,0
2017-02-08,52.894,53.213,52.719,52.845,709847,0
2017-02-09,51.429,51.692,50.332,51.283,1165172,0
2017-02-10,51.234,51.565,50.846,51.138,1370419,0
2017-02-13,51.35,51.923,51.35,51.622,688732,0
2017-02-14,51.399,51.748,51.33,51.71,360240,0
2017-02-15,51.642,52.127,51.466,51.913,401299,0
2017-02-16,51.904,52.321,51.855,52.088,641425,0
2017-02-17,52.069,52.142,51.561,51.649,510792,0
2017-02-21,51.698,52.342,51.639,52.313,404906,0
2017-02-22,52.117,52.401,51.922,52.088,560239,0
2017-02-23,52.088,52.425,52.039,52.284,504688,0
2017-02-24,51.883,52.352,51.883,52.352,445422,0
2017-02-27,52.049,52.523,52.049,52.274,621803,0
2017-02-28,52.088,52.313,51.951,52.098,517811,0
2017-03-01,52.684,53.338,52.655,53.144,464732,0
2017-03-02,53.065,53.192,52.703,52.753,319637,0
2017-03-03,52.586,52.76,52.385,52.626,229215,0
2017-03-06,52.274,52.606,51.961,51.961,434235,0
2017-03-07,52.069,52.088,51.589,51.609,670187,0
2017-03-08,51.678,51.932,51.623,51.668,393598,0
2017-03-09,51.785,51.903,51.307,51.599,444057,0
2017-03-10,51.805,52.225,51.766,52.108,584666,0
2017-03-13,52.088,52.294,51.736,52.069,290055,0
2017-03-14,51.776,52.059,51.698,51.698,299497,0
2017-03-15,51.981,52.596,51.932,52.401,492104,0
2017-03-16,52.576,52.655,52.235,52.362,278704,0
2017-03-17,51.981,52.616,51.594,51.971,2312013,0
2017-03-20,52.078,53.505,51.978,53.495,774180,0
2017-03-21,53.555,53.662,51.981,52.098,520584,0
2017-03-22,52.108,52.44,51.756,52.43,473779,0
2017-03-23,52.372,52.947,52.176,52.459,269287,0
2017-03-24,52.576,52.616,51.883,52.098,426159,0
2017-03-27,51.472,52.039,51.297,51.971,300717,0
2017-03-28,51.825,52.655,51.825,52.332,345845,0
2017-03-29,52.284,52.303,51.951,52.039,320651,0
2017-03-30,52.02,52.337,52.013,52.157,243047,0
2017-03-31,51.951,52.322,51.649,51.707,991351,0
2017-04-03,51.834,52.039,50.701,51.258,1065771,0
2017-04-04,50.867,51.248,50.808,51.091,869029,0
2017-04-05,51.307,51.512,50.74,50.779,736231,0
2017-04-06,50.906,51.16,50.623,51.072,557626,0
2017-04-07,50.818,51.091,50.632,50.642,511748,0
2017-04-10,50.71,51.19,50.71,50.916,513331,0
2017-04-11,50.75,51.081,50.623,51.023,416917,0
2017-04-12,50.896,51.004,50.564,50.691,404018,0
2017-04-13,50.408,50.417,49.548,49.635,857899,0
2017-04-17,49.909,50.457,49.762,50.447,767087,0
2017-04-18,50.466,50.593,50.232,50.271,733298,0
2017-04-19,50.3,50.945,50.3,50.378,1149152,0
2017-04-20,51.111,52.753,51.111,51.609,1392653,0
2017-04-21,52.626,52.626,51.571,51.99,794478,0
2017-04-24,52.763,52.763,51.639,51.639,884389,0
2017-04-25,51.893,52.02,51.688,51.834,545205,0
2017-04-26,51.815,52.069,51.561,51.629,488733,0
2017-04-27,51.522,51.609,51.218,51.287,513848,0
2017-04-28,51.345,51.434,50.916,51.111,764855,0
2017-05-01,51.208,51.248,50.926,51.14,400861,0
