Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.4,29.2,28.3,28.9,56343,0
2017-01-04,29.05,29.35,28.55,29.3,30480,0
2017-01-05,29.45,29.45,28.7,28.75,54338,0
2017-01-06,28.9,28.9,28.3,28.5,21812,0
2017-01-09,28.4,28.4,28.1,28.1,21937,0
2017-01-10,27.95,28.75,27.95,28.7,72532,0
2017-01-11,28.4,28.85,28.4,28.85,42582,0
2017-01-12,28.8,29.0063,28.35,28.5,59688,0
2017-01-13,28.7,28.85,28.45,28.55,42252,0
2017-01-17,28.35,28.55,28,28.3,38448,0
2017-01-18,28.45,28.6,27.9,28.15,38635,0
2017-01-19,28.1,28.5,27.8,28.25,67001,0
2017-01-20,28.2,28.7,28.05,28.2,99623,0
2017-01-23,28,28.6,27.95,28.5,107778,0
2017-01-24,28.5,28.85,28.15,28.3,58167,0
2017-01-25,28.5,28.71,28.3435,28.55,52301,0
2017-01-26,28.6,28.65,28.3,28.4,20147,0
2017-01-27,28.4,28.45,28.05,28.2,24814,0
2017-01-30,28,28,27.6,27.7,25651,0
2017-01-31,27.6,27.9,27.1,27.7,88222,0
2017-02-01,27.95,28,27.4,27.6,84636,0
2017-02-02,27.6,27.75,27.2,27.55,33061,0
2017-02-03,27.6,28.3,27.35,28.2,188200,0
2017-02-06,28.25,28.25,27.6,27.7,28328,0
2017-02-07,27.65,27.85,27.45,27.6,24122,0
2017-02-08,27.45,27.65,27.05,27.4,32364,0
2017-02-09,27.35,27.75,27.15,27.65,28772,0
2017-02-10,27.8,28.15,27.74,28.05,17657,0
2017-02-13,28.3,28.3,27.9974,28.15,28650,0
2017-02-14,28.2,28.25,27.9,28.15,32240,0
2017-02-15,28,28.45,27.85,28.4,15875,0
2017-02-16,28.5,28.5,28.175,28.4,31544,0
2017-02-17,28.4,28.55,28.2,28.25,27222,0
2017-02-21,28.35,28.45,28.1,28.25,16708,0
2017-02-22,28,28.15,27.7,28,23462,0
2017-02-23,29.25,32.075,29.25,30.4,154452,0
2017-02-24,30.45,32.5,29.95,31.325,221487,0
2017-02-27,31.75,32.0038,30.65,31.75,190968,0
2017-02-28,31.9,32.4,31.55,32.25,100214,0
2017-03-01,32.85,34.35,32.85,33,140436,0
2017-03-02,33,34,32.845,33.65,65951,0
2017-03-03,33.8,33.95,33.3,33.8,53190,0
2017-03-06,34.45,38.55,33.2,33.25,97197,0
2017-03-07,33.25,34.3,33.25,33.4,41828,0
2017-03-08,33.5,33.55,33.25,33.45,29857,0
2017-03-09,33.3,33.6989,31.6,32.45,187755,0
2017-03-10,32.8,34.1,32.8,34,98847,0
2017-03-13,34.15,34.25,33.55,34.1,102910,0
2017-03-14,33.85,34,32.35,33.85,57297,0
2017-03-15,34,35.2,33.95,35.2,101683,0
2017-03-16,34.9,35.15,34.25,34.5,116109,0
2017-03-17,34.35,35.6,34.2,35.55,178867,0
2017-03-20,36,36.65,34.75,34.85,192445,0
2017-03-21,35.05,35.4,34,34.1,86314,0
