Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,29.522,29.618,29.234,29.357,29757,0
2017-01-04,29.67,30.189,29.67,29.882,273312,0
2017-01-05,29.802,29.875,29.486,29.74,470832,0
2017-01-06,29.628,29.691,29.536,29.536,5409,0
2017-01-09,29.387,29.509,29.361,29.367,9375,0
2017-01-10,29.849,29.849,29.417,29.48,24000,0
2017-01-11,29.423,29.678,29.423,29.645,263220,0
2017-01-12,29.591,29.591,29.153,29.506,13407,0
2017-01-13,29.556,29.74,29.47,29.618,62730,0
2017-01-17,29.4,29.493,29.176,29.275,22356,0
2017-01-18,29.199,29.367,29.199,29.367,3927,0
2017-01-19,29.188,29.292,29.188,29.292,82581,0
2017-01-20,29.206,29.328,29.146,29.292,10677,0
2017-01-23,29.315,29.315,29.104,29.239,6594,0
2017-01-24,29.493,29.807,29.484,29.7,12990,0
2017-01-25,29.655,30.008,29.655,29.981,5094,0
2017-01-26,30.182,30.182,29.727,29.793,28689,0
2017-01-27,29.767,29.767,29.697,29.697,1314,0
2017-01-30,29.351,29.506,29.144,29.323,7479,0
2017-01-31,29.453,29.606,29.402,29.606,11028,0
2017-02-01,29.521,29.618,29.417,29.493,22581,0
2017-02-02,29.529,29.729,29.351,29.486,54813,0
2017-02-03,29.638,29.912,29.638,29.912,35376,0
2017-02-06,29.678,29.833,29.579,29.757,19917,0
2017-02-07,29.615,29.843,29.532,29.532,38919,0
2017-02-08,29.354,29.697,29.354,29.625,27945,0
2017-02-09,29.783,30.107,29.783,29.994,26427,0
2017-02-10,30.024,30.268,30.024,30.215,68691,0
2017-02-13,30.328,30.483,30.291,30.426,24699,0
2017-02-14,30.489,30.489,30.149,30.319,39441,0
2017-02-15,30.499,30.522,30.257,30.357,106437,0
2017-02-16,30.41,30.496,30.274,30.423,31119,0
2017-02-17,30.486,30.875,30.291,30.433,82281,0
2017-02-21,30.624,30.782,30.446,30.668,69168,0
2017-02-22,30.628,30.671,30.468,30.671,40218,0
2017-02-23,30.822,30.822,30.233,30.562,19410,0
2017-02-24,30.539,30.539,30.231,30.386,36315,0
2017-02-27,30.508,30.674,30.46,30.658,11169,0
2017-02-28,30.575,30.575,30.263,30.291,8838,0
2017-03-01,30.595,30.849,30.595,30.849,15948,0
2017-03-02,30.596,30.596,30.496,30.496,9828,0
2017-03-03,30.39,30.552,30.318,30.367,26115,0
2017-03-06,30.479,30.479,30.001,30.174,13101,0
2017-03-07,30.1,30.196,30.079,30.167,8388,0
2017-03-08,30.024,30.083,30.024,30.083,2487,0
2017-03-09,29.687,29.752,29.536,29.749,187845,0
2017-03-10,29.945,29.945,29.763,29.917,13632,0
2017-03-13,29.942,29.945,29.905,29.945,8373,0
2017-03-14,29.747,29.747,29.667,29.667,2949,0
2017-03-15,30.139,30.251,30.075,30.251,10401,0
2017-03-16,30.357,30.367,30.222,30.311,12597,0
2017-03-17,30.324,30.324,30.201,30.201,8586,0
2017-03-20,30.377,30.377,30.198,30.244,13902,0
2017-03-21,29.619,29.659,29.563,29.659,3321,0
2017-03-22,29.817,29.817,29.251,29.496,9564,0
2017-03-23,29.711,29.903,29.609,29.691,25992,0
2017-03-24,29.89,29.89,29.814,29.814,2364,0
2017-03-27,29.357,29.547,29.357,29.547,4890,0
2017-03-28,29.573,29.938,29.509,29.753,5823,0
2017-03-29,29.904,29.925,29.904,29.925,4665,0
2017-03-30,29.975,30.135,29.975,30.135,7701,0
2017-03-31,30.177,30.317,30.097,30.149,7464,0
2017-04-03,29.718,29.854,29.718,29.854,8595,0
2017-04-04,29.691,29.867,29.652,29.662,19812,0
2017-04-05,30.031,30.075,29.599,29.632,10920,0
2017-04-06,29.897,29.897,29.747,29.774,7425,0
2017-04-07,29.645,29.873,29.645,29.721,6711,0
2017-04-10,29.721,29.986,29.721,29.803,1929,0
2017-04-11,29.787,29.995,29.787,29.97,8007,0
2017-04-12,29.953,30.016,29.668,29.668,15315,0
2017-04-13,29.701,29.701,29.352,29.42,5493,0
2017-04-17,29.451,29.586,29.451,29.586,3027,0
2017-04-18,29.43,29.811,29.43,29.811,7098,0
2017-04-19,29.999,29.999,29.864,29.938,4047,0
2017-04-20,30.026,30.195,29.953,30.092,15900,0
2017-04-21,30.08,30.185,29.952,30.155,4629,0
2017-04-24,30.334,30.486,30.301,30.337,23811,0
2017-04-25,30.317,30.648,30.317,30.626,3813,0
2017-04-26,30.79,30.857,30.655,30.857,5370,0
2017-04-27,30.698,30.721,30.665,30.665,23463,0
2017-04-28,30.598,30.598,30.436,30.439,8442,0
2017-05-01,30.469,30.621,30.426,30.433,9882,0
2017-05-02,30.555,30.555,30.311,30.433,8886,0
2017-05-03,30.102,30.298,30.102,30.298,4971,0
2017-05-04,30.274,30.284,30.151,30.257,5163,0
2017-05-05,30.285,30.394,30.285,30.394,4563,0
2017-05-08,30.261,30.261,30.214,30.214,5226,0
