Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,33.505,33.97,33.47,33.857,96525,0
2017-01-04,33.886,34.01,33.829,34,153711,0
2017-01-05,34.068,34.514,34.03,34.504,387331,0
2017-01-06,34.28,34.361,34.156,34.166,2379124,0
2017-01-09,34.445,34.489,34.361,34.469,138560,0
2017-01-10,34.4,34.485,34.308,34.415,96960,0
2017-01-11,34.459,34.645,34.365,34.523,152591,0
2017-01-12,34.685,34.795,34.459,34.485,424289,0
2017-01-13,34.312,34.424,34.092,34.299,47020,0
2017-01-17,34.739,34.741,34.519,34.671,100430,0
2017-01-18,34.435,34.435,34.216,34.216,86419,0
2017-01-19,34.058,34.092,33.839,34.014,187889,0
2017-01-20,33.866,34.02,33.773,33.965,159027,0
2017-01-23,34.044,34.45,34.014,34.284,122175,0
2017-01-24,34.17,34.24,33.93,34.04,31408,0
2017-01-25,33.745,33.825,33.579,33.661,107032,0
2017-01-26,33.652,33.772,33.52,33.76,69623,0
2017-01-27,33.809,33.9,33.76,33.849,50984,0
2017-01-30,33.825,33.91,33.745,33.77,77432,0
2017-01-31,34.012,34.064,33.886,33.978,100137,0
2017-02-01,33.753,33.867,33.659,33.798,93529,0
2017-02-02,34.023,34.048,33.763,33.768,30352,0
2017-02-03,33.894,33.984,33.629,33.723,278580,0
2017-02-06,33.948,34.067,33.817,33.988,93797,0
2017-02-07,33.988,34.303,33.923,34.204,94290,0
2017-02-08,34.444,34.65,34.423,34.65,86778,0
2017-02-09,34.429,34.444,34.228,34.269,75097,0
2017-02-10,34.082,34.293,34.072,34.234,150887,0
2017-02-13,34.072,34.13,33.983,34.116,202729,0
2017-02-14,34.121,34.121,33.719,33.894,150975,0
2017-02-15,33.663,33.813,33.663,33.733,68142,0
2017-02-16,33.813,34.07,33.803,33.953,68983,0
2017-02-17,34.204,34.204,34.077,34.121,27047,0
2017-02-21,33.918,34.199,33.914,34.077,84581,0
2017-02-22,34.249,34.249,33.938,34.134,40608,0
2017-02-23,34.169,34.239,34.154,34.239,35810,0
2017-02-24,34.379,34.615,34.379,34.587,50744,0
2017-02-27,34.503,34.557,34.379,34.389,96882,0
2017-02-28,34.399,34.584,34.399,34.528,481808,0
2017-03-01,33.96,33.99,33.809,33.965,118150,0
2017-03-02,33.799,33.859,33.719,33.824,158824,0
2017-03-03,33.848,33.9,33.699,33.886,576882,0
2017-03-06,33.814,33.833,33.695,33.779,36130,0
2017-03-07,33.665,33.725,33.621,33.67,109621,0
2017-03-08,33.366,33.548,33.322,33.458,119519,0
2017-03-09,33.376,33.376,33.223,33.238,1302660,0
2017-03-10,33.337,33.362,33.203,33.318,113356,0
2017-03-13,33.194,33.292,33.15,33.15,112091,0
2017-03-14,33.178,33.372,33.178,33.292,73521,0
2017-03-15,33.405,33.769,33.405,33.689,91881,0
2017-03-16,33.567,33.577,33.447,33.528,96198,0
2017-03-17,33.533,33.747,33.533,33.735,52562,0
2017-03-20,33.719,33.882,33.715,33.882,55791,0
2017-03-21,33.856,34.176,33.85,34.146,53151,0
2017-03-22,34.266,34.402,34.232,34.272,142451,0
2017-03-23,34.353,34.353,34.123,34.236,136349,0
2017-03-24,34.232,34.381,34.202,34.314,44609,0
2017-03-27,34.594,34.637,34.442,34.507,73239,0
2017-03-28,34.599,34.599,34.252,34.252,88466,0
2017-03-29,34.323,34.489,34.323,34.467,26822,0
2017-03-30,34.407,34.407,34.202,34.206,115330,0
2017-03-31,34.146,34.323,34.146,34.286,438652,0
2017-04-03,34.286,34.678,34.272,34.601,179130,0
2017-04-04,34.75,34.75,34.453,34.469,85900,0
2017-04-05,34.349,34.735,34.302,34.581,139302,0
2017-04-06,34.527,34.562,34.359,34.523,136490,0
2017-04-07,34.635,34.755,34.383,34.383,52582,0
2017-04-10,34.479,34.631,34.479,34.537,122167,0
2017-04-11,34.695,34.908,34.695,34.837,409090,0
2017-04-12,34.852,35.064,34.808,35.02,167631,0
2017-04-13,35.154,35.168,34.986,35.158,38289,0
2017-04-17,35.134,35.178,34.986,35.045,29943,0
2017-04-18,35.271,35.547,35.246,35.498,95763,0
2017-04-19,35.305,35.345,35.212,35.295,44671,0
2017-04-20,35.203,35.241,35.044,35.158,318428,0
2017-04-21,35.246,35.301,35.138,35.138,53608,0
2017-04-24,34.976,35.064,34.866,34.996,196357,0
2017-04-25,34.812,34.846,34.552,34.577,243157,0
2017-04-26,34.621,34.769,34.615,34.769,27620,0
2017-04-27,34.645,34.812,34.645,34.778,52628,0
2017-04-28,34.625,34.846,34.625,34.827,233764,0
2017-05-01,34.852,34.866,34.453,34.575,353129,0
2017-05-02,34.527,34.759,34.512,34.739,73690,0
2017-05-03,34.876,34.976,34.71,34.755,159991,0
2017-05-04,34.527,34.595,34.421,34.566,157481,0
2017-05-05,34.635,34.65,34.507,34.585,52957,0
2017-05-08,34.551,34.551,34.407,34.413,68711,0
2017-05-09,34.353,34.423,34.323,34.407,968655,0
2017-05-10,34.493,34.539,34.295,34.367,187127,0
2017-05-11,34.236,34.415,34.231,34.377,60926,0
2017-05-12,34.561,34.663,34.487,34.615,78989,0
2017-05-15,34.522,34.585,34.447,34.517,242111,0
2017-05-16,34.601,34.773,34.597,34.65,99538,0
2017-05-17,34.886,35.233,34.886,35.154,115330,0
2017-05-18,35.287,35.341,35.139,35.214,79021,0
2017-05-19,35.109,35.271,35.094,35.251,109417,0
2017-05-22,35.204,35.216,35.139,35.164,67580,0
2017-05-23,35.237,35.237,34.932,34.932,45364,0
2017-05-24,35.005,35.136,34.951,35.109,71387,0
2017-05-25,35.06,35.158,35.042,35.129,54769,0
2017-05-26,35.204,35.261,35.142,35.178,85399,0
2017-05-30,35.371,35.385,35.287,35.361,44412,0
2017-05-31,35.361,35.509,35.361,35.455,56524,0
2017-06-01,35.333,35.472,35.289,35.457,82515,0
2017-06-02,35.724,35.907,35.724,35.852,53460,0
2017-06-05,35.685,35.719,35.625,35.63,83304,0
2017-06-06,35.852,35.926,35.822,35.86,56298,0
2017-06-07,35.774,35.847,35.65,35.679,194996,0
2017-06-08,35.655,35.655,35.497,35.561,51500,0
2017-06-09,35.452,35.595,35.415,35.541,107844,0
2017-06-12,35.491,35.688,35.491,35.517,439588,0
2017-06-13,35.412,35.561,35.392,35.531,94845,0
2017-06-14,35.932,36.14,35.913,36.065,75203,0
2017-06-15,36.022,36.046,35.956,36.01,64927,0
2017-06-16,36.006,36.09,36.006,36.066,60186,0
2017-06-19,36.115,36.115,35.974,35.996,41991,0
2017-06-20,36.14,36.332,36.14,36.302,91226,0
2017-06-21,36.249,36.413,36.213,36.382,85106,0
2017-06-22,36.427,36.457,36.32,36.441,29398,0
2017-06-23,36.386,36.475,36.341,36.422,35136,0
2017-06-26,36.58,36.654,36.557,36.57,55506,0
2017-06-27,36.352,36.362,36.12,36.209,417643,0
2017-06-28,36.145,36.147,35.946,36.055,72014,0
2017-06-29,35.645,35.842,35.625,35.796,118503,0
2017-06-30,35.624,35.754,35.61,35.675,326738,0
2017-07-03,35.704,35.738,35.467,35.531,120281,0
2017-07-05,35.511,35.615,35.487,35.581,260398,0
2017-07-06,35.302,35.352,35.174,35.317,160432,0
2017-07-07,35.11,35.184,35.074,35.124,78927,0
2017-07-10,35.154,35.216,35.114,35.174,83924,0
2017-07-11,35.174,35.277,35.13,35.224,43847,0
2017-07-12,35.467,35.467,35.331,35.417,132375,0
2017-07-13,35.372,35.372,35.154,35.238,43651,0
2017-07-14,35.501,35.501,35.239,35.277,117104,0
2017-07-17,35.263,35.471,35.263,35.391,144627,0
2017-07-18,35.601,35.699,35.571,35.694,144710,0
2017-07-19,35.699,35.728,35.645,35.685,79314,0
2017-07-20,35.892,35.942,35.768,35.808,29779,0
2017-07-21,35.957,36.022,35.91,35.942,41468,0
2017-07-24,35.848,35.932,35.798,35.818,40279,0
2017-07-25,35.511,35.511,35.322,35.342,59397,0
2017-07-26,35.263,35.491,35.219,35.417,354378,0
2017-07-27,35.204,35.315,35.144,35.229,44134,0
2017-07-28,35.267,35.477,35.267,35.471,32799,0
2017-07-31,35.357,35.491,35.315,35.491,41708,0
2017-08-01,35.341,35.758,35.341,35.734,457936,0
2017-08-02,35.774,35.858,35.739,35.744,37161,0
2017-08-03,35.898,36.118,35.898,36.098,497917,0
2017-08-04,35.824,35.844,35.673,35.769,84579,0
2017-08-07,35.769,35.864,35.701,35.854,71489,0
2017-08-08,35.794,35.794,35.605,35.734,29209,0
2017-08-09,36.088,36.092,35.884,35.902,43135,0
2017-08-10,36.013,36.211,35.954,36.191,144152,0
2017-08-11,36.042,36.227,35.988,36.199,86726,0
2017-08-14,36.072,36.161,36.028,36.062,100313,0
2017-08-15,35.759,35.944,35.724,35.888,36076,0
2017-08-16,35.764,36.088,35.764,36.008,48216,0
2017-08-17,36.008,36.285,36.008,36.276,43715,0
2017-08-18,36.381,36.418,36.191,36.261,53301,0
2017-08-21,36.321,36.367,36.251,36.361,45280,0
2017-08-22,36.295,36.305,36.178,36.201,109603,0
2017-08-23,36.391,36.455,36.315,36.455,34900,0
2017-08-24,36.345,36.445,36.305,36.315,47274,0
2017-08-25,36.351,36.487,36.341,36.45,34166,0
2017-08-28,36.365,36.48,36.309,36.445,107864,0
2017-08-29,36.768,36.788,36.49,36.559,84489,0
2017-08-30,36.52,36.587,36.49,36.545,37429,0
2017-08-31,36.575,36.658,36.559,36.644,57990,0
2017-09-01,36.509,36.519,36.32,36.365,145976,0
2017-09-05,36.634,36.938,36.634,36.938,210330,0
2017-09-06,36.908,37.002,36.664,36.664,685597,0
2017-09-07,36.798,37.161,36.798,37.087,192112,0
2017-09-08,37.008,37.038,36.898,37.012,92633,0
2017-09-11,36.678,36.738,36.535,36.585,105368,0
2017-09-12,36.475,36.475,36.35,36.39,179413,0
2017-09-13,36.43,36.43,36.259,36.265,88398,0
2017-09-14,36.245,36.405,36.245,36.385,196832,0
2017-09-15,36.405,36.417,36.34,36.405,24531,0
2017-09-18,36.315,36.315,36.142,36.24,101223,0
2017-09-19,36.235,36.235,36.126,36.136,40097,0
2017-09-20,36.171,36.191,36.012,36.152,80837,0
2017-09-21,36.215,36.3,36.118,36.132,42442,0
2017-09-22,36.28,36.34,36.195,36.22,35118,0
2017-09-25,36.26,36.505,36.26,36.459,205315,0
2017-09-26,36.36,36.405,36.313,36.395,60094,0
2017-09-27,35.867,35.966,35.807,35.857,124991,0
2017-09-28,35.712,35.787,35.63,35.757,71058,0
2017-09-29,35.812,35.897,35.732,35.837,267309,0
2017-10-02,35.927,35.952,35.755,35.772,283969,0
2017-10-03,35.688,35.842,35.677,35.808,51600,0
2017-10-04,35.842,35.842,35.661,35.817,33835,0
2017-10-05,35.777,35.777,35.623,35.663,89091,0
2017-10-06,35.453,35.686,35.423,35.588,31228,0
2017-10-09,35.605,35.717,35.605,35.678,23737,0
2017-10-10,35.707,35.927,35.707,35.747,231133,0
2017-10-11,35.852,35.852,35.772,35.812,58625,0
2017-10-12,35.849,35.967,35.757,35.962,90075,0
2017-10-13,36.142,36.216,36.012,36.195,70328,0
2017-10-16,36.132,36.201,36.062,36.181,17037,0
2017-10-17,36.042,36.251,36.042,36.231,35577,0
2017-10-18,35.992,36.022,35.882,36.002,209654,0
2017-10-19,36.171,36.261,36.062,36.092,67145,0
2017-10-20,35.693,35.747,35.613,35.693,56823,0
2017-10-23,35.722,35.838,35.712,35.752,124053,0
2017-10-24,35.533,35.603,35.473,35.553,110144,0
2017-10-25,35.293,35.418,35.264,35.393,101649,0
2017-10-26,35.443,35.443,35.273,35.283,40612,0
2017-10-27,35.393,35.504,35.348,35.493,59362,0
2017-10-30,35.663,35.802,35.593,35.792,41832,0
2017-10-31,35.812,35.882,35.812,35.832,78347,0
2017-11-01,35.84,36.0723,35.84,35.98,267768,0
2017-11-02,36.05,36.17,36.03,36.13,106073,0
2017-11-03,36.17,36.23,36.0975,36.21,81815,0
2017-11-06,36.32,36.38,36.26,36.36,79030,0
2017-11-07,36.4572,36.54,36.44,36.5,65268,0
2017-11-08,36.49,36.532,36.372,36.39,36532,0
2017-11-09,36.26,36.3428,36.1966,36.2953,76138,0
2017-11-10,35.97,35.98,35.77,35.8,131243,0
