Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,28.541,29.012,28.127,28.403,297395,0
2017-01-04,28.55,28.935,28.491,28.935,663820,0
2017-01-05,29.012,29.672,29.012,29.534,681204,0
2017-01-06,29.534,29.563,29.062,29.151,466553,0
2017-01-09,29.19,29.956,29.082,29.318,404508,0
2017-01-10,29.436,30.007,29.167,29.909,779738,0
2017-01-11,30.046,30.43,29.78,30.243,514594,0
2017-01-12,30.519,30.931,29.726,30.086,627281,0
2017-01-13,30.125,30.547,30.016,30.38,299887,0
2017-01-17,30.331,30.445,29.819,30.331,600273,0
2017-01-18,30.282,31.404,30.282,31.267,1288136,0
2017-01-19,31.464,32.064,31.354,31.945,805564,0
2017-01-20,32.142,32.546,31.838,31.886,582626,0
2017-01-23,32.015,32.516,32.005,32.3,453025,0
2017-01-24,32.476,33.185,32.368,33.057,637751,0
2017-01-25,34.141,34.288,32.526,33.137,1021194,0
2017-01-26,32.792,33.038,32.27,32.467,923399,0
2017-01-27,32.576,32.673,32,32.122,805493,0
2017-01-30,31.985,32.122,31.532,31.798,482190,0
2017-01-31,31.749,31.886,31.502,31.808,493061,0
2017-02-01,31.896,32.536,31.562,32.458,474306,0
2017-02-02,32.596,33.697,32.467,33.47,678343,0
2017-02-03,33.57,33.806,32.546,32.625,562844,0
2017-02-06,32.654,33.067,32.526,32.802,263375,0
2017-02-07,32.743,33.019,32.261,32.3,399248,0
2017-02-08,32.28,32.606,31.955,32.418,340675,0
2017-02-09,32.683,32.771,32.015,32.221,359609,0
2017-02-10,32.251,32.772,32.251,32.428,378702,0
2017-02-13,32.566,33.746,32.359,33.51,1024500,0
2017-02-14,33.46,34.021,33.441,33.963,722541,0
2017-02-15,33.953,33.953,32.683,33.057,498627,0
2017-02-16,33.294,33.609,32.408,32.506,671442,0
2017-02-17,32.506,32.531,31.424,31.493,907432,0
2017-02-21,31.64,32.251,31.542,32.152,521319,0
2017-02-22,32.251,32.693,31.542,31.631,704306,0
2017-02-23,31.847,32.064,31.198,31.64,545168,0
2017-02-24,31.394,31.572,30.794,30.922,377712,0
2017-02-27,31.001,31.404,30.351,30.47,553556,0
2017-02-28,30.46,31.297,30.331,31.001,819355,0
2017-03-01,31.621,31.787,30.981,31.464,929673,0
2017-03-02,32.378,33.353,32.33,32.576,1720057,0
2017-03-03,32.772,32.792,31.852,32.28,979665,0
2017-03-06,32.182,32.606,31.788,32.546,602323,0
2017-03-07,32.546,33.019,32.476,32.644,829570,0
2017-03-08,32.832,33.318,32.3,32.359,765805,0
2017-03-09,32.625,33.53,32.516,32.743,818638,0
2017-03-10,32.871,33.127,32.393,32.467,535707,0
2017-03-13,32.683,32.979,32.506,32.871,540594,0
2017-03-14,32.663,32.772,32.33,32.368,531422,0
2017-03-15,32.615,32.969,32.388,32.871,319567,0
2017-03-16,33.185,33.413,32.733,32.792,456757,0
2017-03-17,32.693,33.766,32.673,33.264,932696,0
2017-03-20,33.264,33.56,33.166,33.441,537965,0
2017-03-21,33.403,33.54,32.625,32.663,745693,0
2017-03-22,32.586,33.244,32.112,33.166,662506,0
2017-03-23,32.792,33.274,32.733,32.891,587526,0
2017-03-24,32.929,33.413,32.851,33.057,263220,0
2017-03-27,32.762,32.782,32.142,32.438,658292,0
2017-03-28,32.644,33.107,32.566,32.812,562286,0
2017-03-29,32.871,33.5,32.822,33.314,429595,0
2017-03-30,33.47,33.894,33.343,33.727,594124,0
2017-03-31,33.816,34.121,33.619,33.825,526827,0
2017-04-03,34.2,34.2,33.422,33.609,437095,0
2017-04-04,33.658,33.758,33.333,33.658,335321,0
2017-04-05,34.2,34.297,33.57,33.697,931600,0
2017-04-06,34.297,35.99,34.258,35.922,1028575,0
2017-04-07,35.755,36.069,35.415,35.735,777587,0
2017-04-10,36.257,36.65,36.217,36.473,891419,0
2017-04-11,36.493,36.532,35.942,36.335,675260,0
2017-04-12,36.237,36.242,35.489,35.922,1038760,0
2017-04-13,35.872,36.49,35.764,36.403,529714,0
2017-04-17,35.961,36.19,35.4,35.626,630911,0
2017-04-18,35.548,36.207,35.243,35.518,1129680,0
2017-04-19,35.518,35.606,34.642,35.144,740473,0
2017-04-20,35.135,35.489,34.794,35.41,565594,0
2017-04-21,35.4,35.626,34.987,35.055,568673,0
2017-04-24,35.774,36.335,35.676,35.922,1340292,0
2017-04-25,36.237,36.394,35.837,35.951,1312462,0
2017-04-26,35.882,35.942,35.38,35.576,690162,0
2017-04-27,35.725,35.887,34.426,34.494,1369022,0
2017-04-28,34.839,35.138,34.622,34.987,755662,0
2017-05-01,35.233,35.458,34.554,34.574,554670,0
2017-05-02,34.612,34.928,34.357,34.494,611375,0
2017-05-03,34.269,34.436,33.707,34.141,1070031,0
2017-05-04,34.081,34.18,32.886,32.895,884758,0
2017-05-05,33.015,34.012,33.015,33.933,1267666,0
2017-05-08,33.933,34.269,33.466,33.528,879284,0
2017-05-09,33.735,33.983,33.468,33.518,938853,0
2017-05-10,33.686,34.071,33.538,33.834,638854,0
2017-05-11,33.834,34.2,33.34,34.051,534525,0
2017-05-12,34.051,34.624,33.903,33.923,522704,0
2017-05-15,34.466,34.496,33.953,34.041,946266,0
2017-05-16,34.121,35.079,34.012,34.773,1149183,0
2017-05-17,34.773,34.941,33.4,33.558,1093214,0
2017-05-18,33.143,34.399,32.195,34.131,1095205,0
2017-05-19,34.822,35.968,34.822,35.375,1360028,0
2017-05-22,36.027,36.057,34.733,34.881,854893,0
2017-05-23,34.911,35.345,34.753,35.049,842557,0
2017-05-24,35.089,35.909,34.861,35.82,1514314,0
2017-05-25,36.057,36.936,35.997,36.827,1997017,0
2017-05-26,36.827,37.011,36.353,36.857,1218364,0
2017-05-30,36.818,36.877,36.027,36.422,1260449,0
2017-05-31,36.55,36.623,35.577,35.592,1495097,0
2017-06-01,35.602,36.324,35.434,35.83,1009895,0
2017-06-02,35.929,36.007,35.257,35.711,1008831,0
2017-06-05,35.662,35.79,35.257,35.672,762777,0
2017-06-06,35.672,35.949,35.395,35.76,1520027,0
2017-06-07,35.885,36.144,35.019,35.069,1437702,0
2017-06-08,35.228,35.228,34.771,35.129,949551,0
2017-06-09,35.178,35.596,34.83,35.248,1005393,0
2017-06-12,35.278,35.576,34.87,35.029,738768,0
2017-06-13,35.368,36.114,35.218,36.024,957574,0
2017-06-14,35.994,36.8,35.517,35.596,1147952,0
2017-06-15,35.049,35.368,34.159,34.283,1371211,0
2017-06-16,34.243,34.81,34.184,34.263,784945,0
2017-06-19,34.532,34.711,33.646,33.766,959518,0
2017-06-20,33.428,33.636,32.9,33.358,735328,0
2017-06-21,33.338,33.676,32.293,32.353,1189561,0
2017-06-22,32.403,32.771,32.214,32.492,1002301,0
2017-06-23,32.502,33.696,32.393,33.149,1152565,0
2017-06-26,33.537,33.806,32.841,33.288,887947,0
2017-06-27,33.288,33.517,32.93,33.159,673066,0
2017-06-28,33.248,33.656,33.179,33.368,553847,0
2017-06-29,33.358,33.686,32.85,33.059,532074,0
2017-06-30,33.099,33.268,32.333,32.85,517292,0
2017-07-03,32.88,33.547,32.741,33.408,310714,0
2017-07-05,34.631,35.129,34.303,34.383,1327884,0
2017-07-06,34.373,34.417,33.636,34.034,921877,0
2017-07-07,34.164,34.981,33.975,34.95,898830,0
2017-07-10,34.989,35.915,34.87,35.397,861675,0
2017-07-11,35.397,35.596,34.93,35.178,849613,0
2017-07-12,35.377,36.303,35.318,36.183,1079400,0
2017-07-13,36.153,36.462,36.024,36.084,639459,0
2017-07-14,36.144,36.76,35.94,36.482,528293,0
2017-07-17,36.591,37.467,36.591,36.91,548150,0
2017-07-18,37.019,37.397,36.626,37.337,511878,0
2017-07-19,37.536,37.745,37.268,37.725,389956,0
2017-07-20,37.755,38.203,37.646,38.183,584053,0
2017-07-21,38.302,38.541,37.845,38.432,529400,0
2017-07-24,38.352,38.641,37.964,38.213,810464,0
2017-07-25,38.7,38.879,38.203,38.84,462455,0
2017-07-26,38.919,39.635,38.561,39.228,625951,0
2017-07-27,39.795,40.252,39.307,39.765,843911,0
2017-07-28,39.795,40.65,39.635,40.601,788754,0
2017-07-31,40.69,41.556,40.411,40.899,759984,0
2017-08-01,41.138,41.187,40.619,40.879,687057,0
2017-08-02,40.849,41.168,40.601,41.158,799405,0
2017-08-03,41.187,42.421,41.173,41.794,1028517,0
2017-08-04,42.192,42.823,42.073,42.67,825744,0
2017-08-07,42.869,43.127,42.053,42.57,845197,0
2017-08-08,42.441,42.521,41.287,42.053,1095857,0
2017-08-09,41.735,42.043,41.456,41.993,581955,0
2017-08-10,41.983,42.192,40.879,40.929,715634,0
2017-08-11,40.063,41.108,39.039,40.879,585477,0
2017-08-14,41.834,42.073,41.337,41.585,495470,0
2017-08-15,41.536,41.973,41.347,41.884,432046,0
2017-08-16,42.053,43.277,42.053,43.048,789342,0
2017-08-17,43.108,43.376,42.729,42.759,549996,0
2017-08-18,42.889,42.913,42.232,42.69,378666,0
2017-08-21,42.63,43.615,42.59,43.496,668902,0
2017-08-22,43.754,44.391,43.685,44.073,692034,0
2017-08-23,43.973,44.361,43.724,44.162,498194,0
2017-08-24,43.793,46.361,42.401,45.824,1862234,0
2017-08-25,46.261,47.873,45.863,47.465,1251504,0
2017-08-28,47.485,47.555,46.301,46.958,757099,0
2017-08-29,46.46,47.366,46.261,46.759,720869,0
2017-08-30,46.759,46.978,45.863,45.913,805494,0
2017-08-31,46.261,46.958,46.042,46.689,1328926,0
2017-09-01,46.938,48.569,46.868,47.793,1182306,0
2017-09-05,48.36,48.788,47.526,47.754,855810,0
2017-09-06,47.744,48.699,47.624,48.45,779606,0
2017-09-07,48.84,50.55,48.78,49.6,1154307,0
2017-09-08,49.75,49.79,48.15,48.44,970495,0
2017-09-11,49.18,52.41,49,51.81,1400675,0
2017-09-12,53.42,55.0827,51.75,52.2,1966448,0
2017-09-13,53.7,54.44,52.841,54.32,2173409,0
2017-09-14,55.07,56,53.8,55.36,1823423,0
2017-09-15,55.68,58.71,55.5,58.06,2405708,0
2017-09-18,59.79,61.37,57.39,58.97,2353577,0
2017-09-19,58.87,63.43,58.87,61.95,2545787,0
2017-09-20,63,63.8,56.7,57.43,5377588,0
2017-09-21,58.59,59.669,57.8,58.7,1674359,0
2017-09-22,58.44,59,54.02,56.48,2614367,0
2017-09-25,56.15,56.69,52.5,52.97,3230962,0
2017-09-26,53.05,54.24,52.56,52.66,1871205,0
2017-09-27,53.19,55.49,53.181,55.17,1439011,0
2017-09-28,55.91,56.76,55.11,55.29,1469166,0
2017-09-29,56.13,56.199,54.71,55.66,1344713,0
2017-10-02,56,56.1,54.9,55.8,1444782,0
2017-10-03,56,57.51,55.55,57.5,1737319,0
2017-10-04,57.86,59.99,57.59,59.44,1854522,0
2017-10-05,59.5,61,58.27,59.18,1701772,0
2017-10-06,58.56,59.01,56.5687,58.94,1548861,0
2017-10-09,58.18,58.72,57.73,58.54,427015,0
2017-10-10,58.68,59.12,58.12,58.84,672479,0
2017-10-11,57.5,57.81,56.36,57.81,1550863,0
2017-10-12,58,58.69,57.33,57.99,712218,0
2017-10-13,58.49,59.97,58.03,59.9,1195162,0
2017-10-16,60.27,61.6194,59.31,61.45,1943117,0
2017-10-17,59.32,61,58.611,59.96,1936519,0
2017-10-18,60.35,60.98,59.85,60.6,874746,0
2017-10-19,59.73,59.91,58.66,59.29,1145333,0
2017-10-20,59.51,59.949,59.07,59.3,615216,0
2017-10-23,59.69,59.81,58.92,59.4,545033,0
2017-10-24,59.67,62.75,59.51,60.99,2119881,0
2017-10-25,60.99,62.42,58.51,59.84,1712555,0
2017-10-26,59.81,61.16,59.27,60.11,1228764,0
2017-10-27,60.06,60.49,59.35,59.7,536703,0
2017-10-30,60,60.4,58.76,59.79,860639,0
2017-10-31,60,60.633,58.81,59.74,2050881,0
2017-11-01,60.13,63.32,60.052,61.28,1570307,0
2017-11-02,61.12,61.49,57.16,58.05,2831018,0
2017-11-03,58.34,59,56.54,58.85,1366699,0
2017-11-06,59,59.93,58.5,58.94,904808,0
2017-11-07,59,59.87,59,59.83,959095,0
2017-11-08,59.52,61.24,59.52,59.82,916121,0
2017-11-09,59.51,59.51,57.5,57.96,1423116,0
2017-11-10,57.01,58.72,57.01,57.76,920536,0
