Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,38.653,38.985,37.625,37.86,96341,0
2017-01-04,37.821,38.408,37.802,38.262,87396,0
2017-01-05,38.134,38.134,37,37.244,92053,0
2017-01-06,37.567,37.655,37.199,37.352,85965,0
2017-01-09,37.067,37.067,36.519,36.608,53251,0
2017-01-10,36.559,37.518,36.265,37.439,76951,0
2017-01-11,37.596,37.782,37.058,37.733,89173,0
2017-01-12,37.567,37.567,36.343,36.814,64518,0
2017-01-13,37.127,37.733,36.941,37.018,56530,0
2017-01-17,36.735,36.735,35.845,35.903,57367,0
2017-01-18,36.217,36.628,35.689,36.589,59924,0
2017-01-19,36.608,36.608,35.933,36.119,43023,0
2017-01-20,36.157,36.891,35.697,36.432,48152,0
2017-01-23,36.333,36.794,36.001,36.324,38559,0
2017-01-24,36.432,37.459,36.314,37.176,64560,0
2017-01-25,37.645,37.988,37.332,37.538,70055,0
2017-01-26,38.164,38.174,37.43,37.919,51317,0
2017-01-27,37.548,37.86,37.048,37.117,57643,0
2017-01-30,36.891,36.891,36.001,36.157,87448,0
2017-01-31,36.128,36.951,36.089,36.814,99522,0
2017-02-01,37.273,37.528,36.432,36.519,66584,0
2017-02-02,36.373,36.373,35.483,35.707,77682,0
2017-02-03,36.256,36.637,35.893,36.49,52700,0
2017-02-06,36.167,36.398,35.874,35.961,39273,0
2017-02-07,36.158,36.218,35.49,35.746,49985,0
2017-02-08,35.597,35.597,34.889,35.243,70260,0
2017-02-09,35.43,35.971,35.243,35.627,51554,0
2017-02-10,35.903,36.238,35.43,36.198,92769,0
2017-02-13,36.512,36.779,36.335,36.552,58779,0
2017-02-14,36.632,36.877,36.129,36.641,58283,0
2017-02-15,36.719,36.886,36.454,36.749,24084,0
2017-02-16,36.799,36.799,36.405,36.622,287215,0
2017-02-17,36.552,36.759,36.405,36.532,130644,0
2017-02-21,36.602,36.699,36.345,36.612,85823,0
2017-02-22,36.435,36.699,35.859,36.641,77013,0
2017-02-23,36.789,37.014,36.11,36.799,66113,0
2017-02-24,36.365,36.67,36.08,36.208,75947,0
2017-02-27,36.228,36.267,35.874,35.933,115499,0
2017-02-28,35.874,35.903,34.309,35.018,272548,0
2017-03-01,35.736,36.375,35.096,35.991,243622,0
2017-03-02,36.08,36.355,35.233,35.313,117185,0
2017-03-03,35.332,35.804,35.332,35.587,85919,0
2017-03-06,35.372,35.559,34.988,35.293,86353,0
2017-03-07,35.313,35.706,34.988,35.47,81233,0
2017-03-08,35.804,35.961,34.791,34.841,81105,0
2017-03-09,34.86,35.401,34.634,34.732,45865,0
2017-03-10,35.076,35.145,34.2,34.477,67845,0
2017-03-13,34.412,34.929,34.181,34.427,44378,0
2017-03-14,34.25,34.555,34.033,34.437,43538,0
2017-03-15,34.21,34.948,34.053,34.437,76310,0
2017-03-16,34.624,35.382,34.624,35.352,87014,0
2017-03-17,35.076,35.952,34.843,35.814,289227,0
2017-03-20,35.766,35.766,34.752,34.811,60328,0
2017-03-21,34.988,35.303,32.991,33.01,83504,0
2017-03-22,32.696,33.738,31.209,32.734,93663,0
2017-03-23,32.734,33.502,32.734,33.257,42790,0
2017-03-24,33.404,33.896,32.902,33.07,111364,0
2017-03-27,32.331,33.158,31.879,33,51961,0
2017-03-28,32.921,33.669,32.607,33.502,69013,0
2017-03-29,33.462,33.462,33.04,33.187,30347,0
2017-03-30,33.237,34.397,33.237,34.23,84243,0
2017-03-31,34.191,34.363,33.826,34.043,114939,0
2017-04-03,34.122,34.191,32.911,33.168,96643,0
2017-04-04,33.03,33.798,33.03,33.552,71723,0
2017-04-05,33.846,34.112,32.843,32.921,88533,0
2017-04-06,32.863,33.492,32.646,33.384,56023,0
2017-04-07,33.128,33.315,32.853,33.138,147216,0
2017-04-10,33.266,33.462,32.636,33.06,38453,0
2017-04-11,32.902,33.788,32.902,33.748,73662,0
2017-04-12,33.512,33.659,32.971,33.197,43623,0
2017-04-13,32.971,33.378,32.223,32.253,58479,0
2017-04-17,32.331,32.911,31.957,32.873,53131,0
2017-04-18,32.646,33.187,32.499,33.098,45244,0
2017-04-19,33.089,33.955,32.941,33.817,255894,0
2017-04-20,34.103,35.278,34.063,35.224,92198,0
2017-04-21,35.076,35.215,33.247,34.28,98276,0
