Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,66.855,67.459,66.341,67.459,523680,0
2017-01-04,67.775,67.844,66.994,67.597,527906,0
2017-01-05,67.646,67.893,67.191,67.537,297261,0
2017-01-06,67.736,68.21,67.349,67.726,443631,0
2017-01-09,67.784,68.566,67.469,68.269,371188,0
2017-01-10,68.091,69.11,67.804,68.675,340687,0
2017-01-11,68.763,68.981,68.102,68.388,482178,0
2017-01-12,67.794,67.933,66.885,67.736,388060,0
2017-01-13,68.023,68.685,67.746,68.487,239722,0
2017-01-17,68.013,69.03,67.804,69.01,280449,0
2017-01-18,69.219,69.387,68.744,69.277,411841,0
2017-01-19,69.297,69.723,68.683,68.962,364809,0
2017-01-20,68.962,69.317,67.913,68.013,348171,0
2017-01-23,67.923,68.803,67.587,68.22,226201,0
2017-01-24,68.091,69.357,67.765,69.257,442714,0
2017-01-25,69.317,69.87,69.277,69.792,260055,0
2017-01-26,69.495,69.871,69.219,69.387,235059,0
2017-01-27,69.624,70.029,69.179,69.486,359956,0
2017-01-30,69.199,69.367,68.507,69.248,325703,0
2017-01-31,69.219,70.242,69.065,70.039,471755,0
2017-02-01,70.573,71.078,70.178,70.88,668179,0
2017-02-02,70.821,70.919,70.178,70.652,388934,0
2017-02-03,70.959,71.443,70.564,71.365,286896,0
2017-02-06,70.88,71.542,70.395,70.395,613688,0
2017-02-07,66.252,67.226,64.679,65.579,2696416,0
2017-02-08,65.214,65.946,64.537,65.846,2181924,0
2017-02-09,65.916,66.43,65.614,66.39,1240010,0
2017-02-10,66.529,66.815,66.093,66.41,670118,0
2017-02-13,66.707,67.172,66.252,67.152,761090,0
2017-02-14,66.934,68.615,66.845,68.17,1283932,0
2017-02-15,68.013,68.428,67.656,67.953,502130,0
2017-02-16,68.091,68.111,67.251,67.676,447009,0
2017-02-17,67.597,68.023,67.122,67.784,682478,0
2017-02-21,67.814,69.16,67.726,69.03,797288,0
2017-02-22,68.952,69.317,68.289,68.605,361496,0
2017-02-23,68.853,68.952,68.141,68.635,321816,0
2017-02-24,67.692,69.757,67.692,69.747,418022,0
2017-02-27,69.648,70.264,69.553,69.846,505817,0
2017-02-28,69.608,70.154,69.152,69.628,462250,0
2017-03-01,70.124,70.77,69.826,70.64,672248,0
2017-03-02,70.562,70.601,70.084,70.154,253040,0
2017-03-03,70.114,70.392,69.32,69.568,452995,0
2017-03-06,69.022,69.181,68.566,68.963,493603,0
2017-03-07,68.724,68.744,68.288,68.417,341044,0
2017-03-08,68.526,68.879,68,68.168,308123,0
2017-03-09,68.377,68.451,67.881,68.288,381095,0
2017-03-10,68.685,68.784,67.712,68.079,525014,0
2017-03-13,68.049,68.466,67.523,68.407,484079,0
2017-03-14,68.109,68.317,67.394,67.93,465609,0
2017-03-15,68.159,68.923,67.9,68.874,599391,0
2017-03-16,69.132,69.132,67.93,68.079,596824,0
2017-03-17,68.01,68.556,67.94,68.228,1194479,0
2017-03-20,68.228,68.397,67.617,68.109,322294,0
2017-03-21,68.645,68.844,67.771,67.93,347865,0
2017-03-22,67.94,68.149,67.454,67.861,303141,0
2017-03-23,67.861,68.308,67.702,67.821,185249,0
2017-03-24,67.94,68.446,67.652,68.139,258217,0
2017-03-27,67.771,67.98,67.176,67.851,307580,0
2017-03-28,67.464,67.95,67.176,67.434,410944,0
2017-03-29,67.325,68.546,67.067,68.357,695649,0
2017-03-30,68.188,69.355,68.099,68.982,924763,0
2017-03-31,68.576,69.28,68.496,68.963,440823,0
2017-04-03,69.251,69.747,68.953,69.4,628316,0
