Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,54.659,55.26,53.863,54.592,4561926,0
2017-01-04,54.729,55.565,54.719,55.231,4071237,0
2017-01-05,55.053,55.191,53.696,54.01,3583286,0
2017-01-06,54.266,54.798,54.01,54.63,3026104,0
2017-01-09,54.296,54.798,53.873,54.345,2634612,0
2017-01-10,54.385,55.083,54.266,54.798,3184734,0
2017-01-11,54.739,55.122,54.316,55.122,2715490,0
2017-01-12,54.895,55.053,53.873,54.592,3187650,0
2017-01-13,55.024,56.047,54.818,55.063,3029886,0
2017-01-17,54.286,54.562,52.949,53.007,3469005,0
2017-01-18,53.174,53.514,52.692,53.48,3334086,0
2017-01-19,53.607,53.775,52.712,52.967,3285715,0
2017-01-20,53.263,54.385,52.987,53.952,6136855,0
2017-01-23,54.02,54.562,53.813,54.246,3773201,0
2017-01-24,54.423,55.767,54.01,55.565,4219233,0
2017-01-25,56.135,57.365,56.118,57.228,6119230,0
2017-01-26,57.138,57.769,56.869,57.316,3296335,0
2017-01-27,57.198,57.356,56.725,56.815,2466427,0
2017-01-30,56.519,56.529,55.653,56.342,2362913,0
2017-01-31,56.096,56.593,55.551,55.899,3354829,0
2017-02-01,56.519,56.962,55.998,56.215,3774758,0
2017-02-02,55.811,55.989,55.358,55.909,3442516,0
2017-02-03,56.805,57.148,56.352,57.031,3095865,0
2017-02-06,56.489,57.326,56.47,56.785,2327418,0
2017-02-07,56.991,57.1,56.352,56.47,2299882,0
2017-02-08,55.998,56.145,55.438,56.007,2673914,0
2017-02-09,56.322,57.188,56.017,56.795,3397873,0
2017-02-10,57.109,57.275,56.648,56.824,2683028,0
2017-02-13,57.061,57.779,56.952,57.198,3651122,0
2017-02-14,57.247,58.694,57.038,58.624,3861119,0
2017-02-15,58.861,59.333,58.501,59.067,3264097,0
2017-02-16,58.91,59.127,58.378,58.881,3296298,0
2017-02-17,58.241,58.644,58.123,58.624,2366784,0
2017-02-21,58.821,59.294,58.393,58.821,3280502,0
2017-02-22,58.448,59.304,58.398,58.811,3197357,0
2017-02-23,58.93,59.067,58.211,58.831,2488076,0
2017-02-24,58.386,58.743,58.159,58.584,3564763,0
2017-02-27,58.564,59.058,58.495,58.96,3307719,0
2017-02-28,58.545,58.91,58.288,58.781,3401791,0
2017-03-01,60.096,60.956,60.086,60.659,4661318,0
2017-03-02,60.808,60.895,58.974,59.019,3830045,0
2017-03-03,58.989,59.563,58.801,59.335,3256565,0
2017-03-06,58.781,59.196,58.258,58.96,3406577,0
2017-03-07,58.999,59.204,58.542,59.009,2977869,0
2017-03-08,59.631,59.918,58.594,58.683,3276509,0
2017-03-09,58.871,59.246,58.416,58.614,2275564,0
2017-03-10,58.861,58.989,57.774,58.238,3210020,0
2017-03-13,58.298,58.594,57.932,58.061,2759017,0
2017-03-14,57.813,57.971,57.329,57.941,3155306,0
2017-03-15,58.159,58.436,56.835,57.221,5698802,0
2017-03-16,57.438,57.981,57.25,57.665,3897058,0
2017-03-17,57.715,57.873,56.934,57.023,8468892,0
2017-03-20,56.914,57.378,56.558,56.588,4046884,0
2017-03-21,57.063,57.073,53.57,53.753,7907443,0
2017-03-22,53.358,54.148,52.695,53.535,6615083,0
2017-03-23,53.515,54.888,53.358,54.197,4903070,0
2017-03-24,54.473,54.603,53.594,54.158,3962422,0
2017-03-27,52.883,53.782,52.083,53.693,3561914,0
2017-03-28,53.575,54.8,53.545,54.444,3131618,0
2017-03-29,54.424,54.711,53.999,54.375,3082196,0
2017-03-30,54.483,55.669,54.335,55.413,3300786,0
2017-03-31,55.126,55.363,54.641,54.641,3312935,0
2017-04-03,54.938,54.982,53.911,54.8,3387601,0
2017-04-04,54.464,54.938,54.355,54.593,2344500,0
2017-04-05,55.106,55.65,54.088,54.148,3603777,0
2017-04-06,54.029,55.09,53.773,54.898,2892632,0
2017-04-07,54.395,55.036,54.266,54.691,2525226,0
2017-04-10,54.661,54.988,53.97,54.206,2637815,0
2017-04-11,53.753,54.316,53.496,54.316,3509948,0
2017-04-12,54.118,54.335,53.248,53.348,3255016,0
2017-04-13,53.14,54.039,52.566,52.813,5019621,0
2017-04-17,52.981,53.92,52.754,53.861,2968479,0
