Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,74.652,74.857,73.968,74.329,300016,0
2017-01-04,74.573,75.003,74.242,74.827,348084,0
2017-01-05,74.633,75.668,74.008,75.501,378557,0
2017-01-06,75.12,77.025,74.984,76.605,435090,0
2017-01-09,77.063,77.063,75.882,76.175,278409,0
2017-01-10,76.165,76.214,75.394,75.433,221024,0
2017-01-11,75.414,75.833,74.799,75.003,456459,0
2017-01-12,75.384,75.98,74.789,75.95,203305,0
2017-01-13,75.481,76.331,75.481,76.048,142572,0
2017-01-17,76.448,76.78,75.58,75.98,326699,0
2017-01-18,75.755,76.985,75.678,76.214,202480,0
2017-01-19,75.678,76.097,75.336,75.696,142589,0
2017-01-20,75.608,76.371,75.297,76.067,259914,0
2017-01-23,76.419,77.435,76.029,77.152,326741,0
2017-01-24,77.054,77.543,76.966,77.396,221958,0
2017-01-25,77.416,77.499,76.839,77.122,254062,0
2017-01-26,77.005,77.401,76.58,76.878,112023,0
2017-01-27,77.044,77.122,75.716,76.526,187570,0
2017-01-30,76.546,76.888,76.029,76.331,166625,0
2017-01-31,76.399,77.533,76.399,76.898,249434,0
2017-02-01,76.468,77.289,75.97,76.165,214355,0
2017-02-02,76.615,77.025,76.311,76.429,223264,0
2017-02-03,77.132,77.473,76.273,76.634,203495,0
2017-02-06,76.966,77.122,76.331,76.712,177896,0
2017-02-07,76.625,77.386,76.625,77.152,227598,0
2017-02-08,77.58,78.498,77.088,78.021,180543,0
2017-02-09,77.971,78.352,76.917,77.717,257674,0
2017-02-10,77.327,78.45,77.317,78.372,182038,0
2017-02-13,78.411,78.772,77.61,78.742,173659,0
2017-02-14,78.421,78.967,77.463,78.255,160422,0
2017-02-15,77.991,78.752,77.2,78.625,342025,0
2017-02-16,78.508,79.27,78.401,79.075,205610,0
2017-02-17,78.899,79.251,78.411,79.016,168765,0
2017-02-21,78.704,79.876,78.489,79.661,250748,0
2017-02-22,79.774,80.256,78.381,79.104,336553,0
2017-02-23,79.67,80.724,78.352,80.373,528861,0
2017-02-24,80.705,81.779,80.041,81.545,292519,0
2017-02-27,80.637,81.399,80.256,81.262,343434,0
2017-02-28,80.607,81.349,80.168,80.871,335225,0
2017-03-01,80.393,80.851,79.749,80.657,335106,0
2017-03-02,80.569,80.569,79.495,80.197,241272,0
2017-03-03,80.324,80.324,78.694,79.944,328969,0
2017-03-06,79.856,80.032,78.939,79.886,307761,0
2017-03-07,79.778,80.207,79.26,80.178,232990,0
2017-03-08,79.622,79.622,78.841,78.996,318573,0
2017-03-09,78.508,79.124,77.356,77.737,314441,0
2017-03-10,78.304,79.114,77.112,77.279,255209,0
2017-03-13,77.336,78.45,77.015,77.66,214169,0
2017-03-14,77.64,77.923,77.142,77.426,244306,0
2017-03-15,77.493,79.016,77.493,78.752,251764,0
2017-03-16,78.44,79.153,78.245,78.352,207045,0
2017-03-17,78.215,79.056,78.187,78.645,569305,0
2017-03-20,78.645,78.807,77.874,78.118,216909,0
