Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,74.554,75.565,73.741,74.485,2551840,0
2017-01-04,74.792,74.985,73.84,74.326,1529181,0
2017-01-05,73.999,74.712,73.285,73.909,1686791,0
2017-01-06,74.157,74.812,73.662,74.296,1468008,0
2017-01-09,75.287,76.278,74.563,74.98,2250908,0
2017-01-10,75.019,76.834,74.99,76.625,1731188,0
2017-01-11,76.645,78.023,75.833,77.716,1989302,0
2017-01-12,75.526,76.229,74.009,76.07,4157106,0
2017-01-13,76.229,77.795,76.01,77.636,1932999,0
2017-01-17,76.952,77.736,75.808,76.209,2330944,0
2017-01-18,76.704,78.567,76.477,78.567,2997353,0
2017-01-19,78.171,78.747,77.488,77.766,3082656,0
2017-01-20,84.247,88.112,83.94,87.885,15617388,0
2017-01-23,88.082,90.263,86.943,89.371,6410845,0
2017-01-24,89.51,91.919,89.51,91.453,4484887,0
2017-01-25,92.176,92.95,90.512,91.056,3128479,0
2017-01-26,91.185,91.819,90.135,90.204,2261720,0
2017-01-27,90.739,91.622,90.442,91.195,1658367,0
2017-01-30,90.62,92.256,89.421,92.166,2441366,0
2017-01-31,91.779,91.937,89.751,91.202,2416696,0
2017-02-01,92.992,93.936,90.775,91.202,3744737,0
2017-02-02,90.267,90.998,89.532,90.575,2491414,0
2017-02-03,90.785,91.371,90.347,91.023,1280029,0
2017-02-06,90.913,91.043,90.178,90.854,1398121,0
2017-02-07,90.864,91.659,90.635,91.242,1259619,0
2017-02-08,91.073,91.799,90.407,91.153,1835157,0
2017-02-09,91.53,92.584,90.705,91.928,2719005,0
2017-02-10,92.186,92.206,90.874,91.669,1822581,0
2017-02-13,92.146,92.752,91.729,92.087,1273493,0
2017-02-14,91.779,91.938,89.999,91.261,1591579,0
2017-02-15,91.481,92.067,90.715,91.59,1499140,0
2017-02-16,91.799,92.017,91.063,91.888,1269630,0
2017-02-17,91.699,96.103,91.381,95.785,5363573,0
2017-02-21,96.063,96.938,95.139,96.003,2528721,0
2017-02-22,95.924,96.6,95.477,96.143,1370126,0
2017-02-23,96.292,96.371,93.747,94.751,1598620,0
2017-02-24,93.688,94.443,92.474,94.145,1280045,0
2017-02-27,93.986,95.119,93.3,95.069,1078114,0
2017-02-28,95.049,95.287,93.448,94.254,1625697,0
2017-03-01,95.407,96.58,93.816,96.173,2266926,0
2017-03-02,96.411,96.998,94.155,94.204,2072892,0
2017-03-03,94.473,94.761,93.608,94.363,1485773,0
2017-03-06,93.658,95.149,92.877,94.891,2520398,0
2017-03-07,94.661,94.93,93.655,94.503,1442742,0
2017-03-08,95.795,96.342,94.831,96.123,4052702,0
2017-03-09,95.645,97.097,94.503,96.57,2333319,0
2017-03-10,97.167,98.122,96.928,97.604,2202308,0
2017-03-13,98.181,98.758,97.485,98.459,2413685,0
2017-03-14,98.161,98.36,97.376,98.21,1221577,0
2017-03-15,98.132,98.797,97.544,98.529,1537977,0
2017-03-16,98.638,98.638,97.426,97.534,1807542,0
2017-03-17,97.932,98.032,96.938,97.356,2195298,0
2017-03-20,97.376,98.23,96.58,97.614,1298368,0
2017-03-21,97.794,98.062,94.781,94.96,1815412,0
2017-03-22,94.91,96.213,94.035,96.173,1746298,0
2017-03-23,95.974,96.72,95.465,95.934,1118206,0
2017-03-24,96.789,97.774,96.312,96.729,1249067,0
2017-03-27,95.845,97.141,94.771,96.62,1051954,0
2017-03-28,96.739,98.122,95.984,97.356,1128491,0
2017-03-29,97.276,97.276,96.431,96.66,1061042,0
2017-03-30,96.72,97.922,96.491,97.564,1187776,0
2017-03-31,97.734,97.912,97.137,97.406,1046552,0
2017-04-03,97.574,97.902,96.381,97.147,1156223,0
2017-04-04,98.102,100.11,97.564,98.768,2886404,0
2017-04-05,98.976,99.99,98.032,98.31,1976886,0
2017-04-06,98.39,99.227,97.159,98.847,1279201,0
2017-04-07,98.847,102.04,98.529,101.22,3998134,0
2017-04-10,101.3,101.94,100.07,100.93,1936746,0
2017-04-11,99.91,100.22,98.529,99.56,2931933,0
2017-04-12,99.65,99.82,96.411,97.018,3368457,0
2017-04-13,96.252,98.857,95.587,96.898,2058694,0
2017-04-17,97.346,98.3,97.346,98.181,898605,0
2017-04-18,97.604,99.012,97.475,98.45,1557620,0
2017-04-19,99.217,100.01,98.509,98.658,1668989,0
2017-04-20,98.916,101.28,98.768,101.03,1835078,0
2017-04-21,100.96,101.16,99.77,101,1471349,0
2017-04-24,102.4,104.72,102.07,103.3,3603802,0
2017-04-25,103.65,104.17,103.35,103.39,2741622,0
2017-04-26,103.69,103.69,101.47,102.37,2182098,0
