Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,54.42,55.89,53.5733,55.81,531052,0
2017-01-04,56.5,57.0843,55.8,56.5,322345,0
2017-01-05,56.38,56.5,54.26,54.81,298580,0
2017-01-06,54.81,55.46,54.33,54.68,363130,0
2017-01-09,54.52,54.91,52.7,53.22,617579,0
2017-01-10,53.28,53.7796,52.09,52.9,507121,0
2017-01-11,53.14,54.45,52.87,54.45,370434,0
2017-01-12,54.21,54.345,51.63,52.78,579921,0
2017-01-13,53.09,55.4853,52.7801,53.71,522346,0
2017-01-17,53.01,54.54,52.69,54,399890,0
2017-01-18,54.39,54.45,53.27,53.86,413484,0
2017-01-19,53.88,54.79,52.85,53.27,342272,0
2017-01-20,53.22,56.75,53.22,54.61,905619,0
2017-01-23,54.01,55.49,54.01,54.9,653138,0
2017-01-24,55.5,57.67,55.335,56.89,849108,0
2017-01-25,59.24,60.5,58,59.86,1448267,0
2017-01-26,59.85,59.98,57.97,58.14,1272447,0
2017-01-27,61.95,61.95,53.91,54.36,1998928,0
2017-01-30,54.07,56.82,53.84,56.51,1110043,0
2017-01-31,56.43,56.66,54.86,56.38,765689,0
2017-02-01,56.96,57.67,56.21,56.7,689199,0
2017-02-02,56.13,57.11,55.81,56.51,493153,0
2017-02-03,57,57.05,55.55,56.75,517178,0
2017-02-06,56.48,57.03,56.26,56.98,527144,0
2017-02-07,56.8,57.21,56.01,56.71,747249,0
2017-02-08,56.7,56.7,55.74,56.41,372384,0
2017-02-09,56.48,56.8,56.1,56.41,374839,0
2017-02-10,56.83,56.931,55.905,56.31,400287,0
2017-02-13,56.86,57.33,55.95,56.93,862591,0
2017-02-14,56.93,57.15,56.38,57.01,510495,0
2017-02-15,57,57.46,56.77,57.24,406847,0
2017-02-16,57.4,57.91,57.14,57.85,368931,0
2017-02-17,57.83,58.91,57.39,58.87,462246,0
2017-02-21,58.52,59.99,57.86,58.2,656213,0
2017-02-22,58.23,58.46,56.38,56.7,735273,0
2017-02-23,56.7,56.73,55.76,56.04,296768,0
2017-02-24,55.38,55.99,54.86,55.54,399221,0
2017-02-27,55.48,56.08,54.87,55.82,511658,0
2017-02-28,55.82,56.37,53.05,53.16,782655,0
2017-03-01,53.65,54.74,53.13,53.74,512812,0
2017-03-02,53.78,53.91,52.21,52.28,662835,0
2017-03-03,52.53,53.35,49.92,50.88,1101810,0
2017-03-06,50.44,51.14,49.98,50.54,690131,0
2017-03-07,50.5,51.07,49.95,49.99,605572,0
2017-03-08,50.05,50.6,49.38,50.36,715653,0
2017-03-09,50.05,50.8238,49.92,50.53,628266,0
2017-03-10,50.73,51.59,50.59,51.03,459647,0
2017-03-13,50.905,51.02,49.87,49.89,515991,0
2017-03-14,49.85,50.04,49.3,49.43,445601,0
2017-03-15,49.78,50.54,49.07,49.55,525178,0
2017-03-16,51.28,51.28,49.99,50.29,717332,0
2017-03-17,50.25,50.92,50.16,50.71,709827,0
2017-03-20,50.7,51.54,50.0461,51.5,484712,0
2017-03-21,51.25,51.25,47.32,47.51,2037565,0
2017-03-22,47.61,48.85,47.61,48.81,729776,0
2017-03-23,48.9,50.32,48.68,49.54,566690,0
2017-03-24,50.05,50.47,48.89,49.18,399566,0
2017-03-27,48.77,49.81,48.405,49.49,332357,0
2017-03-28,49.39,49.78,48.715,48.89,470843,0
2017-03-29,48.76,49.35,48.66,49.02,450706,0
2017-03-30,49.03,49.81,48.77,49.7,598306,0
2017-03-31,50.02,50.05,49.27,49.51,471104,0
2017-04-03,49.31,49.32,48.085,48.8,784538,0
2017-04-04,48.42,48.77,47,48.71,852302,0
2017-04-05,48.97,49.47,47.96,48.06,659749,0
2017-04-06,48.11,49.4,47.68,49.31,427233,0
2017-04-07,50.97,53.11,50.8874,50.93,1524398,0
2017-04-10,50.74,52.24,50.68,51.74,579865,0
2017-04-11,51.26,51.83,50.02,51.8,599117,0
2017-04-12,51.15,51.33,50.23,50.6,734189,0
2017-04-13,50.31,50.5,49.68,50.01,521224,0
2017-04-17,50.22,51.31,49.51,50.97,410029,0
2017-04-18,50.97,51.24,50.1,50.47,368059,0
2017-04-19,51.03,51.89,50.16,50.46,373720,0
2017-04-20,50.8,51.6,50.565,51.1,644878,0
2017-04-21,51.08,51.08,49.58,50.76,631740,0
2017-04-24,51.76,52.24,51.12,51.7,705826,0
2017-04-25,52.21,52.89,51.85,52.54,492398,0
2017-04-26,52.33,52.98,51.9,52.5,470824,0
2017-04-27,52.53,52.99,51.01,52.87,1076037,0
2017-04-28,57,59.22,54.31,54.77,2212803,0
2017-05-01,54.93,54.96,53.28,53.65,842883,0
2017-05-02,53.61,54.195,53.13,53.69,667281,0
2017-05-03,53.52,53.87,53.18,53.52,438103,0
2017-05-04,53.78,54.01,52.87,53.27,390799,0
2017-05-05,53.41,54.94,53.24,54.92,713563,0
2017-05-08,54.73,55.45,54.27,54.91,524118,0
2017-05-09,55,57.29,55,57.11,914176,0
2017-05-10,57,57.54,56.49,57.23,386828,0
2017-05-11,56.92,57.86,56.03,57.35,423582,0
2017-05-12,57.06,57.31,56.02,56.15,427009,0
2017-05-15,56.15,56.95,55.65,56.28,526021,0
2017-05-16,56.06,56.66,55.78,56.26,399319,0
2017-05-17,55.19,56.18,54.46,54.58,638785,0
2017-05-18,54.5,55.31,54.13,54.91,437058,0
2017-05-19,55.11,56.48,55.11,55.69,405945,0
2017-05-22,55.8,56.19,55.34,56.1,464058,0
2017-05-23,56.21,56.22,55.37,55.77,370797,0
2017-05-24,55.84,56.28,55.02,56.05,315238,0
2017-05-25,56,56.9,55.8887,56,303138,0
2017-05-26,55.88,55.97,55.05,55.19,360616,0
2017-05-30,55.06,56.78,54.68,56.4,413902,0
2017-05-31,56.6,56.66,55.04,55.56,232455,0
2017-06-01,55.83,58.005,55.21,57.72,752878,0
2017-06-02,57.69,58.04,57.27,57.53,308789,0
2017-06-05,57.4,58.1,56.88,57.8,475337,0
2017-06-06,57.52,58.41,56.91,58.19,556070,0
2017-06-07,58.3,60.96,57.4009,60.82,1031371,0
2017-06-08,60.82,64.54,59.92,64.25,1372219,0
2017-06-09,64.53,64.53,59.02,59.66,1082728,0
2017-06-12,59.66,59.76,57.0819,58.79,797977,0
2017-06-13,59.85,60.975,52.15,54.14,2626593,0
2017-06-14,54.1,54.1,51.37,52.25,1404534,0
2017-06-15,51.75,53.07,50.88,52.89,830090,0
2017-06-16,52.8,53.35,51.62,52.28,1090610,0
2017-06-19,52.47,54.55,52.36,54.35,825029,0
2017-06-20,55.48,56.248,54.64,55.11,747169,0
2017-06-21,54.95,58.09,54.61,58.04,5906531,0
2017-06-22,58.12,60.13,57.16,59.55,1734534,0
2017-06-23,59.55,61.18,59.465,59.99,1316804,0
2017-06-26,59,59.67,56.65,58.36,1627170,0
