Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.94,5.339,4.7,4.9,1857,0
2017-01-04,5.291,5.4,5.2,5.238,1982,0
2017-01-05,5.15,5.4,5.131,5.398,3259,0
2017-01-06,5.4,5.6,5.01,5.57,9430,0
2017-01-09,5.85,5.85,5.5,5.5,4517,0
2017-01-10,5.498,5.838,5.4,5.729,6886,0
2017-01-11,5.503,5.85,5.5,5.675,3366,0
2017-01-12,5.8,5.85,5.5,5.61,3676,0
2017-01-13,5.546,5.799,5.5,5.7,3585,0
2017-01-17,5.8,6,5.474,5.8,15229,0
2017-01-18,5.801,6.8,5.8,6.625,18227,0
2017-01-19,6.65,6.788,6.5,6.5,4625,0
2017-01-20,6.77,6.77,6.4,6.744,3251,0
2017-01-23,6.9,6.9,6.05,6.401,7205,0
2017-01-24,6.4,6.899,6.001,6.5,1444,0
2017-01-25,7.2,7.5,6.5,6.8,57837,0
2017-01-26,6.85,6.9,6.249,6.6,12250,0
2017-01-27,6.551,6.8,6.1,6.3,5251,0
2017-01-30,6.496,6.496,5.801,6.132,4452,0
2017-01-31,5.9,6.3,5.8,6.3,7506,0
2017-02-01,6.5,6.694,6.002,6.595,6703,0
2017-02-02,6.2,6.598,6.1,6.298,4598,0
2017-02-03,6.3,6.3,6.003,6.003,2496,0
2017-02-06,6.013,6.013,5.901,5.975,4608,0
2017-02-07,6.051,6.24,4.7,5.299,31637,0
2017-02-08,5.3,5.888,5.208,5.515,3926,0
2017-02-09,5.775,5.9,5.5,5.9,3799,0
2017-02-10,5.906,6,5.501,5.9,7697,0
2017-02-13,5.5,6,5.1,5.304,8402,0
2017-02-14,5.3,5.8,5.3,5.8,3565,0
2017-02-15,5.763,5.8,5.5,5.6,2364,0
2017-02-16,5.7,5.8,5.3,5.3,2782,0
2017-02-17,5.7,5.7,4.7,5.1,15828,0
2017-02-21,5.2,5.4,5,5.3,4836,0
2017-02-22,5.4,5.5,5.1,5.1,1554,0
2017-02-23,5.25,5.493,4.99,5.036,11316,0
2017-02-24,5,5.39,4.551,5.253,23364,0
2017-02-27,5,5.84,4.9211,5.74,70295,0
2017-02-28,5.77,5.77,4.79,5.14,32875,0
2017-03-01,5.14,5.39,4.9,4.94,23096,0
2017-03-02,4.9,5.0874,4.51,4.55,30971,0
2017-03-03,4.6,4.7612,4.19,4.2,15363,0
2017-03-06,4.33,4.4352,4.11,4.175,10955,0
2017-03-07,4.5,4.64,4.32,4.6,17883,0
2017-03-08,4.66,4.92,4.58,4.58,11671,0
2017-03-09,4.54,4.92,4.3,4.92,10470,0
2017-03-10,4.9,4.9,3.5,3.67,170751,0
2017-03-13,3.59,3.85,3.35,3.39,91518,0
2017-03-14,3.46,3.46,2.95,3.21,86053,0
2017-03-15,3.28,3.29,3.05,3.1,39256,0
2017-03-16,3.12,3.33,3.1,3.14,27122,0
2017-03-17,3.11,3.3696,3.11,3.34,32866,0
2017-03-20,3.49,3.49,3.18,3.18,30421,0
2017-03-21,3.19,3.2,3.12,3.12,13989,0
2017-03-22,3.0101,3.15,3.0101,3.02,42094,0
2017-03-23,3.05,3.055,2.85,2.865,61443,0
2017-03-24,2.85,3.11,2.8,2.8,36888,0
2017-03-27,2.8,2.945,2.76,2.83,61525,0
2017-03-28,2.8,2.85,2.74,2.75,22497,0
2017-03-29,2.8036,3.46,2.8036,3.175,722201,0
2017-03-30,3.25,3.79,3,3.1,1346902,0
2017-03-31,2.98,3.1413,2.8,2.84,471566,0
2017-04-03,2.9,2.91,2.4,2.45,630182,0
2017-04-04,2.47,2.47,2.08,2.13,578064,0
2017-04-05,2.15,2.192,2,2.01,266349,0
2017-04-06,2.0657,2.18,1.85,2.15,458126,0
