Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,31.853,32.587,31.477,31.667,1366142,0
2017-01-04,31.913,32.3,31.417,32.23,1140736,0
2017-01-05,32.19,32.796,31.288,31.357,1769193,0
2017-01-06,31.764,31.933,31.146,31.151,1559644,0
2017-01-09,31.141,31.407,30.664,31.001,820662,0
2017-01-10,31.407,32.161,31.031,31.547,816562,0
2017-01-11,31.667,31.794,31.318,31.774,610692,0
2017-01-12,31.744,31.744,30.832,31.111,926903,0
2017-01-13,31.328,31.893,31.328,31.705,612694,0
2017-01-17,31.823,31.823,30.912,31.19,647403,0
2017-01-18,31.457,32.013,31.23,31.487,871114,0
2017-01-19,31.507,31.685,30.496,30.625,1801996,0
2017-01-20,30.783,31.507,30.783,31.308,811449,0
2017-01-23,30.813,31.357,30.565,30.991,700829,0
2017-01-24,31.457,32.647,31.303,32.2,946361,0
2017-01-25,32.746,32.796,32.013,32.527,4141437,0
2017-01-26,33.252,33.579,32.171,32.696,1451650,0
2017-01-27,32.647,33.153,32.489,32.826,1503809,0
2017-01-30,32.39,32.39,30.991,31.517,1403540,0
2017-01-31,31.457,31.918,31.031,31.527,1079593,0
2017-02-01,31.823,32.209,31.457,31.814,1353407,0
2017-02-02,31.667,31.734,31.25,31.477,1563501,0
2017-02-03,31.843,32.479,31.814,32.37,1115907,0
2017-02-06,32.063,32.21,31.347,31.447,793070,0
2017-02-07,31.617,31.676,30.694,30.813,1000833,0
2017-02-08,30.723,30.832,30.168,30.664,1415561,0
2017-02-09,30.645,31.328,30.645,31.051,765892,0
2017-02-10,31.328,32.32,31.2,32.27,1785121,0
2017-02-13,32.597,32.944,32.131,32.141,1314352,0
2017-02-14,31.953,32.469,31.577,32.131,1088482,0
2017-02-15,32.013,32.449,31.804,32.36,985033,0
2017-02-16,32.32,32.449,31.547,31.724,1185806,0
2017-02-17,31.873,32.003,31.477,31.724,1107636,0
2017-02-21,31.814,31.953,31.577,31.853,944398,0
2017-02-22,32.846,33.013,30.882,31.141,2421702,0
2017-02-23,30.932,31.258,29.484,29.653,2399536,0
2017-02-24,29.326,30.173,28.732,30.089,1603052,0
2017-02-27,30.377,30.961,30.06,30.832,1660698,0
2017-02-28,30.753,31.181,30.622,30.971,1934443,0
2017-03-01,31.823,32.479,31.557,32.3,1878619,0
2017-03-02,32.063,32.32,31.517,31.537,1410862,0
2017-03-03,31.517,32.023,31.397,32.003,1190883,0
2017-03-06,31.587,32.069,31.476,31.923,937259,0
2017-03-07,31.537,31.908,31.427,31.527,1032295,0
2017-03-08,31.457,31.874,30.85,30.95,1364037,0
2017-03-09,30.91,31.1,29.072,29.559,2785560,0
2017-03-10,30.016,30.264,29.156,30.065,1990863,0
2017-03-13,30.036,30.262,29.708,30.016,1041427,0
2017-03-14,29.807,29.987,29.132,29.847,1329251,0
2017-03-15,30.175,31.337,30.036,30.9,2296672,0
2017-03-16,30.97,31.229,30.13,30.185,1106192,0
2017-03-17,30.374,31.427,30.359,30.96,2652374,0
2017-03-20,30.821,31.01,30.364,30.633,1252278,0
2017-03-21,30.92,31.09,29.41,29.678,1668836,0
2017-03-22,29.509,29.837,29.24,29.529,1215875,0
2017-03-23,29.47,29.947,29.3,29.747,920643,0
2017-03-24,29.897,30.125,29.44,29.817,1259149,0
2017-03-27,28.932,29.529,28.495,29.39,1376329,0
2017-03-28,29.37,29.837,29.37,29.757,2857780,0
2017-03-29,29.717,30.791,29.588,30.593,1565469,0
2017-03-30,30.593,31.362,30.453,31.199,1727659,0
2017-03-31,31.09,31.407,30.96,31.209,1266235,0
2017-04-03,31.229,31.427,30.294,30.374,1260504,0
2017-04-04,30.314,30.543,30.065,30.493,912196,0
2017-04-05,30.821,31.775,30.801,30.9,2252782,0
2017-04-06,31.07,32.483,30.95,32.182,2045562,0
2017-04-07,32.202,32.709,32.039,32.322,1226581,0
2017-04-10,32.362,32.978,32.362,32.62,1222897,0
2017-04-11,32.56,32.819,32.123,32.809,1098592,0
2017-04-12,32.441,32.584,31.457,31.577,1356895,0
2017-04-13,31.407,31.532,30.701,30.87,1177418,0
2017-04-17,31.07,31.676,30.731,31.517,2920869,0
