Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,1.73,1.83,1.6903,1.83,254051,0
2017-01-04,1.81,1.86,1.79,1.84,130790,0
2017-01-05,1.86,1.89,1.81,1.84,143105,0
2017-01-06,1.83,1.86,1.8,1.8,115287,0
2017-01-09,1.8,1.8,1.73,1.74,64259,0
2017-01-10,1.76,1.8,1.73,1.7799,112026,0
2017-01-11,1.78,1.85,1.75,1.82,110437,0
2017-01-12,1.8,1.83,1.76,1.78,32180,0
2017-01-13,1.75,1.79,1.75,1.78,42168,0
2017-01-17,1.78,1.86,1.7602,1.8,64786,0
2017-01-18,1.78,1.78,1.72,1.72,35366,0
2017-01-19,1.73,1.75,1.71,1.72,44578,0
2017-01-20,1.74,1.76,1.72,1.74,48871,0
2017-01-23,1.72,1.74,1.7,1.71,71074,0
2017-01-24,1.71,1.76,1.71,1.75,148361,0
2017-01-25,1.76,1.8099,1.72,1.73,95056,0
2017-01-26,1.74,1.8,1.74,1.78,86060,0
2017-01-27,1.77,1.79,1.73,1.75,36027,0
2017-01-30,1.73,1.73,1.64,1.66,193490,0
2017-01-31,1.75,1.75,1.6599,1.68,139099,0
2017-02-01,1.73,1.76,1.69,1.72,106793,0
2017-02-02,1.75,1.75,1.71,1.72,70494,0
2017-02-03,1.73,1.78,1.72,1.72,52463,0
2017-02-06,1.72,1.73,1.66,1.69,109582,0
2017-02-07,1.69,1.74,1.67,1.7,60397,0
2017-02-08,1.68,1.75,1.65,1.66,56563,0
2017-02-09,1.67,1.67,1.61,1.64,227882,0
2017-02-10,1.7,1.83,1.7,1.79,409334,0
2017-02-13,1.69,1.85,1.69,1.84,93623,0
2017-02-14,1.85,1.85,1.75,1.79,210435,0
2017-02-15,1.8,1.8054,1.72,1.75,100979,0
2017-02-16,1.75,1.8,1.73,1.73,62532,0
2017-02-17,1.73,1.77,1.72,1.74,81426,0
2017-02-21,1.77,1.81,1.76,1.76,95519,0
2017-02-22,1.77,1.7793,1.7,1.7,117978,0
2017-02-23,1.72,1.75,1.65,1.6699,181539,0
2017-02-24,1.68,1.7,1.64,1.65,153404,0
2017-02-27,1.67,1.68,1.64,1.68,65612,0
2017-02-28,1.65,1.69,1.61,1.63,106195,0
2017-03-01,1.65,1.71,1.65,1.7,112735,0
2017-03-02,1.67,1.68,1.63,1.65,83776,0
2017-03-03,1.68,1.68,1.61,1.62,145606,0
2017-03-06,1.6,1.64,1.58,1.59,80507,0
2017-03-07,1.58,1.61,1.58,1.6,91551,0
2017-03-08,1.58,1.61,1.55,1.59,230604,0
2017-03-09,1.59,1.5998,1.56,1.57,95473,0
2017-03-10,1.61,1.64,1.59,1.64,46950,0
2017-03-13,1.64,1.65,1.56,1.59,61145,0
2017-03-14,1.58,1.6,1.532,1.55,215653,0
2017-03-15,1.5,1.56,1.5,1.55,196761,0
2017-03-16,1.55,1.59,1.5,1.54,119287,0
2017-03-17,1.56,1.66,1.55,1.6,136102,0
2017-03-20,1.59,1.59,1.485,1.57,128061,0
2017-03-21,1.57,1.57,1.51,1.52,34584,0
2017-03-22,1.53,1.53,1.48,1.5,144873,0
2017-03-23,1.51,1.53,1.47,1.5,91141,0
2017-03-24,1.538,1.55,1.5,1.5,66434,0
2017-03-27,1.48,1.51,1.46,1.49,127522,0
2017-03-28,1.5,1.56,1.49,1.54,59981,0
2017-03-29,1.52,1.63,1.51,1.62,96137,0
2017-03-30,1.63,1.6301,1.5726,1.59,43184,0
2017-03-31,1.58,1.61,1.56,1.56,150846,0
2017-04-03,1.55,1.58,1.54,1.57,100180,0
2017-04-04,1.598,1.6,1.56,1.58,91013,0
2017-04-05,1.6,1.62,1.56,1.58,47332,0
2017-04-06,1.57,1.63,1.57,1.6,73534,0
2017-04-07,1.6,1.6,1.57,1.58,25677,0
2017-04-10,1.6,1.63,1.6,1.61,71293,0
2017-04-11,1.6184,1.64,1.6,1.62,75517,0
2017-04-12,1.61,1.64,1.61,1.635,75186,0
2017-04-13,1.65,1.65,1.57,1.57,58751,0
2017-04-17,1.56,1.58,1.53,1.53,70676,0
2017-04-18,1.5,1.55,1.5,1.51,19673,0
2017-04-19,1.54,1.54,1.5,1.5,44508,0
2017-04-20,1.56,1.58,1.5084,1.56,34656,0
2017-04-21,1.54,1.58,1.465,1.53,119695,0
2017-04-24,1.53,1.54,1.49,1.49,32183,0
2017-04-25,1.49,1.53,1.47,1.52,54012,0
2017-04-26,1.52,1.52,1.48,1.5,51889,0
2017-04-27,1.49,1.52,1.46,1.51,78408,0
2017-04-28,1.51,1.51,1.46,1.46,80381,0
2017-05-01,1.45,1.5,1.45,1.48,50550,0
2017-05-02,1.48,1.49,1.45,1.45,54630,0
2017-05-03,1.46,1.47,1.44,1.44,35777,0
2017-05-04,1.42,1.44,1.37,1.38,134946,0
2017-05-05,1.37,1.41,1.37,1.4,42068,0
2017-05-08,1.39,1.51,1.39,1.47,101069,0
2017-05-09,1.46,1.47,1.41,1.43,49903,0
2017-05-10,1.43,1.4875,1.43,1.46,81513,0
2017-05-11,1.42,1.51,1.42,1.51,95824,0
2017-05-12,1.52,1.54,1.48,1.495,84816,0
2017-05-15,1.51,1.7,1.5,1.62,157829,0
2017-05-16,1.6,1.65,1.59,1.62,59608,0
2017-05-17,1.64,1.65,1.53,1.535,36348,0
2017-05-18,1.54,1.6,1.53,1.6,34075,0
2017-05-19,1.6,1.63,1.5814,1.595,22890,0
2017-05-22,1.6474,1.6474,1.569,1.6,43186,0
