Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,0.86,0.9351,0.86,0.9201,238592,0
2017-01-04,0.9498,1.01,0.93,1.01,1037065,0
2017-01-05,1.02,1.05,0.9696,0.9937,908711,0
2017-01-06,0.99,0.99,0.96,0.9867,297305,0
2017-01-09,1.02,1.02,0.9037,0.9444,635458,0
2017-01-10,1,1.05,0.9955,1.03,1001816,0
2017-01-11,1.05,1.12,1.041,1.11,1297517,0
2017-01-12,1.12,1.17,1.12,1.16,1091949,0
2017-01-13,1.15,1.2,1.12,1.17,890559,0
2017-01-17,1.17,1.31,1.15,1.24,1358824,0
2017-01-18,1.23,1.2925,1.23,1.255,1496039,0
2017-01-19,1.26,1.26,1.17,1.25,1072843,0
2017-01-20,1.25,1.28,1.22,1.2614,671846,0
2017-01-23,1.29,1.3,1.27,1.27,723452,0
2017-01-24,1.28,1.41,1.28,1.4,2013613,0
2017-01-25,1.4,1.47,1.36,1.47,1466580,0
2017-01-26,1.48,1.5,1.39,1.43,1448580,0
2017-01-27,1.43,1.47,1.41,1.45,745430,0
2017-01-30,1.45,1.45,1.345,1.37,1114430,0
2017-01-31,1.42,1.47,1.37,1.47,1295287,0
2017-02-01,1.47,1.48,1.4,1.42,1337698,0
2017-02-02,1.42,1.45,1.36,1.45,1194424,0
2017-02-03,1.45,1.45,1.42,1.44,564501,0
2017-02-06,1.42,1.46,1.42,1.44,908601,0
2017-02-07,1.44,1.45,1.4102,1.42,464064,0
2017-02-08,1.44,1.45,1.4,1.4,717723,0
2017-02-09,1.4,1.42,1.31,1.375,1188038,0
2017-02-10,1.39,1.53,1.38,1.49,2527162,0
2017-02-13,1.54,1.63,1.54,1.59,2102279,0
2017-02-14,1.59,1.62,1.55,1.585,907978,0
2017-02-15,1.59,1.6,1.48,1.56,992491,0
2017-02-16,1.58,1.58,1.48,1.49,757062,0
2017-02-17,1.48,1.48,1.25,1.35,2537627,0
2017-02-21,1.35,1.45,1.35,1.42,1268731,0
2017-02-22,1.44,1.44,1.34,1.4,1219044,0
2017-02-23,1.5,1.53,1.34,1.38,2400965,0
2017-02-24,1.4,1.43,1.34,1.39,1264392,0
2017-02-27,1.4,1.41,1.31,1.36,1302783,0
2017-02-28,1.35,1.36,1.3,1.32,922784,0
2017-03-01,1.33,1.49,1.33,1.46,2111905,0
2017-03-02,1.49,1.49,1.33,1.33,1198657,0
2017-03-03,1.34,1.4,1.33,1.38,848587,0
2017-03-06,1.34,1.35,1.28,1.31,1114096,0
2017-03-07,1.3,1.3,1.19,1.26,1250471,0
2017-03-08,1.24,1.3,1.235,1.235,606660,0
2017-03-09,1.16,1.22,1.16,1.16,1335869,0
2017-03-10,1.17,1.25,1.16,1.18,2170337,0
2017-03-13,1.25,1.32,1.21,1.31,775680,0
2017-03-14,1.32,1.325,1.26,1.32,810247,0
2017-03-15,1.31,1.4,1.31,1.39,895017,0
2017-03-16,1.4,1.43,1.35,1.36,773130,0
2017-03-17,1.35,1.38,1.32,1.37,441070,0
2017-03-20,1.37,1.38,1.33,1.33,445188,0
2017-03-21,1.33,1.35,1.24,1.26,787851,0
2017-03-22,1.23,1.29,1.2,1.27,588537,0
2017-03-23,1.27,1.3,1.26,1.28,190684,0
2017-03-24,1.27,1.31,1.24,1.24,398244,0
2017-03-27,1.23,1.25,1.17,1.24,771410,0
2017-03-28,1.28,1.3,1.24,1.3,489158,0
2017-03-29,1.29,1.36,1.28,1.34,586308,0
2017-03-30,1.35,1.37,1.32,1.34,699116,0
2017-03-31,1.3,1.34,1.28,1.32,516841,0
2017-04-03,1.32,1.35,1.25,1.295,588909,0
2017-04-04,1.29,1.3,1.26,1.28,112693,0
2017-04-05,1.32,1.35,1.3,1.35,680441,0
2017-04-06,1.36,1.36,1.31,1.34,521553,0
2017-04-07,1.34,1.34,1.3,1.34,333672,0
2017-04-10,1.34,1.34,1.29,1.31,487308,0
2017-04-11,1.31,1.32,1.26,1.3,468161,0
2017-04-12,1.29,1.29,1.2,1.22,924253,0
2017-04-13,1.22,1.25,1.14,1.15,1257449,0
2017-04-17,1.17,1.23,1.15,1.18,630918,0
2017-04-18,1.15,1.19,1.08,1.08,679966,0
2017-04-19,1.09,1.11,1,1.0007,1156970,0
2017-04-20,1.01,1.11,1,1.09,501674,0
2017-04-21,1.1,1.12,1.06,1.08,341420,0
2017-04-24,1.09,1.12,1.07,1.12,421105,0
2017-04-25,1.12,1.16,1.1,1.16,523355,0
2017-04-26,1.14,1.17,1.1272,1.15,359944,0
2017-04-27,1.15,1.17,1.06,1.13,327722,0
2017-04-28,1.14,1.18,1.11,1.14,256321,0
2017-05-01,1.1,1.18,1.09,1.15,689846,0
2017-05-02,1.16,1.17,1.13,1.16,230491,0
2017-05-03,1.14,1.1512,1.11,1.12,378146,0
2017-05-04,1.16,1.17,1.02,1.06,753966,0
2017-05-05,1.06,1.11,1.02,1.09,676576,0
2017-05-08,1.08,1.08,1.03,1.08,367439,0
2017-05-09,1.04,1.14,1.04,1.11,442437,0
2017-05-10,1.1,1.14,1.1,1.115,165510,0
2017-05-11,1.12,1.16,1.12,1.16,242584,0
2017-05-12,1.15,1.16,1.11,1.15,353631,0
2017-05-15,1.13,1.32,1.11,1.32,3298440,0
2017-05-16,1.33,1.34,1.26,1.32,945851,0
2017-05-17,1.3,1.3,1.25,1.25,1151674,0
2017-05-18,1.25,1.2775,1.25,1.27,454104,0
2017-05-19,1.29,1.33,1.29,1.31,617047,0
2017-05-22,1.33,1.33,1.29,1.29,281709,0
2017-05-23,1.29,1.32,1.28,1.32,467745,0
2017-05-24,1.33,1.33,1.26,1.29,322335,0
2017-05-25,1.29,1.32,1.28,1.31,271557,0
2017-05-26,1.3,1.31,1.28,1.31,348452,0
2017-05-30,1.3,1.32,1.28,1.3,469982,0
2017-05-31,1.29,1.31,1.26,1.31,505965,0
2017-06-01,1.31,1.31,1.27,1.275,316421,0
2017-06-02,1.28,1.28,1.25,1.25,767862,0
2017-06-05,1.25,1.26,1.21,1.25,754006,0
2017-06-06,1.25,1.25,1.21,1.22,398846,0
2017-06-07,1.22,1.24,1.165,1.21,558425,0
2017-06-08,1.21,1.28,1.21,1.28,691890,0
