Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,4.45,4.45,4.3104,4.3499,4089,0
2017-01-04,4.4849,4.499,4.4849,4.499,1147,0
2017-01-05,4.5,4.55,4.4733,4.4802,2545,0
2017-01-06,4.6,4.6,4.5008,4.55,2724,0
2017-01-09,4.55,4.6,4.55,4.6,1975,0
2017-01-10,4.516,4.6422,4.3075,4.4,5427,0
2017-01-11,4.4625,4.4625,4.3215,4.45,2532,0
2017-01-12,4.3,4.3,4.25,4.25,438,0
2017-01-13,4.15,4.65,4.1205,4.65,51724,0
2017-01-17,4.7,5.15,4.3,4.3892,54163,0
2017-01-18,4.363,4.499,4.2,4.35,4299,0
2017-01-19,4.3965,4.4,4.3965,4.4,1109,0
2017-01-20,4.65,4.65,4.15,4.4,21207,0
2017-01-23,4.4,4.9,4.4,4.8762,35542,0
2017-01-24,4.95,5.121,4.745,4.8989,14864,0
2017-01-25,5,5.05,4.984,5.05,6928,0
2017-01-26,5,5.05,4.76,4.76,5465,0
2017-01-27,4.95,4.95,4.8315,4.8465,2160,0
2017-01-30,4.9,4.95,4.8844,4.9008,8827,0
2017-01-31,5,5.1,4.9664,5.1,16898,0
2017-02-01,5.1,5.1202,5.05,5.05,9417,0
2017-02-02,5.1,5.35,4.7558,5.2,48619,0
2017-02-03,5.2,5.3621,4.8,5.15,41876,0
2017-02-06,5.29,5.85,4.8714,5.25,85438,0
2017-02-07,5.35,5.5,5.05,5.1,7966,0
2017-02-08,5.25,5.35,4.85,5.15,27650,0
2017-02-09,5.2001,5.6,5,5.1,62431,0
2017-02-10,5.2,5.6,4.8762,4.9,84909,0
2017-02-13,5.2,5.2,4.9,5,14675,0
2017-02-14,4.9,5.25,4.65,4.8,35202,0
2017-02-15,4.7,4.8536,4.55,4.75,41502,0
2017-02-16,4.95,4.95,4.65,4.65,3988,0
2017-02-17,4.7455,4.85,4.65,4.8,9543,0
2017-02-21,4.8,4.9,4.65,4.7,12630,0
2017-02-22,4.9,5.05,4.9,5.0343,17883,0
2017-02-23,5,5,4.7,4.85,11326,0
2017-02-24,4.85,5.0499,4.85,4.95,7344,0
2017-02-27,5.1,5.6,5.0729,5.6,25086,0
2017-02-28,5.7,5.7,5.5001,5.5269,18277,0
2017-03-01,5.6,6.245,5.6,6.0892,52527,0
2017-03-02,6,6,5.3,5.3035,22778,0
2017-03-03,5.25,5.4,5.25,5.3,9647,0
2017-03-06,5.4,5.7,5.3,5.55,21395,0
2017-03-07,5.69,5.69,5.35,5.45,54583,0
