Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,25.916,26.438,25.808,26.193,144384,0
2017-01-04,26.351,27.023,26.025,26.845,88159,0
2017-01-05,27.023,27.023,26.173,26.618,85749,0
2017-01-06,26.855,26.855,26.084,26.232,67801,0
2017-01-09,26.381,26.381,25.778,25.877,68552,0
2017-01-10,26.074,26.173,25.408,25.729,74863,0
2017-01-11,25.679,25.862,25.304,25.531,70802,0
2017-01-12,25.482,25.482,24.8,25.037,98247,0
2017-01-13,25.166,25.635,24.83,25.274,86313,0
2017-01-17,25.462,25.515,24.948,25.304,90183,0
2017-01-18,25.186,25.502,24.988,25.037,66851,0
2017-01-19,25.245,25.245,24.8,24.889,63122,0
2017-01-20,24.939,25.363,24.939,25.107,53895,0
2017-01-23,25.284,25.472,24.939,25.344,56990,0
2017-01-24,25.926,29.008,25.926,28.583,365308,0
2017-01-25,28.415,28.791,28.109,28.563,198339,0
2017-01-26,28.465,28.524,28.099,28.168,80924,0
2017-01-27,28.218,28.544,27.744,27.832,68360,0
2017-01-30,27.704,27.704,26.717,27.052,95846,0
2017-01-31,26.835,27.269,26.736,26.973,59965,0
2017-02-01,27.042,27.319,26.786,26.884,60417,0
2017-02-02,26.865,27.349,26.657,27.121,54660,0
2017-02-03,27.131,27.625,26.914,27.546,59230,0
2017-02-06,27.645,27.645,27.023,27.339,85999,0
2017-02-07,27.388,27.951,26.835,26.904,80554,0
2017-02-08,26.815,27.25,26.417,26.46,52646,0
2017-02-09,26.42,26.529,26.183,26.43,76510,0
2017-02-10,26.43,26.677,26.223,26.568,38083,0
2017-02-13,26.924,27.141,26.558,26.637,67622,0
2017-02-14,26.835,27.114,26.637,26.884,98595,0
2017-02-15,27.013,30.005,27.013,28.958,297448,0
2017-02-16,29.334,29.877,28.484,29.561,180427,0
2017-02-17,29.442,29.561,28.751,29.077,111443,0
2017-02-21,28.988,29.077,28.287,28.465,104339,0
2017-02-22,28.721,28.86,27.739,28.03,98801,0
2017-02-23,28.01,28.7,27.72,28.53,107653,0
2017-02-24,28.49,28.724,27.74,28.02,154294,0
2017-02-27,28.18,28.74,27.75,28.71,88758,0
2017-02-28,28.71,28.92,28.475,28.51,121377,0
2017-03-01,28.79,29.48,28.52,29.3,133147,0
2017-03-02,29.41,29.46,29.07,29.22,94920,0
2017-03-03,29.2,29.3,28.82,29.05,111542,0
2017-03-06,28.9,28.96,28.57,28.61,117392,0
2017-03-07,28.51,28.94,27.575,27.61,120502,0
2017-03-08,27.51,27.68,26.22,26.83,199147,0
2017-03-09,26.62,26.79,26.05,26.27,168889,0
2017-03-10,26.46,26.62,26.1,26.31,108447,0
2017-03-13,26.26,26.45,26,26.1,88255,0
2017-03-14,26.04,26.17,25.85,25.94,75797,0
2017-03-15,26.04,26.4,25.758,26.16,90255,0
2017-03-16,26.11,26.249,25.97,26.18,58866,0
2017-03-17,26.07,26.5,25.88,26.41,87844,0
2017-03-20,26.36,26.36,25.9,26.16,80635,0
2017-03-21,26.2,26.34,25.47,25.52,113689,0
2017-03-22,25.39,25.855,25.26,25.64,65669,0
2017-03-23,25.5,26.3,25.5,26.16,56853,0
2017-03-24,26.19,26.19,25.36,25.52,81274,0
2017-03-27,25.47,25.64,25.18,25.22,64967,0
2017-03-28,25.2,25.55,24.87,25.54,88288,0
2017-03-29,25.29,25.3,24.69,24.7,163369,0
2017-03-30,25.04,25.04,22.75,23.71,562661,0
2017-03-31,23.49,24,23.33,24,183152,0
2017-04-03,24,24.0337,23.11,23.45,201809,0
2017-04-04,23.72,23.72,23.01,23.58,89017,0
2017-04-05,23.6,23.7389,22.95,23.12,136809,0
2017-04-06,23.12,23.62,22.98,23.45,206141,0
2017-04-07,23.3,23.326,22.6,23.02,137770,0
2017-04-10,22.97,23.15,22.7,23.07,126648,0
2017-04-11,23.17,23.78,22.93,23.61,105486,0
2017-04-12,23.73,23.88,23.27,23.45,79420,0
2017-04-13,23.45,23.47,22.5,22.93,133536,0
2017-04-17,22.72,23.18,22.6,23.02,117472,0
2017-04-18,23.77,24.45,23.36,24.13,268513,0
2017-04-19,24.41,24.4399,23.77,23.85,115819,0
2017-04-20,23.8,24.33,23.72,24.3,97557,0
