Date,Open,High,Low,Close,Volume,OpenInt
2017-01-03,7.1,7.12,6.74,7.05,370724,0
2017-01-04,7.07,7.27,7.07,7.215,275422,0
2017-01-05,7.22,7.25,7.06,7.11,124942,0
2017-01-06,7.09,7.16,6.85,6.9,195920,0
2017-01-09,6.91,7.06,6.8204,6.91,172390,0
2017-01-10,6.94,7.021,6.885,7.02,119515,0
2017-01-11,7,7.12,6.71,7,362788,0
2017-01-12,6.95,7.09,6.77,6.82,448159,0
2017-01-13,6.85,7.01,6.8,6.93,468188,0
2017-01-17,6.9,6.93,6.7,6.88,820055,0
2017-01-18,6.88,6.9,6.685,6.78,197886,0
2017-01-19,6.75,6.76,6.6,6.63,707148,0
2017-01-20,6.63,6.83,6.62,6.8,301339,0
2017-01-23,6.77,7,6.75,7,294143,0
2017-01-24,7,7.1,6.88,6.985,155204,0
2017-01-25,7.04,7.34,7,7.3,234171,0
2017-01-26,7.29,7.34,7.08,7.12,211103,0
2017-01-27,7.18,7.18,6.96,7.02,177968,0
2017-01-30,7,7,6.75,6.8,175452,0
2017-01-31,6.77,7.01,6.62,7,250991,0
2017-02-01,7.06,7.15,6.99,7.05,159615,0
2017-02-02,7.05,7.11,6.93,6.93,124107,0
2017-02-03,6.98,7.13,6.919,7.09,136866,0
2017-02-06,7.03,7.125,7.02,7.1,168149,0
2017-02-07,7.1,7.15,6.94,6.97,112486,0
2017-02-08,7.03,7.07,6.92,7.05,112112,0
2017-02-09,7.11,7.24,7.06,7.08,211332,0
2017-02-10,7.09,7.22,7.05,7.13,121151,0
2017-02-13,7.16,7.26,7.13,7.23,145125,0
2017-02-14,7.19,7.35,7.16,7.34,213300,0
2017-02-15,7.35,7.58,7.34,7.53,277976,0
2017-02-16,7.57,7.6,7.27,7.44,129996,0
2017-02-17,7.44,7.57,7.28,7.57,208311,0
2017-02-21,7.57,7.6401,7.34,7.4,136427,0
2017-02-22,7.37,7.43,7.06,7.23,224145,0
2017-02-23,7.3,7.38,7.11,7.27,159212,0
2017-02-24,7.18,7.46,7.18,7.41,195865,0
2017-02-27,7.42,7.58,7.35,7.49,308289,0
2017-02-28,7.44,7.5,7.14,7.15,186244,0
2017-03-01,7.31,7.32,7.12,7.13,269805,0
